colOrder,variable,dataFile,keepDiscard,definition,category,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,variable_dataFile,uniqueVar,type,example,dateTime,formatCode,values,uniqueValueCount,percentMissing,flag
1,x...intervalname,crf1_mali project 1 data,keep,,Observation,NA,NA,,,,NA,X...IntervalName,x...intervalname|crf1_mali project 1 data,chr,Screening & Enrollment,NA,NA,Screening & Enrollment,1,0,duplicated
2,encounterdate,crf1_mali project 1 data,discard,,,NA,NA,,,,NA,EncounterDate,encounterdate|crf1_mali project 1 data,chr,25/8/2012,date?,NA,>10 unique values,36,0,NA
3,crf1,crf1_mali project 1 data,discard,,,NA,"1, no, CRF 1 - Screening & Enrollment
2, no, CRF 2 - Follow-up Day 0
4, no, CRF 4 - Household Questionnare",,,,NA,crf1,crf1|crf1_mali project 1 data,int,1,NA,NA,1 to 1,1,0,NA
4,subjid,crf1_mali project 1 data,discard,,,NA,NA,,,,NA,subjID,subjid|crf1_mali project 1 data,lgl,NA,NA,NA,n/a,0,0,duplicated
5,country,crf1_mali project 1 data,keep,,Household,Country of pt enrollment,"1, no, Senegal
2, no, Gambia
3, no, Mali",,,,NA,country,country|crf1_mali project 1 data,int,3,NA,NA,3 to 3,1,0,duplicated
6,region,crf1_mali project 1 data,keep,,Household,Region of Pt enrollment,"1, no, THIES
2, no, GAMBISSARA
3, no, SEGOU
4, no, KOULIKORO",,,,NA,region,region|crf1_mali project 1 data,int,4,NA,NA,3 to 4,2,0,NA
7,hc,crf1_mali project 1 data,keep,,Household,Health Center of the point of enrollment,"1, no, SLAP de Thiès
2, no, Medina Fall Post1
3, no, Medina Fall Post2
4, no, Gambissara HC
5, no, Cscom Dangassa
6, no, Cscom Kolia Bambana
7, no, Not in a HC
-77, no, Missing",,,,NA,HC,hc|crf1_mali project 1 data,int,5,NA,NA,5 to 6,2,0,NA
8,dov,crf1_mali project 1 data,keep,,Observation,A4_CRF1,NA,,,,NA,DOV,dov|crf1_mali project 1 data,chr,25/8/2012,NA,NA,>10 unique values,36,0,duplicated
9,censid,crf1_mali project 1 data,discard,,,Census ID,NA,,,,NA,censID,censid|crf1_mali project 1 data,chr,m6-00002-60,NA,NA,>10 unique values,3845,0,NA
10,village,crf1_mali project 1 data,keep,,Household,Village of Residence (Choose only one answer),"1, no, Medina Fall
2, no, Gambissara town
3, no, Sare Jawbeh
4, no, Fula Mori Boch
5, no, Sare Bondo
6, no, Dangassa
7, no, Koila Bamana
66, no, Other
-77, no, Missing",,,,NA,village,village|crf1_mali project 1 data,int,6,NA,NA,6 to 7,2,0,duplicated
11,spec_village,crf1_mali project 1 data,discard,,,If Other in A.6 Specify,NA,,,,NA,spec_village,spec_village|crf1_mali project 1 data,int,-88,NA,NA,-88 to -88,1,0,duplicated
12,visit,crf1_mali project 1 data,discard,,,Visit,"-1, no, SCREENING
4, no, HOUSEHOLD
9, no, FOLLOW UP",,,,NA,visit,visit|crf1_mali project 1 data,int,-1,NA,NA,-1 to -1,1,0,NA
13,unknown_date_of_visit,crf1_mali project 1 data,discard,,,NA,NA,,,,NA,unknown_date_of_visit,unknown_date_of_visit|crf1_mali project 1 data,int,0,date?,NA,0 to 0,1,0,NA
14,missing_dov,crf1_mali project 1 data,discard,,,NA,NA,,,,NA,missing_DOV,missing_dov|crf1_mali project 1 data,int,0,NA,NA,0 to 0,1,0,NA
15,followup_survey_number,crf1_mali project 1 data,discard,,,NA,NA,,,,"-77, -77, Missing in the form",followup_survey_number,followup_survey_number|crf1_mali project 1 data,lgl,NA,NA,NA,n/a,0,0,duplicated
16,consent,crf1_mali project 1 data,discard,,,Did the patient sign the assent or consent form?,"1, no, Yes
0, no, No
-77, no, Missing",,,,NA,consent,consent|crf1_mali project 1 data,int,1,NA,NA,0 to 1,2,0,NA
17,doc,crf1_mali project 1 data,keep,,Participant,Date of signature of the assent/consent form,NA,,,,NA,DOC,doc|crf1_mali project 1 data,chr,25/8/2012,NA,NA,>10 unique values,36,0.000260078,NA
18,doc_not_known,crf1_mali project 1 data,discard,,,NA,NA,,,,NA,doc_not_known,doc_not_known|crf1_mali project 1 data,int,0,NA,NA,0 to 0,1,0,NA
19,doc_missing,crf1_mali project 1 data,discard,,,NA,NA,,,,NA,doc_missing,doc_missing|crf1_mali project 1 data,int,0,NA,NA,0 to 0,1,0,NA
20,interviewer,crf1_mali project 1 data,discard,,,"Initials of interviewer
(3 FIRST LETTERS OF FIRST AND LAST NAME)",NA,,,,NA,interviewer,interviewer|crf1_mali project 1 data,chr,sor dia,NA,NA,>10 unique values,19,0,NA
21,dob,crf1_mali project 1 data,keep,,Participant,C1_CRF1,NA,,,,NA,DOB,dob|crf1_mali project 1 data,chr,9/9/09,NA,NA,>10 unique values,464,0,NA
22,gender,crf1_mali project 1 data,keep,,Participant,C2_CRF1,"1, no, Male
2, no, Female
-77, no, Missing",,,,NA,gender,gender|crf1_mali project 1 data,int,1,NA,NA,-77 to 2,3,0,NA
23,age_yr,crf1_mali project 1 data,keep,,Participant,C3A_CRF1,NA,,,,"-99, -99, Unknown
-77, -77, Missing",age_yr,age_yr|crf1_mali project 1 data,int,65,NA,NA,0 to 87,83,0,NA
24,age_month,crf1_mali project 1 data,keep,,Participant,C3B_CRF1,NA,,,,"-99, -99, Unknown
-88, -88, Not applicable DOB entered
-77, -77, Missing",age_month,age_month|crf1_mali project 1 data,int,NA,NA,NA,0 to 11,12,0,NA
25,ethnicity,crf1_mali project 1 data,keep,,Participant,C4_CRF1,"1, no, Wolof
2, no, Sérère
3, no, Peulh/Fula
4, no, Bambara
5, no, Sarakholé/Serehule
6, no, Socé/Mandinka/Malinke
7, no, Diola/Jola
8, no, Maure
9, no, Bozo/somono
10, no, Dogon
66, no, Other
-99, no, Unknown
-77, no, Missing",,,,NA,ethnicity,ethnicity|crf1_mali project 1 data,int,6,NA,NA,-77 to 66,9,0,NA
26,spec_ethinicity,crf1_mali project 1 data,keep,,Participant,C4_1_CRF1,NA,,,,NA,spec_ethinicity,spec_ethinicity|crf1_mali project 1 data,chr,-88,NA,NA,>10 unique values,12,0,NA
27,dob_not_known,crf1_mali project 1 data,discard,,,NA,NA,,,,NA,dob_not_known,dob_not_known|crf1_mali project 1 data,int,1,NA,NA,0 to 1,2,0,NA
28,dob_missing,crf1_mali project 1 data,discard,,,NA,NA,,,,NA,dob_missing,dob_missing|crf1_mali project 1 data,int,0,NA,NA,0 to 1,2,0,NA
29,age,crf1_mali project 1 data,keep,,Participant,NA,NA,,,,NA,age,age|crf1_mali project 1 data,dbl,65,NA,NA,0 to 87,202,0,NA
30,country_copy,crf1_mali project 1 data,discard,,,Country of pt enrollment,"1, no, Senegal
2, no, Gambia
3, no, Mali",,,,NA,country_copy,country_copy|crf1_mali project 1 data,int,3,NA,NA,3 to 3,1,0,NA
31,region_copy,crf1_mali project 1 data,discard,,,Region of Pt enrollment,"1, no, THIES
2, no, GAMBISSARA
3, no, SEGOU
4, no, KOULIKORO",,,,NA,region_copy,region_copy|crf1_mali project 1 data,int,4,NA,NA,3 to 4,2,0,NA
32,modified_age_calculation,crf1_mali project 1 data,discard,,,NA,NA,,,,NA,modified_age_calculation,modified_age_calculation|crf1_mali project 1 data,int,65,NA,NA,-99 to 87,85,0,NA
33,modified_age_calculation_copy,crf1_mali project 1 data,discard,,,NA,NA,,,,NA,modified_age_calculation_copy,modified_age_calculation_copy|crf1_mali project 1 data,int,65,NA,NA,-99 to 87,85,0,NA
34,random_elig,crf1_mali project 1 data,discard,,,Is the subject included randomly selected within a study village/community,"1, no, Yes
0, no, No
-77, no, Missing",,,,NA,random_elig,random_elig|crf1_mali project 1 data,int,1,NA,NA,-77 to 1,3,0,NA
35,area_elig,crf1_mali project 1 data,discard,,,Is the subject expected to remain in the study area during the next 18 months,"1, no, Yes
0, no, No
-77, no, Missing",,,,NA,area_elig,area_elig|crf1_mali project 1 data,int,1,NA,NA,-77 to 1,3,0,NA
36,consent_elig,crf1_mali project 1 data,discard,,,Was the consent/assent obtained?,"1, no, Yes
0, no, No
-77, no, Missing",,,,NA,consent_elig,consent_elig|crf1_mali project 1 data,int,1,NA,NA,-77 to 1,3,0,NA
37,chrondis_elig,crf1_mali project 1 data,discard,,,"Chronic diseases (heart diseases,kidney diseases, cancer, diabetes,leukemia, auto immune disease requiring longterm therapy)","1, no, Yes
0, no, No
-77, no, Missing",,,,NA,chrondis_elig,chrondis_elig|crf1_mali project 1 data,int,0,NA,NA,-77 to 1,3,0,NA
38,eligible,crf1_mali project 1 data,discard,,,Is The Patient eligible? (No SHADED AREA),"1, no, Yes
0, no, No",,,,NA,eligible,eligible|crf1_mali project 1 data,int,1,NA,NA,0 to 1,2,0,NA
39,studyid,crf1_mali project 1 data,keep,,Participant,Study ID,NA,,,,NA,studyID,studyid|crf1_mali project 1 data,chr,m160524-20,NA,NA,>10 unique values,3843,0.000520156,NA
40,passed_screening,crf1_mali project 1 data,discard,,,Calculated by StudyTRAX and compared to manual answer,"0, no, No
1, no, Yes",,,,NA,passed_screening,passed_screening|crf1_mali project 1 data,int,1,NA,NA,0 to 1,2,0,NA
