colOrder,overallOrder,displayOrder,variable_dataFile,dataFile,IRI,label,definition,catrgory,parentLabel,parentIRI,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,newLabel
1,1,,site,umsp,http://purl.obolibrary.org/obo/EUPATH_0000406,Clinic location,,Household,,,Site or health facility,"11 - Aduku
15 - Kamwezi
16 - Kasambya
17 - Kihihi
19 - Nagongera
20 - Walukuba
30 - Amolatar
31 - Dokolo
32 - Anyeke
34 - Orum
35 - Alebtong
36 - Aboke
40 - Awach
41 - Lalogi
42 - Patongo
43 - Pajule
44 - Atiach
45 - Padibe
46 - Namukorwa
47 - Opia
50 - Maddu
51 - Kakuuto
52 - Bbaale
53 - Semuto
54 - Kigorobya
55 - Kibaale
56 - Karambi
57 - Kataraka
58 - Kaserem
59 - Lumino
60 - Lokolia
62 - Toroma
63 - Lobule
64 - Nadunget
65 - Koch Goma",variable,,,,
2,,,date,umsp,http://purl.obolibrary.org/obo/EUPATH_0000091,Clinical visit date,,observation,,,Date of visit,,variable,,,,
3,,,parish,umsp,,Parish,,Household,,,Village code,,variable,,,,
3,,,village,umsp,http://purl.obolibrary.org/obo/EUPATH_0000452,Village,,Household,,,Village code,,variable,,,,
4,,,age,umsp,http://purl.obolibrary.org/obo/EUPATH_0000113,Age,Age since birth at time of visit,participant,,,Age in years,,variable,,,,
5,,,agecategories,umsp,http://purl.obolibrary.org/obo/EUPATH_0000113,Age category,,participant,,,Age categories,"0 - < 5 years 
1 - 5-15 years
2 - > 15 years
3 - age missing",variable,,,,
6,,,sex,umsp,http://purl.obolibrary.org/obo/PATO_0000047,Sex,,participant,,,Sex of patient,"0 - Male
1 - Female
9 - Missing",variable,,,,
7,,,weight,umsp,http://purl.obolibrary.org/obo/EUPATH_0000732,Weight (kg),,observation,,,Weight in kg,0 - missing,variable,,,,
8,,,height,umsp,http://purl.obolibrary.org/obo/EUPATH_0000100,Height (cm),,observation,,,Height in cm,0 - missing,variable,,,,
9,,,paliativecare,,,Palliative care referal ,,observation,,,Whether patient refered for palliative care,"1 - Yes
0 - No
9 - Missing",variable,,,,
11,,,tobaccouse,,,Reported tobacco use,,observation,,,Tobacco use,"1 - Yes
0 - No
9 - Missing",variable,,,,
12,,,alcoholuse,,,Reported alcohol use,,observation,,,Alcohol use,"1 - Yes
0 - No
9 - Missing",variable,,,,
13,,,fever,umsp,http://purl.obolibrary.org/obo/EUPATH_0000100,Subjective fever,,observation,,,Subjective fever,"1 - Yes
0 - No
9 - Missing",variable,,,,
14,,,malariatestdone,umsp,,Plasmodium test type,,sample,,,Type of malaria test done,"1 - Microscopy
2 - RDT
3 - Not Done
9 - Missing",variable,,can a person have both?,,
16,,,malariatestresult,umsp,EUPATH_0033244,"Plasmodium, by multiple methods",,sample,,,Malaria test result,"0 - Negative
1 - Positive
2 - Missing
9 - Not applicable",variable,,,,
18,,,newpresumedtbcase,umsp,,New presumed tb case,,observation,,,New presumed TB case,,variable,,,,
19,,,diagnosis1,umsp, EUPATH_0000317,Other diagnosis,,observation,,,1st diagnosis given,0 - No diagnosos,,,,,
20,,,diagnosis2,umsp, EUPATH_0000317,Other diagnosis,,observation,,,2nd diagnosis given,0 - No diagnosos,,,,,
21,,,diagnosis3,umsp, EUPATH_0000317,Other diagnosis,,observation,,,3rd diagnosis given,0 - No diagnosos,,,,,
22,,,diagnosis4,umsp, EUPATH_0000317,Other diagnosis,,observation,,,4th diagnosis given,0 - No diagnosos,,,,,
