"colOrder","variable","dataFile","IRI","label","definition","category","parentIRI","parentLabel","codebookDescription","codebookValues","termType","notesForOnt","repeated","is_temporal","mergeKey","dataSet","unitLabel","unitIRI","is_featured","hidden","scale","defaultDisplayRangeMin","defaultDisplayRangeMax","defaultBinWidth","forceStringType"
"2","newsiteid","monthly data for all sites through july 2022","EUPATH_0025072","Health center","","Community","","","Site spelled out with district included","","variable","","","","","UMSP aggregated","","","yes","","","","","",""
"3","region","monthly data for all sites through july 2022","","Region in Uganda","","Community","GAZ_00000448","Geographic location","Region of Uganda","","variable","I'm not sure this is a true administrative unit","","","","UMSP aggregated","","","","","","","","",""
"4","llineup2","monthly data for all sites through july 2022","","Site in LLINEUP2","Whether the health facility was included in the LLINEUP2 study","Community","EUPATH_0035125","'Community administrative information","Site included in LLINEUP2 study","","variable","","","","","UMSP aggregated","","","","","","","","",""
"5","llinarm","monthly data for all sites through july 2022","EUPATH_0044124","Cluster study arm","If a site was included in LLINEUP2, which study arm they were in","Community","EUPATH_0035125","'Community administrative information","If in LLINEUP2 study, which arm they were enrolled in","","variable","","","","","UMSP aggregated","","","","","","","","",""
"7","llindistmonth","monthly data for all sites through july 2022","","LLIN distribution date","Month and year LLINs were distributed as part of the LLINEUP2 study","Community","EUPATH_0035125","'Community administrative information","month and year in format %tm from stata that LLINs were distributed as part of llineup","730= November 2020, 731= December 2020, 734= March 2021","variable","","","","","UMSP aggregated","","","","","","","","",""
"8","timing","monthly data for all sites through july 2022","","Time since LLIN distribution","Months before (negative) or since (positive) nets were distributed","Community","EUPATH_0035125","'Community administrative information","Months before or since nets were distributed","","variable","","","","","UMSP aggregated","months","","","","","","","",""
"10","visits","monthly data for all sites through july 2022","","Health center visit count","Total number of visits to the clinic","Community","EUPATH_0051003","Health center level information","Total number of clinic visits","","variable","","","","","UMSP aggregated","","","","","","","","",""
"11","malariasuspected","monthly data for all sites through july 2022","","Malaria suspected visit count","Number of visits where malaria was suspected and either a malaria test was performed or a clinical diagnosis of malaria was made without a test result","Community","EUPATH_0053217","'Community malaria summary","Number of patients where malaria was suspected","","variable","","","","","UMSP aggregated","","","","","","","","",""
"12","propsuspected","monthly data for all sites through july 2022","","Malaria suspected visit proportion","Proportion of all health center visits where malaria was suspected and either a malaria test was performed or a clinical diagnosis of malaria was made without a test result","Community","EUPATH_0053217","'Community malaria summary","Proportion of all visits where malaria was suspected","","variable","","","","","UMSP aggregated","","","","","","","","",""
"13","tprdenom","monthly data for all sites through july 2022","","Tested for malaria count","Of those suspected of malaria, number tested for malaria (test positivity rate denominator)","Community","EUPATH_0053217","'Community malaria summary","Of those suspected of malaria, number tested for malaria (test positivity rate denominator)","","variable","","","","","UMSP aggregated","","","","","","","","",""
