# version-2		
drug	Amodiaquine	Amodiaquine
drug	Lumefantrine	Lumefantrine
drug	Mefloquine	Mefloquine
drug	Piperaquine	Piperaquine
included_or_excluded	E	Excluded
included_or_excluded	I	Included
site	Abanla	Abanla
site	Abobo	Abobo
site	Abuja	Abuja
site	Accra	Accra
site	Ada	Ada
site	Ad Dahi	Ad Dahi
site	Addis Ababa	Addis Ababa
site	Adidome, Battor	Adidome, Battor
site	Adis Ababa	Adis Ababa
site	Adizai	Adizai
site	Agogo	Agogo
site	Agordat, Barentu, Medefera	Agordat, Barentu, Medefera
site	Akuem	Akuem
site	Algiers	Algiers
site	Alikadam	Alikadam
site	Allada, Sekou	Allada, Sekou
site	Al-RaydahâQusyer	Al-RaydahâQusyer
site	Amapa, Rondonia, Mato Grosso	Amapa, Rondonia, Mato Grosso
site	Amazon basin	Amazon basin
site	Amazon region	Amazon region
site	Andapa	Andapa
site	Angara	Angara
site	Ankazomborona	Ankazomborona
site	Ann	Ann
site	Ann, Rakhine State	Ann, Rakhine State
site	{{Anonkoua Kout.*}}	Anonkoua Kouté
site	Antananarivo	Antananarivo
site	Antioquia	Antioquia
site	Apac	Apac
site	Apac, Mubende, Kanungu	Apac, Mubende, Kanungu
site	Armopa	Armopa
site	Artibonite	Artibonite
site	Artibonite Valley	Artibonite Valley
site	Arua	Arua
site	Arua, Gulu, Mbale	Arua, Gulu, Mbale
site	Asar	Asar
site	Asar, Daraweesh, Abu Adam, New Halfa	Asar, Daraweesh, Abu Adam, New Halfa
site	Asar village	Asar village
site	Aseer, Jazan	Aseer, Jazan
site	Asembo	Asembo
site	Ashanti	Ashanti
site	Asom	Asom
site	Assam	Assam
site	Attapeu PH, Attapeu, Attapeu	Attapeu PH, Attapeu, Attapeu
site	Attapeu Province	Attapeu Province
site	{{Ayam.*}}	Ayamé
site	Ayoun el Atrous	Ayoun el Atrous
site	Bafoulabe	Bafoulabe
site	Bagac	Bagac
site	Bagamoyo District	Bagamoyo District
site	Bago	Bago
site	Baja Cauca	Baja Cauca
site	Bajag PHC of Dindori district	Bajag PHC of Dindori district
site	Bajil	Bajil
site	Balombo	Balombo
site	Baluchistan	Baluchistan
site	Bamako	Bamako
site	Bampada	Bampada
site	Bandarban	Bandarban
site	Bandarban District	Bandarban District
site	Bandim	Bandim
site	Bangui	Bangui
site	Banmauk	Banmauk
site	Bannu	Bannu
site	Bata	Bata
site	Battambang	Battambang
site	Batulayar	Batulayar
site	Begoro	Begoro
site	Bekwai	Bekwai
site	Bekwai, Begoro,Hohoe, Sunyani, Tarkwa, Navrongo, Wa, Yendi, Cape-Coast	Bekwai, Begoro,Hohoe, Sunyani, Tarkwa, Navrongo, Wa, Yendi, Cape-Coast
site	Belonia	Belonia
site	Benguela	Benguela
site	Benin City	Benin City
site	Bertoua	Bertoua
site	BGM, Binh Phuoc	BGM, Binh Phuoc
site	Bhamo, Kachin	Bhamo, Kachin
site	Bhilai, Durg	Bhilai, Durg
site	Binh Phuoc	Binh Phuoc
site	Binh Phuoc and Dak Nong provinces	Binh Phuoc and Dak Nong provinces
site	Bioko Island	Bioko Island
site	Bisra	Bisra
site	Bissau	Bissau
site	Bitung	Bitung
site	Blantyre	Blantyre
site	Blantyre, Lilongwe,Mwanza, Chiradzulu, Phalombe, Nkhotakota, Rumphi, Karonga	Blantyre, Lilongwe,Mwanza, Chiradzulu, Phalombe, Nkhotakota, Rumphi, Karonga
site	Boa Vista, Pacaraima, Rorainapolis	Boa Vista, Pacaraima, Rorainapolis
site	Bobo Dioulasso	Bobo Dioulasso
site	Bobo-Dioulasso	Bobo-Dioulasso
site	Bolenge	Bolenge
site	Bonanza	Bonanza
site	Bondi, Baytonwee, Bonah, Kinon	Bondi, Baytonwee, Bonah, Kinon
site	Bondo	Bondo
site	Bonoua	Bonoua
site	Bougoula-Hameau	Bougoula-Hameau
site	Bourasso	Bourasso
site	Bourasso, Bagala, Boron	Bourasso, Bagala, Boron
site	Brazzaville	Brazzaville
site	Brong-Ahafo	Brong-Ahafo
site	Buenaventura	Buenaventura
site	Bundwan	Bundwan
site	Buntharik district hospital, Ubon Rachathani	Buntharik district hospital, Ubon Rachathani
site	Bure	Bure
site	Butare	Butare
site	Butembo	Butembo
site	Caballococha	Caballococha
site	Campbell Bay	Campbell Bay
site	Cape Coast	Cape Coast
site	Cap Haitian	Cap Haitian
site	Capotille	Capotille
site	Car Nicobar	Car Nicobar
site	Cazale	Cazale
site	Central: Borikhamxay, Khammouane	Central: Borikhamxay, Khammouane
site	central east (Toamasina, Moramanga, Betsizaraina)	central east (Toamasina, Moramanga, Betsizaraina)
site	Central Ghana	Central Ghana
site	Central region	Central region
site	central west (Tsiroanomandidy, Ampasimpotsy, Miandrivazo, Moron- dava)	central west (Tsiroanomandidy, Ampasimpotsy, Miandrivazo, Moron- dava)
site	Chabahar	Chabahar
site	Chabahar City	Chabahar City
site	Chabahar district	Chabahar district
site	Champasak Province	Champasak Province
site	Changlang	Changlang
site	Chang Wat Mae Hong Son, Amphoe Mae Sariang	Chang Wat Mae Hong Son, Amphoe Mae Sariang
site	Chantaburi	Chantaburi
site	Chemelil	Chemelil
site	Chhattisgarh	Chhattisgarh
site	Chiang Rai	Chiang Rai
site	Chikwawa, Zomba	Chikwawa, Zomba
site	Chin State	Chin State
site	Choco	Choco
site	Chokwe	Chokwe
site	Chumkiri	Chumkiri
site	Chumkiri District	Chumkiri District
site	Chumphon	Chumphon
site	Ciudad Bolivar	Ciudad Bolivar
site	clinics of the Shoklo Malaria Research Unit (SMRU)	clinics of the Shoklo Malaria Research Unit (SMRU)
site	Coastal, Kibiti	Coastal, Kibiti
site	Coastal Region (Kibiti-Rufiji)	Coastal Region (Kibiti-Rufiji)
site	Conakry	Conakry
site	Conner	Conner
site	Cordoba	Cordoba
site	Cox's Bazar	Cox's Bazar
site	Cruzeiro do Sul	Cruzeiro do Sul
site	Cu Kbang HC, Dak Lak	Cu Kbang HC, Dak Lak
site	Cu Knia HC, Dak Nong	Cu Knia HC, Dak Nong
site	Dac Lac	Dac Lac
site	Dakar	Dakar
site	Dak Drong HC, Dak Nong	Dak Drong HC, Dak Nong
