variable	variable2	values	mappedTerm	valueOrder
jilinde_peandchvcohort_data_labels_2021-11-29_1420::x2	jilinde_peandchvcohort_data_labels_2021-11-29_1420::x2	12 Months Follow Up	12 Months Follow Up	3
jilinde_peandchvcohort_data_labels_2021-11-29_1420::x2	jilinde_peandchvcohort_data_labels_2021-11-29_1420::x2	6 Months Follow Up	6 Months Follow Up	2
jilinde_peandchvcohort_data_labels_2021-11-29_1420::x2	jilinde_peandchvcohort_data_labels_2021-11-29_1420::x2	Baseline	Baseline	1
jilinde_peandchvcohort_data_labels_2021-11-29_1420::x3	jilinde_peandchvcohort_data_labels_2021-11-29_1420::x3	RA001 records	RA001 records	1
jilinde_peandchvcohort_data_labels_2021-11-29_1420::x3	jilinde_peandchvcohort_data_labels_2021-11-29_1420::x3	RA002 records	RA002 records	2
jilinde_peandchvcohort_data_labels_2021-11-29_1420::x3	jilinde_peandchvcohort_data_labels_2021-11-29_1420::x3	RA003 records	RA003 records	3
jilinde_peandchvcohort_data_labels_2021-11-29_1420::x3	jilinde_peandchvcohort_data_labels_2021-11-29_1420::x3	RA004 records	RA004 records	4
jilinde_peandchvcohort_data_labels_2021-11-29_1420::x3	jilinde_peandchvcohort_data_labels_2021-11-29_1420::x3	RA005 records	RA005 records	5
jilinde_peandchvcohort_data_labels_2021-11-29_1420::x3	jilinde_peandchvcohort_data_labels_2021-11-29_1420::x3	RA006 records	RA006 records	6
jilinde_peandchvcohort_data_labels_2021-11-29_1420::x3	jilinde_peandchvcohort_data_labels_2021-11-29_1420::x3	RA009 records	RA009 records	7
jilinde_peandchvcohort_data_labels_2021-11-29_1420::x3	jilinde_peandchvcohort_data_labels_2021-11-29_1420::x3	RA010 records	RA010 records	8
jilinde_peandchvcohort_data_labels_2021-11-29_1420::x3	jilinde_peandchvcohort_data_labels_2021-11-29_1420::x3	RA011 records	RA011 records	9
jilinde_peandchvcohort_data_labels_2021-11-29_1420::x3	jilinde_peandchvcohort_data_labels_2021-11-29_1420::x3	RA012_records	RA012_records	10
jilinde_peandchvcohort_data_labels_2021-11-29_1420::x3	jilinde_peandchvcohort_data_labels_2021-11-29_1420::x3	RA013_records	RA013_records	11
jilinde_peandchvcohort_data_labels_2021-11-29_1420::x3	jilinde_peandchvcohort_data_labels_2021-11-29_1420::x3	RA015_records	RA015_records	12
jilinde_peandchvcohort_data_labels_2021-11-29_1420::x3	jilinde_peandchvcohort_data_labels_2021-11-29_1420::x3	RA016_records	RA016_records	13
jilinde_peandchvcohort_data_labels_2021-11-29_1420::x3	jilinde_peandchvcohort_data_labels_2021-11-29_1420::x3	RA017 records	RA017 records	14
jilinde_peandchvcohort_data_labels_2021-11-29_1420::x3	jilinde_peandchvcohort_data_labels_2021-11-29_1420::x3	RA018 records	RA018 records	15
jilinde_peandchvcohort_data_labels_2021-11-29_1420::x5	jilinde_peandchvcohort_data_labels_2021-11-29_1420::x5	Cluster 1	Cluster 1	1
jilinde_peandchvcohort_data_labels_2021-11-29_1420::x5	jilinde_peandchvcohort_data_labels_2021-11-29_1420::x5	Cluster 2	Cluster 2	2
jilinde_peandchvcohort_data_labels_2021-11-29_1420::x5	jilinde_peandchvcohort_data_labels_2021-11-29_1420::x5	Cluster 3	Cluster 3	3
jilinde_peandchvcohort_data_labels_2021-11-29_1420::x6	jilinde_peandchvcohort_data_labels_2021-11-29_1420::x6	County001	County001	1
jilinde_peandchvcohort_data_labels_2021-11-29_1420::x6	jilinde_peandchvcohort_data_labels_2021-11-29_1420::x6	County002	County002	2
jilinde_peandchvcohort_data_labels_2021-11-29_1420::x6	jilinde_peandchvcohort_data_labels_2021-11-29_1420::x6	County003	County003	3
jilinde_peandchvcohort_data_labels_2021-11-29_1420::x6	jilinde_peandchvcohort_data_labels_2021-11-29_1420::x6	County004	County004	4
jilinde_peandchvcohort_data_labels_2021-11-29_1420::x6	jilinde_peandchvcohort_data_labels_2021-11-29_1420::x6	County005	County005	5
jilinde_peandchvcohort_data_labels_2021-11-29_1420::x6	jilinde_peandchvcohort_data_labels_2021-11-29_1420::x6	County006	County006	6
