IRI,label,displayOrder,variable,dataFile,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType,replaces
http://purl.obolibrary.org/obo/PCO_0000024,Household,,,,,Household,,http://www.w3.org/2002/07/owl#Thing,,,,
http://purl.obolibrary.org/obo/EUPATH_0047066,Air conditioner,11,ses_q5h,groupanc_phase2,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,5h. Air conditioner,2 = No | 1 = Yes,value,
http://purl.obolibrary.org/obo/EUPATH_0000166,Animal-drawn cart,4,ses_q10d,groupanc_phase2,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,10d. An animal-drawn cart,2 = No | 1 = Yes,value,
http://purl.obolibrary.org/obo/ENVO_01000614,Bicycle,3,ses_q10b,groupanc_phase2,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,10b. A bicycle,2 = No | 1 = Yes,value,
http://purl.obolibrary.org/obo/EUPATH_0000179,Boat with a motor,5,ses_q10f,groupanc_phase2,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,10f. A boat with a motor,2 = No | 1 = Yes,value,
http://purl.obolibrary.org/obo/EUPATH_0047067,Cable TV,16,ses_q5f,groupanc_phase2,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,5f. A cable TV,2 = No | 1 = Yes,value,
http://purl.obolibrary.org/obo/EUPATH_0047068,Canoe,6,ses_q10g,groupanc_phase2,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,10g. A canoe,2 = No | 1 = Yes,value,
http://purl.obolibrary.org/obo/EUPATH_0000171,Car or truck,1,ses_q10e,groupanc_phase2,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,10e. A car or truck,2 = No | 1 = Yes,value,
http://purl.obolibrary.org/obo/EUPATH_0047069,Computer,13,ses_q5i,groupanc_phase2,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,5i. A computer,2 = No | 1 = Yes,value,
http://purl.obolibrary.org/obo/EUPATH_0047070,Electric iron,12,ses_q5j,groupanc_phase2,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,5j. Electric iron,2 = No | 1 = Yes,value,
http://purl.obolibrary.org/obo/EUPATH_0021084,Electricity,7,ses_q5a,groupanc_phase2,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,5a. Electricity,2 = No | 1 = Yes,value,
http://purl.obolibrary.org/obo/EUPATH_0036212,Fan,10,ses_q5k,groupanc_phase2,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,5k. A fan,2 = No | 1 = Yes,value,
http://purl.obolibrary.org/obo/EUPATH_0022256,Generator,8,ses_q5g,groupanc_phase2,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,5g. A generating set,2 = No | 1 = Yes,value,
http://purl.obolibrary.org/obo/ENVO_01000581,Mobile phone,14,ses_q5d,groupanc_phase2,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,5d. A mobile telephone,2 = No | 1 = Yes,value,
