colOrder,variable,dataFile,IRI,label,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
74,ea_level_dataset::ea_2016,ea_level_dataset,,"Cluster ID in 2016, actual",(first) ea_2016,Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,(first) ea_2016,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
2,ea_level_dataset::ea_actual,ea_level_dataset,,"Cluster ID, actual",(first) ea_actual,Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,(first) ea_actual,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
3,ea_level_dataset::intarm_actual,ea_level_dataset,,(first) intarm_actual,(first) intarm_actual,Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,(first) intarm_actual,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
53,ea_level_dataset::mohss_first_date,ea_level_dataset,,(first) mohss_first_date,(first) mohss_first_date,Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,(first) mohss_first_date,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
61,ea_level_dataset::mohss_ea_enrolled,ea_level_dataset,,Enrolled,(max) ea_enrolled,Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,(max) ea_enrolled,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
20,ea_level_dataset::ea_first_case_date,ea_level_dataset,,(max) ea_first_case_date_pat,(max) ea_first_case_date_pat,Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,(max) ea_first_case_date_pat,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
69,ea_level_dataset::ea_local_case_2016,ea_level_dataset,,Local case in 2016,(max) ea_local_case_2016,Community,http://purl.obolibrary.org/obo/EUPATH_0030001,Village level information,(max) ea_local_case_2016,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
59,ea_level_dataset::mohss_ea_positive,ea_level_dataset,,Positive cases,(max) ea_positive,Community,http://purl.obolibrary.org/obo/EUPATH_0030001,Village level information,(max) ea_positive,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
76,ea_level_dataset::ea_positive_2016,ea_level_dataset,,Positive by MOHSS in 2016,(max) ea_positive_2016,Community,http://purl.obolibrary.org/obo/EUPATH_0030001,Village level information,(max) ea_positive_2016,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
78,ea_level_dataset::ea_screened_2016,ea_level_dataset,,Screened in 2016,(max) ea_screened_2016,Community,http://purl.obolibrary.org/obo/EUPATH_0030001,Village level information,(max) ea_screened_2016,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
58,ea_level_dataset::mohss_ea_tested,ea_level_dataset,,Tested by MOHSS,(max) ea_tested,Community,http://purl.obolibrary.org/obo/EUPATH_0030001,Village level information,(max) ea_tested,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
93,ea_level_dataset::proportion_eacases_spray_covered,ea_level_dataset,,Proportion cases spray covered,(max) proportion_eacases_spray_covered,Community,http://purl.obolibrary.org/obo/EUPATH_0030001,Village level information,(max) proportion_eacases_spray_covered,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
65,ea_level_dataset::mohss_struct_spray_2017_outbreak,ea_level_dataset,,Total sprayed during 2017 outbreak,(sum) total_sprayed_during_2017_outbre,Community,http://purl.obolibrary.org/obo/EUPATH_0035124,Community environment,(sum) total_sprayed_during_2017_outbre,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
64,ea_level_dataset::mohss_structures_sprayed_2016,ea_level_dataset,,Total sprayed structures in 2016,(sum) total_structures_sprayed_2016,Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community environment,(sum) total_structures_sprayed_2016,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
7,ea_level_dataset::ea_type | sdss_index_deidentified_forclinepidb::ea_type,ea_level_dataset,,Area type,EA_Type,Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,EA_Type,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
42,ea_level_dataset::mean_hh_distance_to_hf_km,ea_level_dataset,,"Average of distance to health facility, measured by kilometer",,Community,http://purl.obolibrary.org/obo/EUPATH_0051003,Health center level information,,,variable,,,,,Namibia_RACD_rfMDA_RAVC,km,http://purl.obolibrary.org/obo/EUPATH_0020269,,,,,,
41,ea_level_dataset::mean_hh_distance_to_hf,ea_level_dataset,,"Average of distance to health facility, measured by meter",,Community,http://purl.obolibrary.org/obo/EUPATH_0051003,Health center level information,,,variable,,,,,Namibia_RACD_rfMDA_RAVC,m,http://purl.obolibrary.org/obo/UO_0000008,,,,,,
40,ea_level_dataset::mean_nearest_hh_distance_meters,ea_level_dataset,,Average of distance to the  nearest household,(mean) nearest_hh_distance_meters,Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,(mean) nearest_hh_distance_meters,,variable,,,,,Namibia_RACD_rfMDA_RAVC,m,http://purl.obolibrary.org/obo/UO_0000008,,,,,,
66,ea_level_dataset::mohss_breeding_sites_identified,ea_level_dataset,,"Breeding sites, identified",(sum) breeding_sites_identified,Community,http://purl.obolibrary.org/obo/EUPATH_0030001,Village level information,(sum) breeding_sites_identified,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
67,ea_level_dataset::mohss_breeding_sites_treated,ea_level_dataset,,"Breeding sites, treated",(sum) breeding_sites_treated,Community,http://purl.obolibrary.org/obo/EUPATH_0030001,Village level information,(sum) breeding_sites_treated,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
83,ea_level_dataset::cases2013,ea_level_dataset,,Cases in 2013,cases in 2013,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,cases in 2013,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
85,ea_level_dataset::cases2014,ea_level_dataset,,Cases in 2014,cases in 2014,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,cases in 2014,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
68,ea_level_dataset::ea_cases_2016,ea_level_dataset,,Cases in 2016,(max) ea_cases_2016,Community,http://purl.obolibrary.org/obo/EUPATH_0030001,Village level information,(max) ea_cases_2016,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
26,ea_level_dataset::ea_cases_post_eight_weeks,ea_level_dataset,,"Cases in 2017 post 8 weeks window, local and imported  ",EA 2017 local&imported cases post 8wk window,Community,http://purl.obolibrary.org/obo/EUPATH_0030001,Village level information,EA 2017 local&imported cases post 8wk window,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
24,ea_level_dataset::ea_case_2017,ea_level_dataset,,"Cases in 2017, local and imported",2017 cases (local and imported),Community,http://purl.obolibrary.org/obo/EUPATH_0030001,Village level information,2017 cases (local and imported),,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
25,ea_level_dataset::ea_local_cases,ea_level_dataset,,"Cases in 2017, local only ",2017 cases (local only),Community,http://purl.obolibrary.org/obo/EUPATH_0030001,Village level information,2017 cases (local only),,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
1,ea_level_dataset::ea_no | individual_deidentified_forclinepidb::ea_no |sdss_index_deidentified_forclinepidb::ea_no,ea_level_dataset,http://purl.obolibrary.org/obo/EUPATH_0035024,Cluster ID,EA number,Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,EA number,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
30,ea_level_dataset::ea_person_time_years,ea_level_dataset,,Cluster person time,Person time based on cluster level,Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,,,variable,,,,,Namibia_RACD_rfMDA_RAVC,person-year,,,,,,,
34,ea_level_dataset::ea_cases_covered,ea_level_dataset,,"Cluster study arm, intv",cases covered by an intv,Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,cases covered by an intv,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
35,ea_level_dataset::ea_cases_covered_r,ea_level_dataset,,"Cluster study arm, RACD intv",cases covered by a RACD intv,Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,cases covered by a RACD intv,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
