overallOrder,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType,notesForOnt
1,site,_clin_rev_de.sas7bdat,EUPATH_0021094,Study site,,Household,Geographic location,GAZ_00000448,Center,,variable,
3,patid,_clin_rev_de.sas7bdat,EUPATH_0000095,Participant ID,,Participant,Participant,EUPATH_0000096,Subject ID,,variable,
4,cbubccol,_clin_rev_de.sas7bdat,,Blood sample collected,,Sample,Blood sample collection process,EUPATH_0011482,Blood culture collected,"1 - Yes, at study facility, 2 - Yes, at referring facility, 3 - Not collected",variable,
5,cbubcdt,_clin_rev_de.sas7bdat,,Blood sample collection date,,Sample,Blood sample collection process,EUPATH_0011482,Blood culture date,,variable,
6,cbubctm,_clin_rev_de.sas7bdat,,Blood sample collection time,,Sample,Blood sample collection process,EUPATH_0011482,Blood culture time,,variable,
7,cbuedta1,_clin_rev_de.sas7bdat,,EDTA-treated sample 1,,Sample,Blood sample,OBI_0000655,EDTA tube 1 collected,"0 - No, 1 - Yes",variable,multiple variables map to 1 IRI
8,cbuplain,_clin_rev_de.sas7bdat,,Coagulant-free sample,,Sample,Blood sample,OBI_0000655,Plain/red top collected,"0 - No, 1 - Yes",variable,
9,cbupldt,_clin_rev_de.sas7bdat,,Coagulant-free sample collection date,,Sample,Blood sample collection process,EUPATH_0011482,Plain/red top date,,variable,
10,cbunpsvt,_clin_rev_de.sas7bdat,,Nasopharyngeal swabs in VTM,Nasopharyngeal swabs (NPS) collected in viral transport media (VTM),Sample,Nasopharyngeal/oropharyngeal swab collection process,,NPS-VTM collected,"0 - No, 1 - Yes",variable,
11,cbuops,_clin_rev_de.sas7bdat,,Oropharyngeal swabs,,Sample,Nasopharyngeal/oropharyngeal swab collection process,,OPS collected,"0 - No, 1 - Yes",variable,
12,cbunpsst,_clin_rev_de.sas7bdat,,Nasopharyngeal swabs in STGG,Nasopharyngeal swabs (NPS) collected in skim milk-tryptone-glucose-glycerol (STGG),Sample,Nasopharyngeal/oropharyngeal swab collection process,,NPS-STGG collected,"0 - No, 1 - Yes",variable,
13,cdcdisdt,_clin_rev_de.sas7bdat,EUPATH_0000320,Hospital discharge date,,Participant,Hospitalization,EUPATH_0000308,Discharge date,,variable,
14,cdcstatu,_clin_rev_de.sas7bdat,EUPATH_0010353,Outcome leaving hospital or health center,,Observation,Hospitalization,EUPATH_0000308,Discharge status,"1 - Discharged home: not moribund, 2 - Discharged home: moribund, 3 - Left against medical advice: not moribund, 4 - Left against medical advice: moribund, 5 - Died (skip to Q5 and complete CRF 17 Case Mortality), 6 - Transferred (if transferred, complete Q2a)",variable,
15,cfuvisdt24,_clin_rev_de.sas7bdat,EUPATH_0004991,Observation date,,Observation,Observation details,EUPATH_0000310,Visit Date 1,,variable,multiple variables map to 1 IRI
16,cfuoxtgn24,_clin_rev_de.sas7bdat,,Oxygen support,,Observation,Physical examination,OGMS_0000083,On O2 at 24 hrs,,variable,multiple variables map to 1 IRI
17,cfuplsox24,_clin_rev_de.sas7bdat,,O2 saturation (%),,Observation,Physical examination,OGMS_0000083,O2 saturation at 24 hrs (%),,variable,multiple variables map to 1 IRI
18,cfuairtp24,_clin_rev_de.sas7bdat,,Oxygen source,,Observation,Physical examination,OGMS_0000083,O2 saturation measured on at 24 hrs,"1 - O2, 2 - Room air, 8 - Unknown",variable,multiple variables map to 1 IRI
19,cfuvisdt48,_clin_rev_de.sas7bdat,EUPATH_0004991,Observation date,,Observation,Observation details,EUPATH_0000310,Visit Date 2,,variable,multiple variables map to 1 IRI
20,cfuoxtgn48,_clin_rev_de.sas7bdat,,Oxygen support,,Observation,Physical examination,OGMS_0000083,On O2 at 48 hrs,,variable,multiple variables map to 1 IRI
21,cfuplsox48,_clin_rev_de.sas7bdat,,O2 saturation (%),,Observation,Physical examination,OGMS_0000083,O2 saturation at 48 hrs (%),,variable,multiple variables map to 1 IRI
22,cfuairtp48,_clin_rev_de.sas7bdat,,Oxygen source,,Observation,Physical examination,OGMS_0000083,O2 saturation measured on at 48 hrs,,variable,multiple variables map to 1 IRI
23,chxfev,_clin_rev_de.sas7bdat,EUPATH_0000100,Subjective fever,,Observation,Symptoms,EUPATH_0021002,Fever,"0 - No, 1 - Yes, 9 - NR",value,
24,chxcou,_clin_rev_de.sas7bdat,SYMP_0000614,Cough,,Observation,Symptoms,EUPATH_0021002,Cough,"0 - No, 1 - Yes, 9 - NR",value,
25,chxdif,_clin_rev_de.sas7bdat,HP_0002098,Difficulty breathing,,Observation,Symptoms,EUPATH_0021002,Difficulty breathing,"0 - No, 1 - Yes, 9 - NR",value,
26,chxwhz,_clin_rev_de.sas7bdat,,Wheezing,,Observation,Symptoms,EUPATH_0021002,Wheezing,"0 - No, 1 - Yes, 9 - NR",value,
27,chxwhzd,_clin_rev_de.sas7bdat,,Wheezing duration (days),,Observation,Signs and symptoms,EUPATH_0000309,Wheezing days,,variable,
28,chxfeed,_clin_rev_de.sas7bdat,,Unable to eat,,Observation,Symptoms,EUPATH_0021002,Unable to feed,"0 - No, 1 - Yes, 9 - NR",value,
29,chxrun,_clin_rev_de.sas7bdat,,Runny nose,,Observation,Symptoms,EUPATH_0021002,Runny nose,"0 - No, 1 - Yes, 9 - NR",value,
30,chxrund,_clin_rev_de.sas7bdat,,Runny nose duration (days),,Observation,Signs and symptoms,EUPATH_0000309,Runny nose days,,variable,
31,chxear,_clin_rev_de.sas7bdat,,Ear discharge,,Observation,Symptoms,EUPATH_0021002,Ear discharge,"0 - No, 1 - Yes, 9 - NR",value,
32,chxvom,_clin_rev_de.sas7bdat,HP_0002013,Vomiting,,Observation,Symptoms,EUPATH_0021002,Vomiting,"0 - No, 1 - Yes, 9 - NR",value,
33,chxdia,_clin_rev_de.sas7bdat,DOID_13250,Diarrhea,,Observation,Symptoms,EUPATH_0021002,Diarrhea,"0 - No, 1 - Yes, 9 - NR",value,
34,chxdiabl,_clin_rev_de.sas7bdat,,Blood in stool,,Observation,Symptoms,EUPATH_0021002,Blood in stools,"0 - No, 1 - Yes, 9 - NR",value,
