variable,sampleType,assayType,resultType,domain,genus,species
adeno_ct_pfpcr,pleural fluid,FTD Resp-33,raw,Virus,,Adenovirus
hbov_ct_pfpcr,pleural fluid,FTD Resp-33,raw,Virus,Bocaparvovirus,Human bocavirus
cmv_ct_pfpcr,pleural fluid,FTD Resp-33,raw,Virus,Cytomegalovirus,Cytomegalovirus
cor_229_ct_pfpcr,pleural fluid,FTD Resp-33,raw,Virus,Alphacoronavirus,Coronoavirus 229
cor_43_ct_pfpcr,pleural fluid,FTD Resp-33,raw,Virus,Betacoronavirus,Coronoavirus 43
cor_63_ct_pfpcr,pleural fluid,FTD Resp-33,raw,Virus,Alphacoronavirus,Coronoavirus 63
cor_hku_ct_pfpcr,pleural fluid,FTD Resp-33,raw,Virus,Betacoronavirus,Coronoavirus HKU
pv_ev_ct_pfpcr,pleural fluid,FTD Resp-33,raw,Virus,,Parechovirus/Enterovirus
flu_a_ct_pfpcr,pleural fluid,FTD Resp-33,raw,Virus,Alphainfluenzavirus,Influenza A
flu_b_ct_pfpcr,pleural fluid,FTD Resp-33,raw,Virus,Betainfluenzavirus,Influenza B
hmpv_a_b_ct_pfpcr,pleural fluid,FTD Resp-33,raw,Virus,Metapneumovirus,Human metapneumonoviruses A/B
m_pneu_ct_pfpcr,pleural fluid,FTD Resp-33,raw,Bacteria,Streptococcus,Streptococcus pneumoniae
para_1_ct_pfpcr,pleural fluid,FTD Resp-33,raw,Virus,Respirovirus,Parainfluenza 1
para_2_ct_pfpcr,pleural fluid,FTD Resp-33,raw,Virus,Rubulavirus,Parainfluenza 2
para_3_ct_pfpcr,pleural fluid,FTD Resp-33,raw,Virus,Respirovirus,Parainfluenza 3
para_4_ct_pfpcr,pleural fluid,FTD Resp-33,raw,Virus,Rubulavirus,Parainfluenza 4
rsv_ct_pfpcr,pleural fluid,FTD Resp-33,raw,Virus,Orthopneumovirus,Human respiratory syncytial viruses A/B
rhino_ct_pfpcr,pleural fluid,FTD Resp-33,raw,Virus,Enterovirus,Rhinovirus
bope_ct_pfpcr,pleural fluid,FTD Resp-33,raw,Bacteria,Bordetella,Bordetella pertussis
c_pneu_ct_pfpcr,pleural fluid,FTD Resp-33,raw,Bacteria,Streptococcus,Streptococcus pneumoniae
flu_c_ct_pfpcr,pleural fluid,FTD Resp-33,raw,Virus,Gammainfluenzavirus,Influenza C
hinf_ct_pfpcr,pleural fluid,FTD Resp-33,raw,Bacteria,Haemophilus,Haemophilus influenzae
hib_ct_pfpcr,pleural fluid,FTD Resp-33,raw,Bacteria,Haemophilus,Haemophilus influenzae type B
legs_ct_pfpcr,pleural fluid,FTD Resp-33,raw,Bacteria,Legionella,Legionella
