ID	Name	EuPathDBLabel	Definition	EupathDefinition	Synonyms	URI
MEDDRA/10017076	Fracture				fracture (bone)	http://purl.bioontology.org/ontology/MEDDRA/10017076
SNOMEDCT/125666000	Burn				burns	http://purl.bioontology.org/ontology/SNOMEDCT/125666000
SNOMEDCT/125670008	Foreign body					http://purl.bioontology.org/ontology/SNOMEDCT/125670008
SNOMEDCT/128936008	Bacterial infection of skin					http://purl.bioontology.org/ontology/SNOMEDCT/128936008
SNOMEDCT/282026002	Soft tissue injury					http://purl.bioontology.org/ontology/SNOMEDCT/282026002
SNOMEDCT/31986002	Animal bite				Animal bite (morphologic abnormality)	http://purl.bioontology.org/ontology/SNOMEDCT/31986002
SNOMEDCT/7520000	Pyrexia of unknown origin				fever without source (fws)	http://purl.bioontology.org/ontology/SNOMEDCT/7520000
BFO_0000001	entity					http://purl.obolibrary.org/obo/BFO_0000001
BFO_0000002	continuant		An entity that exists in full at any time in which it exists at all, persists through time while maintaining its identity and has no temporal parts.			http://purl.obolibrary.org/obo/BFO_0000002
BFO_0000003	occurrent		An entity that has temporal parts and that happens, unfolds or develops through time.			http://purl.obolibrary.org/obo/BFO_0000003
BFO_0000004	independent continuant		b is an independent continuant = Def. b is a continuant which is such that there is no c and no t such that b s-depends_on c at t. (axiom label in BFO2 Reference: [017-002]),A continuant that is a bearer of quality and realizable entity entities, in which other entities inhere and which itself cannot inhere in anything.			http://purl.obolibrary.org/obo/BFO_0000004
BFO_0000015	process		An occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t.,p is a process = Def. p is an occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t. (axiom label in BFO2 Reference: [083-003])			http://purl.obolibrary.org/obo/BFO_0000015
BFO_0000016	disposition					http://purl.obolibrary.org/obo/BFO_0000016
BFO_0000017	realizable entity		A specifically dependent continuant  that inheres in continuant  entities and are not exhibited in full at every time in which it inheres in an entity or group of entities. The exhibition or actualization of a realizable entity is a particular manifestation, functioning or process that occurs under certain circumstances.			http://purl.obolibrary.org/obo/BFO_0000017
BFO_0000019	quality					http://purl.obolibrary.org/obo/BFO_0000019
BFO_0000020	specifically dependent continuant		A continuant that inheres in or is borne by other entities. Every instance of A requires some specific instance of B which must always be the same.,b is a specifically dependent continuant = Def. b is a continuant & there is some independent continuant c which is not a spatial region and which is such that b s-depends_on c at every time t during the course of b’s existence. (axiom label in BFO2 Reference: [050-003]),b is a relational specifically dependent continuant = Def. b is a specifically dependent continuant and there are n &gt; 1 independent continuants c1, … cn which are not spatial regions are such that for all 1  i &lt; j  n, ci  and cj share no common parts, are such that for each 1  i  n, b s-depends_on ci at every time t during the course of b’s existence (axiom label in BFO2 Reference: [131-004])			http://purl.obolibrary.org/obo/BFO_0000020
BFO_0000023	role		A realizable entity  the manifestation of which brings about some result or end that is not essential to a continuant  in virtue of the kind of thing that it is but that can be served or participated in by that kind of continuant  in some kinds of natural, social or institutional contexts.			http://purl.obolibrary.org/obo/BFO_0000023
BFO_0000029	site					http://purl.obolibrary.org/obo/BFO_0000029
BFO_0000031	generically dependent continuant		b is a generically dependent continuant = Def. b is a continuant that g-depends_on one or more other entities. (axiom label in BFO2 Reference: [074-001]),A continuant that is dependent on one or other independent continuant bearers. For every instance of A requires some instance of (an independent continuant type) B but which instance of B serves can change from time to time.			http://purl.obolibrary.org/obo/BFO_0000031
BFO_0000034	function					http://purl.obolibrary.org/obo/BFO_0000034
BFO_0000035	process boundary		p is a process boundary =Def. p is a temporal part of a process & p has no proper temporal parts. (axiom label in BFO2 Reference: [084-001])			http://purl.obolibrary.org/obo/BFO_0000035
BFO_0000040	material entity		An independent continuant that is spatially extended whose identity is independent of that of other entities and can be maintained through time.			http://purl.obolibrary.org/obo/BFO_0000040
BFO_0000050	part of		a core relation that holds between a part and its whole		part_of	http://purl.obolibrary.org/obo/BFO_0000050
BFO_0000051	has part		a core relation that holds between a whole and its part		has_part	http://purl.obolibrary.org/obo/BFO_0000051
BFO_0000054	realized in				realized_in,is realized by	http://purl.obolibrary.org/obo/BFO_0000054
BFO_0000055	realizes					http://purl.obolibrary.org/obo/BFO_0000055
BFO_0000141	immaterial entity					http://purl.obolibrary.org/obo/BFO_0000141
BTO_0000224	liver cell line					http://purl.obolibrary.org/obo/BTO_0000224
BTO_0000453	fibroblast cell line					http://purl.obolibrary.org/obo/BTO_0000453
CARO_0001008	gross anatomical part		Anatomical structure that is part of a multicellular organism and is at the gross anatomical level, e.g. above the level of a cell.  Included are portions of organism substances such as blood, multi-cell-part structures such as axon tracts, acellular anatomical structures such as hair, and organism subdivisions such as head. Excluded is the whole organism and more granular parts of the organism, such as atoms, molecules, macromolecular complexes and cells.			http://purl.obolibrary.org/obo/CARO_0001008
CHEBI_15854	quinine		A cinchona alkaloid that is cinchonidine in which the hydrogen at the 6-position of the quinoline ring is substituted by methoxy.			http://purl.obolibrary.org/obo/CHEBI_15854
