label,sid_count,SIDs,termTypes,parent_count,Parent_labels
Antibodies,2,EUPATH_0011480|EUPATH_0060111,category,2,Blood test|Stool test
Discussed about PrEP with a Peer Educator,2,EUPATH_0054704|EUPATH_0054780,multifilter|variable,2,Action after read PrEP in newspapers|Action after listen PrEP on radio
Visited a nearby facility to enquire more about PrEP,2,EUPATH_0054821|EUPATH_0054781,multifilter|variable,2,Action after watching PrEP on TV|Action after listen PrEP on radio
"Adenovirus copies, by multiplexed qPCR result",3,EUPATH_0032680|EUPATH_0032573|EUPATH_0032773,variable,3,Raw virus data for lung aspirate|Raw virus data for induced sputum|Raw virus data for nasopharyngeal/oropharyngeal swabs
"Adenovirus, by multiplexed qPCR result",4,EUPATH_0032574|EUPATH_0032774|EUPATH_0033037|EUPATH_0032681,variable,4,Raw virus data for induced sputum|Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for pleural fluid|Raw virus data for lung aspirate
Aerobic plate growth at 96 hours,2,EUPATH_0033441|EUPATH_0033097,variable,2,Lung aspirate microbiology test|Pleural fluid microbiology test
Alanine aminotransferase grade,2,EUPATH_0042246|EUPATH_0042051,variable,2,Child blood test|Blood test
Anaerobic plate growth at 48 hours,2,EUPATH_0033442|EUPATH_0033098,variable,2,Lung aspirate microbiology test|Pleural fluid microbiology test
Bednet last night,2,EUPATH_0025013|EUPATH_0058076,variable,2,Personal vector intervention|Household vector intervention
Blood sample collected,2,EUPATH_0033146|EUPATH_0064254,variable,2,Blood sample collection process|Sample collection process
"Bordetella pertussis copies, by multiplexed qPCR result",2,EUPATH_0032750|EUPATH_0032492,variable,2,Raw bacteria data for nasopharyngeal/oropharyngeal swabs|Raw bacteria data for induced sputum
"Bordetella pertussis, by multiplexed qPCR result",4,EUPATH_0032659|EUPATH_0032751|EUPATH_0032493|EUPATH_0033015,variable,4,Raw bacteria data for lung aspirate|Raw bacteria data for nasopharyngeal/oropharyngeal swabs|Raw bacteria data for induced sputum|Raw bacteria data for pleural fluid
Broth growth,2,EUPATH_0033099|EUPATH_0033440,variable,2,Pleural fluid microbiology test|Lung aspirate microbiology test
Calcium,2,EUPATH_0036073|EUPATH_0021161,variable,2,Maternal supplementation during pregnancy|Blood test
Chest indrawing,2,EUPATH_0015115|HP_0030864,variable,2,Signs and symptoms|Symptoms
"Chlamydophila pneumoniae copies, by multiplexed qPCR result",3,EUPATH_0032495|EUPATH_0032752|EUPATH_0032660,variable,3,Raw bacteria data for induced sputum|Raw bacteria data for nasopharyngeal/oropharyngeal swabs|Raw bacteria data for lung aspirate
"Chlamydophila pneumoniae, by multiplexed qPCR result",4,EUPATH_0032496|EUPATH_0032753|EUPATH_0032661|EUPATH_0033017,variable,4,Raw bacteria data for induced sputum|Raw bacteria data for nasopharyngeal/oropharyngeal swabs|Raw bacteria data for lung aspirate|Raw bacteria data for pleural fluid
Cluster area,2,EUPATH_0053009|EUPATH_0053020,variable,2,Community administrative information|Observation details
"Coronavirus 229 copies, by multiplexed qPCR result",2,EUPATH_0032775|EUPATH_0032575,variable,2,Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for induced sputum
"Coronavirus 229, by multiplexed qPCR result",4,EUPATH_0032776|EUPATH_0032683|EUPATH_0033039|EUPATH_0032576,variable,4,Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for lung aspirate|Raw virus data for pleural fluid|Raw virus data for induced sputum
"Coronavirus 43 copies, by multiplexed qPCR result",2,EUPATH_0032577|EUPATH_0032777,variable,2,Raw virus data for induced sputum|Raw virus data for nasopharyngeal/oropharyngeal swabs
"Coronavirus 43, by multiplexed qPCR result",4,EUPATH_0032685|EUPATH_0032578|EUPATH_0032778|EUPATH_0033041,variable,4,Raw virus data for lung aspirate|Raw virus data for induced sputum|Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for pleural fluid
"Coronavirus 63 copies, by multiplexed qPCR result",2,EUPATH_0032579|EUPATH_0032779,variable,2,Raw virus data for induced sputum|Raw virus data for nasopharyngeal/oropharyngeal swabs
