unitLabel,unit_count,unitIRI,datasets
/500 WBC,1,http://purl.obolibrary.org/obo/EUPATH_0024232,icemr_southern_africa
/mL,1,http://purl.obolibrary.org/obo/NCIT_C103452,general_guatemala_oi_cohort | gates_perch
/rxn,1,http://purl.obolibrary.org/obo/EUPATH_0022272,icemr_amazonia_peru
/uL,1,http://purl.obolibrary.org/obo/UO_0000316,icemr_prism2 | icemr_south_asia | icemr_india_cx | icemr_prism | gates_nectar1 | general_guatemala_oi_cohort | general_kalifabougou | gates_gamin | icemr_sw_pacific | icemr_west_africa | gates_llineup_rct | icemr_india_cohort | icemr_india_behavior | general_promote | icemr_amazonia_brazil | icemr_llineup2 | icemr_malawi | icemr_india_fever_surv | icemr_amazonia_peru | icemr_prism2_border_cohort | gates_shine | icemr_amazonia_peru_cx
/year,1,http://purl.obolibrary.org/obo/NCIT_C74924,gates_betterbirth
C,1,http://purl.obolibrary.org/obo/UO_0000027,icemr_prism2 | icemr_india_daman | icemr_india_cx | icemr_prism | icemr_india_severe_malaria | gates_gems1a | icemr_india_meghalaya | gates_nectar1 | general_kalifabougou | icemr_sub_saharan_africa_kenya_cohort | gates_sip | gates_gamin | icemr_west_africa | icemr_southeast_asia2 | icemr_india_cohort | gates_maled | gates_vida | icemr_southeast_asia | general_promote | gates_perch | icemr_southern_africa | gates_namibia | icemr_myanmar | gates_crypto | icemr_malawi | icemr_india_fever_surv | icemr_amazonia_peru | icemr_prism2_border_cohort | gates_provide | gates_shine | icemr_amazonia_peru_cx | gates_gems
Ct value,1,http://purl.obolibrary.org/obo/EUPATH_0015721,gates_maled | gates_vida | gates_perch | gates_crypto | icemr_amazonia_peru | gates_provide | gates_gems
EU/mL,1,http://purl.obolibrary.org/obo/EUPATH_0036576,gates_provide
F,1,http://purl.obolibrary.org/obo/UO_0000195,icemr_south_asia | gates_betterbirth
GMU/mL,1,http://purl.obolibrary.org/obo/EUPATH_0036577,gates_provide
IU/L,1,http://purl.obolibrary.org/obo/NCIT_C67376,icemr_india_severe_malaria | gates_maled | general_promote
IU/g Hb,1,http://purl.obolibrary.org/obo/NCIT_C122207,icemr_sub_saharan_africa_p_vivax_cohort
IU/mL,1,http://www.ebi.ac.uk/efo/EFO_0002928,gates_provide
IU/uL,1,http://purl.obolibrary.org/obo/EUPATH_0060140,gates_crypto
Kcal,1,http://purl.obolibrary.org/obo/UO_0010051,gates_maled
L,1,http://purl.obolibrary.org/obo/UO_0000099,gates_shine
L/min,1,http://purl.obolibrary.org/obo/NCIT_C67388,gates_sip
TZS,1,http://purl.obolibrary.org/obo/EUPATH_0049454,gates_elicit
U/L,1,http://purl.obolibrary.org/obo/UO_0000179,gates_elicit
U/mL,1,http://purl.obolibrary.org/obo/UO_0000178,gates_maled | gates_provide
USD,1,http://purl.obolibrary.org/obo/NCIT_C173109,gates_elicit | gates_shine
bpm,1,http://purl.obolibrary.org/obo/NCIT_C49673,icemr_prism2 | icemr_south_asia | icemr_india_severe_malaria | general_kalifabougou | gates_sip | icemr_west_africa | general_promote | gates_perch | gates_crypto | icemr_prism2_border_cohort
breaths/min,1,http://purl.obolibrary.org/obo/NCIT_C49674,icemr_prism2 | icemr_south_asia | gates_gems1a | general_kalifabougou | gates_sip | icemr_west_africa | gates_maled | gates_vida | general_promote | gates_perch | gates_crypto | icemr_prism2_border_cohort | gates_gems
cm,1,http://purl.obolibrary.org/obo/UO_0000015,icemr_prism2 | icemr_india_daman | icemr_india_cx | icemr_prism | icemr_india_severe_malaria | gates_gems1a | icemr_india_meghalaya | gates_elicit | general_kalifabougou | gates_sip | gates_gamin | icemr_west_africa | gates_washb_bangladesh | gates_score_sm_cohort | icemr_india_cohort | gates_ganc | gates_maled | gates_vida | general_promote | gates_perch | gates_crypto | gates_washb_kenya | icemr_india_fever_surv | icemr_prism2_border_cohort | gates_provide | gates_shine | icemr_amazonia_peru_cx | general_umsp | gates_gems
days,1,http://purl.obolibrary.org/obo/UO_0000033,icemr_prism2 | icemr_south_asia | icemr_india_cx | icemr_prism | gates_vida_hucs_gambia_mali | gates_jilinde_demand_creation_evaluation_questionnaire | gates_gems1a | icemr_india_meghalaya | gates_nectar1 | general_guatemala_oi_cohort | gates_jilinde_retrospective_survey | gates_elicit | general_kalifabougou | icemr_sub_saharan_africa_kenya_cohort | gates_sip | gates_gamin | icemr_sw_pacific | icemr_west_africa | gates_vida_hucs_kenya | gates_washb_bangladesh | gates_jilinde_costing_survey | icemr_india_cohort | gates_betterbirth | gates_ganc | icemr_india_behavior | gates_maled | gates_vida | general_promote | icemr_amazonia_brazil | gates_perch | icemr_southern_africa | gates_namibia | icemr_myanmar | gates_crypto | gates_gems_huas | gates_washb_kenya | icemr_malawi | icemr_india_fever_surv | icemr_amazonia_peru | icemr_prism2_border_cohort | gates_provide | gates_shine | icemr_amazonia_peru_cx | gates_jilinde_prospective_cohort | gates_gems | gates_gems1a_huas
degrees,1,http://purl.obolibrary.org/obo/UO_0000185,gates_score_sm_crt | general_umsp_aggregate | gates_score_seasonal | gates_score_nig | gates_score_moz | general_umsp
eggs per 10 ml,1,http://purl.obolibrary.org/obo/EUPATH_0030168,gates_score_zanzibar | gates_score_seasonal | gates_score_five_country | gates_score_nig | gates_score_moz
eggs per gram,1,http://purl.obolibrary.org/obo/EUPATH_0030176,gates_score_burundi | gates_score_sm_crt | gates_score_sm_cohort | gates_score_five_country | gates_score_rwanda
g,1,http://purl.obolibrary.org/obo/UO_0000021,gates_gems1a | gates_sip | gates_betterbirth | gates_maled
g/dL,1,http://purl.obolibrary.org/obo/UO_0000208,icemr_prism2 | icemr_india_daman | icemr_south_asia | icemr_india_cx | icemr_prism | icemr_india_severe_malaria | icemr_india_meghalaya | icemr_sub_saharan_africa_p_vivax_cohort | gates_nectar1 | gates_elicit | general_kalifabougou | gates_sip | gates_score_sm_cohort | gates_llineup_rct | icemr_india_cohort | gates_maled | general_promote | icemr_amazonia_brazil | gates_perch | icemr_llineup2 | icemr_southern_africa | icemr_myanmar | icemr_india_fever_surv | icemr_prism2_border_cohort | gates_shine
hours,1,http://purl.obolibrary.org/obo/UO_0000032,gates_sip | gates_ppfp_choices_kenya_pp | gates_ganc | gates_maled | gates_crypto | icemr_amazonia_peru | gates_provide
hours/day,1,http://purl.obolibrary.org/obo/EUPATH_0022459,icemr_amazonia_peru_cx
kg,1,http://purl.obolibrary.org/obo/UO_0000009,icemr_prism2 | icemr_india_daman | icemr_india_cx | icemr_prism | icemr_india_severe_malaria | gates_gems1a | icemr_india_meghalaya | gates_avenir | gates_elicit | general_kalifabougou | gates_gamin | icemr_west_africa | gates_washb_bangladesh | gates_score_sm_cohort | icemr_india_cohort | gates_ganc | gates_mordor | gates_maled | gates_vida | general_promote | icemr_amazonia_brazil | gates_perch | icemr_southern_africa | gates_namibia | gates_crypto | icemr_india_fever_surv | icemr_prism2_border_cohort | gates_provide | gates_shine | general_umsp | gates_gems
kg/m2,1,http://purl.obolibrary.org/obo/UO_0000086,gates_gems1a | gates_vida | gates_provide | gates_gems
km,1,http://purl.obolibrary.org/obo/EUPATH_0020269,icemr_prism2 | icemr_india_meghalaya | gates_llineup_rct | gates_jilinde_costing_survey | gates_betterbirth | icemr_india_behavior | general_promote | gates_namibia | icemr_prism2_border_cohort
m,1,http://purl.obolibrary.org/obo/UO_0000008,gates_namibia | icemr_malawi
m2,1,http://purl.obolibrary.org/obo/UO_0000080,icemr_amazonia_peru
mEq/L,1,http://purl.obolibrary.org/obo/NCIT_C67474,icemr_india_severe_malaria
mL,1,http://purl.obolibrary.org/obo/UO_0000098,gates_avenir | general_kalifabougou | gates_sip | gates_gamin | icemr_west_africa | gates_mordor | gates_maled | gates_perch | gates_crypto | gates_provide | gates_gems
mg,1,http://purl.obolibrary.org/obo/UO_0000022,icemr_south_asia | gates_maled | gates_crypto | gates_provide
mg/L,1,http://purl.obolibrary.org/obo/UO_0000273,gates_perch | gates_crypto | gates_provide
mg/dL,1,http://purl.obolibrary.org/obo/NCIT_C67015,icemr_south_asia | icemr_india_severe_malaria | gates_sip | gates_maled
mg/g,1,http://purl.obolibrary.org/obo/EUPATH_0036574,gates_maled | gates_provide
min,1,http://purl.obolibrary.org/obo/UO_0000031,gates_jilinde_demand_creation_evaluation_questionnaire | icemr_india_meghalaya | gates_sip | icemr_sw_pacific | gates_washb_bangladesh | gates_jilinde_costing_survey | gates_betterbirth | gates_ppfp_choices_kenya_pp | gates_ganc | icemr_india_behavior | gates_perch | gates_washb_kenya | gates_provide | gates_shine
mm,1,http://purl.obolibrary.org/obo/UO_0000016,gates_perch | gates_namibia | gates_shine
mm/hr,1,http://purl.obolibrary.org/obo/NCIT_C67419,icemr_india_severe_malaria
mmHg,1,http://purl.obolibrary.org/obo/UO_0000272,icemr_prism2 | icemr_south_asia | icemr_india_cx | icemr_india_severe_malaria | general_kalifabougou | icemr_west_africa | icemr_india_cohort | gates_betterbirth | gates_ganc | general_promote | icemr_india_fever_surv | icemr_prism2_border_cohort
mmol/L,1,http://purl.obolibrary.org/obo/NCIT_C64387,icemr_south_asia | icemr_india_severe_malaria | gates_maled
months,1,http://purl.obolibrary.org/obo/UO_0000035,gates_vida_hucs_gambia_mali | gates_jilinde_demand_creation_evaluation_questionnaire | gates_gems1a | gates_avenir | gates_elicit | gates_jilinde_awareness_survey | general_umsp_aggregate | gates_vida_hucs_kenya | gates_ppfp_choices_kenya_pp | gates_ganc | gates_mordor | icemr_india_behavior | gates_vida | icemr_amazonia_brazil | gates_perch | icemr_southern_africa | gates_namibia | gates_gems_huas | icemr_malawi | gates_shine | icemr_amazonia_peru_cx | gates_jilinde_prospective_cohort | gates_gems | gates_gems1a_huas
ms,1,http://purl.obolibrary.org/obo/UO_0000028,general_promote
ng/mL,1,http://purl.obolibrary.org/obo/UO_0000275,icemr_india_severe_malaria | gates_maled | gates_crypto | gates_provide
nmol/L,1,http://purl.obolibrary.org/obo/EUPATH_0036573,gates_maled | gates_provide
per person year,1,http://purl.obolibrary.org/obo/EUPATH_0042402,general_promote
person-day,1,http://purl.obolibrary.org/obo/EUPATH_0050013,gates_mordor
person-year,1,http://purl.obolibrary.org/obo/EUPATH_0053215,gates_namibia
pg/mL,1,http://purl.obolibrary.org/obo/NCIT_C67327,icemr_india_severe_malaria | gates_crypto | gates_provide
ppm,1,http://purl.obolibrary.org/obo/UO_0000169,gates_crypto | gates_provide
sec,1,http://purl.obolibrary.org/obo/UO_0000010,gates_sip | gates_shine
sols,1,http://purl.obolibrary.org/obo/EUPATH_0022271,icemr_amazonia_peru
