IRI,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,repeated,is_temporal,mergeKey,dataSet,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
http://purl.obolibrary.org/obo/EUPATH_0022252,Bathing place,place_shower,1,icemr2,Place where you bathe,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,Place where you bathe,88 = Other | 3 = In the field/river | 1 = Bathroom inside a house | 2 = Bathroom outside a home,variable,,,,ICEMR2_cross_sectional,,,,,,,,,,
http://purl.obolibrary.org/obo/NCIT_C93209,Community engagement,,10,icemr2,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,,,multifilter,,,,ICEMR2_cross_sectional,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0022314,Other community engagement,o_capital_social,11,icemr2,Specify,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,Specify,,variable,,,,ICEMR2_cross_sectional,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0054021,Attending classes,asistencia_estudios,12,icemr2,Are you attending school?,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,Are you attending school?,0 = No | 1 = Yes,variable,,,,ICEMR2_cross_sectional,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000387,Travel in last month,viaje_ult_mes,13,icemr2,Travel in the last month?,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,Travel in the last month?,99 = Don't know/No answer | 0 = No | 1 = Yes,variable,,,,ICEMR2_cross_sectional,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0022273,Trips in last month count,n_viajes_ult_es,2,icemr2,Times you have traveled in the last month,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,Times you have traveled in the last month,,variable,,,,ICEMR2_cross_sectional,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0050135,Work departure time,hour_go_work,3,icemr2,Time you usually go out to work,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,Time you usually go out to work,,variable,,,,ICEMR2_cross_sectional,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0022321,Other bathing location,o_place_shower,4,icemr2,"Place where you bathe, specify",Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,"Place where you bathe, specify",,variable,,,,ICEMR2_cross_sectional,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0022322,Sleeping location last night,place_sleep,5,icemr2,Where did you sleep last night?,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,Where did you sleep last night?,1 = Inside the house | 2 = Exterior of the house | 99 = Don't know/No answer,variable,,,,ICEMR2_cross_sectional,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0022325,Work return time,hour_return_work,6,icemr2,Time you usually go to return from work,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,Time you usually go to return from work,,variable,,,,ICEMR2_cross_sectional,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0020163,Waking time,hour_wake,7,icemr2,Time you usually get up at home,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,Time you usually get up at home,,variable,,,,ICEMR2_cross_sectional,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0022250,Bathing time,hour_shower,8,icemr2,Time at which you usually go to bathe at home,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,Time at which you usually go to bathe at home,,variable,,,,ICEMR2_cross_sectional,,,,,,,,,,
http://purl.obolibrary.org/obo/NCIT_C64593,Bed time,hour_sleep,9,icemr2,Time at which you usually go to SLEEP at home,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,Time at which you usually go to SLEEP at home,,variable,,,,ICEMR2_cross_sectional,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0022276,Program type,,1,icemr2,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,,,multifilter,,,,ICEMR2_cross_sectional,,,,,,,,,,
