var_name,n_missing,complete_rate
q24cspecifyother2,1890,0
q32reviewvisit7reasonother,1890,0
q38initialvisitservice2,1890,0
q38amount2,1890,0
q38initialvisitservice3,1890,0
q38amount3,1890,0
q38initialvisitservice4,1890,0
q38amount4,1890,0
q38initialvisitservice5,1890,0
q38amount5,1890,0
q38initialvisitservice6,1890,0
q38amount6,1890,0
q38initialvisitservice7,1890,0
q38amount7,1890,0
q38reviewvisit1service1,1890,0
q38amount11,1890,0
q38reviewvisit1service2,1890,0
q38amount12,1890,0
q38reviewvisit1service3,1890,0
q38amount13,1890,0
q38reviewvisit1service4,1890,0
q38amount14,1890,0
q38reviewvisit1service5,1890,0
q38amount15,1890,0
q38reviewvisit1service6,1890,0
q38amount16,1890,0
q38reviewvisit1service7,1890,0
q38amount17,1890,0
q38reviewvisit2service1,1890,0
q38amount21,1890,0
q38reviewvisit2service2,1890,0
q38amount22,1890,0
q38reviewvisit2service3,1890,0
q38amount23,1890,0
q38reviewvisit2service4,1890,0
q38amount24,1890,0
q38reviewvisit2service5,1890,0
q38amount25,1890,0
q38reviewvisit2service6,1890,0
q38amount26,1890,0
q38reviewvisit2service7,1890,0
q38amount27,1890,0
q38reviewvisit3service1,1890,0
q38amount31,1890,0
q38reviewvisit3service2,1890,0
q38amount32,1890,0
q38reviewvisit3service3,1890,0
q38amount33,1890,0
q38reviewvisit3service4,1890,0
q38amount34,1890,0
q38reviewvisit3service5,1890,0
q38amount35,1890,0
q38reviewvisit3service6,1890,0
q38amount36,1890,0
q38reviewvisit3service7,1890,0
q38amount37,1890,0
q38reviewvisit4service1,1890,0
q38amount41,1890,0
q38reviewvisit4service2,1890,0
q38amount42,1890,0
q38reviewvisit4service3,1890,0
q38amount43,1890,0
q38reviewvisit4service4,1890,0
q38amount44,1890,0
q38reviewvisit4service5,1890,0
q38amount45,1890,0
q38reviewvisit4service6,1890,0
q38amount46,1890,0
q38reviewvisit4service7,1890,0
q38amount47,1890,0
q38reviewvisit5service1,1890,0
q38amount51,1890,0
q38reviewvisit5service2,1890,0
q38amount52,1890,0
q38reviewvisit5service3,1890,0
q38amount53,1890,0
q38reviewvisit5service4,1890,0
q38amount54,1890,0
q38reviewvisit5service5,1890,0
q38amount55,1890,0
q38reviewvisit5service6,1890,0
q38amount56,1890,0
q38reviewvisit5service7,1890,0
q38amount57,1890,0
q38reviewvisit6service1,1890,0
q38amount61,1890,0
q38reviewvisit6service2,1890,0
q38amount62,1890,0
q38reviewvisit6service3,1890,0
q38amount63,1890,0
q38reviewvisit6service4,1890,0
q38amount64,1890,0
q38reviewvisit6service5,1890,0
q38amount65,1890,0
q38reviewvisit6service6,1890,0
q38amount66,1890,0
q38reviewvisit6service7,1890,0
q38amount67,1890,0
q39initialvisititem1,1890,0
q39cost1,1890,0
q39initialvisititem2,1890,0
q39cost2,1890,0
q39initialvisititem3,1890,0
q39cost3,1890,0
q39initialvisititem4,1890,0
q39cost4,1890,0
q39reviewvisit1item1,1890,0
q39cost11,1890,0
q39reviewvisit1item2,1890,0
q39cost12,1890,0
q39reviewvisit1item3,1890,0
q39cost13,1890,0
q39reviewvisit1item4,1890,0
q39cost14,1890,0
q39reviewvisit2item1,1890,0
q39cost21,1890,0
q39reviewvisit2item2,1890,0
q39cost22,1890,0
q39reviewvisit2item3,1890,0
q39cost23,1890,0
q39reviewvisit2item4,1890,0
q39cost24,1890,0
q39reviewvisit3item1,1890,0
q39cost31,1890,0
q39reviewvisit3item2,1890,0
q39cost32,1890,0
q39reviewvisit3item3,1890,0
q39cost33,1890,0
q39reviewvisit3item4,1890,0
q39cost34,1890,0
q39reviewvisit4item1,1890,0
q39cost41,1890,0
q39reviewvisit4item2,1890,0
q39cost42,1890,0
q39reviewvisit4item3,1890,0
q39cost43,1890,0
q39reviewvisit4item4,1890,0
q39cost44,1890,0
q39reviewvisit5item1,1890,0
q39cost51,1890,0
q39reviewvisit5item2,1890,0
q39cost52,1890,0
q39reviewvisit5item3,1890,0
q39cost53,1890,0
q39reviewvisit5item4,1890,0
q39cost54,1890,0
q39reviewvisit6item1,1890,0
q39cost61,1890,0
q39reviewvisit6item2,1890,0
q39cost62,1890,0
q39reviewvisit6item3,1890,0
q39cost63,1890,0
q39reviewvisit6item4,1890,0
q39cost64,1890,0
q40initialvisitmodeofpayment2,1890,0
q40initialvisitmodeofpayment3,1890,0
q40initialvisitmodeofpayment4,1890,0
q40reviewvisit1modeofpayment1,1890,0
q40reviewvisit1modeofpayment2,1890,0
q40reviewvisit1modeofpayment3,1890,0
q40reviewvisit1modeofpayment4,1890,0
q40reviewvisit2modeofpayment1,1890,0
q40reviewvisit2modeofpayment2,1890,0
q40reviewvisit2modeofpayment3,1890,0
q40reviewvisit2modeofpayment4,1890,0
q40reviewvisit3modeofpayment1,1890,0
q40reviewvisit3modeofpayment2,1890,0
q40reviewvisit3modeofpayment3,1890,0
q40reviewvisit3modeofpayment4,1890,0
q40reviewvisit4modeofpayment1,1890,0
q40reviewvisit4modeofpayment2,1890,0
q40reviewvisit4modeofpayment3,1890,0
q40reviewvisit4modeofpayment4,1890,0
q40reviewvisit5modeofpayment1,1890,0
q40reviewvisit5modeofpayment2,1890,0
q40reviewvisit5modeofpayment3,1890,0
q40reviewvisit5modeofpayment4,1890,0
q40reviewvisit6modeofpayment1,1890,0
q40reviewvisit6modeofpayment2,1890,0
q40reviewvisit6modeofpayment3,1890,0
q40reviewvisit6modeofpayment4,1890,0
q41initialvisititem1,1890,0
q41quantity1,1890,0
q41totalvalue1,1890,0
q41initialvisititem2,1890,0
q41quantity2,1890,0
q41totalvalue2,1890,0
q41reviewvisit1item1,1890,0
q41quantity11,1890,0
q41totalvalue11,1890,0
q41reviewvisit1item2,1890,0
q41quantity12,1890,0
q41totalvalue12,1890,0
q41reviewvisit2item1,1890,0
q41quantity21,1890,0
q41totalvalue21,1890,0
q41reviewvisit2item2,1890,0
q41quantity22,1890,0
q41totalvalue22,1890,0
q41reviewvisit3item1,1890,0
q41quantity31,1890,0
q41totalvalue31,1890,0
q41reviewvisit3item2,1890,0
q41quantity32,1890,0
q41totalvalue32,1890,0
q41reviewvisit4item1,1890,0
q41quantity41,1890,0
q41totalvalue41,1890,0
q41reviewvisit4item2,1890,0
q41quantity42,1890,0
q41totalvalue42,1890,0
q41reviewvisit5item1,1890,0
q41quantity51,1890,0
q41totalvalue51,1890,0
q41reviewvisit5item2,1890,0
q41quantity52,1890,0
q41totalvalue52,1890,0
q41reviewvisit6item1,1890,0
q41quantity61,1890,0
q41totalvalue61,1890,0
q41reviewvisit6item2,1890,0
q41quantity62,1890,0
q41totalvalue62,1890,0
q42initialvisitsourceoffunds2,1890,0
q42amount2,1890,0
q42initialvisitsourceoffunds3,1890,0
q42amount3,1890,0
