colOrder,overallOrder,display_Order,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,cookbookValues,termType,notesforOnt,notesforProvider,notesForDL
19,,,score_rwanda_mapping_dataset::alb.l12m.school,score_rwanda_mapping_dataset,,Albendazole treatment in the last 12 months,,Household,School level information,http://purl.obolibrary.org/obo/EUPATH_0030143,Binary variable for treatment with deworming drug albendazole (ALB) in last 12 months at school,"0= no, 1= yes",variable,,,
11,,,score_rwanda_mapping_dataset::dam.within.5km,score_rwanda_mapping_dataset,,Dam,,Household,Water source type within 5km of school,http://purl.obolibrary.org/obo/EUPATH_0030144,,"0= absence, 1= presence",value,,,
1,,,score_rwanda_mapping_dataset::date,score_rwanda_mapping_dataset,http://purl.obolibrary.org/obo/EUPATH_0030151,School data collection date,,Household,,,Date that data was collected in each school,,variable,,,
10,,,score_rwanda_mapping_dataset::irrigationcanal.within.5km,score_rwanda_mapping_dataset,http://purl.obolibrary.org/obo/EUPATH_0030136,Irrigation canal,,Household,,,,"0= absence, 1= presence",value,,,
15,,,score_rwanda_mapping_dataset::kkschool,score_rwanda_mapping_dataset,,Kato-Katz test,Binary flag if school was tested using Kato-Katz ,Household,School level information,http://purl.obolibrary.org/obo/EUPATH_0030143,Whether or not the school was assessed using Kato-Katz,Yes/ No,variable,,,
6,,,score_rwanda_mapping_dataset::lake.within.5km,score_rwanda_mapping_dataset,http://purl.obolibrary.org/obo/EUPATH_0030137,Lake,,Household,,,Flags to indicate types of sources of water within 5km,"0= absence, 1= presence",value,,,
8,,,score_rwanda_mapping_dataset::marsh.swamp.within.5km,score_rwanda_mapping_dataset,http://purl.obolibrary.org/obo/EUPATH_0030138,Marsh or swamp,,Household,,,,"0= absence, 1= presence",value,,,
13,,,score_rwanda_mapping_dataset::nboys.school,score_rwanda_mapping_dataset,http://purl.obolibrary.org/obo/EUPATH_0030148,Boys in school (count),,Household,,,Number of boys in the school,,variable,,,
14,,,score_rwanda_mapping_dataset::ngirls.school,score_rwanda_mapping_dataset,http://purl.obolibrary.org/obo/EUPATH_0030149,Girls in school (count),,Household,,,Number of girls in the school,,variable,,,
17,,,score_rwanda_mapping_dataset::nkidspositivekk,score_rwanda_mapping_dataset,,Postive children at school,Number of children tested postive within the school,Household,School level information,http://purl.obolibrary.org/obo/EUPATH_0030143,Number of children that tested postivie in the school using KK,,variable,,,
16,,,score_rwanda_mapping_dataset::nkidstestedkk,score_rwanda_mapping_dataset,,Children tested,Number of children tested ,Household,School level information,http://purl.obolibrary.org/obo/EUPATH_0030143,Number of children tested in school using KK,,variable,,,
12,,,score_rwanda_mapping_dataset::otherwater.within.5km,score_rwanda_mapping_dataset,http://purl.obolibrary.org/obo/EUPATH_0030139,Other water source,,Household,,,,"0= absence, 1= presence",value,,,
18,,,score_rwanda_mapping_dataset::pzq.l12m.school,score_rwanda_mapping_dataset,,Praziquante treatment in the last 12 months,,Household,School level information,http://purl.obolibrary.org/obo/EUPATH_0030143,Binary variable for treatment with anti-schistosomal drug praziquantel (PZQ) in last 12 months at school,"0= no, 1= yes",variable,,,
9,,,score_rwanda_mapping_dataset::ricefield.within.5km,score_rwanda_mapping_dataset,http://purl.obolibrary.org/obo/EUPATH_0030141,Ricefield,,Household,,,,"0= absence, 1= presence",value,,,
7,,,score_rwanda_mapping_dataset::river.within.5km,score_rwanda_mapping_dataset,http://purl.obolibrary.org/obo/EUPATH_0030142,River,,Household,,,,"0= absence, 1= presence",value,,,
3,,,score_rwanda_mapping_dataset::sch.mapping.unit,score_rwanda_mapping_dataset,,Mapping Unit,,Household,School level information,http://purl.obolibrary.org/obo/EUPATH_0030143,Mapping unit for schisto,,variable,,,
4,,,score_rwanda_mapping_dataset::sch.risk,score_rwanda_mapping_dataset,,School schistosomiasis risk,Risk of schistosomiasis for the school based on mapping zone,Household,School level information,http://purl.obolibrary.org/obo/EUPATH_0030143,Whether mapping unit for schisto was high or low risk,high risk/ low risk,variable,,,
2,,,score_rwanda_mapping_dataset::schoolcode,score_rwanda_mapping_dataset,http://purl.obolibrary.org/obo/EUPATH_0030145,School Id,,Household,,,"Identity code for each school formatted as 
District/Commune/School",,variable,,,
5,,,score_rwanda_mapping_dataset::sentinelsite,score_rwanda_mapping_dataset,http://purl.obolibrary.org/obo/EUPATH_0030146,Sentinel site,,Household,,,Flag to indicate whether the school is a sentinel site or not,Yes/ No,variable,,,
,,,,,http://purl.obolibrary.org/obo/EUPATH_0030144,Water source type within 5km of school,Presence or absence of different types of sources of water within 5km of the school,Household,School level information,http://purl.obolibrary.org/obo/EUPATH_0030143,,,multifilter,,,
22,,,score_rwanda_mapping_dataset::age,score_rwanda_mapping_dataset,http://purl.obolibrary.org/obo/OBI_0001169,Age,Age in Years,Observation,,,Age of study participant in years,,variable,,,
21,,,score_rwanda_mapping_dataset::sex,score_rwanda_mapping_dataset,http://purl.obolibrary.org/obo/PATO_0000047,Sex,,Participant,,,Sex of study participant,"0= Female, 1=Male",variable,,,
38,,,score_rwanda_mapping_dataset::ankylo.kk_01,score_rwanda_mapping_dataset,http://purl.obolibrary.org/obo/EUPATH_0010734,"Hookworm, by microscopy",Ancylostomatoidea infection through egg detection in Kato-Katz test,Sample,,,Binary flag to indicate Ankylo infection through egg detection in KK,"0= negative, 1= positive",variable,,,
37,,,score_rwanda_mapping_dataset::ankylo.kk_meanepg,score_rwanda_mapping_dataset,http://purl.obolibrary.org/obo/EUPATH_0030153,"Sample mean Hookworm eggs per gram, by microscopy","Average egg of Ancylostomatoidea where two slides were recorded, or the single observation where only one slide was recorded.",Sample,,,"Average epg of Ankylo where two slides were recorded, or the single observation where only one slide was recorded",,variable,,,
36,,,score_rwanda_mapping_dataset::ascaris.kk_01,score_rwanda_mapping_dataset,http://purl.obolibrary.org/obo/EUPATH_0010607,"Ascaris lumbricoides, by microscopy",Binary flag to indicate Ascaris infection through egg detection in KK,Sample,,,Binary flag to indicate Ascaris infection through egg detection in KK,"0= negative, 1= positive",variable,,,
35,,,score_rwanda_mapping_dataset::ascaris.kk_meanepg,score_rwanda_mapping_dataset,http://purl.obolibrary.org/obo/EUPATH_0030154,"Sample mean Ascaris lumbricoides eggs per gram, by microscopy","Average egg of Ascaris where two slides were recorded, or the single observation where only one slide was recorded",Sample,,,"Average epg of Ascaris where two slides were recorded, or the single observation where only one slide was recorded",,variable,,,
32,,,score_rwanda_mapping_dataset::cca,score_rwanda_mapping_dataset,http://purl.obolibrary.org/obo/EUPATH_0030159,CCA test,Results of CCA test,Sample,,,Results of CCA (urine test for Schistosoma mansoni),"0=negative, 1=trace, 2-4=positive",variable,,,
41,,,score_rwanda_mapping_dataset::cca_tracepos_01,score_rwanda_mapping_dataset,http://purl.obolibrary.org/obo/EUPATH_0030157,"Schistosoma mansoni infection, by CCA",Binary flag to indicate S.mansoni infection through CCA with trace counted as postive,Sample,,,Binary flag to indicate S.mansoni infection through CCA with trace counted as postive,"0= negative, 1= positive",variable,,,
31,,,score_rwanda_mapping_dataset::haematuria,score_rwanda_mapping_dataset,http://purl.obolibrary.org/obo/EUPATH_0030131,Microhematuria,,Sample,,,Presence of Haematuria,"0= negative, 1= positive",variable,,,
34,,,score_rwanda_mapping_dataset::smansoni.kk_01,score_rwanda_mapping_dataset,http://purl.obolibrary.org/obo/EUPATH_0030121,"Schistosoma mansoni, by microscopy",,Sample,,,Binary flag to indicate S.mansoni  infection through egg detection in KK,"0= negative, 1= positive",variable,,,
33,,,score_rwanda_mapping_dataset::smansoni.kk_meanepg,score_rwanda_mapping_dataset,http://purl.obolibrary.org/obo/EUPATH_0030155,Sample mean Schistosoma mansoni eggs per gram by microscopy,,Sample,,,"Average epg of S.mansoni where two slides were recorded, or the single observation where only one slide was recorded",,variable,,,
40,,,score_rwanda_mapping_dataset::trich.kk_01,score_rwanda_mapping_dataset,http://purl.obolibrary.org/obo/EUPATH_0010615,"Trichuris trichiura, by microscopy",,Sample,,,Binary flag to indicate Trichuris infection through egg detection in KK,"0= negative, 1= positive",variable,,,
39,,,score_rwanda_mapping_dataset::trich.kk_meanepg,score_rwanda_mapping_dataset,http://purl.obolibrary.org/obo/EUPATH_0030158,"Sample mean Trichuris trichuria eggs per gram, by microscopy",,Sample,,,"Average epg of Trichuris where two slides were recorded, or the single observation where only one slide was recorded",,variable,,,
