colOrder,overallOrder,display_Order,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,cookbookValues,termType,notesforOnt,notesforProvider,notesForDL
18,,,score_burundi_mapping_dataset::age,score_burundi_mapping_dataset,http://purl.obolibrary.org/obo/OBI_0001169,Age,Age in Years,Participant,,,Age of each pupil in years,,variable,,,
35,,,score_burundi_mapping_dataset::ankylo.kk_01,score_burundi_mapping_dataset,http://purl.obolibrary.org/obo/EUPATH_0030030,Ancylostomatoidea present? ,Ancylostomatoidea infection through egg detection in Kato-Katz test,Sample,,,Binary flag to indicate Ankylo infection through egg detection in KK,"0= negative, 1= positive",variable,,,
34,,,score_burundi_mapping_dataset::ankylo.kk_meanepg,score_burundi_mapping_dataset,,Average eggs per gram of Ancylostomatoidea,"Average epg of Ancylostomatoidea where two slides were recorded, or the single observation where only one slide was recorded.",Sample, Hookworm aggregate data,http://purl.obolibrary.org/obo/EUPATH_0011790,"Average epg of Ankylo where two slides were recorded, or the single observation where only one slide was recorded",,variable,,,
33,,,score_burundi_mapping_dataset::ascaris.kk_01,score_burundi_mapping_dataset,http://purl.obolibrary.org/obo/EUPATH_0030031,Ascaris infection through egg detection in  Kato-Katz test.,Binary flag to indicate Ascaris infection through egg detection in KK,Sample,,,Binary flag to indicate Ascaris infection through egg detection in KK,"0= negative, 1= positive",variable,,,
32,,,score_burundi_mapping_dataset::ascaris.kk_meanepg,score_burundi_mapping_dataset,,Average eggs per gram of Ascaris,"Average epg of Ascaris where two slides were recorded, or the single observation where only one slide was recorded",Sample,Ascaris in stool aggregate data,http://purl.obolibrary.org/obo/EUPATH_0030028,"Average epg of Ascaris where two slides were recorded, or the single observation where only one slide was recorded",,variable,,,
28,,,score_burundi_mapping_dataset::cca,score_burundi_mapping_dataset,,CCA test results,Results of CCA test,Sample,Urine microbiology test,http://purl.obolibrary.org/obo/EUPATH_0030101,Results of CCA test,"0=negative, 1=trace, 2-4=positive",variable,,,
39,,,score_burundi_mapping_dataset::cca_traceneg_01,score_burundi_mapping_dataset,,Negative S.mansoni infection,Binary flag to indicate S.mansoni infection through CCA with trace counted as negative,Sample,Schistosoma in urine,http://purl.obolibrary.org/obo/EUPATH_0030122,Binary flag to indicate S.mansoni infection through CCA with trace counted as negative,"0= negative, 1= positive",variable,,,
38,,,score_burundi_mapping_dataset::cca_tracepos_01,score_burundi_mapping_dataset,,Positive S.mansoni infection,Binary flag to indicate S.mansoni infection through CCA with trace counted as postive,Sample,Schistosoma in urine,http://purl.obolibrary.org/obo/EUPATH_0030122,Binary flag to indicate S.mansoni infection through CCA with trace counted as postive,"0= negative, 1= positive",variable,,,
15,,,score_burundi_mapping_dataset::date,score_burundi_mapping_dataset,http://purl.obolibrary.org/obo/EUPATH_0021085,Household data collection date,Date of data collection for each school,Household,,,Date of data collection for each school,,variable,,,
3,,,score_burundi_mapping_dataset::diagnostic,score_burundi_mapping_dataset,,Diagonstic test,"Whether each school was examined with CCA test, KK test or both",Household,Household observation details,http://purl.obolibrary.org/obo/EUPATH_0011995,"Whether each school was examined with CCA test, KK test or both",,variable,,,
