IRI,dataSet,label,parent,definition,codebookDescription,codebookValues
http://purl.obolibrary.org/obo/EUPATH_0010603,GEMS1 Case Control,"Aeromonas, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011965,Assessed at enrollment for cases and controls,,
http://purl.obolibrary.org/obo/EUPATH_0010603,GEMS1A Case Control,"Aeromonas, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011965,Assessed at enrollment for cases and controls,Calculated: Aeromonas,
http://purl.obolibrary.org/obo/EUPATH_0010603,MAL-ED 0-60m Cohort,"Aeromonas, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011965,"Whether Aeromonas was detected by bacteriology culture for this stool sample. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age) and on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).",Aeromonas detected?. Collapses all species information into one dichotomous variable for aeromonas (yes vs. no). Source=Calculated. 1=yes;0=no,", 0, 1"
http://purl.obolibrary.org/obo/EUPATH_0010627,MAL-ED 0-60m Cohort,"Aeromonas, by bacteriology result",http://purl.obolibrary.org/obo/EUPATH_0011843,"Results of Aeromonas identification by bacteriology culture for this stool sample. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age) and on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).","Was Aeromonas detected?. From BDF form. Information comes from first collected sample, if there was a recollection sample. ''Aeromonas'' is the variable name for bdfaerotype collapsed into a yes/no variable. Source=BDF. yes, aeromonas spp =01; yes, aeromonas hydrophila =2; no =00",", 0, 1, 2"
http://purl.obolibrary.org/obo/EUPATH_0010629,MAL-ED 0-60m Cohort,"Campylobacter, by bacteriology result",http://purl.obolibrary.org/obo/EUPATH_0011843,"Results of Campylobacter identification by bacteriology culture for this stool sample. Note: do not use Campylobacter culture results for analysis unless performing a specific analysis investigating Campylobacter in culture. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age) and on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).","Was campy isolated using culture?. Raw variable from BDF. See ''campycult'' variable. For analyses, use campylobacter results from ELISA only; use variable ''campy''. Source=BDF. yes, campylobacter jejuni =01; yes, campylobacter spp =02; no =00",", 0, 1, 2"
http://purl.obolibrary.org/obo/EUPATH_0010630,GEMS1A Case Control,"Escherichia coli, by bacteriology result",http://purl.obolibrary.org/obo/EUPATH_0011843,Assessed at enrollment for cases and controls,Bacteria Isolated: E. coli Isolated,0
http://purl.obolibrary.org/obo/EUPATH_0010630,MAL-ED 0-60m Cohort,"Escherichia coli, by bacteriology result",http://purl.obolibrary.org/obo/EUPATH_0011843,"Whether Escherichia coli was detected by bacteriology culture for this stool sample. Note that this variable was added after study initiation. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age) and on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).",Was e. coli detected in culture?  . This variable may be missing for some samples since the question was added after the start of study. . Source=BDF. 1=yes;0=no,", 0, 1"
http://purl.obolibrary.org/obo/EUPATH_0010632,MAL-ED 0-60m Cohort,"Salmonella, by bacteriology result",http://purl.obolibrary.org/obo/EUPATH_0011843,"Results of Salmonella identification by bacteriology culture for this stool sample. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age) and on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).","Was Salmonella detected?. From BDF form. Information comes from first collected sample, if there was a recollection sample. ''Salmonella'' is the variable name for bdfsalmtype collapsed into a yes/no variable.. Source=BDF. yes, salmonella typhi =01, yes, salmonella paratyphi a=02, yes, salmonella gp b=03, yes: salmonella gp c=04, yes: salmonella gp d=05, yes: salmonella spp=06, yes: salmonella cholerasuis=07, yes: salmonella gallinarum=08, yes: other salmonella=09, no=00",", 0, 1, 2, 3, 4, 5, 6, 7, 9"
http://purl.obolibrary.org/obo/EUPATH_0010633,MAL-ED 0-60m Cohort,"Shigella, by bacteriology result",http://purl.obolibrary.org/obo/EUPATH_0011843,"Results of Shigella identification by bacteriology culture for this stool sample. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age) and on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).","Was Shigella detected?. From BDF form. Information comes from first collected sample, if there was a recollection sample. ''Shigella'' is the variable name for bdfshigtype collapsed into a yes/no variable. Source=BDF. yes, shigella dysenteriae gpa =01; yes, shigella flexneri gpb =02; yes, shigella boydii gpc =03; yes, shigella sonnei gpd =04; yes: shigella sp non-typable=05; no =00",", 0, 1, 2, 3, 4, 5"
http://purl.obolibrary.org/obo/EUPATH_0010634,MAL-ED 0-60m Cohort,"Vibrio, by bacteriology result",http://purl.obolibrary.org/obo/EUPATH_0011843,"Results of Vibrio identification by bacteriology culture for this stool sample. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age) and on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).","Was Vibrio detected?. From BDF form. Information comes from first collected sample, if there was a recollection sample. ''Vibrio'' is the variable name for bdfvibtype collapsed into a yes/no variable. Source=BDF. yes, vibrio cholerae 01, inaba =01; yes, vibrio cholerae 01, ogawa =02; yes, vibrio cholerae 0139 =03; yes, vibrio para =04; yes, vibrio (all others)=05; no =00",", 0, 1, 2, 3, 4, 5"
http://purl.obolibrary.org/obo/EUPATH_0010640,MAL-ED 0-60m Cohort,"Cumulative sum Campylobacter-pos stools, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011763,"Cumulative sum of stool samples positive for Campylobacter by bacteriology culture to date per participant. Note: do not use Campylobacter culture results for analysis unless performing a specific analysis investigating Campylobacter in culture. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age).",cumulative count of the number of culture-positive Campylobacter samples by PID. . Source=Calculated. continuous numeric,", 0, 1, 2, 3, 4, 5, 6"
http://purl.obolibrary.org/obo/EUPATH_0010641,MAL-ED 0-60m Cohort,"Cumulative sum Campylobacter-pos 1st diarrheal stools, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011763,"Cumulative sum of first diarrheal stool samples positive for Campylobacter by bacteriology culture to date per participant. Note: do not use Campylobacter culture results for analysis unless performing a specific analysis investigating Campylobacter in culture. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age) and on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).",cumulative count of the number of culture-positive Campylobacter samples by PID in first diarrhea stools. . Source=Calculated. continuous numeric,", 0, 1, 2, 3, 4"
http://purl.obolibrary.org/obo/EUPATH_0010642,MAL-ED 0-60m Cohort,"Cumulative sum Campylobacter-pos 1st monthly stools, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011763,"Cumulative sum of first monthly asymptomatic stool samples positive for Campylobacter by bacteriology culture to date per participant. Note: do not use Campylobacter culture results for analysis unless performing a specific analysis investigating Campylobacter in culture. Work up for detection of enteric pathogens was performed on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).",cumulative count of the number of culture-positive Campylobacter samples by PID in first monthly stools. . Source=Calculated. continuous numeric,", 0, 1, 2, 3, 4, 5"
http://purl.obolibrary.org/obo/EUPATH_0010789,MAL-ED 0-60m Cohort,"Plesiomonas shigelloides, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011981,"Whether Plesiomonas shigelloides was detected by bacteriology culture for this stool sample. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age) and on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).",Was Plesiomonas shigilloides detected?. . Source=Calculated. 1=yes;0=no,", 0, 1"
http://purl.obolibrary.org/obo/EUPATH_0010797,MAL-ED 0-60m Cohort,"Salmonella, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011983,"Whether Salmonella was detected by bacteriology culture for this stool sample. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age) and on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).",Salmonella detected (collapsed variable)?. Collapses all species information into one dichotomous variable. Source=Calculated. 1=yes;0=no,", 0, 1"
http://purl.obolibrary.org/obo/EUPATH_0010805,GEMS1 Case Control,"Shigella, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011984,Assessed at enrollment for cases and controls,,
http://purl.obolibrary.org/obo/EUPATH_0010805,GEMS1A Case Control,"Shigella, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011984,Assessed at enrollment for cases and controls,Calculated: Shigella any,
http://purl.obolibrary.org/obo/EUPATH_0010805,MAL-ED 0-60m Cohort,"Shigella, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011984,"Whether Shigella was detected by bacteriology culture for this stool sample. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age) and on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).",Shigella detected (collapsed variable)?. Collapses all species information into one dichotomous variable. Source=Calculated. 1=yes;0=no,", 0, 1"
http://purl.obolibrary.org/obo/EUPATH_0010825,MAL-ED 0-60m Cohort,"Vibrio, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011958,"Whether Vibrio was detected by bacteriology culture for this stool sample. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age) and on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).",Vibrio detected (collapsed variable)?. Collapses all species information into one dichotomous variable. Source=Calculated. 1=yes;0=no,", 0, 1"
http://purl.obolibrary.org/obo/EUPATH_0010829,MAL-ED 0-60m Cohort,"Yersinia enterocolitica, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011960,"Whether Yersinia enterocolitica was detected by bacteriology culture for this stool sample. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age) and on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).",Was Yersinia enterocolitica detected?. . Source=Calculated. 1=yes;0=no,", 0, 1"
http://purl.obolibrary.org/obo/EUPATH_0010998,GEMS1 Case Control,"Campylobacter, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011969,Assessed at enrollment for cases and controls,,
http://purl.obolibrary.org/obo/EUPATH_0010998,GEMS1A Case Control,"Campylobacter, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011969,Assessed at enrollment for cases and controls,"Calculated: Campylobacter, any",
http://purl.obolibrary.org/obo/EUPATH_0011986,MAL-ED 0-60m Cohort,"Campylobacter, by bacteriology cleaned result",http://purl.obolibrary.org/obo/EUPATH_0011843,"Whether Campylobacter was detected by bacteriology culture for this stool sample (raw identification data from 'Campylobacter, by bacteriology result' was recoded to 'Yes'/'No'). Note: do not use Campylobacter culture results for analysis unless performing a specific analysis investigating Campylobacter in culture. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age) and on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).",Campylobacter detected using culture?.  Use ''campy'' variable for analysis. Do NOT use culture results for analysis unless doing a specific analysis investigating campylobacter in culture. . Source=Calculated. 1=yes;0=no,", 0, 1"
http://purl.obolibrary.org/obo/EUPATH_0015290,GEMS1 Case Control,"Vibrio cholerae O1, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011958,Assessed at enrollment for cases and controls,,
http://purl.obolibrary.org/obo/EUPATH_0015290,GEMS1A Case Control,"Vibrio cholerae O1, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011958,Assessed at enrollment for cases and controls,Calculated: Vibrio cholerae 01,
http://purl.obolibrary.org/obo/EUPATH_0015291,GEMS1 Case Control,"Vibrio cholerae O1 Inaba, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011958,Assessed at enrollment for cases and controls,,
http://purl.obolibrary.org/obo/EUPATH_0015292,GEMS1 Case Control,"Vibrio cholerae O1 Ogawa, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011958,Assessed at enrollment for cases and controls,,
http://purl.obolibrary.org/obo/EUPATH_0015293,GEMS1 Case Control,"Vibrio cholerae O139, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011958,Assessed at enrollment for cases and controls,,
http://purl.obolibrary.org/obo/EUPATH_0015293,GEMS1A Case Control,"Vibrio cholerae O139, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011958,Assessed at enrollment for cases and controls,Calculated: Vibrio cholerae 0139,
http://purl.obolibrary.org/obo/EUPATH_0015294,GEMS1 Case Control,"Salmonella typhi, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011983,Assessed at enrollment for cases and controls,,
http://purl.obolibrary.org/obo/EUPATH_0015294,GEMS1A Case Control,"Salmonella typhi, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011983,Assessed at enrollment for cases and controls,Calculated: Salmonella typhii,
http://purl.obolibrary.org/obo/EUPATH_0015295,GEMS1 Case Control,"Salmonella non-typhi, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011983,Assessed at enrollment for cases and controls,,
http://purl.obolibrary.org/obo/EUPATH_0015295,GEMS1A Case Control,"Salmonella non-typhi, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011983,Assessed at enrollment for cases and controls,Calculated: Salmonella non-typhii,
http://purl.obolibrary.org/obo/EUPATH_0015299,GEMS1 Case Control,"Campylobacter (non-jejuni or coli), by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011969,Assessed at enrollment for cases and controls,,
http://purl.obolibrary.org/obo/EUPATH_0015299,GEMS1A Case Control,"Campylobacter (non-jejuni or coli), by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011969,Assessed at enrollment for cases and controls,Bacteria Isolated: Campylobacter (not jejuni or coli),0
