dataSet,IRI,label,hidden,forceString
GEMS1 Case Control,http://purl.obolibrary.org/obo/EUPATH_0015720,Study year,,yes
GEMS1 HUAS/HUAS Lite Survey,http://purl.obolibrary.org/obo/EUPATH_0010157,First choice facility code,,yes
GEMS1 HUAS/HUAS Lite Survey,http://purl.obolibrary.org/obo/EUPATH_0015550,Hospital admitted 1st choice,,yes
GEMS1 HUAS/HUAS Lite Survey,http://purl.obolibrary.org/obo/EUPATH_0015551,Hospital admitted 2nd choice,,yes
GEMS1 HUAS/HUAS Lite Survey,http://purl.obolibrary.org/obo/EUPATH_0015552,Hospital admitted 3rd choice,,yes
GEMS1 HUAS/HUAS Lite Survey,http://purl.obolibrary.org/obo/EUPATH_0010163,Second choice facility code,,yes
GEMS1 HUAS/HUAS Lite Survey,http://purl.obolibrary.org/obo/EUPATH_0010169,Third choice facility code,,yes
GEMS1A HUAS Lite Survey,http://purl.obolibrary.org/obo/EUPATH_0010157,First choice facility code,,yes
GEMS1A HUAS Lite Survey,http://purl.obolibrary.org/obo/EUPATH_0015550,Hospital admitted 1st choice,,yes
GEMS1A HUAS Lite Survey,http://purl.obolibrary.org/obo/EUPATH_0015551,Hospital admitted 2nd choice,,yes
GEMS1A HUAS Lite Survey,http://purl.obolibrary.org/obo/EUPATH_0015552,Hospital admitted 3rd choice,,yes
GEMS1A HUAS Lite Survey,http://purl.obolibrary.org/obo/EUPATH_0010163,Second choice facility code,,yes
GEMS1A HUAS Lite Survey,http://purl.obolibrary.org/obo/EUPATH_0010169,Third choice facility code,,yes
LLINE UP Cluster Randomized Trial,http://purl.obolibrary.org/obo/EUPATH_0035024,Cluster ID,variableTree,yes
LLINE UP Cluster Randomized Trial,http://purl.obolibrary.org/obo/EUPATH_0044122,Household study timepoint,,yes
LLINE UP Cluster Randomized Trial,http://purl.obolibrary.org/obo/OBI_0001508,Study timepoint,,yes
Myanmar ICEMR,http://purl.obolibrary.org/obo/OBI_0001508,Study timepoint,,yes
SCORE Mozambique Cluster Randomized Trial,http://purl.obolibrary.org/obo/OBI_0001508,Study timepoint,,yes
SCORE Mozambique Cluster Randomized Trial,http://purl.obolibrary.org/obo/EUPATH_0030033,Village study timepoint,,yes
SCORE Niger Cluster Randomized Trial,http://purl.obolibrary.org/obo/OBI_0001508,Study timepoint,,yes
SCORE Niger Cluster Randomized Trial,http://purl.obolibrary.org/obo/EUPATH_0030033,Village study timepoint,,yes
SCORE S. mansoni Cluster Randomized Trial,http://purl.obolibrary.org/obo/OBI_0001508,Study timepoint,,yes
SCORE S. mansoni Cluster Randomized Trial,http://purl.obolibrary.org/obo/EUPATH_0030033,Village study timepoint,,yes
SCORE Seasonal,http://purl.obolibrary.org/obo/OBI_0001508,Study timepoint,,yes
SCORE Seasonal,http://purl.obolibrary.org/obo/EUPATH_0030033,Village study timepoint,,yes
SCORE Zanzibar,http://purl.obolibrary.org/obo/EUPATH_0030129,Grade in school at enrollment,,yes
SCORE Zanzibar,http://purl.obolibrary.org/obo/EUPATH_0030033,Village study timepoint,,yes
SCORE Zanzibar,http://purl.obolibrary.org/obo/EUPATH_0030130,Visible macrohematuria,,yes
WASHb BNG Cluster Randomized Trial,http://purl.obolibrary.org/obo/EUPATH_0035016,Compound study timepoint,,yes
WASHb BNG Cluster Randomized Trial,http://purl.obolibrary.org/obo/EUPATH_0044122,Household study timepoint,,yes
WASHb BNG Cluster Randomized Trial,http://purl.obolibrary.org/obo/OBI_0001508,Study timepoint,,yes
