overallOrder,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,multifilter,notesForOnt
1,sid,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0000095,Participant ID,,participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,,text,,
2,redcap_event_name,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0021001,Visit #,,observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,,day_7_arm_1 end_of_study_arm_1   enrollment_arm_1,,
3,date,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0004991,Observation date,,observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,,date,,
4,time,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0023052,Observation time,,observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,,time,,
9,age,CRF_DATA,http://purl.obolibrary.org/obo/OBI_0001169,Age,Age in years,participant,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,,numeric,,
10,sex_rad,CRF_DATA,http://purl.obolibrary.org/obo/PATO_0000047,Sex,,participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,,1 female 2 male,,
11,education_rad,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0000345,Education level,The highest level of education completed,participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,,"1 None
2 Primary school
3 Secondary school
4 University
5 Diploma
6 Graduate or higher
88888 missing",,
12,occupation_rad,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0000359,Occupation,,participant,Employment,http://purl.obolibrary.org/obo/EUPATH_0000342,,"1 Daily wage/labor
2 Service (=salaried)
3 Trade (=self-employed)
4 Housewife
5 Student
6 None
88888 missing",,
13,travel_2wk_yn,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0000450,Traveled in last 2 weeks,,observation,Travel details,http://purl.obolibrary.org/obo/EUPATH_0000340,,"1 Yes
2 No
88888 missing",,
14,travel_2wk_country,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0000445,Country visited,,observation,Travel details,http://purl.obolibrary.org/obo/EUPATH_0000340,,text,,
15,travel_2wk_state,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0000447,State visited,,observation,Travel details,http://purl.obolibrary.org/obo/EUPATH_0000340,,text,,
16,travel_2wk_district,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0000446,District visited,,observation,Travel details,http://purl.obolibrary.org/obo/EUPATH_0000340,,text,,
17,travel_2wk_taluk,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0000448,Taluk visited,,observation,Travel details,http://purl.obolibrary.org/obo/EUPATH_0000340,,text,,
18,travel_2wk_village,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0000449,Village visited,,observation,Travel details,http://purl.obolibrary.org/obo/EUPATH_0000340,,text,,
19,pastyear_num_dx,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0000426,Malaria diagnoses past year (count),,participant,Clinical history,http://purl.obolibrary.org/obo/OGMS_0000015,,numeric,,
20,pastyear_num_mo,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0000427,Last malaria diagnosis (days),,participant,Clinical history,http://purl.obolibrary.org/obo/OGMS_0000015,," 01 DAYS BACK      02 WEEKS  03 DAYS BACK            04             1    1 DAY BACK 
          898             1             1             1             1            10             1 
      1 MONTH   1 WEEK BACK            10  10 DAYS BACK            11            12       13 DAYS 
            1             5             2             1             1             3             1 
 15 DAYS BACK             2   2 DAYS BACK 2 MONTHS BACK   2 WEEK BACK       20 DAYS             3 
            3             4             2             2             1             1             1 
       3 DAYS   3 DAYS BACK             4            4     4 DAYS AGO   4 DAYS BACK             5 
            1             2             1             1             1             1             4 
  5 DAYS BACK             6            6    6 DAYS BACK             7   7 DAYS BACK             8 
            1             1             1             1             1             1             3 
CANT REMEMBER 
            1 ",,
21,pastyear_dx_chk___1,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0021032,Plasmodium falciparum,,participant,Plasmodium species in last year,http://purl.obolibrary.org/obo/EUPATH_0000425,,binary,value,
