overallOrder,variable,dataFile,keepDiscard,notesForDL,codebookDescription,codebookValues,timeVarying,duplicated,dateTime,flag,multifilter,variableType,category,IRI,parentIRI,definition,label
1,sid,CRF_DATA,keep,,,text,,,,,,0,participant,http://purl.obolibrary.org/obo/EUPATH_0000095,http://purl.obolibrary.org/obo/EUPATH_0000096,,Participant ID
2,redcap_event_name,CRF_DATA,keep,,,day_7_arm_1 end_of_study_arm_1   enrollment_arm_1,,,,,,1,observation,http://purl.obolibrary.org/obo/EUPATH_0021001,http://purl.obolibrary.org/obo/EUPATH_0000310,,Visit #
3,date,CRF_DATA,keep,,,date,,"date_fu, date_eos",yes,,,0,observation,http://purl.obolibrary.org/obo/EUPATH_0004991,http://purl.obolibrary.org/obo/EUPATH_0000310,,Observation date
4,time,CRF_DATA,keep,,,time,,,yes,,,0,observation,http://purl.obolibrary.org/obo/EUPATH_0023052,http://purl.obolibrary.org/obo/EUPATH_0000310,,Observation time
5,name,CRF_DATA,discard,,,,,,,,,,,,,,
6,rsp_yn,CRF_DATA,discard,,,,,,,,,1,,,,,
7,igh_id,CRF_DATA,discard,,,,,,,,,,,,,,
8,phone,CRF_DATA,discard,,,,,,,,,,,,,,
9,age,CRF_DATA,keep,,,numeric,,,,,,0,participant,,,,
10,sex_rad,CRF_DATA,keep,,,1 female 2 male,,,,,,1,participant,http://purl.obolibrary.org/obo/PATO_0000047,http://purl.obolibrary.org/obo/EUPATH_0010981,,Sex
11,education_rad,CRF_DATA,keep,,,"1 None
2 Primary school
3 Secondary school
4 University
5 Diploma
6 Graduate or higher
88888 missing",,,,,,1,participant,http://purl.obolibrary.org/obo/EUPATH_0000345,http://purl.obolibrary.org/obo/EUPATH_0010981,The highest level of education completed,Education level
12,occupation_rad,CRF_DATA,keep,,,"1 Daily wage/labor
2 Service (=salaried)
3 Trade (=self-employed)
4 Housewife
5 Student
6 None
88888 missing",,,,,,1,participant,http://purl.obolibrary.org/obo/EUPATH_0000359,http://purl.obolibrary.org/obo/EUPATH_0000342,,Occupation
13,travel_2wk_yn,CRF_DATA,keep,,,"1 Yes
2 No
88888 missing",,,,,,1,observation,http://purl.obolibrary.org/obo/EUPATH_0000450,http://purl.obolibrary.org/obo/EUPATH_0000340,,Traveled in last 2 weeks
14,travel_2wk_country,CRF_DATA,keep,,,text,,,,,,0,observation,http://purl.obolibrary.org/obo/EUPATH_0000445,http://purl.obolibrary.org/obo/EUPATH_0000340,,Country visited
15,travel_2wk_state,CRF_DATA,keep,,,text,,,,,,0,observation,http://purl.obolibrary.org/obo/EUPATH_0000447,http://purl.obolibrary.org/obo/EUPATH_0000340,,State visited
16,travel_2wk_district,CRF_DATA,keep,,,text,,,,,,0,observation,http://purl.obolibrary.org/obo/EUPATH_0000446,http://purl.obolibrary.org/obo/EUPATH_0000340,,District visited
17,travel_2wk_taluk,CRF_DATA,keep,,,text,,,,,,0,observation,http://purl.obolibrary.org/obo/EUPATH_0000448,http://purl.obolibrary.org/obo/EUPATH_0000340,,Taluk visited
18,travel_2wk_village,CRF_DATA,keep,,,text,,,,,,0,observation,http://purl.obolibrary.org/obo/EUPATH_0000449,http://purl.obolibrary.org/obo/EUPATH_0000340,,Village visited
19,pastyear_num_dx,CRF_DATA,keep,,,numeric,,,,,,0,participant,http://purl.obolibrary.org/obo/EUPATH_0000426,http://purl.obolibrary.org/obo/OGMS_0000015,,Malaria diagnoses past year (count)
20,pastyear_num_mo,CRF_DATA,keep,,," 01 DAYS BACK      02 WEEKS  03 DAYS BACK            04             1    1 DAY BACK 
          898             1             1             1             1            10             1 
      1 MONTH   1 WEEK BACK            10  10 DAYS BACK            11            12       13 DAYS 
            1             5             2             1             1             3             1 
 15 DAYS BACK             2   2 DAYS BACK 2 MONTHS BACK   2 WEEK BACK       20 DAYS             3 
            3             4             2             2             1             1             1 
       3 DAYS   3 DAYS BACK             4            4     4 DAYS AGO   4 DAYS BACK             5 
            1             2             1             1             1             1             4 
  5 DAYS BACK             6            6    6 DAYS BACK             7   7 DAYS BACK             8 
            1             1             1             1             1             1             3 
CANT REMEMBER 
            1 ",,,,,,1,participant,http://purl.obolibrary.org/obo/EUPATH_0000427,http://purl.obolibrary.org/obo/OGMS_0000015,,Last malaria diagnosis (days)
21,pastyear_dx_chk___1,CRF_DATA,keep,,,binary,,,,,value,0,participant,http://purl.obolibrary.org/obo/EUPATH_0021032,http://purl.obolibrary.org/obo/EUPATH_0000425,,Plasmodium falciparum
22,pastyear_dx_chk___2,CRF_DATA,keep,,,binary,,,,,value,0,participant,http://purl.obolibrary.org/obo/EUPATH_0021033,http://purl.obolibrary.org/obo/EUPATH_0000425,,Plasmodium vivax
23,pastyear_dx_chk___3,CRF_DATA,keep,,,binary,,,,,value,0,participant,http://purl.obolibrary.org/obo/EUPATH_0021034,http://purl.obolibrary.org/obo/EUPATH_0000425,,Plasmodium malariae
24,pastyear_dx_chk___4,CRF_DATA,keep,,,binary,,,,,value,0,participant,http://purl.obolibrary.org/obo/EUPATH_0021035,http://purl.obolibrary.org/obo/EUPATH_0000425,,Can't remember
25,pastyear_dx_chk___88888,CRF_DATA,keep,,,binary,,,,,value,0,participant,,,,Missing
26,pastyear_treat_rad,CRF_DATA,keep,,,"1 Yes
2 No
3 Can't remember
88888 missing",,,,,,1,participant,http://purl.obolibrary.org/obo/EUPATH_0000428,http://purl.obolibrary.org/obo/EUPATH_0000427,Whether antimalarials were used for the most recent malaria diagnosis within the last year. ,Treated with antimalarials
27,pastyear_treat_date,CRF_DATA,keep,,,date,,,yes,,,0,participant,http://purl.obolibrary.org/obo/EUPATH_0000429,http://purl.obolibrary.org/obo/EUPATH_0000427,Date of most recent treatment with antimalarials within the last year. ,Antimalarial treatment date
28,pastyear_treat_by_chk___1,CRF_DATA,keep,,,binary,,,,,value,0,participant,http://purl.obolibrary.org/obo/EUPATH_0021044,http://purl.obolibrary.org/obo/EUPATH_0000431,,Clinic/hospital
29,pastyear_treat_by_chk___2,CRF_DATA,keep,,,binary,,,,,value,0,participant,http://purl.obolibrary.org/obo/EUPATH_0021045,http://purl.obolibrary.org/obo/EUPATH_0000431,,Private doctor
30,pastyear_treat_by_chk___3,CRF_DATA,keep,,,binary,,,,,value,0,participant,http://purl.obolibrary.org/obo/EUPATH_0021046,http://purl.obolibrary.org/obo/EUPATH_0000431,,Self-treated
31,pastyear_treat_by_chk___4,CRF_DATA,keep,,,binary,,,,,value,0,participant,http://purl.obolibrary.org/obo/EUPATH_0021047,http://purl.obolibrary.org/obo/EUPATH_0000431,,Can't remember
32,pastyear_treat_by_chk___88888,CRF_DATA,keep,,,binary,,,,,value,0,participant,,,,Missing
33,pastyear_treat_drugs_chk___1,CRF_DATA,keep,,,binary,,,,,value,0,participant,http://purl.obolibrary.org/obo/EUPATH_0021036,http://purl.obolibrary.org/obo/EUPATH_0000430,,Artesunate
34,pastyear_treat_drugs_chk___2,CRF_DATA,keep,,,binary,,,,,value,0,participant,http://purl.obolibrary.org/obo/EUPATH_0021039,http://purl.obolibrary.org/obo/EUPATH_0000430,,Artesunate/pyrimethamine/sulphadoxine
35,pastyear_treat_drugs_chk___3,CRF_DATA,keep,,,binary,,,,,value,0,participant,http://purl.obolibrary.org/obo/CHEBI_3638,http://purl.obolibrary.org/obo/EUPATH_0000430,,Chloroquine
36,pastyear_treat_drugs_chk___4,CRF_DATA,keep,,,binary,,,,,value,0,participant,http://purl.obolibrary.org/obo/EUPATH_0021040,http://purl.obolibrary.org/obo/EUPATH_0000430,,Chloroquine/primaquine
37,pastyear_treat_drugs_chk___5,CRF_DATA,keep,,,binary,,,,,value,0,participant,http://purl.obolibrary.org/obo/CHEBI_63609,http://purl.obolibrary.org/obo/EUPATH_0000430,,Mefloquine
