variable	variable	values	mappedTerm	valueOrder
redcap_event_name	redcap_event_name	visit_1_enrollment_arm_1	Visit 1	1
redcap_event_name	redcap_event_name	visit_2_arm_1	Visit 2	2
redcap_event_name	redcap_event_name	visit_3_arm_1	Visit 3	3
redcap_event_name	redcap_event_name	visit_4_arm_1	Visit 4	4
redcap_event_name	redcap_event_name	visit_5_arm_1	Visit 5	5
redcap_event_name	redcap_event_name	visit_6_arm_1	Visit 6	6
state_birth	state_birth	TAMIL NADU	Tamil Nadu	
state_birth	state_birth	Tamil Nadu	Tamil Nadu	
state_birth	state_birth	-	Not applicable	
state_birth	state_birth	ANDHRA PRADESH	Andhra Pradesh	
state_birth	state_birth	ANDHRA	Andhra Pradesh	
state_birth	state_birth	DARJEELING	West Bengal	
state_birth	state_birth	KARNATAKA	Karnataka	
state_birth	state_birth	RAJASTHAN	Rajasthan	
state_birth	state_birth	Gujarat	Gujarat	
state_birth	state_birth	Maharastra	Maharashtra	
state_birth	state_birth	Rajasthan	Rajasthan	
state_birth	state_birth	Lahore	Not applicable	
state_birth	state_birth	BIHAR	Bihar	
state_birth	state_birth	Jharkhand	Jharkhand	
state_birth	state_birth	JHARKHAND	Jharkhand	
state_birth	state_birth	ODISHA	Odisha	
sex_rad	sex_rad	1	Female	
sex_rad	sex_rad	2	Male	
education_rad	education_rad	1	None	1
education_rad	education_rad	2	Primary school	2
education_rad	education_rad	3	Secondary school	3
education_rad	education_rad	4	University	4
education_rad	education_rad	5	Diploma	5
education_rad	education_rad	6	Graduate degree or higher	6
occupation_rad	occupation_rad	1	Daily wage/labor	
occupation_rad	occupation_rad	2	Service (salaried)	
occupation_rad	occupation_rad	3	Trade (self-employed)	
occupation_rad	occupation_rad	4	Housewife	
occupation_rad	occupation_rad	5	Student	
occupation_rad	occupation_rad	6	None	
travel_2wk_yn	travel_2wk_yn	1	Yes	
travel_2wk_yn	travel_2wk_yn	0	No	
travel_2wk_country	travel_2wk_country	India	India
travel_2wk_state	travel_2wk_state	TAMIL NADU	Tamil Nadu	
travel_2wk_state	travel_2wk_state	PONDICHERRY	Pondicherry	
travel_2wk_state	travel_2wk_state	KERALA	Kerala	
travel_2wk_state	travel_2wk_state	KARNATAKA	Karnataka	
travel_2wk_state	travel_2wk_state	ANDHRA PRADESH	Andhra Pradesh	
travel_2wk_state	travel_2wk_state	Tamil Nadu	Tamil Nadu	
travel_2wk_state	travel_2wk_state	Andhra Pradesh	Andhra Pradesh	
travel_2wk_state	travel_2wk_state	JHARKHAND	Jharkhand	
travel_2wk_state	travel_2wk_state	ODISHA	Odisha	
travel_2wk_state	travel_2wk_state	WEST BENGAL	West Bengal	
travel_2wk_state	travel_2wk_state	Gujarat	Gujarat	
travel_2wk_state	travel_2wk_state	Rajasthan	Rajasthan	
travel_2wk_state	travel_2wk_state	Madhya Pradesh	Madhya Pradesh	
travel_2wk_state	travel_2wk_state	Maharastra	Maharashtra	
travel_2wk_state	travel_2wk_state	Uttar Pradesh	Uttar Pradesh	
travel_2wk_state	travel_2wk_state	MAHARASHTRA	Maharashtra	
travel_2wk_state	travel_2wk_state	Pondicherry	Pondicherry	
travel_2wk_district	travel_2wk_district	THIRUVANNAMALAI	Tiruvannamalai	
travel_2wk_district	travel_2wk_district	KANCHIPURAM	Kanchipuram	
travel_2wk_district	travel_2wk_district	CHENNAI	Chennai	
travel_2wk_district	travel_2wk_district	KANNIYAKUMARI	Kanyakumari	
travel_2wk_district	travel_2wk_district	PUDUKOTTAI	Pudukkottai	
travel_2wk_district	travel_2wk_district	VELLORE	Vellore	
travel_2wk_district	travel_2wk_district	DHARMAPURI	Dharmapuri	
travel_2wk_district	travel_2wk_district	MADHURAI	Madurai	
travel_2wk_district	travel_2wk_district	TRICHY	Tiruchirappalli	
travel_2wk_district	travel_2wk_district	DINDUKKAL	Dindigul	
travel_2wk_district	travel_2wk_district	VILLUPURAM	Viluppuram	
travel_2wk_district	travel_2wk_district	KANCHEEPURAM	Kanchipuram	
travel_2wk_district	travel_2wk_district	BANGALORE	Bangalore	
travel_2wk_district	travel_2wk_district	SALEM, COIMBATORE	Salem, Coimbatore	
travel_2wk_district	travel_2wk_district	NELLORE	Nellore	
travel_2wk_district	travel_2wk_district	ERODE	Erode	
travel_2wk_district	travel_2wk_district	TIRUNELVELI	Tirunelveli	
travel_2wk_district	travel_2wk_district	VELANKANNI	Nagapattinam	
travel_2wk_district	travel_2wk_district	CHENGALPATTU	Chengalpattu	
travel_2wk_district	travel_2wk_district	MADURAI	Madurai	
travel_2wk_district	travel_2wk_district	PONDICHERRY	Puducherry	
travel_2wk_district	travel_2wk_district	TUTICORIN	Thoothukudi 	
travel_2wk_district	travel_2wk_district	THIRUVALLUVAR	Tiruvallur	
travel_2wk_district	travel_2wk_district	CUDDALORE	Cuddalore	
travel_2wk_district	travel_2wk_district	SIVAGANGAI	Sivaganga	
travel_2wk_district	travel_2wk_district	CHITOOR	Chittoor	
travel_2wk_district	travel_2wk_district	TIRUVANNAMALAI	Tiruvannamalai	
travel_2wk_district	travel_2wk_district	CHENGALPET	Chengalpattu	
travel_2wk_district	travel_2wk_district	SEALEM	Salem	
travel_2wk_district	travel_2wk_district	NAGAPATTINAM	Nagapattinam	
travel_2wk_district	travel_2wk_district	THIRUPATHI	Chittoor	
travel_2wk_district	travel_2wk_district	THIRUVANAMALAI	Tiruvannamalai	
travel_2wk_district	travel_2wk_district	NAMAKKAL	Namakkal	
travel_2wk_district	travel_2wk_district	SALEM	Salem	
travel_2wk_district	travel_2wk_district	THIRUKOVILUR	Vilappuram	
travel_2wk_district	travel_2wk_district	VIRUDUNAGAR	Virudhunagar	
travel_2wk_district	travel_2wk_district	DINDUGAL	Dindigul	
travel_2wk_district	travel_2wk_district	TANJAORE	Tanjore	
travel_2wk_district	travel_2wk_district	THIRUVARUR	Thiruvarur	
travel_2wk_district	travel_2wk_district	SINGHBHUM	Singhbhum	
travel_2wk_district	travel_2wk_district	SUNDERGARH	Sundergarh	
travel_2wk_district	travel_2wk_district	SIMDEGA	Simdega	
travel_2wk_district	travel_2wk_district	JHARSUGUDA	Jharsuguda	
travel_2wk_district	travel_2wk_district	RANCHI	Ranchi	
travel_2wk_district	travel_2wk_district	KEONJHAR	Kendujhar	
travel_2wk_district	travel_2wk_district	ANDUL	Howrah	
travel_2wk_district	travel_2wk_district	Sundergarh	Sundergarh	
travel_2wk_district	travel_2wk_district	Sundargarh	Sundergarh	
travel_2wk_district	travel_2wk_district	COIMBATORE	Coimbatore	
travel_2wk_district	travel_2wk_district	THIRUVALLUR	Tiruvallur	
travel_2wk_district	travel_2wk_district	THENI	Theni	
travel_2wk_district	travel_2wk_district	KANYAKUMARI	Kanyakumari	
travel_2wk_district	travel_2wk_district	COORG	Kodagu	
travel_2wk_taluk	travel_2wk_taluk	Ambajee	Ambaji	
travel_2wk_taluk	travel_2wk_taluk	Kathlal	Kathalal	
travel_2wk_village	travel_2wk_village	Ahemdabad	Ahmedabad	
travel_2wk_village	travel_2wk_village	Ambajee	Ambaji	
travel_2wk_village	travel_2wk_village	Kathlal	Kathalal	
sprayed_chk___1	sprayed_chk___1	1	Yes	
sprayed_chk___1	sprayed_chk___1	0	No	
sprayed_chk___2	sprayed_chk___2	1	Yes	
sprayed_chk___2	sprayed_chk___2	0	No	
sprayed_chk___3	sprayed_chk___3	1	Yes	
sprayed_chk___3	sprayed_chk___3	0	No	
sprayed_chk___4	sprayed_chk___4	1	Yes	
sprayed_chk___4	sprayed_chk___4	0	No	
repellent_chk___1	repellent_chk___1	1	Yes	
repellent_chk___1	repellent_chk___1	0	No	
repellent_chk___2	repellent_chk___2	1	Yes	
repellent_chk___2	repellent_chk___2	0	No	
repellent_chk___3	repellent_chk___3	1	Yes	
repellent_chk___3	repellent_chk___3	0	No	
repellent_chk___4	repellent_chk___4	1	Yes	
repellent_chk___4	repellent_chk___4	0	No	
repellent_chk___5	repellent_chk___5	1	Yes	
repellent_chk___5	repellent_chk___5	0	No	
repellent_chk___6	repellent_chk___6	1	Yes	
repellent_chk___6	repellent_chk___6	0	No	
repellent_chk___7	repellent_chk___7	1	Yes	
repellent_chk___7	repellent_chk___7	0	No	
bednet_chk___1	bednet_chk___1	1	Yes	
bednet_chk___1	bednet_chk___1	0	No	
bednet_chk___2	bednet_chk___2	1	Yes	
bednet_chk___2	bednet_chk___2	0	No	
bednet_chk___3	bednet_chk___3	1	Yes	
bednet_chk___3	bednet_chk___3	0	No	
bednet_chk___4	bednet_chk___4	1	Yes	
bednet_chk___4	bednet_chk___4	0	No	
bednet_chk___5	bednet_chk___5	1	Yes	
bednet_chk___5	bednet_chk___5	0	No	
bednet_chk___6	bednet_chk___6	1	Yes	
bednet_chk___6	bednet_chk___6	0	No	
bednet_chk___7	bednet_chk___7	1	Yes	
bednet_chk___7	bednet_chk___7	0	No	
pastyear_num_mo	pastyear_num_mo	1	30	
pastyear_num_mo	pastyear_num_mo	2	60	
pastyear_num_mo	pastyear_num_mo	3	90	
pastyear_num_mo	pastyear_num_mo	4	120	
pastyear_num_mo	pastyear_num_mo	5	150	
pastyear_num_mo	pastyear_num_mo	6	180	
pastyear_num_mo	pastyear_num_mo	7	210	
pastyear_num_mo	pastyear_num_mo	8	240	
pastyear_num_mo	pastyear_num_mo	9	270	
pastyear_num_mo	pastyear_num_mo	10	300	
pastyear_num_mo	pastyear_num_mo	11	330	
pastyear_num_mo	pastyear_num_mo	12	360	
pastyear_num_mo	pastyear_num_mo	04 DAYS	4	
pastyear_num_mo	pastyear_num_mo	0	0	
pastyear_num_mo	pastyear_num_mo	02 DAYS	2	
pastyear_num_mo	pastyear_num_mo	1 WEEK	7	
pastyear_num_mo	pastyear_num_mo	1 WEEK BACK	7	
pastyear_num_mo	pastyear_num_mo	10 DAYS	10	
pastyear_num_mo	pastyear_num_mo	12 DAYS	12	
pastyear_num_mo	pastyear_num_mo	13 DAYS	13	
pastyear_num_mo	pastyear_num_mo	14 DAYS	14	
pastyear_num_mo	pastyear_num_mo	15 DAYS	15	
pastyear_num_mo	pastyear_num_mo	15DAYS	15	
pastyear_num_mo	pastyear_num_mo	2 DAYS	2	
pastyear_num_mo	pastyear_num_mo	2 WEEKS	14	
pastyear_num_mo	pastyear_num_mo	20 DAYS	20	
pastyear_num_mo	pastyear_num_mo	3 DAYS	3	
pastyear_num_mo	pastyear_num_mo	4 DAYS	4	
pastyear_num_mo	pastyear_num_mo	5 DAYS	5	
pastyear_num_mo	pastyear_num_mo	7 DAYS	7	
pastyear_num_mo	pastyear_num_mo	7DAYS	7	
pastyear_num_mo	pastyear_num_mo	-	NA	
pastyear_num_mo	pastyear_num_mo	13-Jul	NA	
pastyear_num_mo	pastyear_num_mo	CAN'T REMEMBER	NA	
pastyear_num_mo	pastyear_num_mo	CANT REMEMBER	NA	
pastyear_num_mo	pastyear_num_mo	NOT KNOWN	NA	
pastyear_dx_chk___1	pastyear_dx_chk___1	1	Yes	
pastyear_dx_chk___1	pastyear_dx_chk___1	0	No	
pastyear_dx_chk___2	pastyear_dx_chk___2	1	Yes	
pastyear_dx_chk___2	pastyear_dx_chk___2	0	No	
pastyear_dx_chk___3	pastyear_dx_chk___3	1	Yes	
pastyear_dx_chk___3	pastyear_dx_chk___3	0	No	
pastyear_dx_chk___4	pastyear_dx_chk___4	1	Yes	
pastyear_dx_chk___4	pastyear_dx_chk___4	0	No	
