displayOrder,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType
,cen_electricity_yesno,,http://purl.obolibrary.org/obo/EUPATH_0021084,Electricity,,,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,,
,,,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,,,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,,,
2,repellent_chk___3,,http://purl.obolibrary.org/obo/EUPATH_0021063,Vapor or liquidizer,,,Personal mosquito repellent,http://purl.obolibrary.org/obo/EUPATH_0000439,,,value
,,,http://purl.obolibrary.org/obo/EUPATH_0000439,Personal mosquito repellent,This variable was only collected at the first visit.,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021097,,,multifilter
23,manifestations_chk___4,,http://purl.obolibrary.org/obo/DOID_1074,Renal failure,,,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,,,value
,,,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms,,,Signs and symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,,,multifilter
11,,,http://purl.obolibrary.org/obo/EUPATH_0021097,Personal vector intervention,,,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,
8,pastyear_treatdrugs_chk___8,,http://purl.obolibrary.org/obo/EUPATH_0021042,Quinine/quinidine,,,Antimalarial medications used,http://purl.obolibrary.org/obo/EUPATH_0000430,,,value
4,,,http://purl.obolibrary.org/obo/EUPATH_0000430,Antimalarial medications used,Type of antimalarials used for the most recent treament within the last year. This variable was only collected at the first visit.,,Days since last malaria diagnosis,http://purl.obolibrary.org/obo/EUPATH_0000427,,,multifilter
,,,http://purl.obolibrary.org/obo/OGMS_0000056,Laboratory test,,,Sample,http://purl.obolibrary.org/obo/EUPATH_0000609,,,
,,,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,,,,,,,
1,cen_indoor_residents,,http://purl.obolibrary.org/obo/EUPATH_0000418,Animals indoors,,,Dwelling environment,http://purl.obolibrary.org/obo/EUPATH_0010032,,,
4,,,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,,,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,
6,bednet_chk___6,,http://purl.obolibrary.org/obo/EUPATH_0021021,Other,,,Personal bednet treatment,http://purl.obolibrary.org/obo/EUPATH_0000344,,,value
,,,http://purl.obolibrary.org/obo/EUPATH_0000344,Personal bednet treatment,This variable was only collected at the first visit.,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021097,,,multifilter
1,redcap_event_name,,http://purl.obolibrary.org/obo/BFO_0000015,Observation type,,,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,
,,,http://purl.obolibrary.org/obo/EUPATH_0000738,Observation,,,,,,,
6,,,http://purl.obolibrary.org/obo/EUPATH_0000731,Household water,,,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,
,,,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,,,,,
2,sprayed_chk___3,,http://purl.obolibrary.org/obo/EUPATH_0021142,Outdoor,,,Insecticide spraying in last 12 months,http://purl.obolibrary.org/obo/EUPATH_0021138,,,value
,,,http://purl.obolibrary.org/obo/EUPATH_0021138,Insecticide spraying in last 12 months,Use of insecticide spraying in last 12 months. This variable was only collected at the first visit.,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021097,,,multifilter
,,,http://purl.obolibrary.org/obo/EUPATH_0011800,Microbiology tests performed,,,Blood microbiology test,http://purl.obolibrary.org/obo/EUPATH_0020005,,,
,,,http://purl.obolibrary.org/obo/EUPATH_0020005,Blood microbiology test,,,Laboratory test,http://purl.obolibrary.org/obo/OGMS_0000056,,,
,age_fu,,http://purl.obolibrary.org/obo/EUPATH_0000113,Age at visit (years),,,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,,,
2,,,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,,,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,
13,symptoms_chk___4,,http://purl.obolibrary.org/obo/SYMP_0019177,Fatigue,,,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,,,value
1,sex_rad,,http://purl.obolibrary.org/obo/PATO_0000047,Sex,,,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,,,
2,,,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,,,
3,travel_2wk_state,,http://purl.obolibrary.org/obo/EUPATH_0000447,State visited,,,Travel details,http://purl.obolibrary.org/obo/EUPATH_0000340,,,
10,,,http://purl.obolibrary.org/obo/EUPATH_0000340,Travel details,,,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,
2,pcr_species_chk___3,,http://purl.obolibrary.org/obo/EUPATH_0021050,Plasmodium vivax,,,"Plasmodium species, by qPCR",http://purl.obolibrary.org/obo/EUPATH_0000433,,,value
6,,,http://purl.obolibrary.org/obo/EUPATH_0000433,"Plasmodium species, by qPCR",,,Plasmodium in blood,http://purl.obolibrary.org/obo/EUPATH_0033308,,,multifilter
2,cen_type_of_dwelling,,http://purl.obolibrary.org/obo/ENVO_01000744,Dwelling type,,,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,,,
