colOrder,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType,notesForOnt
3,malariabehaviorhouse_data_2020-05-27_1622::date,malariabehaviorhouse_data_2020-05-27_1622,EUPATH_0021085,Household data collection date,,,,,Date of interview,,variable,
7,malariabehaviorhouse_data_2020-05-27_1622::num_people_in_house,malariabehaviorhouse_data_2020-05-27_1622,EUPATH_0000019,Persons living in house,,,,,How many people are usually in the household?,,variable,
8,malariabehaviorhouse_data_2020-05-27_1622::occupation_rad,malariabehaviorhouse_data_2020-05-27_1622,,Household head's occupation,,,Individuals related to participant,EUPATH_0010037,Occupation of head of household,"1, Daily wage/labor | 2, Salaried service | 3, Self-employed/trade | 4, Housewife | 5, None | 6, Other, specify",variable,
9,malariabehaviorhouse_data_2020-05-27_1622::occupation_other,malariabehaviorhouse_data_2020-05-27_1622,,Household head's occupation,,,Individuals related to participant,EUPATH_0010037,"if Other, specify",,variable,
10,malariabehaviorhouse_data_2020-05-27_1622::education_rad,malariabehaviorhouse_data_2020-05-27_1622,EUPATH_0024181,Household head's education level,,,,,Highest level of education of head of household,"1, None | 2, Primary | 3, Secondary | 4, University | 5, Diploma | 6, Graduate or higher | 7, Other, specify",variable,
12,malariabehaviorhouse_data_2020-05-27_1622::electricity_rad,malariabehaviorhouse_data_2020-05-27_1622,EUPATH_0021084,Electricity,,,,,Electricity in household?,"1, Yes | 2, No | 3, Other, specify",variable,
14,malariabehaviorhouse_data_2020-05-27_1622::water_rad,malariabehaviorhouse_data_2020-05-27_1622,EUPATH_0021093,Water source,,,,,Type of water  supply,"1, Indoor  plumbing | 2, Bore well | 3, Open well | 4, Stream/river | 5, Public tank/pump | 6, Other, specify",variable,
16,malariabehaviorhouse_data_2020-05-27_1622::toilet_rad,malariabehaviorhouse_data_2020-05-27_1622,EUPATH_0000335,Human waste facilities,,,,,Toilet available?,"1, No toilet for household | 2, Pit latrine available | 3, Other, specify",variable,
17,malariabehaviorhouse_data_2020-05-27_1622::toilet_other,malariabehaviorhouse_data_2020-05-27_1622,EUPATH_0000335,Human waste facilities,,,,,"if Other, specify",,variable,
18,malariabehaviorhouse_data_2020-05-27_1622::mobile_phone_yn,malariabehaviorhouse_data_2020-05-27_1622,ENVO_01000581,Mobile phone,,,,,Is there a mobile phone present in your household?,,variable,
19,malariabehaviorhouse_data_2020-05-27_1622::roof_rad,malariabehaviorhouse_data_2020-05-27_1622,EUPATH_0000003,Roof material,,,,,Type of roof of the house,"1, Thatched | 2, Concrete | 3, Tiles | 4, Thatched and tiles | 5, Other, specify",variable,
20,malariabehaviorhouse_data_2020-05-27_1622::roof_other,malariabehaviorhouse_data_2020-05-27_1622,EUPATH_0000003,Roof material,,,,,"if Other, specify",,variable,
21,malariabehaviorhouse_data_2020-05-27_1622::clinic_distance,malariabehaviorhouse_data_2020-05-27_1622,EUPATH_0020213,Health facility distance,,,,,What is the distance to the nearest clinic?,,variable,
22,malariabehaviorhouse_data_2020-05-27_1622::clinic_transport_rad,malariabehaviorhouse_data_2020-05-27_1622,EUPATH_0020217,Transit to health facility,,,,,What type of transport would you use to go there?,"1, Walking | 2, Bicycle | 3, Motorcycle | 4, Car | 5, Other, specify",variable,
23,malariabehaviorhouse_data_2020-05-27_1622::clinic_transport_other,malariabehaviorhouse_data_2020-05-27_1622,EUPATH_0020217,Transit to health facility,,,,,"if Other, specify",,variable,
24,malariabehaviorhouse_data_2020-05-27_1622::clinic_transport_time,malariabehaviorhouse_data_2020-05-27_1622,,Time in transit to health facility,,,Dwelling environment,EUPATH_0010032,How long would it take you to get there using that type of transport?,,variable,
25,malariabehaviorhouse_data_2020-05-27_1622::itn_yn,malariabehaviorhouse_data_2020-05-27_1622,EUPATH_0044136,Household ITNs,,,,,Does your household have an ITN? ,,variable,
26,malariabehaviorhouse_data_2020-05-27_1622::itn_no_reason,malariabehaviorhouse_data_2020-05-27_1622,,Reason no ITN,,,Household vector intervention,EUPATH_0000341,"If no, is there a specific reason why there is no ITN?",,variable,
27,malariabehaviorhouse_data_2020-05-27_1622::itn_number,malariabehaviorhouse_data_2020-05-27_1622,EUPATH_0041014,ITN bednet count,Number of ITNs in the household,,,,"If yes, number of ITNs in the household",,variable,
28,malariabehaviorhouse_data_2020-05-27_1622::itn_how_get,malariabehaviorhouse_data_2020-05-27_1622,,ITN source,How was the ITN obtained,,Household vector intervention,EUPATH_0000341,"If yes, how did you get the ITN?",,variable,
29,malariabehaviorhouse_data_2020-05-27_1622::itn_when_get,malariabehaviorhouse_data_2020-05-27_1622,,Time since obtaining ITN (months),How long ago was the ITN obtained,,Household vector intervention,EUPATH_0000341,How long ago did you get the ITN?,,variable,
30,malariabehaviorhouse_data_2020-05-27_1622::itn_defects_yn,malariabehaviorhouse_data_2020-05-27_1622,,ITN defects,Whether the ITN has holes or other defects,,Household vector intervention,EUPATH_0000341,Does the ITN have holes or other defects?,,variable,
31,malariabehaviorhouse_data_2020-05-27_1622::itn_defects_repair_yn,malariabehaviorhouse_data_2020-05-27_1622,,ITN repaired,"If the net has holes, whether somebody repaired it",,Household vector intervention,EUPATH_0000341,"If the net has holes, does somebody repair the net?",,variable,
,,,,Household mosquito repellent,,,Household vector intervention,EUPATH_0000341,,,multifilter,
32,malariabehaviorhouse_data_2020-05-27_1622::coils_yn,malariabehaviorhouse_data_2020-05-27_1622,,Coils,,,Household mosquito repellent,,Does your household use coils?,,value,
33,malariabehaviorhouse_data_2020-05-27_1622::coils_used_when_rad,malariabehaviorhouse_data_2020-05-27_1622,,Household coil use time,,,Household vector intervention,EUPATH_0000341,"If yes, when do you use them?","1, Daytime | 2, Evening | 3, Night  time | 4, Other, specify",variable,
35,malariabehaviorhouse_data_2020-05-27_1622::coils_used_frequency_rad,malariabehaviorhouse_data_2020-05-27_1622,,Household coil use frequency,,,Household vector intervention,EUPATH_0000341,"If yes, how often do you use them?","1, Always | 2, Sometimes | 3, Rarely",variable,
36,malariabehaviorhouse_data_2020-05-27_1622::mats_yn,malariabehaviorhouse_data_2020-05-27_1622,,Mats,,,Household mosquito repellent,,Does your household use mats?,,value,
37,malariabehaviorhouse_data_2020-05-27_1622::mats_used_when_rad,malariabehaviorhouse_data_2020-05-27_1622,,Household mat use time,,,Household vector intervention,EUPATH_0000341,"If yes, when do you use them?","1, Daytime | 2, Evening | 3, Night  time | 4, Other, specify",variable,
39,malariabehaviorhouse_data_2020-05-27_1622::mats_used_frequency,malariabehaviorhouse_data_2020-05-27_1622,,Household mat use frequency,,,Household vector intervention,EUPATH_0000341,"If yes, how often do you use them?","1, Always | 2, Sometimes | 3, Rarely",variable,
40,malariabehaviorhouse_data_2020-05-27_1622::vapor_yn,malariabehaviorhouse_data_2020-05-27_1622,,Vaporizers,,,Household mosquito repellent,,Does your household use vaporizers?,,value,
