displayOrder,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType
1,cen_animals___2,,http://purl.obolibrary.org/obo/EUPATH_0021014,Livestock,,Household,Animals on property,http://purl.obolibrary.org/obo/EUPATH_0000343,,,value
2,cen_animals___3,,http://purl.obolibrary.org/obo/EUPATH_0021015,Pets or other animals,,Household,Animals on property,http://purl.obolibrary.org/obo/EUPATH_0000343,,,value
3,cen_animals___1,,http://purl.obolibrary.org/obo/EUPATH_0021013,None,,Household,Animals on property,http://purl.obolibrary.org/obo/EUPATH_0000343,,,value
,weight,,http://purl.obolibrary.org/obo/EUPATH_0000732,Weight (kg),,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,,,variable
,height,,http://purl.obolibrary.org/obo/EUPATH_0010075,Height (cm),,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,,,variable
1,pastyear_treatdrugs_chk___1,,http://purl.obolibrary.org/obo/EUPATH_0021036,Artesunate,,Participant,Antimalarial medications used,http://purl.obolibrary.org/obo/EUPATH_0000430,,,value
2,pastyear_treatdrugs_chk___2,,http://purl.obolibrary.org/obo/EUPATH_0021039,Artesunate/pyrimethamine/sulphadoxine,,Participant,Antimalarial medications used,http://purl.obolibrary.org/obo/EUPATH_0000430,,,value
3,pastyear_treatdrugs_chk___3,,http://purl.obolibrary.org/obo/CHEBI_3638,Chloroquine,,Participant,Antimalarial medications used,http://purl.obolibrary.org/obo/EUPATH_0000430,,,value
4,pastyear_treatdrugs_chk___4,,http://purl.obolibrary.org/obo/EUPATH_0021040,Chloroquine/primaquine,,Participant,Antimalarial medications used,http://purl.obolibrary.org/obo/EUPATH_0000430,,,value
5,pastyear_treatdrugs_chk___5,,http://purl.obolibrary.org/obo/CHEBI_63609,Mefloquine,,Participant,Antimalarial medications used,http://purl.obolibrary.org/obo/EUPATH_0000430,,,value
6,pastyear_treatdrugs_chk___6,,http://purl.obolibrary.org/obo/CHEBI_8405,Primaquine,,Participant,Antimalarial medications used,http://purl.obolibrary.org/obo/EUPATH_0000430,,,value
7,pastyear_treatdrugs_chk___7,,http://purl.obolibrary.org/obo/EUPATH_0021041,Pyrimethamine/sulphadoxine,,Participant,Antimalarial medications used,http://purl.obolibrary.org/obo/EUPATH_0000430,,,value
8,pastyear_treatdrugs_chk___8,,http://purl.obolibrary.org/obo/EUPATH_0021042,Quinine/quinidine,,Participant,Antimalarial medications used,http://purl.obolibrary.org/obo/EUPATH_0000430,,,value
9,pastyear_treatdrugs_chk___9,,http://purl.obolibrary.org/obo/EUPATH_0021043,Tetracycline/doxycycline,,Participant,Antimalarial medications used,http://purl.obolibrary.org/obo/EUPATH_0000430,,,value
10,pastyear_treatdrugs_chk___10,,http://purl.obolibrary.org/obo/EUPATH_0021037,Other,,Participant,Antimalarial medications used,http://purl.obolibrary.org/obo/EUPATH_0000430,,,value
11,pastyear_treatdrugs_chk___11,,http://purl.obolibrary.org/obo/EUPATH_0021038,Can't remember,,Participant,Antimalarial medications used,http://purl.obolibrary.org/obo/EUPATH_0000430,,,value
,cen_electricity_yesno,,http://purl.obolibrary.org/obo/EUPATH_0021084,Electricity,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,,variable
,,,http://purl.obolibrary.org/obo/EUPATH_0011800,Microbiology tests performed,,Sample,Blood microbiology test,http://purl.obolibrary.org/obo/EUPATH_0020005,,,category
,,,http://purl.obolibrary.org/obo/EUPATH_0033307,Eukaryota in blood,,Sample,Blood microbiology test,http://purl.obolibrary.org/obo/EUPATH_0020005,,,category
,samples_chk___4,,http://purl.obolibrary.org/obo/EUPATH_0021082,Microvette sample (100 uL),,Sample,Blood sample,http://purl.obolibrary.org/obo/OBI_0000655,,,variable
,pcr_dna_source_rad,,http://purl.obolibrary.org/obo/EUPATH_0000432,PCR DNA sample source,Type of sample used for Plasmodium species identification by PCR,Sample,Blood sample,http://purl.obolibrary.org/obo/OBI_0000655,,,variable
,samples_chk___3,,http://purl.obolibrary.org/obo/EUPATH_0000127,Filter paper sample,,Sample,Blood sample,http://purl.obolibrary.org/obo/OBI_0000655,,,variable
,samples_chk___5,,http://purl.obolibrary.org/obo/EUPATH_0021083,Vacutainer sample (5 mL),,Sample,Blood sample,http://purl.obolibrary.org/obo/OBI_0000655,,,variable
,samples_chk___1,,http://purl.obolibrary.org/obo/EUPATH_0021081,Blood smear sample,,Sample,Blood sample,http://purl.obolibrary.org/obo/OBI_0000655,,,variable
1,hemocue,,http://purl.obolibrary.org/obo/EUPATH_0000047,Hemoglobin (g/dL),,Sample,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795,,,variable
1,cen_building_material___1,,http://purl.obolibrary.org/obo/EUPATH_0021004,Mud,,Household,Building material,http://purl.obolibrary.org/obo/EUPATH_0000001,,,value
2,cen_building_material___2,,http://purl.obolibrary.org/obo/EUPATH_0021005,Brick,,Household,Building material,http://purl.obolibrary.org/obo/EUPATH_0000001,,,value
3,cen_building_material___3,,http://purl.obolibrary.org/obo/EUPATH_0021006,Concrete,,Household,Building material,http://purl.obolibrary.org/obo/EUPATH_0000001,,,value
4,cen_building_material___4,,http://purl.obolibrary.org/obo/EUPATH_0021007,Thatch,,Household,Building material,http://purl.obolibrary.org/obo/EUPATH_0000001,,,value
1,pastyear_num_dx,,http://purl.obolibrary.org/obo/EUPATH_0000426,Malaria diagnoses in the past year (count),This variable was only collected at the first visit.,Participant,Clinical history,http://purl.obolibrary.org/obo/OGMS_0000015,,,variable
2,pastyear_num_mo,,http://purl.obolibrary.org/obo/EUPATH_0000427,Days since last malaria diagnosis,This variable was only collected at the first visit.,Participant,Clinical history,http://purl.obolibrary.org/obo/OGMS_0000015,,,variable
1,,,http://purl.obolibrary.org/obo/EUPATH_0000425,Plasmodium species in last year,This variable was only collected at the first visit.,Participant,Days since last malaria diagnosis,http://purl.obolibrary.org/obo/EUPATH_0000427,,,multifilter
2,pastyear_treat_rad,,http://purl.obolibrary.org/obo/EUPATH_0000428,Treated with antimalarials,Whether antimalarials were used for the most recent malaria diagnosis within the last year. This variable was only collected at the first visit.,Participant,Days since last malaria diagnosis,http://purl.obolibrary.org/obo/EUPATH_0000427,,,variable
3,pastyear_treatdate,,http://purl.obolibrary.org/obo/EUPATH_0000429,Antimalarial treatment date,Date of most recent treatment with antimalarials within the last year. This variable was only collected at the first visit.,Participant,Days since last malaria diagnosis,http://purl.obolibrary.org/obo/EUPATH_0000427,,,variable
4,,,http://purl.obolibrary.org/obo/EUPATH_0000430,Antimalarial medications used,Type of antimalarials used for the most recent treament within the last year. This variable was only collected at the first visit.,Participant,Days since last malaria diagnosis,http://purl.obolibrary.org/obo/EUPATH_0000427,,,multifilter
5,,,http://purl.obolibrary.org/obo/EUPATH_0000431,Where treated,Where treated for the most recent malaria episode within the last year. This variable was only collected at the first visit.,Participant,Days since last malaria diagnosis,http://purl.obolibrary.org/obo/EUPATH_0000427,,,multifilter
1,sex_rad,,http://purl.obolibrary.org/obo/PATO_0000047,Sex,,Participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,,,variable
2,state_birth,,http://purl.obolibrary.org/obo/EUPATH_0000442,State of birth,,Participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,,,variable
3,nationality,,http://purl.obolibrary.org/obo/EUPATH_0000424,Nationality,Country of birth,Participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,,,variable
4,education_rad,,http://purl.obolibrary.org/obo/EUPATH_0000345,Education level,The highest level of education completed,Participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,,,variable
,prelim_dx_rad,,http://purl.obolibrary.org/obo/EUPATH_0000036,Malaria-related diagnosis,Preliminary diagnosis based on symptoms and RDT results,Observation,Diagnosis,http://purl.obolibrary.org/obo/OGMS_0000073,,,variable
1,,,http://purl.obolibrary.org/obo/EUPATH_0000001,Building material,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,,,multifilter
2,cen_type_of_dwelling,,http://purl.obolibrary.org/obo/ENVO_01000744,Dwelling type,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,,,variable
3,,,http://purl.obolibrary.org/obo/EUPATH_0000003,Roof material,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,,,multifilter
1,cen_indoor_residents,,http://purl.obolibrary.org/obo/EUPATH_0000418,Animals indoors,,Household,Dwelling environment,http://purl.obolibrary.org/obo/EUPATH_0010032,,,variable
2,,,http://purl.obolibrary.org/obo/EUPATH_0000343,Animals on property,,Household,Dwelling environment,http://purl.obolibrary.org/obo/EUPATH_0010032,,,multifilter
3,cen_animals_nonpets_count,,http://purl.obolibrary.org/obo/EUPATH_0000395,Livestock count,,Household,Dwelling environment,http://purl.obolibrary.org/obo/EUPATH_0010032,,,variable
4,cen_animals_pets_count,,http://purl.obolibrary.org/obo/EUPATH_0000396,Pet or other animal count,,Household,Dwelling environment,http://purl.obolibrary.org/obo/EUPATH_0010032,,,variable
,occupation_rad,,http://purl.obolibrary.org/obo/EUPATH_0000359,Occupation,,Participant,Employment,http://purl.obolibrary.org/obo/EUPATH_0000342,,,variable
,,,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,,Sample,Eukaryota in blood,http://purl.obolibrary.org/obo/EUPATH_0033307,,,category
1,fever_2wk_where_chk___1,,http://purl.obolibrary.org/obo/EUPATH_0021023,Clinic,,Observation,Fever treatment location,http://purl.obolibrary.org/obo/EUPATH_0000413,,,value
2,fever_2wk_where_chk___2,,http://purl.obolibrary.org/obo/EUPATH_0021024,Private practice,,Observation,Fever treatment location,http://purl.obolibrary.org/obo/EUPATH_0000413,,,value
3,fever_2wk_where_chk___3,,http://purl.obolibrary.org/obo/EUPATH_0021025,Self-treated,,Observation,Fever treatment location,http://purl.obolibrary.org/obo/EUPATH_0000413,,,value
4,fever_2wk_where_chk___4,,http://purl.obolibrary.org/obo/EUPATH_0021026,Not treated,,Observation,Fever treatment location,http://purl.obolibrary.org/obo/EUPATH_0000413,,,value
1,state,,http://purl.obolibrary.org/obo/EUPATH_0021095,State,,Household,Geographic location,http://purl.obolibrary.org/obo/GAZ_00000448,,,variable
2,cen_district,,http://purl.obolibrary.org/obo/EUPATH_0000407,District,,Household,Geographic location,http://purl.obolibrary.org/obo/GAZ_00000448,,,variable
3,cen_taluk,,http://purl.obolibrary.org/obo/EUPATH_0000444,Taluk,Administrative division with a city or town that serves as its administrative center. Generally encompasses an area of land with a number of villages and possibly some towns.,Household,Geographic location,http://purl.obolibrary.org/obo/GAZ_00000448,,,variable
4,studySite,,http://purl.obolibrary.org/obo/EUPATH_0021094,Study site,,Household,Geographic location,http://purl.obolibrary.org/obo/GAZ_00000448,,,variable
1,date,,http://purl.obolibrary.org/obo/EUPATH_0021085,Household data collection date,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,variable
1,cen_date,,http://purl.obolibrary.org/obo/EUPATH_0021085,Household data collection date,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,variable
2,redcap_event_name,,http://purl.obolibrary.org/obo/EUPATH_0015467,Household observation type,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,variable
3,,,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,category
4,,,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,category
5,,,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,category
6,,,http://purl.obolibrary.org/obo/EUPATH_0000731,Household water,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,category
7,,,http://purl.obolibrary.org/obo/EUPATH_0000440,Resident status,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,multifilter
8,,,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,category
9,,,http://purl.obolibrary.org/obo/EUPATH_0000341,Household vector intervention,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,category
10,cen_fid,,http://purl.obolibrary.org/obo/EUPATH_0000094,Household ID,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,variable
1,,,http://purl.obolibrary.org/obo/EUPATH_0000441,Sprayed in the last 12 months,Use of insecticide spraying in last 12 months. This variable was only collected at the first visit.,Household,Household vector intervention,http://purl.obolibrary.org/obo/EUPATH_0000341,,,multifilter
2,cen_larvicide_in_use,,http://purl.obolibrary.org/obo/EUPATH_0000419,Larvicide frequency,,Household,Household vector intervention,http://purl.obolibrary.org/obo/EUPATH_0000341,,,variable
3,cen_bednet_count_5,,http://purl.obolibrary.org/obo/EUPATH_0000401,Untreated bednet count,,Household,Household vector intervention,http://purl.obolibrary.org/obo/EUPATH_0000341,,,variable
4,cen_bednet_count_3,,http://purl.obolibrary.org/obo/EUPATH_0000399,"ITN bednet count, treated more than 6 months ago",,Household,Household vector intervention,http://purl.obolibrary.org/obo/EUPATH_0000341,,,variable
5,cen_bednet_count_2,,http://purl.obolibrary.org/obo/EUPATH_0000398,"ITN bednet count, treated less than 6 months ago",,Household,Household vector intervention,http://purl.obolibrary.org/obo/EUPATH_0000341,,,variable
6,cen_bednet_count_4,,http://purl.obolibrary.org/obo/EUPATH_0000400,Long-lasting ITN bednet count,,Household,Household vector intervention,http://purl.obolibrary.org/obo/EUPATH_0000341,,,variable
,,,http://purl.obolibrary.org/obo/EUPATH_0021093,Water source,,Household,Household water,http://purl.obolibrary.org/obo/EUPATH_0000731,,,multifilter
1,existing_illness_yn,,http://purl.obolibrary.org/obo/EUPATH_0000412,Existing illness,,Observation,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098,,,variable
2,existing_illness_list,,http://purl.obolibrary.org/obo/EUPATH_0000411,Type of existing illness,,Observation,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098,,,variable
3,fever_2wk_yn,,http://purl.obolibrary.org/obo/EUPATH_0021096,Fever in last 2 weeks,,Observation,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098,,,variable
4,,,http://purl.obolibrary.org/obo/EUPATH_0000413,Fever treatment location,Type of healthcare facility where treated for fever in the last two weeks,Observation,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098,,,multifilter
,,,http://purl.obolibrary.org/obo/EUPATH_0020005,Blood microbiology test,,Sample,Laboratory test,http://purl.obolibrary.org/obo/OGMS_0000056,,,category
,,,http://purl.obolibrary.org/obo/EUPATH_0011795,Blood test,,Sample,Laboratory test,http://purl.obolibrary.org/obo/OGMS_0000056,,,category
,rdt_fv_chk___4,,http://purl.obolibrary.org/obo/EUPATH_0021056,FalciVax RDT performed,,Sample,Microbiology tests performed,http://purl.obolibrary.org/obo/EUPATH_0011800,,,variable
,,,http://purl.obolibrary.org/obo/EUPATH_0011802,Microscopy,,Sample,Microbiology tests performed,http://purl.obolibrary.org/obo/EUPATH_0011800,,,category
,rdt_op_chk___4,,http://purl.obolibrary.org/obo/EUPATH_0021060,OptiMAL RDT performed,,Sample,Microbiology tests performed,http://purl.obolibrary.org/obo/EUPATH_0011800,,,variable
,mx_species_chk___5,,http://purl.obolibrary.org/obo/EUPATH_0021031,Microscopy performed,,Sample,Microscopy,http://purl.obolibrary.org/obo/EUPATH_0011802,,,variable
1,redcap_event_name,,http://purl.obolibrary.org/obo/BFO_0000015,Observation type,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,variable
2,,,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,category
3,,,http://purl.obolibrary.org/obo/EUPATH_0021098,Immediate clinical history,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,category
4,,,http://purl.obolibrary.org/obo/EUPATH_0000649,Anthropometry,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,category
5,,,http://purl.obolibrary.org/obo/OGMS_0000083,Physical examination,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,category
6,illnow_yn,,http://purl.obolibrary.org/obo/EUPATH_0000417,Ill now,Ill at time of visit,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,variable
7,,,http://purl.obolibrary.org/obo/EUPATH_0000309,Signs and symptoms,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,category
