uniqueVar,dataSet,variable,dataFile,variable_dataFile,file,colOrder,type,example,dateTime,formatCode,minValue,maxValue,values,uniqueValueCount,percentMissing,flag,keepDiscard,definition,category,termType,notesForOnt,notesForProvider
elicit_data_for_plos_reshaped_v2::pid,ELICIT,pid,elicit_data_for_plos_reshaped_v2,pid,ELICIT_data_for_PLOS_reshaped_v2.csv,1,chr,TZ1C1001,NA,NA,n/a,n/a,>10 unique values,1188,0,NA,discard,,,,,
elicit_data_for_plos_reshaped_v2::obs_number,ELICIT,obs_number,elicit_data_for_plos_reshaped_v2,obs_number,ELICIT_data_for_PLOS_reshaped_v2.csv,2,int,0,NA,NA,0,18,0 to 18,9,0,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::irs_ran_subgroup,ELICIT,irs_ran_subgroup,elicit_data_for_plos_reshaped_v2,irs_ran_subgroup,ELICIT_data_for_PLOS_reshaped_v2.csv,3,int,2,NA,NA,1,4,1 to 4,4,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::child_age,ELICIT,child_age,elicit_data_for_plos_reshaped_v2,child_age,ELICIT_data_for_PLOS_reshaped_v2.csv,4,int,4,NA,NA,0,14,0 to 14,15,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::iaf_age,ELICIT,iaf_age,elicit_data_for_plos_reshaped_v2,iaf_age,ELICIT_data_for_PLOS_reshaped_v2.csv,5,int,34,NA,NA,18,49,18 to 49,31,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::entry_date,ELICIT,entry_date,elicit_data_for_plos_reshaped_v2,entry_date,ELICIT_data_for_PLOS_reshaped_v2.csv,6,chr,05/09/2017,date?,%Y-%m-%d,n/a,n/a,>10 unique values,259,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::dob,ELICIT,dob,elicit_data_for_plos_reshaped_v2,dob,ELICIT_data_for_PLOS_reshaped_v2.csv,7,chr,01/09/2017,date?,%Y-%m-%d,n/a,n/a,>10 unique values,337,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::gender,ELICIT,gender,elicit_data_for_plos_reshaped_v2,gender,ELICIT_data_for_PLOS_reshaped_v2.csv,8,int,1,NA,NA,1,2,1 to 2,2,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::iaf_borninhosp,ELICIT,iaf_borninhosp,elicit_data_for_plos_reshaped_v2,iaf_borninhosp,ELICIT_data_for_PLOS_reshaped_v2.csv,9,int,1,NA,NA,0,1,0 to 1,2,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::height,ELICIT,height,elicit_data_for_plos_reshaped_v2,height,ELICIT_data_for_PLOS_reshaped_v2.csv,10,dbl,48.9,NA,NA,38,86,38 to 86,183,0.712477854,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::weight,ELICIT,weight,elicit_data_for_plos_reshaped_v2,weight,ELICIT_data_for_PLOS_reshaped_v2.csv,11,dbl,2.88,NA,NA,1.58,13.13,1.58 to 13.13,586,0.711718552,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::head,ELICIT,head,elicit_data_for_plos_reshaped_v2,head,ELICIT_data_for_PLOS_reshaped_v2.csv,12,dbl,35,NA,NA,28.3,51.9,28.3 to 51.9,155,0.711971653,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::iaf_eligible,ELICIT,iaf_eligible,elicit_data_for_plos_reshaped_v2,iaf_eligible,ELICIT_data_for_PLOS_reshaped_v2.csv,13,int,1,NA,NA,1,1,1 to 1,1,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::irs_ran_subgroup_nic,ELICIT,irs_ran_subgroup_nic,elicit_data_for_plos_reshaped_v2,irs_ran_subgroup_nic,ELICIT_data_for_PLOS_reshaped_v2.csv,14,chr,NIC-A,NA,NA,n/a,n/a,"NIC-A, NIC-B, NA",2,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::irs_ran_subgroup_anti,ELICIT,irs_ran_subgroup_anti,elicit_data_for_plos_reshaped_v2,irs_ran_subgroup_anti,ELICIT_data_for_PLOS_reshaped_v2.csv,15,chr,ANTI-B,NA,NA,n/a,n/a,"ANTI-A, ANTI-B, NA",2,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::cef_tribal_group,ELICIT,cef_tribal_group,elicit_data_for_plos_reshaped_v2,cef_tribal_group,ELICIT_data_for_PLOS_reshaped_v2.csv,16,int,3,NA,NA,1,5,1 to 5,5,0.851303467,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::cef_nbr_children,ELICIT,cef_nbr_children,elicit_data_for_plos_reshaped_v2,cef_nbr_children,ELICIT_data_for_PLOS_reshaped_v2.csv,17,int,6,NA,NA,1,12,1 to 12,12,0.851303467,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::cef_mother_age_firstchild,ELICIT,cef_mother_age_firstchild,elicit_data_for_plos_reshaped_v2,cef_mother_age_firstchild,ELICIT_data_for_PLOS_reshaped_v2.csv,18,int,22,NA,NA,14,39,14 to 39,20,0.851303467,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::cef_mother_school_years,ELICIT,cef_mother_school_years,elicit_data_for_plos_reshaped_v2,cef_mother_school_years,ELICIT_data_for_PLOS_reshaped_v2.csv,19,int,0,NA,NA,0,18,0 to 18,16,0.851303467,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::cef_rooms,ELICIT,cef_rooms,elicit_data_for_plos_reshaped_v2,cef_rooms,ELICIT_data_for_PLOS_reshaped_v2.csv,20,int,4,NA,NA,1,21,1 to 21,18,0.851303467,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::cef_nbr_people_inhome,ELICIT,cef_nbr_people_inhome,elicit_data_for_plos_reshaped_v2,cef_nbr_people_inhome,ELICIT_data_for_PLOS_reshaped_v2.csv,21,int,7,NA,NA,1,25,1 to 25,22,0.851303467,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::cef_main_src_drinking,ELICIT,cef_main_src_drinking,elicit_data_for_plos_reshaped_v2,cef_main_src_drinking,ELICIT_data_for_PLOS_reshaped_v2.csv,22,int,6,NA,NA,1,7,1 to 7,7,0.851303467,NA,keep,,,,,
