irs_ran_subgroup	EUPATH_0049401	NA	:::UNDEF:::		
child_age	EUPATH_0036404	NA	:::UNDEF:::		
iaf_age	EUPATH_0035109	NA	:::UNDEF:::		
entry_date	EUPATH_0000151	NA	:::UNDEF:::		
dob	EFO_0004950	NA	:::UNDEF:::		
gender	PATO_0000047	1	Male		
gender	PATO_0000047	2	Female		
gender	PATO_0000047	NA	:::UNDEF:::		
iaf_borninhosp	EUPATH_0012417	0	Yes		
iaf_borninhosp	EUPATH_0012417	1	Home		
iaf_borninhosp	EUPATH_0012417	NA	:::UNDEF:::		
height	EUPATH_0010075	NA	:::UNDEF:::		
weight	EUPATH_0000732	NA	:::UNDEF:::		
head	EUPATH_0000683	NA	:::UNDEF:::		
irs_ran_subgroup_nic	EUPATH_0049402	NA	:::UNDEF:::		
irs_ran_subgroup_nic	EUPATH_0049402	NIC-A	Nicotinamide arm A		
irs_ran_subgroup_nic	EUPATH_0049402	NIC-B	Nicotinamide arm B		
irs_ran_subgroup_anti	EUPATH_0049403	ANTI-A	Antibiotic arm A		
irs_ran_subgroup_anti	EUPATH_0049403	ANTI-B	Antibiotic arm B		
irs_ran_subgroup_anti	EUPATH_0049403	NA	:::UNDEF:::		
cef_tribal_group	EUPATH_0023056	1	Datoga		
cef_tribal_group	EUPATH_0023056	2	Hadzabe		
cef_tribal_group	EUPATH_0023056	3	Iraqw		
cef_tribal_group	EUPATH_0023056	4	Nyriramba		
cef_tribal_group	EUPATH_0023056	5	Other		
cef_tribal_group	EUPATH_0023056	NA	:::UNDEF:::		
cef_nbr_children	EUPATH_0036218	NA	:::UNDEF:::		
cef_mother_age_firstchild	EUPATH_0036079	NA	:::UNDEF:::		
cef_mother_school_years	EUPATH_0011605	NA	:::UNDEF:::		
cef_rooms	EUPATH_0011593	NA	:::UNDEF:::		
cef_nbr_people_inhome	EUPATH_0000019	NA	:::UNDEF:::		
cef_main_src_drinking	EUPATH_0010099	1	Piped into dwelling		
cef_main_src_drinking	EUPATH_0010099	2	Piped to yard/plot		
cef_main_src_drinking	EUPATH_0010099	3	Public tap/stand pipe		
cef_main_src_drinking	EUPATH_0010099	4	Tube well or borehole		
cef_main_src_drinking	EUPATH_0010099	5	Protected well		
cef_main_src_drinking	EUPATH_0010099	6	Unprotected well		
cef_main_src_drinking	EUPATH_0010099	7	Surface water (river/dam/ lake/pond/stream/canal/ irrigation canal)		
cef_main_src_drinking	EUPATH_0010099	NA	:::UNDEF:::		
cef_walk_10mins_prim_watersrc	EUPATH_0049404	0	No		
cef_walk_10mins_prim_watersrc	EUPATH_0049404	1	Yes		
cef_walk_10mins_prim_watersrc	EUPATH_0049404	NA	:::UNDEF:::		
cef_treat_water	EUPATH_0010108	0	No		
cef_treat_water	EUPATH_0010108	1	Yes		
cef_treat_water	EUPATH_0010108	NA	:::UNDEF:::		
cef_treat_water_how	EUPATH_0010401	1	Let it stand and settle		
cef_treat_water_how	EUPATH_0010401	2	Solar disinfection		
cef_treat_water_how	EUPATH_0010401	3	Use water filter (ceramic /sand/ composite/ etc.)		
cef_treat_water_how	EUPATH_0010401	4	Strain through a cloth		
cef_treat_water_how	EUPATH_0010401	6	Boil		
cef_treat_water_how	EUPATH_0010401	7	Other		
cef_treat_water_how	EUPATH_0010401	NA	:::UNDEF:::		
cef_toilet	EUPATH_0025085	1	No facility/bush/field or bucket toilet		
cef_toilet	EUPATH_0025085	2	Pit latrine without concrete slab		
cef_toilet	EUPATH_0025085	3	Pit latrine with concrete slab		
cef_toilet	EUPATH_0025085	4	Flush toilet		
cef_toilet	EUPATH_0025085	NA	:::UNDEF:::		
cef_have_mattress	EUPATH_0048034	0	No		
cef_have_mattress	EUPATH_0048034	1	Yes		
cef_have_mattress	EUPATH_0048034	NA	:::UNDEF:::		
cef_own_table	ENVO_01000584	0	No		
cef_own_table	ENVO_01000584	1	Yes		
cef_own_table	ENVO_01000584	NA	:::UNDEF:::		
cef_own_chair_or_bench	ENVO_01000586	0	No		
cef_own_chair_or_bench	ENVO_01000586	1	Yes		
cef_own_chair_or_bench	ENVO_01000586	NA	:::UNDEF:::		
cef_separate_kitchen	EUPATH_0011586	0	No		
cef_separate_kitchen	EUPATH_0011586	1	Yes		
cef_separate_kitchen	EUPATH_0011586	NA	:::UNDEF:::		
cef_refrigerator	ENVO_01000583	0	No		
cef_refrigerator	ENVO_01000583	1	Yes		
cef_refrigerator	ENVO_01000583	NA	:::UNDEF:::		
cef_television	ENVO_01000579	0	No		
cef_television	ENVO_01000579	1	Yes		
cef_television	ENVO_01000579	NA	:::UNDEF:::		
cef_mobile_telephone	ENVO_01000580	0	No		
cef_mobile_telephone	ENVO_01000580	1	Yes		
cef_mobile_telephone	ENVO_01000580	NA	:::UNDEF:::		
cef_bank_account	EUPATH_0000167	0	No		
cef_bank_account	EUPATH_0000167	1	Yes		
cef_bank_account	EUPATH_0000167	NA	:::UNDEF:::		
cef_avg_mthly_income	EUPATH_0000727	NA	:::UNDEF:::		
in.usd	EUPATH_0011606	NA	:::UNDEF:::		
incat	EUPATH_0011601	0	income in US dollars in noniles		
incat	EUPATH_0011601	1	income in US dollars in noniles		
incat	EUPATH_0011601	2	income in US dollars in noniles		
incat	EUPATH_0011601	3	income in US dollars in noniles		
incat	EUPATH_0011601	4	income in US dollars in noniles		
incat	EUPATH_0011601	5	income in US dollars in noniles		
incat	EUPATH_0011601	6	income in US dollars in noniles		
incat	EUPATH_0011601	7	income in US dollars in noniles		
incat	EUPATH_0011601	NA	:::UNDEF:::		
impsan	EUPATH_0011607	0	0 points - unimproved		
impsan	EUPATH_0011607	4	4 points - improved		
impsan	EUPATH_0011607	NA	:::UNDEF:::		
