IRI,label,category,parentLabel,variable,dataFile,displayOrder,codebookDescription,repeated,is_temporal,mergeKey,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
ENVO_01000739,Habitat,Community,Environment information,DiabImmune.txt::env_feature,DiabImmune.txt,,,,,,ENVO_00002297,,,,,,,,,
ENVO_00000009,Country,Community,Geographic location,DiabImmune.txt::country,DiabImmune.txt,1,,,,,,,,yes,,,,,,
EUPATH_0011928,Urban or rural site,Community,Geographic location,DiabImmune.txt::birth_location,DiabImmune.txt,2,"Location of the household when the child was born, urban or rural",,,,,,,,,,,,,
EUPATH_0037026,Age at anthropometry,Participant,Anthropometry,DiabImmune.txt::agedays_zBMI_last | DiabImmune.txt::agedays_haz_last | DiabImmune.txt::agedays_waz_last,DiabImmune.txt,1,Age when the last anthropometry measurements were taken. ,,,,,days,http://purl.obolibrary.org/obo/UO_0000033,,,,,,,
EUPATH_0011894,Height-for-age z-score,Participant,Anthropometry,DiabImmune.txt::haz_last,DiabImmune.txt,2,Height-for-age z-score at the last measurement point,,,,,,,,,,-3,4,,
EUPATH_0000733,Weight-for-age z-score,Participant,Anthropometry,DiabImmune.txt::waz_last,DiabImmune.txt,3,Weight-for-age z-score at the last measurement point,,,,,,,,,,-3,4,,
EUPATH_0000662,BMI-for-age z-score,Participant,Anthropometry,DiabImmune.txt::zBMI_last,DiabImmune.txt,4,BMI-for-age z-score at the last measurement point,,,,,,,,,,-3,4,,
EUPATH_0009052,Linear growth during 1st year,Participant,Anthropometry,DiabImmune.txt::length_growth_pace_during_year_one,DiabImmune.txt,5,Linear growth during the first year of life.,,,,,cm,http://purl.obolibrary.org/obo/UO_0000015,,,,,,,
EUPATH_0009051,Weight gain during 1st year,Participant,Anthropometry,DiabImmune.txt::weight_growth_pace_during_year_one,DiabImmune.txt,6,Weight gain during the first year of life.,,,,,kg,http://purl.obolibrary.org/obo/UO_0000009,,,,,,,
EUPATH_0009050,Mean linear growth during 1st 3 years,Participant,Anthropometry,DiabImmune.txt::length_growth_pace_during_three_years,DiabImmune.txt,7,Average linear growth pace during first three years of life.,,,,,cm/year,http://purl.obolibrary.org/obo/EUPATH_0009998,,,,,,,
EUPATH_0009049,Mean weight gain during 1st 3 years,Participant,Anthropometry,DiabImmune.txt::weight_growth_pace_during_three_years,DiabImmune.txt,8,Average weight gain during first three years of life.,,,,,kg/year,http://purl.obolibrary.org/obo/EUPATH_0009999,,,,,,,
EUPATH_0033152,Breastfeeding duration,Participant,Breastfeeding,DiabImmune.txt::bf_length,DiabImmune.txt,1,"Total time breastfed, until weaning",,,,,days,http://purl.obolibrary.org/obo/UO_0000033,,,,,,,
EUPATH_0033181,Exclusive breastfeeding duration,Participant,Breastfeeding,DiabImmune.txt::bf_length_exclusive,DiabImmune.txt,2,"Total time exclusively breastfed, until introduced to solid food(s)",,,,,days,http://purl.obolibrary.org/obo/UO_0000033,,,,,,,
OBI_0001169,Age,Participant,Demographics,DiabImmune.txt::age_at_collection_months,DiabImmune.txt,1,Age at stool sample collection.,yes,yes,yes,,months,http://purl.obolibrary.org/obo/UO_0000035,yes,,,,,,
PATO_0000047,Sex,Participant,Demographics,DiabImmune.txt::gender,DiabImmune.txt,2,,,,,,,,,,,,,,
EUPATH_0009041,Age at two autoantibodies positive,Participant,Diabetes-associated autoantibodies measurement,DiabImmune.txt::age_second_pos,DiabImmune.txt,1,"Age when two different autoantibodies were measured positive, i.e. Seroconversion",,,,,days,http://purl.obolibrary.org/obo/UO_0000033,,,,,,,
EUPATH_0009044,Insulin autoantibodies,Participant,Diabetes-associated autoantibodies measurement,DiabImmune.txt::IAA,DiabImmune.txt,2,Child has measured positive for insulin autoantibodies (IAA),,,,,,,,,,,,,
