variable	variable2	values	mappedTerm	valueOrder
agg_follow_up::data_source	agg_follow_up::data_source	cati_follow_up	Computer assisted telephone interview	
agg_follow_up::data_source	agg_follow_up::data_source	cati_remote_home_visit	Computer assisted telephone interview remote home visit	
agg_follow_up::data_source	agg_follow_up::data_source	cati_tl_follow_up	Computer assisted telephone team leader interview	
agg_follow_up::data_source	agg_follow_up::data_source	cati_tl_remote_home_visit	Computer assisted telephone team leader interview remote home visit	
agg_follow_up::data_source	agg_follow_up::data_source	fida_follow_up	Field based home visit	
agg_follow_up::data_source	agg_follow_up::data_source	fida_tl_home_visit	Field based team leader home visit	
agg_follow_up::data_source	agg_follow_up::data_source	multiple	Multiple	
agg_follow_up::response_person	EUPATH_0010123	-1	:::UNDEF:::	
agg_follow_up::response_person	EUPATH_0010123	0	Participant	
agg_follow_up::response_person	EUPATH_0010123	1	Husband	
agg_follow_up::response_person	EUPATH_0010123	3	Other immediate family member	
agg_follow_up::response_person	EUPATH_0010123	NA	:::UNDEF:::		
agg_follow_up::delivery_type	agg_follow_up::delivery_type	1	Vaginal	
agg_follow_up::delivery_type	agg_follow_up::delivery_type	2	Caesarean section	
agg_follow_up::delivery_type	agg_follow_up::delivery_type	NA	:::UNDEF:::	
agg_follow_up::num_of_births	agg_follow_up::num_of_births	NA	:::UNDEF:::	
agg_follow_up::baby_alive_at_discharge	agg_follow_up::baby_alive_at_discharge	0	No	
agg_follow_up::baby_alive_at_discharge	agg_follow_up::baby_alive_at_discharge	1	Yes	
agg_follow_up::baby_alive_at_discharge	agg_follow_up::baby_alive_at_discharge	NA	:::UNDEF:::	
agg_follow_up::num_stillborn_dead_babies_v2	agg_follow_up::num_stillborn_dead_babies_v2	NA	:::UNDEF:::	
agg_follow_up::maternal_death_occurred	agg_follow_up::maternal_death_occurred	0	Alive	
agg_follow_up::maternal_death_occurred	agg_follow_up::maternal_death_occurred	1	Dead	
agg_follow_up::maternal_death_occurred	agg_follow_up::maternal_death_occurred	NA	:::UNDEF:::	
agg_follow_up::maternal_death_7days	agg_follow_up::maternal_death_7days	0	No	
agg_follow_up::maternal_death_7days	agg_follow_up::maternal_death_7days	1	Yes	
agg_follow_up::maternal_death_7days	agg_follow_up::maternal_death_7days	NA	:::UNDEF:::	
agg_follow_up::baby1_death	agg_follow_up::baby1_death	0	Alive	
agg_follow_up::baby1_death	agg_follow_up::baby1_death	1	Dead	
agg_follow_up::baby1_death	agg_follow_up::baby1_death	NA	:::UNDEF:::	
agg_follow_up::baby1_death_7days	agg_follow_up::baby1_death_7days	0	No	
agg_follow_up::baby1_death_7days	agg_follow_up::baby1_death_7days	1	Yes	
agg_follow_up::baby1_death_7days	agg_follow_up::baby1_death_7days	NA	:::UNDEF:::	
agg_follow_up::baby2_death	agg_follow_up::baby2_death	0	Alive	
agg_follow_up::baby2_death	agg_follow_up::baby2_death	1	Dead	
agg_follow_up::baby2_death	agg_follow_up::baby2_death	NA	:::UNDEF:::	
agg_follow_up::baby2_death_7days	agg_follow_up::baby2_death_7days	0	No	
agg_follow_up::baby2_death_7days	agg_follow_up::baby2_death_7days	1	Yes	
agg_follow_up::baby2_death_7days	agg_follow_up::baby2_death_7days	NA	:::UNDEF:::	
agg_follow_up::baby3_death	agg_follow_up::baby3_death	0	Alive	
agg_follow_up::baby3_death	agg_follow_up::baby3_death	1	Dead	
agg_follow_up::baby3_death	agg_follow_up::baby3_death	NA	:::UNDEF:::	
agg_follow_up::baby3_death_7days	agg_follow_up::baby3_death_7days	0	No	
agg_follow_up::baby3_death_7days	agg_follow_up::baby3_death_7days	1	Yes	
agg_follow_up::baby3_death_7days	agg_follow_up::baby3_death_7days	NA	:::UNDEF:::	
agg_follow_up::fits	SYMP_0000124	0	No	
agg_follow_up::fits	SYMP_0000124	1	Yes	
agg_follow_up::fits	SYMP_0000124	2	Unknown	
agg_follow_up::fits	SYMP_0000124	3	Refused to answer	
agg_follow_up::fits	SYMP_0000124	NA	:::UNDEF:::	
agg_follow_up::fits_7days	agg_follow_up::fits_7days	0	No	
agg_follow_up::fits_7days	agg_follow_up::fits_7days	1	Yes	
agg_follow_up::fits_7days	agg_follow_up::fits_7days	NA	:::UNDEF:::	
agg_follow_up::loss_consciousness	agg_follow_up::loss_consciousness	0	No	
agg_follow_up::loss_consciousness	agg_follow_up::loss_consciousness	1	Yes	
agg_follow_up::loss_consciousness	agg_follow_up::loss_consciousness	2	Unknown	
agg_follow_up::loss_consciousness	agg_follow_up::loss_consciousness	3	Refused to answer	
agg_follow_up::loss_consciousness	agg_follow_up::loss_consciousness	99	Unable to complete call	
agg_follow_up::loss_consciousness	agg_follow_up::loss_consciousness	NA	:::UNDEF:::	
agg_follow_up::loss_consciousness_7days	agg_follow_up::loss_consciousness_7days	0	No	
agg_follow_up::loss_consciousness_7days	agg_follow_up::loss_consciousness_7days	1	Yes	
agg_follow_up::loss_consciousness_7days	agg_follow_up::loss_consciousness_7days	2	Unknown	
agg_follow_up::loss_consciousness_7days	agg_follow_up::loss_consciousness_7days	NA	:::UNDEF:::	
agg_follow_up::loss_consciousness_conf	agg_follow_up::loss_consciousness_conf	0	No	
agg_follow_up::loss_consciousness_conf	agg_follow_up::loss_consciousness_conf	1	Yes	
agg_follow_up::loss_consciousness_conf	agg_follow_up::loss_consciousness_conf	2	Unknown	
agg_follow_up::loss_consciousness_conf	agg_follow_up::loss_consciousness_conf	NA	:::UNDEF:::	
agg_follow_up::fever	EUPATH_0000100	0	No	
agg_follow_up::fever	EUPATH_0000100	1	Yes	
agg_follow_up::fever	EUPATH_0000100	2	Unknown	
agg_follow_up::fever	EUPATH_0000100	3	Refused to answer	
agg_follow_up::fever	EUPATH_0000100	NA	:::UNDEF:::	
agg_follow_up::fever_smelly_discharge	agg_follow_up::fever_smelly_discharge	0	No	
agg_follow_up::fever_smelly_discharge	agg_follow_up::fever_smelly_discharge	1	Yes	
agg_follow_up::fever_smelly_discharge	agg_follow_up::fever_smelly_discharge	2	Unknown	
agg_follow_up::fever_smelly_discharge	agg_follow_up::fever_smelly_discharge	NA	:::UNDEF:::	
agg_follow_up::fever_7days	agg_follow_up::fever_7days	0	No	
agg_follow_up::fever_7days	agg_follow_up::fever_7days	1	Yes	
agg_follow_up::fever_7days	agg_follow_up::fever_7days	2	Unknown	
agg_follow_up::fever_7days	agg_follow_up::fever_7days	NA	:::UNDEF:::	
agg_follow_up::transfusion	EUPATH_0021160	0	No	
agg_follow_up::transfusion	EUPATH_0021160	1	Yes	
agg_follow_up::transfusion	EUPATH_0021160	2	Unknown	
agg_follow_up::transfusion	EUPATH_0021160	3	Refused to answer	
agg_follow_up::transfusion	EUPATH_0021160	NA	:::UNDEF:::	
agg_follow_up::transfusion_7days	agg_follow_up::transfusion_7days	0	No	
agg_follow_up::transfusion_7days	agg_follow_up::transfusion_7days	1	Yes	
agg_follow_up::transfusion_7days	agg_follow_up::transfusion_7days	NA	:::UNDEF:::	
agg_follow_up::hysterectomy	agg_follow_up::hysterectomy	0	No	
agg_follow_up::hysterectomy	agg_follow_up::hysterectomy	1	Yes	
agg_follow_up::hysterectomy	agg_follow_up::hysterectomy	2	Unknown	
agg_follow_up::hysterectomy	agg_follow_up::hysterectomy	3	Refused to answer	
agg_follow_up::hysterectomy	agg_follow_up::hysterectomy	NA	:::UNDEF:::	
agg_follow_up::hysterectomy_7days	agg_follow_up::hysterectomy_7days	0	No	
agg_follow_up::hysterectomy_7days	agg_follow_up::hysterectomy_7days	1	Yes	
