uniqueVar,value,mappedTerm,
hh_12m::cov_spray,-9,:::UNDEF:::,
hh_12m::cov_spray,-8,Refused to answer,
hh_12m::cov_spray,-7,Don't know,
hh_12m::cov_spray,0,No,
hh_12m::cov_spray,1,Yes,
hh_12m::tcat,1,Thatched / Thatched,
hh_12m::tcat,2,Mud and poles / Thatched,
hh_12m::tcat,3,Mud and poles / Iron sheets,
hh_12m::tcat,4,Bricks no plaster / Thatched,
hh_12m::tcat,5,Bricks no plaster / Iron sheets,
hh_12m::tcat,6,Bricks with plaster / Thatched,
hh_12m::tcat,7,Bricks with plaster / Iron sheets,
hh_12m::tcat,NA,:::UNDEF:::,
hh_24m::airbricks,No,No,
hh_24m::airbricks,Yes,Yes,
hh_24m::scrairbricks,No,No,
hh_24m::scrairbricks,Skipped or NA,:::UNDEF:::,
hh_24m::scrairbricks,Yes,Yes,
hh_member_12m::feverday,-9,:::UNDEF:::,
hh_member_12m::feverseverity,-9,:::UNDEF:::,
hh_member_12m::feverseverity,1,Mild fever,
hh_member_12m::feverseverity,2,Moderate fever,
hh_member_12m::feverseverity,3,Severe fever,
hh_member_12m::feveroutcome,-9,:::UNDEF:::,
hh_member_12m::feveroutcome,1,Illness resolved,
hh_member_12m::feveroutcome,2,Still ill,
hh_member_12m::durationofillness,-9,:::UNDEF:::,
hh_member_12m::durationoffwork,-9,:::UNDEF:::,
hh_member_12m::caregiver,-9,:::UNDEF:::,
hh_member_12m::caregiver,0,No,
hh_member_12m::caregiver,1,Yes,
hh_member_12m::caregiverduration,-9,:::UNDEF:::,
hh_member_12m::reasonnotreat,-9,:::UNDEF:::,
hh_member_12m::reasonnotreat,1,Illness not severe enough,
hh_member_12m::reasonnotreat,2,Got better,
hh_member_12m::reasonnotreat,3,Not enough money,
hh_member_12m::reasonnotreat,4,Too far away,
hh_member_12m::reasonnotreat,5,No transport,
hh_member_12m::reasonnotreat,7,Other,
hh_member_12m::othreasonnotreat,-9,:::UNDEF:::,
hh_member_12m::fever2wks_act,-9,:::UNDEF:::,
hh_member_12m::fever2wks_act,0,0,
hh_member_12m::fever2wks_act,"0,1,4","0,1,4",
hh_member_12m::fever2wks_act,"0,10","0,10",
hh_member_12m::fever2wks_act,"0,11","0,11",
hh_member_12m::fever2wks_act,"0,2","0,2",
hh_member_12m::fever2wks_act,"0,3","0,3",
hh_member_12m::fever2wks_act,"0,4","0,4",
hh_member_12m::fever2wks_act,"0,5","0,5",
hh_member_12m::fever2wks_act,"0,7","0,7",
hh_member_12m::fever2wks_act,"0,8","0,8",
hh_member_12m::fever2wks_act,1,1,
hh_member_12m::fever2wks_act,"1,4","1,4",
hh_member_12m::fever2wks_act,"1,9","1,9",
hh_member_12m::fever2wks_act,10,10,
hh_member_12m::fever2wks_act,3,3,
hh_member_12m::fever2wks_act,"3,4","3,4",
hh_member_12m::fever2wks_act,4,4,
hh_member_12m::fever2wks_act,5,5,
hh_member_12m::fever2wks_act,6,6,
hh_member_12m::fever2wks_act,9,9,
hh_member_12m::firstprovider,-9,:::UNDEF:::,
hh_member_12m::firstprovider,0,Specific UMSP MRC,
hh_member_12m::firstprovider,1,Other public health facility,
hh_member_12m::firstprovider,3,Private pharmacy,
hh_member_12m::firstprovider,4,Private health facility,
hh_member_12m::firstprovider,5,Community Health Worker,
hh_member_12m::firstprovider,6,Self-treatment with none of the above involved,
hh_member_12m::firstprovider,9,Dispensary,
hh_member_12m::firstprovider,10,Shop/Kiosk,
hh_member_12m::timetotreat1,-9,:::UNDEF:::,
hh_member_12m::timetotreat1,0,0 (same day),1
hh_member_12m::timetotreat1,1,1 (next day),2
hh_member_12m::timetotreat1,2,2 days later,3
hh_member_12m::timetotreat1,3,3 days later,4
hh_member_12m::timetotreat1,4,4 days later,5
hh_member_12m::reasonprovider1,-9,:::UNDEF:::,
hh_member_12m::reasonprovider1,1,Proximity,
hh_member_12m::reasonprovider1,2,Good reputation,
hh_member_12m::reasonprovider1,3,Inexpensive,
hh_member_12m::reasonprovider1,4,Good personal experience,
hh_member_12m::reasonprovider1,5,Qualificaition of staff,
hh_member_12m::reasonprovider1,6,Availability of drugs,
hh_member_12m::reasonprovider1,7,Relative/friend works here,
hh_member_12m::reasonprovider1,8,Can get treatment on credit,
hh_member_12m::reasonprovider1,9,Just to see,
hh_member_12m::distance1,-9,:::UNDEF:::,
hh_member_12m::distance1,-7,:::UNDEF:::,
hh_member_12m::journeypeople1,-9,:::UNDEF:::,
hh_member_12m::journeypeople1,-7,:::UNDEF:::,
hh_member_12m::journeytime1,-7,:::UNDEF:::,
hh_member_12m::journeytime1,-9,:::UNDEF:::,
hh_member_12m::journeytime1,0,0,
hh_member_12m::journeytime1,1 Minutes,1,
hh_member_12m::journeytime1,10 Minutes,10,
hh_member_12m::journeytime1,12 Minutes,12,
hh_member_12m::journeytime1,13 Minutes,13,
hh_member_12m::journeytime1,15 Minutes,15,
hh_member_12m::journeytime1,180 Minutes,180,
hh_member_12m::journeytime1,2 Minutes,2,
hh_member_12m::journeytime1,20 Minutes,20,
hh_member_12m::journeytime1,25 Minutes,25,
hh_member_12m::journeytime1,3 Minutes,3,
hh_member_12m::journeytime1,30 Minutes,30,
hh_member_12m::journeytime1,35 Minutes,35,
hh_member_12m::journeytime1,4 Minutes,4,
hh_member_12m::journeytime1,40 Minutes,40,
hh_member_12m::journeytime1,45 Minutes,45,
hh_member_12m::journeytime1,5 Minutes,5,
hh_member_12m::journeytime1,50 Minutes,50,
hh_member_12m::journeytime1,60 Minutes,60,
hh_member_12m::journeytime1,7 Minutes,7,
hh_member_12m::journeytime1,8 Minutes,8,
hh_member_12m::journeytime1,80 Minutes,80,
hh_member_12m::journeytime1,90 Minutes,90,
hh_member_12m::transportcost1,-9,:::UNDEF:::,
hh_member_12m::overnight1,-9,:::UNDEF:::,
hh_member_12m::diagnosis1,-9,:::UNDEF:::,
hh_member_12m::diagnosis1,1,"Diagnostic test not advised, no test performed",
hh_member_12m::diagnosis1,2,"Diagnostic test not advised, test performed",
hh_member_12m::diagnosis1,3,"Diagnostic test advised, no test performed",
hh_member_12m::diagnosis1,4,"Diagnostic test advised, test performed",
hh_member_12m::test1,-9,:::UNDEF:::,
hh_member_12m::test1,-7,Do not know,
hh_member_12m::test1,1,RDT,
hh_member_12m::test1,2,Microscopy,
hh_member_12m::test1,3,Both RDT and microscopy,
hh_member_12m::testcost1,-9,:::UNDEF:::,
hh_member_12m::testresult1,-9,:::UNDEF:::,
hh_member_12m::testresult1,-7,Do not know,
hh_member_12m::testresult1,1,Positive,
hh_member_12m::testresult1,2,Negative,
hh_member_12m::receivedrugs1,-9,:::UNDEF:::,
hh_member_12m::receivedrugs1,1,Received medicine,
hh_member_12m::receivedrugs1,2,Received prescription,
hh_member_12m::receivedrugs1,3,Did not receive medicine nor prescription,
hh_member_12m::aldose1,-9,:::UNDEF:::,
hh_member_12m::artedose1,-9,:::UNDEF:::,
hh_member_12m::artecost1,-9,:::UNDEF:::,
hh_member_12m::amoddose1,-9,:::UNDEF:::,
hh_member_12m::amodcost1,-9,:::UNDEF:::,
hh_member_12m::dpdose1,-9,:::UNDEF:::,
hh_member_12m::dpcost1,-9,:::UNDEF:::,
hh_member_12m::qndose1,-9,:::UNDEF:::,
hh_member_12m::qncost1,-9,:::UNDEF:::,
hh_member_12m::arteivdose1,-9,:::UNDEF:::,
hh_member_12m::arteivcost1,-9,:::UNDEF:::,
hh_member_12m::qnivdose1,-9,:::UNDEF:::,
hh_member_12m::qnivcost1,-9,:::UNDEF:::,
hh_member_12m::panadose1,-9,:::UNDEF:::,
hh_member_12m::panacost1,-9,:::UNDEF:::,
hh_member_12m::amoxdose1,-9,:::UNDEF:::,
hh_member_12m::amoxcost1,-9,:::UNDEF:::,
hh_member_12m::recommendation1,-7,Do not know,
