# version-2			
health_facility::country	uganda	Uganda	
hh_member_12m::abdpainyn	-9	:::UNDEF:::	
hh_member_12m::abdpainyn	-7	Don't know	
hh_member_12m::abdpainyn	0	No	
hh_member_12m::abdpainyn	1	Yes	
hh_member_12m::abdpainyn	NA	:::UNDEF:::	
hh_12m::adequatellins	0	No	
hh_12m::adequatellins	1	Yes	
hh_24m::adequatellins	0	No	
hh_24m::adequatellins	1	Yes	
hh_12m::adequatenets	0	No	
hh_12m::adequatenets	1	Yes	
hh_24m::adequatenets	0	No	
hh_24m::adequatenets	1	Yes	
hh_12m::adequatepn	0	No	
hh_12m::adequatepn	1	Yes	
hh_24m::adequatepn	0	No	
hh_24m::adequatepn	1	Yes	
hh_12m::adequaterg	0	No	
hh_12m::adequaterg	1	Yes	
hh_24m::adequaterg	0	No	
hh_24m::adequaterg	1	Yes	
hh_member_12m::age2to10	0	No	
hh_member_12m::age2to10	1	Yes	
hh_member_24m::age2to10	0	No	
hh_member_24m::age2to10	1	Yes	
hh_member_12m::age2to10consented	0	No	
hh_member_12m::age2to10consented	1	Yes	
hh_member_24m::age2to10consented	0	No	
hh_member_24m::age2to10consented	1	Yes	
hh_member_12m::age2to4	0	No	
hh_member_12m::age2to4	1	Yes	
hh_member_24m::age2to4	0	No	
hh_member_24m::age2to4	1	Yes	
hh_member_12m::age2to4consented	0	No	
hh_member_12m::age2to4consented	1	Yes	
hh_member_24m::age2to4consented	0	No	
hh_member_24m::age2to4consented	1	Yes	
hh_member_24m::age5to18	0	No	
hh_member_24m::age5to18	1	Yes	
hh_member_12m::agecat	1	Less than 5 years	1
hh_member_12m::agecat	2	5 to 15 years	2
hh_member_12m::agecat	3	16 years or older	3
hh_member_24m::agecat	1	Less than 5 years	1
hh_member_24m::agecat	2	5 to 15 years	2
hh_member_24m::agecat	3	16 years or older	3
hh_12m::ahwker	-7	Don't know	
hh_12m::ahwker	0	No	
hh_12m::ahwker	1	Yes	
hh_24m::ahwker	-7	Don't know	
hh_24m::ahwker	0	No	
hh_24m::ahwker	1	Yes	
hh_24m::airbricks	No	No	
hh_24m::airbricks	Yes	Yes	
hh_member_12m::al	-9	:::UNDEF:::	
hh_member_12m::al	0	No	
hh_member_12m::al	1	Yes	
hh_member_12m::al	NA	:::UNDEF:::	
hh_member_24m::al	-9	:::UNDEF:::	
hh_member_24m::al	0	No	
hh_member_24m::al	1	Yes	
hh_member_24m::al	NA	:::UNDEF:::	
hh_member_12m::alcost1	-9	:::UNDEF:::	
hh_member_12m::alcost2	-9	:::UNDEF:::	
hh_member_12m::aldose1	-9	:::UNDEF:::	
hh_member_12m::aldose1	6	6 tablets	1
hh_member_12m::aldose1	12	12 tablets	2
hh_member_12m::aldose1	18	18 tablets	3
hh_member_12m::aldose1	24	24 tablets	4
hh_member_12m::aldose2	-9	:::UNDEF:::	
hh_member_12m::aldose2	6	6 tablets	1
hh_member_12m::aldose2	12	12 tablets	2
hh_member_12m::aldose2	18	18 tablets	3
hh_member_12m::aldose2	24	24 tablets	4
hh_12m::amchwker	-7	Don't know	
hh_12m::amchwker	0	No	
hh_12m::amchwker	1	Yes	
hh_24m::amchwker	-8	Refused to answer	
hh_24m::amchwker	-7	Don't know	
hh_24m::amchwker	0	No	
hh_24m::amchwker	1	Yes	
hh_member_12m::amodcost1	-9	:::UNDEF:::	
hh_member_12m::amodcost2	-9	:::UNDEF:::	
hh_member_12m::amoddose1	-9	:::UNDEF:::	
hh_member_12m::amoddose1	3	3 tablets	1
hh_member_12m::amoddose1	8	8 tablets	2
hh_member_12m::amoddose2	-9	:::UNDEF:::	
hh_member_12m::amoxcost1	-9	:::UNDEF:::	
hh_member_12m::amoxcost2	-9	:::UNDEF:::	
hh_member_12m::amoxdose1	1	1 bottle syrup	1
hh_member_12m::amoxdose1	15	15 tablets	2
hh_member_12m::amoxdose1	30	30 tablets	3
hh_member_12m::amoxdose1	-9	:::UNDEF:::	
hh_member_12m::amoxdose2	-9	:::UNDEF:::	
hh_member_12m::amoxdose2	1	1 bottle syrup	1
hh_member_12m::amoxdose2	15	15 tablets	2
hh_member_12m::amoxdose2	30	30 tablets	3
hh_member_12m::anemia10	0	No	
hh_member_12m::anemia10	1	Yes	
hh_member_12m::anemia10	NA	:::UNDEF:::	
hh_member_24m::anemia10	0	No	
hh_member_24m::anemia10	1	Yes	
hh_member_24m::anemia10	NA	:::UNDEF:::	
hh_member_12m::anemia11	0	No	
hh_member_12m::anemia11	1	Yes	
hh_member_12m::anemia11	NA	:::UNDEF:::	
hh_member_24m::anemia11	0	No	
hh_member_24m::anemia11	1	Yes	
hh_member_24m::anemia11	NA	:::UNDEF:::	
hh_member_12m::anemia8	0	No	
hh_member_12m::anemia8	1	Yes	
hh_member_12m::anemia8	NA	:::UNDEF:::	
hh_member_24m::anemia8	0	No	
hh_member_24m::anemia8	1	Yes	
hh_member_24m::anemia8	NA	:::UNDEF:::	
hh_member_12m::anosmiayn	-9	:::UNDEF:::	
hh_member_12m::anosmiayn	-7	Don't know	
hh_member_12m::anosmiayn	0	No	
hh_member_12m::anosmiayn	1	Yes	
hh_member_12m::anosmiayn	NA	:::UNDEF:::	
bednet_12m::anyllin	0	No	
bednet_12m::anyllin	1	Yes	
bednet_24m::anyllin	0	No	
bednet_24m::anyllin	1	Yes	
hh_12m::anyllindich	0	None	
hh_12m::anyllindich	1	At least one	
hh_24m::anyllindich	0	None	
hh_24m::anyllindich	1	At least one	
hh_12m::anypndich	0	None	
hh_12m::anypndich	1	At least one	
hh_24m::anypndich	0	None	
hh_24m::anypndich	1	At least one	
hh_12m::anyrgdich	0	None	
hh_12m::anyrgdich	1	At least one	
hh_24m::anyrgdich	0	None	
hh_24m::anyrgdich	1	At least one	
hh_member_12m::artecost1	-9	:::UNDEF:::	
hh_member_12m::artecost2	-9	:::UNDEF:::	
hh_member_12m::artedose1	-9	:::UNDEF:::	
hh_member_12m::artedose1	2	2 tablets	1
hh_member_12m::artedose1	3	3 tablets	2
hh_member_12m::artedose1	6	6 tablets	3
hh_member_12m::artedose1	8	8 tablets	4
hh_member_12m::artedose2	-9	:::UNDEF:::	
hh_member_12m::artedose2	6	6 tablets	
hh_member_12m::arteivcost1	-9	:::UNDEF:::	
hh_member_12m::arteivcost2	-9	:::UNDEF:::	
