"colOrder","variable","dataFile","IRI","label","definition","category","parentIRI","parentLabel","codebookDescription","codebookValues","termType","notesForOnt","repeated","is_temporal","mergeKey","dataSet","unitLabel","unitIRI","is_featured","hidden","scale","defaultDisplayRangeMin","defaultDisplayRangeMax","defaultBinWidth","forceStringType"
"2","newclinicid","clinicdata_to_share","EUPATH_0025072","Health center","","Community","","","Clinics where women attending their prenatal care visit. 26 clinics were randomized and participated in the trial. The 26 clinics are included on the data release. New clinics IDs were constructed for the data release. Each clinic was assigned a random number. The clusters were rank ordered according to the random number and assigned a new identification number based on their rank. The new ID consists of a 2-digit number.","Values 01-26","variable","","","","","Preventing Congenital Syphilis","","","","","","","","",""
"3","country","clinicdata_to_share","ENVO_00000009","Country","","Community","","","Country where the clinic located","1. DRC; 2. Zambia","variable","","","","","Preventing Congenital Syphilis","","","","","","","","",""
"1","alloc12","clinicdata_to_share","EUPATH_0044124","Cluster study arm","","Community","","","Allocation to which the clinic was randomized","1. Intervention; 2. Control","variable","","","","","Preventing Congenital Syphilis","","","yes","","","","","",""
"4","typeclinic","clinicdata_to_share","","Health center type","Type of antenatal care clinic","Community","","Cluster level information","Site (hospital) where women attending their prenatal care visit. If Clinic belong to the public system, then TypeClinic=1, If Clinic belong to the private system, then TypeClinic=2, If Clinic is faith based then, TypeClinic =3","1. Public; 2. Private; 3. Faith-based","variable","","","","","Preventing Congenital Syphilis","","","","","","","","",""
"5","program","clinicdata_to_share","","Syphilis/HIV program at health center","","Community","","Cluster level information","Site (hospital) where women attending their prenatal care visit has a Syphilis/HIV program. If Clinic had Syphilis/HIV program, then Program =1. Otherwise, if it did not have any Syphilis/HIV program then Program =2.","1. Yes; 2. No","variable","","","","","Preventing Congenital Syphilis","","","","","","","","",""
"","","","","Cluster level information","","Community","EUPATH_0035127","Community","","","category","","","","","Preventing Congenital Syphilis","","","","","","","","",""
"6","firstvisits","clinicdata_to_share","","First ANC visits count","Number of first antenatal care (ANC) visits performed during the study period at the clinic","Community","","Cluster level information","Number of first prenatal care visits performed during the study period.","numeric","variable","","","","","Preventing Congenital Syphilis","","","","","","","","",""
"7","visitsperprov","clinicdata_to_share","","First ANC visits per provider count","Number of first antenatal care (ANC) visits performed during the study period divided by the number of health providers who were qualified to perform rapid tests and administer injections (nurses, doctors, midwives) at the clinic","Community","","Cluster level information","Number of first prenatal care visits performed during the study period divided by the number of health providers who were qualified to perform rapid tests and administer injections (nurses, doctors, midwives)","numeric","variable","","","","","Preventing Congenital Syphilis","","","","","","","","",""
"25","study_period","syphilis_to_share","","Data collection period","","Participant","EUPATH_0000310","'Observation details","Data collection of baseline period (month-day-year) categorized as study_period =1. Zambia: from 04-13-2015 to 01-10-2016 and DRC:  from 04-01-2015  to 01-13-2016. Data collection of intervention period (year/month/day) categorized as  study_period =2. Zambia: 02-08-2016 to  07-14-2017 and DRC: 02-01-2016 to 07-14 -2017","1. Baseline; 2. Intervention","variable","","","","","Preventing Congenital Syphilis","","","yes","","","","","",""
"21","study_month","syphilis_to_share","","Observation month and year","","Participant","EUPATH_0000310","'Observation details","Month and year in which the study was conducted.","Values 01-28","variable","","","","","Preventing Congenital Syphilis","","","","","","","","",""
"1","syph01_03b_e1_c1","syphilis_to_share","EUPATH_0000120","'Age at enrollment","","Participant","EUPATH_0010035","'Administrative information","Continuous measure of maternal age at the time of enrollment (years)","numeric","variable","","","","","Preventing Congenital Syphilis","years","","","","","","","",""
"26","syph02_agecat","syphilis_to_share","","Age group at enrollment","","Participant","EUPATH_0010035","'Administrative information","Continuous measure of maternal age at the time of enrollment categorized as less than 20 (SYPH02_AgeCat=1), 20-34 (SYPH02_AgeCat=2), 35 or greater than 35 (SYPH02_AgeCat=3).","1. Less than 20; 2. Between 20 and 34; 3. 35 or more","variable","","","","","Preventing Congenital Syphilis","","","","","","","","",""
"2","syph02_04_e2_c2","syphilis_to_share","OMRSE_00002045","Education level","","Participant","EUPATH_0010981","Demographics","If maternal education is no formal schooling illiterate then SYPH02_04_E2_C2=1. Otherwise if maternal education is no formal schooling literate then SYPH02_04_E2_C2=2. Otherwise if maternal education is primary incomplete then SYPH02_04_E2_C2=3. Otherwise if maternal education is primary complete then SYPH02_04_E2_C2=4. Otherwise if maternal education is secondary incomplete then SYPH02_04_E2_C2=5. Otherwise if maternal education is secondary complete then SYPH02_04_E2_C2=6. Otherwise if maternal education is university/college incomplete then SYPH02_04_E2_C2=7. Otherwise if maternal education is university/college complete then SYPH02_04_E2_C2=8. Otherwise if maternal education is Unknown/NA then SYPH02_04_E2_C2=9.","1: No formal schooling <U+2013> illiterate; 2: No formal schooling, literate; 3: Primary incomplete; 4: Primary complete; 5: Secondary incomplete; 6: Secondary complete; 7: University/college incomplete; 8: University/college complete; 9: Unknown/NA","variable","","","","","Preventing Congenital Syphilis","","","","","","","","",""
"27","syph02_educat","syphilis_to_share","","Education level categorization","","Participant","EUPATH_0010981","Demographics","If maternal education is no formal schooling (illiterate or literate) then SYPH02_EduCat=1.  Otherwise if maternal education is primary (complete or some Secondary) then SYPH02_EduCat=2. Otherwise if maternal education is secondary (completed) or more then SYPH02_EduCat=3.","1: Incomplete primary school or less; 2: Primary school complete or Secondary incomplete; 3: Secondary complete or more","variable","","","","","Preventing Congenital Syphilis","","","","","","","","",""
"3","syph02_05_e2_c2","syphilis_to_share","EUPATH_0000374","'Marital status","","Participant","EUPATH_0010981","Demographics","If marital status of the woman is Married/partner, then SYPH02_05_E2_C2=1. Otherwise if marital status of the woman is Single, then SYPH02_05_E2_C2 =2. Otherwise if marital status of the woman is Widowed without partner currently, then SYPH02_05_E2_C2=3. Otherwise if marital status of the woman is Divorced/separated, then SYPH02_05_E2_C2=4. Otherwise if marital status of the woman is Unknown/NA, then SYPH02_05_E2_C2=5","1: Married/partner;  2: Single; 3: Widowed without partner currently;  4: Divorced/separated;  5: Unknown/NA","variable","","","","","Preventing Congenital Syphilis","","","","","","","","",""
"28","syph02_marstatcat","syphilis_to_share","","Marital status categorized","","Participant","EUPATH_0010981","Demographics","If marital status of the woman is Married/partner, then SYPH02_MarStatCat=1. Otherwise if marital status of the woman is Single, widowed, or divorced then SYPH02_MarStatCat=2.","1: Married/partner; 2: Single, widowed, or divorced","variable","","","","","Preventing Congenital Syphilis","","","","","","","","",""
"4","syph02_06_e2_c2","syphilis_to_share","","Previous pregnancies count","Number of previous pregnancies (excluding this pregnancy)","Participant","ONTONEO_00000225","'Obstetric history","Number of previous pregnancies (excluding this pregnancy)","(numeric)","variable","","","","","Preventing Congenital Syphilis","","","","","","","","",""
