"IRI","label","displayOrder","variable","dataFile","definition","category","parentLabel","parentIRI","codebookDescription","codebookValues","termType","replaces","unitLabel","unitIRI","dataSet","repeated","is_featured","hidden","scale","is_temporal","mergeKey"
"http://purl.obolibrary.org/obo/PCO_0000024","Household","","","","","Household","","http://www.w3.org/2002/07/owl#Thing","","","category","","","","","","","yes","","",""
"http://purl.obolibrary.org/obo/ENVO_00000004","Country","","country","","","Household","Geographic location","http://purl.obolibrary.org/obo/GAZ_00000448","","","variable, derived","","","","","","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0030126","Island of Zanzibar","","Island","","","Household","Geographic location","http://purl.obolibrary.org/obo/GAZ_00000448","Island name","Unguja, Pemba","variable","http://purl.obolibrary.org/obo/gates/EUPATH_0030126","","","","","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0030127","School","","School","","","Household","Geographic location","http://purl.obolibrary.org/obo/GAZ_00000448","Name of school","","variable","","","","","","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0030128","Shehia of school","","Shehia","","","Household","Geographic location","http://purl.obolibrary.org/obo/GAZ_00000448","Location of school","","variable","","","","","","","","","",""
"http://purl.obolibrary.org/obo/GAZ_00000448","Geographic location","","","","","Household","Household","http://purl.obolibrary.org/obo/PCO_0000024","","","category","","","","","","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0020097","Household administrative information","","","","","Household","Household","http://purl.obolibrary.org/obo/PCO_0000024","","","category","","","","","","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0044175","Village study arm","","Study_arm","","Abbreviation refers to randomization group. Villages were randomized into one of three arms and given different treatment regimens. Refer to study page for more detail.","Household","Household administrative information","http://purl.obolibrary.org/obo/EUPATH_0020097","Study arm","MDA, MDA+Snail, MDA+Behavior","variable","","","","","","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0000738","Observation","","","","","Observation","","http://www.w3.org/2002/07/owl#Thing","","","category","","","","","","","","","",""
"http://purl.obolibrary.org/obo/OBI_0001508","Study timepoint","","Year","","","Participant","Observation details","http://purl.obolibrary.org/obo/EUPATH_0000310","Year of data collection","2011, 2012, 2013, 2014, 2015, 2016, 2017","variable","","","","","","yes","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0000096","Participant","","","","","Participant","","http://www.w3.org/2002/07/owl#Thing","","","category","","","","","","","yes","","",""
"http://purl.obolibrary.org/obo/EUPATH_0030129","Grade in school at enrollment","","Standard","","","Participant","Administrative information","http://purl.obolibrary.org/obo/EUPATH_0010035","Grade in school when child was enrolled","","variable","","","","","","","","","",""
"http://purl.obolibrary.org/obo/PATO_0000047","Sex","","Sex","","","Participant","Demographics","http://purl.obolibrary.org/obo/EUPATH_0010981","Sex","F = female, M = male","variable","","","","","","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0010035","Administrative information","","","","","Participant","Participant","http://purl.obolibrary.org/obo/EUPATH_0000096","","","category","","","","","","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0010981","Demographics","","","","","Participant","Participant","http://purl.obolibrary.org/obo/EUPATH_0000096","","","category","","","","","","","","","",""
