variable	variable2	values	mappedTerm	valueOrder
score_rwanda_mapping_dataset::alb.l12m.school	score_rwanda_mapping_dataset::alb.l12m.school	0	no	
score_rwanda_mapping_dataset::alb.l12m.school	score_rwanda_mapping_dataset::alb.l12m.school	1	yes	
score_rwanda_mapping_dataset::dam.within.5km	score_rwanda_mapping_dataset::dam.within.5km	0	absence	
score_rwanda_mapping_dataset::dam.within.5km	score_rwanda_mapping_dataset::dam.within.5km	1	presence	
score_rwanda_mapping_dataset::irrigationcanal.within.5km	score_rwanda_mapping_dataset::irrigationcanal.within.5km	0	absence	
score_rwanda_mapping_dataset::irrigationcanal.within.5km	score_rwanda_mapping_dataset::irrigationcanal.within.5km	1	presence	
score_rwanda_mapping_dataset::lake.within.5km	score_rwanda_mapping_dataset::lake.within.5km	0	absence	
score_rwanda_mapping_dataset::lake.within.5km	score_rwanda_mapping_dataset::lake.within.5km	1	presence	
score_rwanda_mapping_dataset::marsh.swamp.within.5km	score_rwanda_mapping_dataset::marsh.swamp.within.5km	0	absence	
score_rwanda_mapping_dataset::marsh.swamp.within.5km	score_rwanda_mapping_dataset::marsh.swamp.within.5km	1	presence	
score_rwanda_mapping_dataset::otherwater.within.5km	score_rwanda_mapping_dataset::otherwater.within.5km	0	absence	
score_rwanda_mapping_dataset::otherwater.within.5km	score_rwanda_mapping_dataset::otherwater.within.5km	1	presence	
score_rwanda_mapping_dataset::pzq.l12m.school	score_rwanda_mapping_dataset::pzq.l12m.school	0	no	
score_rwanda_mapping_dataset::pzq.l12m.school	score_rwanda_mapping_dataset::pzq.l12m.school	1	yes	
score_rwanda_mapping_dataset::ricefield.within.5km	score_rwanda_mapping_dataset::ricefield.within.5km	0	absence	
score_rwanda_mapping_dataset::ricefield.within.5km	score_rwanda_mapping_dataset::ricefield.within.5km	1	presence	
score_rwanda_mapping_dataset::river.within.5km	score_rwanda_mapping_dataset::river.within.5km	0	absence	
score_rwanda_mapping_dataset::river.within.5km	score_rwanda_mapping_dataset::river.within.5km	1	presence	
score_rwanda_mapping_dataset::sex	score_rwanda_mapping_dataset::sex	0	Female	
score_rwanda_mapping_dataset::sex	score_rwanda_mapping_dataset::sex	1	Male	
score_rwanda_mapping_dataset::ankylo.kk_01	score_rwanda_mapping_dataset::ankylo.kk_01	0	negative	
score_rwanda_mapping_dataset::ankylo.kk_01	score_rwanda_mapping_dataset::ankylo.kk_01	1	positive	
score_rwanda_mapping_dataset::ascaris.kk_01	score_rwanda_mapping_dataset::ascaris.kk_01	0	negative	
score_rwanda_mapping_dataset::ascaris.kk_01	score_rwanda_mapping_dataset::ascaris.kk_01	1	positive	
score_rwanda_mapping_dataset::cca	score_rwanda_mapping_dataset::cca	0	negative	
score_rwanda_mapping_dataset::cca	score_rwanda_mapping_dataset::cca	1	trace	
score_rwanda_mapping_dataset::cca_tracepos_01	score_rwanda_mapping_dataset::cca_tracepos_01	0	negative	
score_rwanda_mapping_dataset::cca_tracepos_01	score_rwanda_mapping_dataset::cca_tracepos_01	1	positive	
score_rwanda_mapping_dataset::haematuria	score_rwanda_mapping_dataset::haematuria	0	negative	
score_rwanda_mapping_dataset::haematuria	score_rwanda_mapping_dataset::haematuria	1	positive	
score_rwanda_mapping_dataset::smansoni.kk_01	score_rwanda_mapping_dataset::smansoni.kk_01	0	negative	
score_rwanda_mapping_dataset::smansoni.kk_01	score_rwanda_mapping_dataset::smansoni.kk_01	1	positive	
score_rwanda_mapping_dataset::trich.kk_01	score_rwanda_mapping_dataset::trich.kk_01	0	negative	
score_rwanda_mapping_dataset::trich.kk_01	score_rwanda_mapping_dataset::trich.kk_01	1	positive	
score_rwanda_mapping_dataset::cca	score_rwanda_mapping_dataset::cca	2	positive	
score_rwanda_mapping_dataset::cca	score_rwanda_mapping_dataset::cca	3	positive	
score_rwanda_mapping_dataset::cca	score_rwanda_mapping_dataset::cca	4	positive	
score_rwanda_mapping_dataset::sentinelsite	score_rwanda_mapping_dataset::sentinelsite	Yes	Yes	
score_rwanda_mapping_dataset::sentinelsite	score_rwanda_mapping_dataset::sentinelsite	No	No	
score_rwanda_mapping_dataset::kkschool	score_rwanda_mapping_dataset::kkschool	Yes	Yes	
score_rwanda_mapping_dataset::kkschool	score_rwanda_mapping_dataset::kkschool	No	No	
score_rwanda_mapping_dataset::sch.risk	score_rwanda_mapping_dataset::sch.risk	low risk	low risk	1
score_rwanda_mapping_dataset::sch.risk	score_rwanda_mapping_dataset::sch.risk	high risk	high risk	2
