variable,dataFile,IRI,label,displayOrder,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,forceStringType,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
cdq46initialvisit,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063244,Initial visit,1,Did any member of your household accompany you during your visit to the service delivery point/facility/site? Initial visit,Participant,http://purl.obolibrary.org/obo/EUPATH_0063243,Accompanied to PrEP visit,Did any member of your household accompany you during your visit to the service delivery point/facility/site? Initial visit,"1=Yes, 2=No",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq46reviewvisit1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063245,Review visit 1,2,Did any member of your household accompany you during your visit to the service delivery point/facility/site? Review visit 1,Participant,http://purl.obolibrary.org/obo/EUPATH_0063243,Accompanied to PrEP visit,Did any member of your household accompany you during your visit to the service delivery point/facility/site? Review visit 1,"1=Yes, 2=No",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq46reviewvisit2,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063246,Review visit 2,3,Did any member of your household accompany you during your visit to the service delivery point/facility/site? Review visit 2,Participant,http://purl.obolibrary.org/obo/EUPATH_0063243,Accompanied to PrEP visit,Did any member of your household accompany you during your visit to the service delivery point/facility/site? Review visit 2,"1=Yes, 2=No",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq46reviewvisit3,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063247,Review visit 3,4,Did any member of your household accompany you during your visit to the service delivery point/facility/site? Review visit 3,Participant,http://purl.obolibrary.org/obo/EUPATH_0063243,Accompanied to PrEP visit,Did any member of your household accompany you during your visit to the service delivery point/facility/site? Review visit 3,"1=Yes, 2=No",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq46reviewvisit4,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063248,Review visit 4,5,Did any member of your household accompany you during your visit to the service delivery point/facility/site? Review visit 4,Participant,http://purl.obolibrary.org/obo/EUPATH_0063243,Accompanied to PrEP visit,Did any member of your household accompany you during your visit to the service delivery point/facility/site? Review visit 4,"1=Yes, 2=No",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq46reviewvisit5,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063249,Review visit 5,6,Did any member of your household accompany you during your visit to the service delivery point/facility/site? Review visit 5,Participant,http://purl.obolibrary.org/obo/EUPATH_0063243,Accompanied to PrEP visit,Did any member of your household accompany you during your visit to the service delivery point/facility/site? Review visit 5,"1=Yes, 2=No",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq46reviewvisit6,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063250,Review visit 6,7,Did any member of your household accompany you during your visit to the service delivery point/facility/site? Review visit 6,Participant,http://purl.obolibrary.org/obo/EUPATH_0063243,Accompanied to PrEP visit,Did any member of your household accompany you during your visit to the service delivery point/facility/site? Review visit 6,"1=Yes, 2=No",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq46reviewvisit7,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063251,Review visit 7,8,Did any member of your household accompany you during your visit to the service delivery point/facility/site? Review visit 7,Participant,http://purl.obolibrary.org/obo/EUPATH_0063243,Accompanied to PrEP visit,Did any member of your household accompany you during your visit to the service delivery point/facility/site? Review visit 7,"1=Yes, 2=No",value,,,,,jilinde_costing_survey,,,,,,,,,
,,http://purl.obolibrary.org/obo/EUPATH_0063389,Use of media at least once a week,1,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,,,multifilter,,,,,jilinde_costing_survey,,,,,,,,,
cdfacilityname,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0053050,Facility name,1,Facility name,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Facility name,,variable,,,,,jilinde_costing_survey,,,,,,yes,,,
