variable,dataFile,IRI,label,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,forceStringType,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
dateofinterview,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0015683,Interview date,Date of interview,Participant,,,Date of interview,,variable,,,,,jilinde_costing_survey,,,,,,,,,
starttime,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0060056,Interview start date,Interview start time,Participant,,,Interview start time,,variable,,,,,jilinde_costing_survey,,,,,,,,,
endtime,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0060016,Interview end date,Interview end time,Participant,,,Interview end time,,variable,,,,,jilinde_costing_survey,,,,,,,,,
q1bkeypopother1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0054277,Self-defined group,Which of the key population groups do you fit into?,Participant,,,Map to cdq1akeypopulation,,variable,,,,,jilinde_costing_survey,,,,,,,,,
q24bspecifyother1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0000019,Persons living in house count,How many people live in the house?,Participant,,,Map to variable: q24ahowmanypeoplelivethere,,variable,,,,,jilinde_costing_survey,,,,,,,,,
q38initialvisitservice1,jilinde_costing_survey,,PrEP service received in initial visit,Which PrEP service did you receive in the initial visit?,Participant,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,Which PrEP service did you receive in the initial visit?,,variable,,,,,jilinde_costing_survey,,,,,,,,,
q40initialvisitmodeofpayment1,jilinde_costing_survey,,Mode of payment for initial clinic visit,Mode of payment,Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,Mode of payment,,variable,,,,,jilinde_costing_survey,,,,,,,,,
q42initialvisitsourceoffunds1,jilinde_costing_survey,,Source of funds for initial visit ,Source of funds,Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,Source of funds,,variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq1akeypopulation,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0054277,Self-defined group,Which of the key population groups do you fit into?,Participant,,,Which of the key population groups do you fit into?,"1=FSW, 2=MSM, 3=AGYW, 4=General population, 99=Other (specify)",variable,,,,,jilinde_costing_survey,,,,,,,,,
q2age,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0056602,Age at last birthday,How old were you at your last birthday? (years),Participant,,,How old were you at your last birthday? (years),,variable,,,,,jilinde_costing_survey,years,http://purl.obolibrary.org/obo/UO_0000036,,,,,,,
q14earningperday,jilinde_costing_survey,,Daily income in local currency,"If you are working, how much do you earn per day from your work? (In local currency, Kshs)",Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,"If you are working, how much do you earn per day from your work? (In local currency, Kshs)",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q15aworkingdaysperweek,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0000350,Time spent in occupation every week,How many days per week do you work?,Participant,,,How many days per week do you work?,,variable,,,,,jilinde_costing_survey,,,,,,,,,
q15btotalmonthly,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0054180,Monthly income in local currency,Total monthly income,Participant,,,Total monthly income,,variable,,,,,jilinde_costing_survey,,,,,,,,,
q24ahowmanypeoplelivethere,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0000019,Persons living in house count,How many people live in the house?,Household,,,How many people live in the house?,"1=Myself
2=Two people
3=Three people
4=Four people
5=Other (specify)",variable,,,,,jilinde_costing_survey,,,,,,,,,
q30asourceofincomeagriculture,jilinde_costing_survey,,Subsistence agriculture ,"On average how much money per month (income) do you get from subsistence agriculture? (In local currency, Kshs)",Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,"On average how much money per month (income) do you get from subsistence agriculture? (In local currency, Kshs)",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q30bsourceofincomefulltimeemploy,jilinde_costing_survey,,Paid full-time employment ,"On average how much money per month (income) do you get from paid full-time employment? (In local currency, Kshs)",Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,"On average how much money per month (income) do you get from paid full-time employment? (In local currency, Kshs)",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q30csourceofincomeotherpaidemplo,jilinde_costing_survey,,Other paid employment ,"On average how much money per month (income) do you get from other paid employment? (In local currency, Kshs)",Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,"On average how much money per month (income) do you get from other paid employment? (In local currency, Kshs)",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q30dsourceofincomecommercialsexw,jilinde_costing_survey,,Commercial sex work ,"On average how much money per month (income) do you get from commercial sex work? (In local currency, Kshs)",Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,"On average how much money per month (income) do you get from commercial sex work? (In local currency, Kshs)",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q30esourceofincomerelativesandfr,jilinde_costing_survey,,Remittance from relatives and friends ,"On average how much money per month (income) do you get from remittance from relatives and friends? (In local currency, Kshs)",Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,"On average how much money per month (income) do you get from remittance from relatives and friends? (In local currency, Kshs)",,variable,,,,,jilinde_costing_survey,,,,,,,,,
