overallOrder,variable,dataset,keepDiscard,notesForDL,codebookDescription,codebookValues,Data.Dictionary.Label..en.,file_name_in_box.net,IRI,label,duplicated,dateTime,flag
1,cod_casa,Peru_household,keep,,Household ID,free text,,,,,,,
2,comun,Peru_household,keep,,Study site,"1 - Cahuide, 2 - Lupuna",,,,,,,
3,comunidad,Peru_household,keep,,Community,"12 DE ABRIL - 12 de Abril, CAHUIDE - Cahuide, HABANA - Habana, SAN JOSE DE LUPUNA - San Jose de Lupuna, SAN PEDRO - San Pedro, SANTA RITA - Santa Rita",,,,,,,
4,fec_enrol,Peru_household,keep,,Date of enrollment,yyyy-mm-dd,,,,,,yes,
5,areatotal,Peru_household,keep,,Total area (square meters),numeric,,,,,,,
6,areate,Peru_household,keep,,Total roofed area (square meters),numeric,Covered Area (m2),censo_exel_proy1.xlsx,EUPATH_0000380,Covered Area (m2),,,
7,cuardor,Peru_household,keep,,Number of bedrooms,numeric,Number of sleeping places,censo_exel_proy1.xlsx,EUPATH_0000201,# bedrooms,,,
8,cuacom,Peru_household,keep,,Number of common rooms,numeric,Number of common areas,censo_exel_proy1.xlsx,EUPATH_0000379,# Common Areas,,,
9,coci,Peru_household,keep,,Kitchen type,"1 - Outdoor, 2 - Indoor",Location of kitchen,censo_exel_proy1.xlsx,EUPATH_0000381,Location of kitchen,,,
10,elec,Peru_household,keep,,Electrical installation,code,Electricity supply,,EUPATH_0000176,Electric,,,
11,aguua,Peru_household,keep,,Potable water,"1- Yes, 2 - No",,,,,,,
12,fueagu,Peru_household,keep,,Source of water,"1 - Public network intrad.connection, 2 - Public network extra connection, 3 - Public tap or pylon, 7 - River/creek, 8 - Artesian well, 9- Simple well, 10-Rainwater",Drinking water source,censo_exel_proy1.xlsx,ENVO_00003064,Drinking water source,,,
13,tencas,Peru_household,keep,,House ownership,"1- Own, 2 - Rent, 3 - Given, 4 - House guardian, ",Type of housing,censo_exel_proy1.xlsx,EUPATH_0000383,Rent or own?,,,
14,tencotr,Peru_household,discard,all data is NA,House ownership (other),,,,,,,,
15,pared_ext,Peru_household,keep,,External wall material,"1- Mat/aguaje palm, 2 - Wood, 3 - Brick with cement, 4 - Brick with no cement, 6 - Plastic, 7 - Calamina (plastic and corrugated tin), 8 - Palm tree, 9 - Pona/ripa (local material similar to wood), 10 - Other",Wall material,censo_exel_proy1.xlsx,EUPATH_0000009,Wall material,,,
16,parotr,Peru_household,keep,,Internal wall material,"1. Mat/aguaje palm
2. Wood
3. Brick with cement
4. Brick with no cement
5. Adobe
6. Plastic
7. Calamina (like a plastic, corrugated tin)
8. Palm tree
9. Pona / Ripa (local material similar to wood)
10. Other
11. TRIPLAY
12. Does not have
99. No data",,,,,,,
17,techo,Peru_household,keep,,Roof material,"1 - Palm , 2 - Calamina (plastic and corrugated tin), 3 - Plastic, 4 - Other",Roof material,censo_exel_proy1.xlsx,EUPATH_0000003,Roof material,,,
18,tecot,Peru_household,discard,all data is NA,Other roof material,,,,,,,,
19,piso,Peru_household,keep,,Floor material,"1 - Dirt, 2 - Concrete - false floor, 3 - Polished concrete, 4 - Wood, 5 - Pona (local material similar to wood), 7 - Other",Floor material,censo_exel_proy1.xlsx,EUPATH_0000006,Floor material,,,
20,pisotr,Peru_household,discard,all data is NA,Other floor material,,,,,,,,
21,fumi,Peru_household,keep,,Date of last fumigation,yyyy-mm-dd,Date of last fumigation,censo_exel_proy1.xlsx,EUPATH_0000390,Last fumigation date,,yes,
22,basu,Peru_household,keep,,Waste disposal,"2 - Burn, 3 - Bury, 4 - Open field, 5 - River 6 - Other",Garbage disposal,censo_exel_proy1.xlsx,EUPATH_0000368,Garbage disposal,,,
23,basuotr,Peru_household,keep,collapse with basu,Other waste disposal,"BASURERO COMUNAL - Communal garbage dump, DEPOSITO ALBERGUE - , LLEVA ALBERGUE - ,  LLEVAN A BOTADERO - Take to a dump",,,,,,,
24,combus,Peru_household,keep,,Cookfuel,"1 - Gas, 2 - Kerosene, 3 - Coal, 4 - Firewood, 5 - Other",Cooking fuel,censo_exel_proy1.xlsx,EUPATH_0000023,Cooking fuel,,,
25,comotr,Peru_household,discard,all data is NA,Cookfuel (other),,,,,,,,
26,excre,Peru_household,keep,,Toilet type,"1 - Drain, 2 - Own latrine, 3 - Shared latrine, 4 - Cesspool - silo, 5 - Open field, 6 - River/stream, 7 - Other",Excreta disposal,censo_exel_proy1.xlsx,EUPATH_0000335,Human waste disposal,,,
27,excotr,Peru_household,discard,all data is NA,Toilet type (other),,,,,,,,
28,numcam,Peru_household,keep,,Number of beds in hh,numeric,Number of beds in household,censo_exel_proy1.xlsx,EUPATH_0000201,# sleeping places,,,
29,cammos,Peru_household,keep,,Number of beds with mosquito net,numeric,,,,,,,
30,matmos,Peru_household,keep,,Mosquito net material,"1 - Tocuyo cotton, 2 - Nylon, 3 - Olyset/PermaNet, 4 - Other",Bed Net Material,censo_exel_proy1.xlsx,EUPATH_0000389,Bednet material,,,
31,matmosot,Peru_household,keep,,Mosquito net material (other),code,,,,,,,
32,ultimpr,Peru_household,keep,,Last treatment of mosquito net,"1 - Never treated, 2 - Less than 6 months ago, 3 - 6-12 months ago, 4 - 13-24 months ago, 5 - More than 24 months ago, 6 - Factory treated",Bednets Last Treated,censo_exel_proy1.xlsx,EUPATH_0000344,Bednet Treatment,,,
33,imprmo,Peru_household,keep,,Who treated mosquito net,"1 - Factory, 2 - Household member, 3 - MINSA, 4 - Other",Responsible of treated bednets,censo_exel_proy1.xlsx,EUPATH_0000391,Responsible of treated bednets,,,
34,imprmootr,Peru_household,discard,all data is NA,Who treated mosquito net (other),,,,,,,,
35,silla,Peru_household,keep,,Chair,binary,Chair - bench,,EUPATH_0000173,Chair,,,
36,sillon,Peru_household,keep,,Couch,binary,Sofa,,ENVO_01000588,Sofa,,,
37,telefono,Peru_household,keep,,Telephone,binary,Telephone - cell phone,,,Phone,,,
38,camas,Peru_household,keep,,Beds,binary,Beds,,EUPATH_0000168,Bed,,,
39,armarios,Peru_household,keep,,Cabinets,binary,Cabinets,,,Cabinet,,,
40,roperos,Peru_household,keep,,Closets,binary,Closet,,,Closet,,,
41,mesa,Peru_household,keep,,Table,binary,Table,,EUPATH_0000184,Table,,,
42,refrigeradora,Peru_household,keep,,Refrigerator,binary,Refrigerator,,ENVO_01000583,Refrigerator,,,
43,congeladora,Peru_household,keep,,Freezer,binary,Freezer,,,Freezer,,,
44,licuadora,Peru_household,keep,,Blender,binary,Blender,,,Blender,,,
45,cocelec,Peru_household,keep,,Electric stove,binary,Electric stove,,,Electric stove,,,
46,cocgas,Peru_household,keep,,Gas stove,binary,Gas stove,,,Gas stove,,,
47,cockero,Peru_household,keep,,Kerosene stove,binary,Kerosene stove,,,Kerosene stove,,,
48,coccar,Peru_household,keep,,Coal stove,binary,Coal stove,,,Coal stove,,,
49,radio,Peru_household,keep,,Radio,binary,Radio,,EUPATH_0000181,Radio,,,
50,TV_BN,Peru_household,keep,,TV black and white,binary,,,,,,,
51,TV_COL,Peru_household,keep,,TV color,binary,,,,,,,
52,DVD,Peru_household,keep,,DVD,binary,,,,,,,
53,Min,Peru_household,keep,,Stereo,binary,,,,,,,
54,vacas,Peru_household,keep,,Cows,binary,cows,,,Cow,,,
55,cabras,Peru_household,keep,,Goats,binary,goats,,,Goat,,,
56,pollos,Peru_household,keep,,Chicks,binary,chickens,,,Chicken,,,
57,gallina,Peru_household,keep,,Hens,binary,,,,,,,
58,gallos,Peru_household,keep,,Roosters,binary,roosters,,,Rooster,,,
59,pavo,Peru_household,keep,,Turkeys,binary,turkeys,,,Turkey,,,
60,patos,Peru_household,keep,,Ducks,binary,ducks,,,Duck,,,
61,pericos,Peru_household,keep,,Parakeet,binary,parakeets,,,Parakeet,,,
62,loros,Peru_household,keep,,Parrots,binary,,,,,,,
63,mono,Peru_household,keep,,Monkey,binary,monkey,,,Monkey,,,
64,chancho,Peru_household,keep,,Pigs,binary,pig,,,Pig,,,
65,conejo,Peru_household,keep,,Rabbits,binary,rabbit,,,Rabbit,,,
66,perro,Peru_household,keep,,Dog,binary,,,,,,,
67,gato,Peru_household,keep,,Cat,binary,,,,,,,
68,tortuga,Peru_household,keep,,Turtle,binary,tortoise,,,Tortoise,,,
69,cod_per,Peru_individual,keep,"Same as cod_casa, but has extra letter added to indicate individual",Individual ID,free text,,,,,,,
70,cod_casa,Peru_individual,discard,Already noted in Peru_household,Household ID,free text,,,,,,,
71,comun,Peru_individual,discard,Already noted in Peru_household,Study site,,,,,,,,
72,comunidad,Peru_individual,discard,Already noted in Peru_household,Community,,,,,,,,
73,fec_enrol,Peru_individual,discard,Already noted in Peru_household,Date of enrollment,,,,,,,yes,
74,fec_naci,Peru_individual,keep,Need to obfuscate,Date of birth,numeric,Date of Birth,censo_exel_proy1.xlsx,EUPATH_0000032,Date of Birth,,yes,
75,edad,Peru_individual,keep,participant,Age,numeric,Age at time of enrollment,censo_exel_proy1.xlsx,EUPATH_0000120,Age at time of enrollment,,,
76,sexo,Peru_individual,keep,participant,Sex,"1 - Male, 2 - Female",Sex,censo_exel_proy1.xlsx,PATO_0000047,Sex,,,
77,gestante,Peru_individual,keep,participant,Pregnant,"1 - Yes, 2 - No, NA - Not applicable",Pregnant,censo_exel_proy1.xlsx,UBERON_0009097,Pregnant,,,
78,estciv,Peru_individual,keep,participant,Marital status,1. Single 2. Married/cohabitating 3. Divorced 4. Separated 5. Widowed ,Marital status,censo_exel_proy1.xlsx,EUPATH_0000374,Marital status,,,
79,tiecom,Peru_individual,keep,participant,Time living in community (years),numeric,Time living in the community (in years),censo_exel_proy1.xlsx,EUPATH_0000378,Time living in the community (year),,,
80,tiehog,Peru_individual,keep,participant,Time living in household (years),numeric,Time living in the dwelling (in years),censo_exel_proy1.xlsx,EUPATH_0000377,Time living in the dwelling (year),,,
81,instruc,Peru_individual,keep,participant,Education level,"00.Pre-school, 01 - 06. Primary school, 07-11. Secondary school, 12-15. Technical school, 16-20. College or higher, 21. Illiterate, 22. Literate but no formal education",Educational level,censo_exel_proy1.xlsx,EUPATH_0000345,Education level,,,
82,mud,Peru_individual,keep,participant,Plan to move within 2 years,"1 - Yes, 2 - No, .n - Not applicable, .d - Don't know",Plan to move,censo_exel_proy1.xlsx,EUPATH_0000375,Plan to move,,,
83,reljefam,Peru_individual,keep,participant - may remove this variable later,Relationship to head of household,"1. Head of household, 2. Spouse, 3. Child, 4. Sibling, 5. Aunt or uncle, 6. Niece or nephew, 7. Parent, 8. Cousin, 9. Stepchild, 10. Grandchild, 11. Other",Relationship to head of Family,censo_exel_proy1.xlsx,EUPATH_0000376,Family head relationship,,,
