"IRI","label","variable","displayOrder","dataFile","definition","category","parentIRI","parentLabel","codebookDescription","codebookValues","termType","notesForOnt","repeated","is_temporal","mergeKey","dataSet","unitLabel","unitIRI","is_featured","hidden","scale","defaultDisplayRangeMin","defaultDisplayRangeMax","defaultBinWidth","forceStringType"
"http://purl.obolibrary.org/obo/ENVO_00000009","Country ","country",,"mal095subject_clinepi",,"Participant","http://purl.obolibrary.org/obo/EUPATH_0000096","Participant",,,"variable",,,,,"rtss_mal096",,,"yes",,,,,,
"http://purl.obolibrary.org/obo/EUPATH_0015457","Study arm","armcodedesc",,"mal095subject_clinepi","Control Group: Participants received rabies vaccine at Month 0, Month 1, Month 2; Experimental Fx017-mFxD Group: Participants received a full dose of RTS,S/AS01E at Month 0, Month 1 and RTS,S/AS01E 1/5th dose at Month 7, Month 20, Month 32; Experimental Fx012-14-mFxD Group: Participants received a full dose of RTS,S/AS01E at Month 0, Month 1 and RTS,S/AS01E 1/5th dose at Month 2, Month 14, Month 26, Month 38; Experimental R012-14-mD Group: Participants received a full dose of RTS,S/AS01E at Month 0, Month 1, Month 2 and yearly full doses at Month 14, Month 26, Month 38; Experimental R012-20 Group: Participants received  full doses of RTS,S/AS01E at Month 0, Month 1, Month 2 and a full dose at Month 20.","Participant","http://purl.obolibrary.org/obo/EUPATH_0000096","Participant",,,"variable",,,,,"rtss_mal097",,,,,,,,,
"http://purl.obolibrary.org/obo/EUPATH_0000151","Enrollment date","enrdate",,"mal095subject_clinepi",,"Participant","http://purl.obolibrary.org/obo/EUPATH_0000096","Participant",,,"variable",,,"yes",,"rtss_mal098",,,,,,,,,
"http://purl.obolibrary.org/obo/OBI_0001169","Age","age",,"mal095subject_clinepi",,"Participant","http://purl.obolibrary.org/obo/EUPATH_0000096","Participant",,,"variable",,,"yes",,"rtss_mal099","months","http://purl.obolibrary.org/obo/UO_0000035",,,,,,,
"http://purl.obolibrary.org/obo/PATO_0000047","Sex","sex",,"mal095subject_clinepi",,"Participant","http://purl.obolibrary.org/obo/EUPATH_0000096","Participant",,,"variable",,,,,"rtss_mal100",,,,,,,,,
"http://purl.obolibrary.org/obo/EUPATH_0010075","Height","height",,"mal095subject_clinepi",,"Participant","http://purl.obolibrary.org/obo/EUPATH_0000096","Participant",,,"variable",,,,,"rtss_mal101","cm","http://purl.obolibrary.org/obo/UO_0000015",,,,,,,
"http://purl.obolibrary.org/obo/IAO_0000414","Weight","weight",,"mal095subject_clinepi",,"Participant","http://purl.obolibrary.org/obo/EUPATH_0000096","Participant",,,"variable",,,,,"rtss_mal102","kg","http://purl.obolibrary.org/obo/UO_0000009",,,,,,,
"http://purl.obolibrary.org/obo/CMO_0000026","Hemoglobin","hemoglobin",,"mal095subject_clinepi",,"Participant","http://purl.obolibrary.org/obo/EUPATH_0000096","Participant",,,"variable",,,,,"rtss_mal103","g/dL","http://purl.obolibrary.org/obo/UO_0000208",,,,,,,
"http://purl.obolibrary.org/obo/EUPATH_0023051","Treatment start time","txstarttime",,"mal095treatment_clinepi","Number of days post-enrollment","Participant","http://purl.obolibrary.org/obo/EUPATH_0000096","Participant",,,"variable",,,,,"rtss_mal104",,,,,,,,,
"http://purl.obolibrary.org/obo/BFO_0000015","Observation type","visit_num",,"mal095sample_clinepi",,"Participant","http://purl.obolibrary.org/obo/EUPATH_0000096","Participant",,,"variable",,"yes",,,"rtss_mal107",,,,,,,,,
"http://purl.obolibrary.org/obo/EUPATH_0004991","Observation date","date_collected",,"mal095sample_clinepi","Date on which sample was collected from participant","Participant","http://purl.obolibrary.org/obo/EUPATH_0000096","Participant",,,"variable",,"yes",,"yes","rtss_mal108",,,,,,,,,
"http://purl.obolibrary.org/obo/EUPATH_0000092","Plasmodium asexual stages, by microscopy result�","pardens",,"mal095sample_clinepi",,"Sample","http://purl.obolibrary.org/obo/EUPATH_0000609","Sample",,,"variable",,,,,"rtss_mal109","/uL","http://purl.obolibrary.org/obo/UO_0000316",,,,,,,
"http://purl.obolibrary.org/obo/CLINEPIDB_00712","Plasmodium falciparum, by microscopy","parpos",,"mal095sample_clinepi",,"Sample","http://purl.obolibrary.org/obo/EUPATH_0000609","Sample",,,"variable",,,,,"rtss_mal110",,,"yes",,,,,,
"http://purl.obolibrary.org/obo/EUPATH_0000090","Malaria diagnosis","clininf",,"mal095sample_clinepi",,"Participant","http://purl.obolibrary.org/obo/EUPATH_0000096","Participant",,,"variable",,"yes",,,"rtss_mal111",,,,,,,,,
"http://purl.obolibrary.org/obo/EUPATH_0066181","Primary case","pricasedeftrue",,"mal095sample_clinepi","Meets primary case definition","Participant","http://purl.obolibrary.org/obo/EUPATH_0000310","Observation details",,,"variable",,"yes",,,"rtss_mal112",,,,,,,,,
"http://purl.obolibrary.org/obo/EUPATH_0000609","Sample",,,,,"Sample",,,,,"category",,,,,,,,,,,,,,
"http://purl.obolibrary.org/obo/EUPATH_0000096","Participant",,,,,"Participant",,,,,"category",,,,,,,,,,,,,,
"http://purl.obolibrary.org/obo/EUPATH_0000310","Observation details",,,,,"Participant","http://purl.obolibrary.org/obo/EUPATH_0000096","Participant",,,"category",,,,,,,,,,,,,,
