colOrder,variable,dataFile,discard,definition,category,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,variable_dataFile,uniqueVar,type,example,dateTime,formatCode,values,uniqueValueCount,timeVarying,percentMissing,flag
1,pid,ext_bv_aer,discard,,,Child Identification,NA,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,pid,ext_bv_aer::pid,chr,BP1113,NA,NA,>10 unique values,85,once,0,duplicated variable
2,aerpdt,ext_bv_aer,discard,,,1. Today<U+2019>s Date,NA,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,aerpdt,ext_bv_aer::aerpdt,chr,9/4/13 0:00,date?,NA,>10 unique values,80,repeated,0,duplicated variable
3,aewho,ext_bv_aer,discard,,,2. Form completed for,1= Mother; 2= infant,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,aewho,ext_bv_aer::aewho,int,2,NA,NA,2 to 2,1,once,0,duplicated variable
4,sayes,ext_bv_aer,discard,,,3.Did the event result in any of the following: Death; Life-Threatening event; Hospitalization or prolongatin in existing hospitalization; Significant disability or incapacity,1= Yes; 2=No,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,sayes,ext_bv_aer::sayes,int,2,NA,NA,2 to 2,1,once,0,duplicated variable
5,ae48hr,ext_bv_aer,discard,,,4. The event occurred within 48 hours of which study procedure?,1 = Phlebotomy ; 2 = Vaccination; 3 = L/M administration; 4 = None of the above,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,ae48hr,ext_bv_aer::ae48hr,int,3,NA,NA,1 to 3,3,repeated,0,duplicated variable
6,pidesc,ext_bv_aer,discard,,,Post-Phlebotomy: 1. Infection,NA,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,pidesc,ext_bv_aer::pidesc,chr,1. Infection,NA,NA,1. Infection,1,once,0,duplicated variable
7,pidto,ext_bv_aer,discard,,,Date of Onset,NA,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,pidto,ext_bv_aer::pidto,lgl,NA,date?,NA,n/a,0,no data,0,duplicated variable
8,pisev,ext_bv_aer,discard,,,Severity,1 = Mild; 2 = Moderate; 3= severe,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,pisev,ext_bv_aer::pisev,lgl,NA,NA,NA,n/a,0,no data,0,duplicated variable
9,pirlt,ext_bv_aer,discard,,,Relationship,1=  Definitely; 2= Possibly; 3= Unrelated,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,pirlt,ext_bv_aer::pirlt,lgl,NA,NA,NA,n/a,0,no data,0,duplicated variable
10,piact,ext_bv_aer,discard,,,Action,"1 = None; 2 = Remedial therapy; 3 = Discontinuation 4= Hospitalization
5 = Other",,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,piact,ext_bv_aer::piact,lgl,NA,NA,NA,n/a,0,no data,0,duplicated variable
