displayOrder,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType,uniqueVar
,id,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000095,Participant ID,,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,"to ensure data integrity, please re-enter the participant id.",5 digits,variable,id|BC3_Household_Survey_Data
,visdate,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000091,Visit date,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,date of final visit,date,variable,visdate|BC3_Household_Survey_Data
,visdate,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0021085,Household data collection date,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,date of final visit,date,variable,visdate|BC3_Household_Survey_Data
,swater,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/ENVO_00003064,Drinking water source,,Household,Household water,http://purl.obolibrary.org/obo/EUPATH_0000731,what is the main source of drinking water for members of your household?,"borehole, public tap",variable,swater|BC3_Household_Survey_Data
,otherscs,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/ENVO_00003064,Drinking water source,,Household,Household water,http://purl.obolibrary.org/obo/EUPATH_0000731,specify other source of water,,variable,otherscs|BC3_Household_Survey_Data
,tfaclty,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000335,Human waste facilities,,Household,Waste disposal,http://purl.obolibrary.org/obo/EUPATH_0000596,what kind of toilet facility do members of your household usually use?,"Covered pit latrine with slab, VIP latrine, covered pit latrine no slab, uncovered pit latrine with slab, uncovered pit latrine no slab,no facility/bush/field",variable,tfaclty|BC3_Household_Survey_Data
,otherfcy,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000335,Human waste facilities,,Household,Waste disposal,http://purl.obolibrary.org/obo/EUPATH_0000596,specify other kind of toilet facilities,,variable,otherfcy|BC3_Household_Survey_Data
,electric,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0021084,Electricity,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,does your household have electricity?,"1=Yes, 2=No, -9=Skipped",value,electric|BC3_Household_Survey_Data
,radio,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/ENVO_01000577,Radio,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144, a radio?,"1=Yes, 2=No, -9=Skipped",value,radio|BC3_Household_Survey_Data
,cassette,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/ENVO_01000578,Cassette player,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,cassette player?,"1=Yes, 2=No, -9=Skipped",value,cassette|BC3_Household_Survey_Data
,tv,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/ENVO_01000579,Television,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,television?,"1=Yes, 2=No, -9=Skipped",value,tv|BC3_Household_Survey_Data
,mobile,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/ENVO_01000581,Mobile phone,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,mobile phone?,"1=Yes, 2=No, -9=Skipped",value,mobile|BC3_Household_Survey_Data
,phone,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/ENVO_01000582,Landline phone,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,fixed phone?,"1=Yes, 2=No, -9=Skipped",value,phone|BC3_Household_Survey_Data
,fridge,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/ENVO_01000583,Refrigerator,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,refrigerator?,"1=Yes, 2=No, -9=Skipped",value,fridge|BC3_Household_Survey_Data
,htable,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/ENVO_01000584,Table,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,table?,"1=Yes, 2=No, -9=Skipped",value,htable|BC3_Household_Survey_Data
,chair,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/ENVO_01000586,Chair,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,chairs?,"1=Yes, 2=No, -9=Skipped",value,chair|BC3_Household_Survey_Data
,sofa,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/ENVO_01000588,Sofa,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,sofa set?,"1=Yes, 2=No, -9=Skipped",value,sofa|BC3_Household_Survey_Data
,bed,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/ENVO_00000501,Bed,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,bed?,"1=Yes, 2=No, -9=Skipped",value,bed|BC3_Household_Survey_Data
