variable,dataFile,keepDiscard,notesForDL,codebookDescription,codebookValues,timeVarying,duplicated,dateTime,flag,notesForProvider,uniqueVar,IRI,Label,definition,category,parentLabel,parentIRI,termType
abdpainAE,Individual level database FINAL,SKIP,,(sum) abdpainAE,,,,,,What does sum mean? Please define.,abdpainAE|Individual level database FINAL,SKIP-SEE QUESTION,Aches or pains,,,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,variable
abdpaindur,BC-3 enrollment database FINAL,keep,,Abdominal Duration,,,,,,,abdpaindur|BC-3 enrollment database FINAL,,,,,,,
abdpaindur,BC-3 mothers all visits database FINAL,keep,,Abdominal Duration,,,,,,,abdpaindur|BC-3 mothers all visits database FINAL,,,,,,,
abdpaingrade,BC-3 enrollment database FINAL,keep,,Abdominal Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",,,,,,abdpaingrade|BC-3 enrollment database FINAL,,,,,,,
abdpaingrade,BC-3 mothers all visits database FINAL,keep,,Abdominal Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",,,,,,abdpaingrade|BC-3 mothers all visits database FINAL,,,,,,,
abdsurg,BC-3 enrollment database FINAL,keep,,Past abdominal surgery,"0 = No,
1=Yes",,,,,,abdsurg|BC-3 enrollment database FINAL,,,,,,,
abortions,BC-3 enrollment database FINAL,discard,,Abortion,,,,,,Drop use cabortions,abortions|BC-3 enrollment database FINAL,DROP,Abortions,How many abortions has the participant had,Participant,Obstetric history,,variable
aborty,BC-3 mothers delivery database FINAL,keep,,"Yes, the pregnancy resulted in an abortion","0=Spontaneous,
1=Elective",,,,,,aborty|BC-3 mothers delivery database FINAL,,,,,,,
accident,BC-3 enrollment database FINAL,keep,,Major injury from road traffic accident,"0 = No,
1=Yes",,,,,,accident|BC-3 enrollment database FINAL,,,,,,,
actlabor,BC-3 screening database FINAL,SKIP,,Early or active labor (documented by cervical change with uterine contractions),"0 = No,
1=Yes",,,,,Should Screening questions be included? Should screened but not enrolled participants be includd?,actlabor|BC-3 screening database FINAL,SKIP-SEE QUESTION,Active labor,specified whether the participant has early or active labor,Observation,,,variable
adevent,BC-3 screening database FINAL,SKIP,,History of adverse event to SP or DP,"0 = No,
1=Yes",,,,,,adevent|BC-3 screening database FINAL,,History of adverse event to SP or DP,specified whether participant has a history of adverse event to Sulfadoxine Pyrimethamine (SP) or Dihydroartemisinin Piperaquine (DP),Participant,,,variable
AEdays,Individual level database FINAL,SKIP,,Days at risk for AE analyses,,,,,,,AEdays|Individual level database FINAL,,,,,,,
AGE,BC-3 enrollment database FINAL,keep,,age in years,,,,,,,AGE|BC-3 enrollment database FINAL,,,,,,,
age,BC-3 mothers expanded database FINAL,keep,,Age in years,,,,,,,age|BC-3 mothers expanded database FINAL,,,,,,,
age,BC-3 screening database FINAL,SKIP,,Age in years:,numeric,,,,,,age|BC-3 screening database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000113,Age at visit (years),Age in years,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,variable
AGE,BC-3 screening database FINAL,SKIP,,age in years,numeric,,,,,,AGE|BC-3 screening database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000113,Age at visit (years),age in years,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,variable
