colOrder,uniqueVar,dataFile,IRI,label,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
13,t0_larval_habitat_sheet_2::weather,t0_larval_habitat_sheet_2,,Weather during larval collection,,Community,,Community arthropod collection,Weather,,,,,,,T0,,,,,,,,,
24,t0_larval_habitat_sheet_2::livestock,t0_larval_habitat_sheet_2,,Livestock presence at collection site,,Community,,Community arthropod collection,Livestock,,,,,,,T0,,,,,,,,,
27,t0_larval_habitat_sheet_2::genera,t0_larval_habitat_sheet_2,,Genera present at collection site,,Community,,Community arthropod collection,Genera,,,,,,,T0,,,,,,,,,
30,t0_larval_habitat_sheet_2::comment,t0_larval_habitat_sheet_2,,Arthropod collection comment,,Community,,Community arthropod collection,Comment,,,,,,,T0,,,,,,,,,
5,t0_larval_habitat_sheet_2::position.of.nto,t0_larval_habitat_sheet_2,,Position of NTO,,Community,,Community arthropod collection,,,,,,,,T0,,,,,,,,,
6,t0_larval_habitat_sheet_2::nature.of.habitat,t0_larval_habitat_sheet_2,,Nature of larval habitat,,Community,,Community arthropod collection,,,,,,,,T0,,,,,,,,,
9,t0_larval_habitat_sheet_2::cell.ward,t0_larval_habitat_sheet_2,,Larval collection ward in Tanzania,,Community,,Community arthropod collection,,,,,,,,T0,,,,,,,,,
10,t0_larval_habitat_sheet_2::sub.village,t0_larval_habitat_sheet_2,,Larval collection sub village,,Community,,Community arthropod collection,,,,,,,,T0,,,,,,,,,
14,t0_larval_habitat_sheet_2::agricultural.status,t0_larval_habitat_sheet_2,,Agricultural status of larval collection site,,Community,,Community arthropod collection,,,,,,,,T0,,,,,,,,,
,t0_larval_habitat_sheet_2::larval.collection.longitude,t0_larval_habitat_sheet_2,,Larval collection longitude,,Community,,Community arthropod collection,,,,,,,,,,,,,,,,,
15,t0_larval_habitat_sheet_2::larval.collection.latitude,t0_larval_habitat_sheet_2,,Larval collection latitude,,Community,,Community arthropod collection,,,,,,,,T0,,,,,,,,,
16,t0_larval_habitat_sheet_2::habitat.type,t0_larval_habitat_sheet_2,,Larval collection habitat type,,Community,,Community arthropod collection,,,,,,,,T0,,,,,,,,,
17,t0_larval_habitat_sheet_2::habitat.parameter,t0_larval_habitat_sheet_2,,Larval collection habitat parameter,,Community,,Community arthropod collection,,,,,,,,T0,,,,,,,,,
18,t0_larval_habitat_sheet_2::length..m.,t0_larval_habitat_sheet_2,,Length of larval collection habitat,,Community,,Community arthropod collection,,,,,,,,T0,,,,,,,,,
19,t0_larval_habitat_sheet_2::width..m.,t0_larval_habitat_sheet_2,,Width of larval collection habitat,,Community,,Community arthropod collection,,,,,,,,T0,,,,,,,,,
20,t0_larval_habitat_sheet_2::number.scoops...swipes,t0_larval_habitat_sheet_2,,Larval collection scoop and sweep count,,Community,,Community arthropod collection,,,,,,,,T0,,,,,,,,,
21,t0_larval_habitat_sheet_2::vegetation.type,t0_larval_habitat_sheet_2,,Larval collection vegetation type,,Community,,Community arthropod collection,,,,,,,,T0,,,,,,,,,
22,t0_larval_habitat_sheet_2::distance.to.house..m.,t0_larval_habitat_sheet_2,,Distance of larval collection habitat to house,,Community,,Community arthropod collection,,,,,,,,T0,m,,,,,,,,
23,t0_larval_habitat_sheet_2::intervention.present,t0_larval_habitat_sheet_2,,Household vector intervention present,,Household,,Household vector intervention,,,,,,,,T0,,,,,,,,,
25,t0_larval_habitat_sheet_2::macroinvertebrates.family,t0_larval_habitat_sheet_2,,Macroinvertebrate family present at collection site,,Community,,Community arthropod collection,,,,,,,,T0,,,,,,,,,
26,t0_larval_habitat_sheet_2::common.name,t0_larval_habitat_sheet_2,,Common name of macroinvertebrates at collection site,,Community,,Community arthropod collection,,,,,,,,T0,,,,,,,,,
28,t0_larval_habitat_sheet_2::life.stage,t0_larval_habitat_sheet_2,,Life stage of macroinvertebrates at collection site,,Community,,Community arthropod collection,,,,,,,,T0,,,,,,,,,
29,t0_larval_habitat_sheet_2::number.quantity,t0_larval_habitat_sheet_2,,Macroinvertebrate present at collection site count,,Community,,Community arthropod collection,,,,,,,,T0,,,,,,,,,
