colOrder,variable,dataFile,keepDiscard,definition,category,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,uniqueVar,dataSet,variable_dataFile,type,example,dateTime,formatCode,values,uniqueValueCount,percentMissing,flag
5,latitude,t0 malaria cases in ukerewe health facilities vertical 20231011,keep,,,Latitude,Latitude,,,,Latitude,t0 malaria cases in ukerewe health facilities vertical 20231011::latitude,T0,Latitude,dbl,-2.09101,NA,NA,-2.10604 to -1.73136,11,0,NA
6,longitude,t0 malaria cases in ukerewe health facilities vertical 20231011,keep,,,Longitude,Longitude,,,,Longitude,t0 malaria cases in ukerewe health facilities vertical 20231011::longitude,T0,Longitude,dbl,33.09498,NA,NA,32.8535 to 33.42775,11,0,NA
7,year,t0 malaria cases in ukerewe health facilities vertical 20231011,keep,,,Year,Year,,,,Year,t0 malaria cases in ukerewe health facilities vertical 20231011::year,T0,Year,int,2022,NA,NA,2022 to 2023,2,0,NA
8,month,t0 malaria cases in ukerewe health facilities vertical 20231011,keep,,,Month,Month,,,,Month,t0 malaria cases in ukerewe health facilities vertical 20231011::month,T0,Month,chr,Apr,NA,NA,>10 unique values,12,0,NA
11,positives,t0 malaria cases in ukerewe health facilities vertical 20231011,keep,,,Positives,Positives,,,,Positives,t0 malaria cases in ukerewe health facilities vertical 20231011::positives,T0,Positives,int,68,NA,NA,0 to 314,91,0,NA
1,sampling_date,t0 ento larval habitat data 20231010,keep,,,Sampling Date,Sampling Date,,,,Sampling Date,t0 ento larval habitat data 20231010::sampling_date,T0,Sampling_Date,chr,21/09/2023,date?,%d/%m/%Y,>10 unique values,18,0.994186924,NA
2,habitat_id,t0 ento larval habitat data 20231010,discard,,,Habitat ID,Habitat ID,,,,Habitat ID,t0 ento larval habitat data 20231010::habitat_id,T0,Habitat_ID,chr,UKEKASB01,NA,NA,>10 unique values,212,0.981050883,NA
3,nto_id,t0 ento larval habitat data 20231010,discard,,,NTO ID,NTO ID,,,,NTO ID,t0 ento larval habitat data 20231010::nto_id,T0,NTO_ID,chr,NT00001,NA,NA,>10 unique values,47,0.996451759,NA
4,box_number,t0 ento larval habitat data 20231010,discard,,,BOX NUMBER,BOX NUMBER,,,,BOX NUMBER,t0 ento larval habitat data 20231010::box_number,T0,BOX_NUMBER,chr,B01,NA,NA,", B01",1,0.996376265,NA
3,region,t0 ento adult data 20231010,keep,,,Region,Region,,,,Region,t0 ento adult data 20231010::region,T0,Region,chr,Mwanza,NA,NA,", Mwanza",1,0.955746167,duplicated variable
7,region,t0 ento larval habitat data 20231010,keep,,,Region,Region,,,,Region,t0 ento larval habitat data 20231010::region,T0,Region,chr,Mwanza,NA,NA,", Kigoma, Mwanza",2,0.994186924,duplicated variable
4,district,t0 ento adult data 20231010,keep,,,District,District,,,,District,t0 ento adult data 20231010::district,T0,District,chr,Ukerewe,NA,NA,", Ukerewe",1,0.955746167,duplicated variable
8,district,t0 ento larval habitat data 20231010,keep,,,District,District,,,,District,t0 ento larval habitat data 20231010::district,T0,District,chr,Ukerewe,NA,NA,", Kakonko, Ukerewe",2,0.994186924,duplicated variable
