colOrder,variable,dataFile,keepDiscard,definition,category,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,uniqueVar,dataSet,variable_dataFile,type,example,dateTime,formatCode,values,uniqueValueCount,percentMissing,flag
2,studyvisit_num,nectar1,keep,,,Days after treatment start,%10.0g,,,,NA,nectar1::studyvisit_num,NECTAR1,studyvisit_num,int,0,NA,NA,0 to 49,11,0,NA
3,month_year,nectar1,keep,,,Month/year,%9s,,,,NA,nectar1::month_year,NECTAR1,month_year,chr,Oct-19,date?,NA,"10/2019, 11/2019, 9/2019",3,0,NA
4,sex_bin,nectar1,keep,,,"Sex binary (Female = 0, Male =1)",%9.0g,,,,sex_bin,nectar1::sex_bin,NECTAR1,sex_bin,chr,Female,NA,NA,"Female, Male",2,0,NA
5,age_cat,nectar1,keep,,,Age categories (5 years),%9.0g,,,,age_cat,nectar1::age_cat,NECTAR1,age_cat,chr,16-20,NA,NA,"0-5, 11-15, 16-20, 21-25, 26-30, 31-35, 36-40, 46-50, 6-10",9,0,NA
6,temp,nectar1,keep,,,Temperature in celsius,%8.0g,,,,NA,nectar1::temp,NECTAR1,temp,int,46,NA,NA,15 to 78,42,0,NA
7,trt_arm,nectar1,keep,,,"Treatment arm (1=DP, 2=DP-PQ, 3=PA, 4=PA-PQ)",%9.0g,,,,trt_arm,nectar1::trt_arm,NECTAR1,trt_arm,chr,PA-PQ,NA,NA,"DP, DP-PQ, PA, PA-PQ",4,0,NA
8,hbrsult,nectar1,keep,,,Hb concentration g/dL,%8.0g,,,,NA,nectar1::hbrsult,NECTAR1,hbrsult,int,15,NA,NA,9 to 19,10,0.006085193,NA
9,rdt_pos,nectar1,keep,,,"SD Bioline result (1=Positive, 0=Negative)",%8.0g,,,,NA,nectar1::rdt_pos,NECTAR1,rdt_pos,int,1,NA,NA,0 to 1,2,0.002028398,NA
10,mic_pf_pos,nectar1,keep,,,Microscopy positivity Pf,%8.0g,,,,NA,nectar1::mic_pf_pos,NECTAR1,mic_pf_pos,int,1,NA,NA,0 to 1,2,0.001014199,NA
11,mic_pf_asc_ul,nectar1,keep,,,Pf asexuals per uL,%9.0g,,,,NA,nectar1::mic_pf_asc_ul,NECTAR1,mic_pf_asc_ul,int,120,NA,NA,0 to 74080,50,0,NA
12,mic_pf_gct_ul,nectar1,keep,,,Pf gametocytes per uL,%9.0g,,,,NA,nectar1::mic_pf_gct_ul,NECTAR1,mic_pf_gct_ul,int,16,NA,NA,16 to 960,31,0.544624746,NA
13,qrtpcr_gct_ul,nectar1,keep,,,qRTPCR total gametocytes per uL,%9.0g,,,,NA,nectar1::qrtpcr_gct_ul,NECTAR1,qrtpcr_gct_ul,int,16,NA,NA,0 to 2704,156,0.257606491,NA
14,mosq_total,nectar1,keep,,,Mosquitoes dissected,%9.0g,,,,NA,nectar1::mosq_total,NECTAR1,mosq_total,int,70,NA,NA,30 to 75,41,0.54969574,NA
15,mosq_pos,nectar1,keep,,,Mosquitoes positive for oocysts,%9.0g,,,,NA,nectar1::mosq_pos,NECTAR1,mosq_pos,int,0,NA,NA,0 to 58,41,0.54969574,NA
16,mean_ooc_all,nectar1,keep,,,Mean oocysts accross all dissected mosquitoes,%9.0g,,,,NA,nectar1::mean_ooc_all,NECTAR1,mean_ooc_all,int,0,NA,NA,0 to 59,14,0.54969574,NA
17,mean_ooc_pos,nectar1,keep,,,Mean oocysts accross all infected mosquitoes,%9.0g,,,,NA,nectar1::mean_ooc_pos,NECTAR1,mean_ooc_pos,int,1,NA,NA,1 to 62,17,0.817444219,NA
1,x...studyid,nectar1,discard,,,NA,NA,,,,NA,nectar1::x...studyid,NECTAR1,X...studyid,chr,PQ-04-053,NA,NA,>10 unique values,100,0,NA
