IRI,label,category,parentLabel,variable,dataFile,displayOrder,definition,repeated,is_temporal,mergeKey,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMax,defaultBinWidth,forceStringType
ENVO_01000739,Habitat,Community,Environment information,GEMS.txt::env_feature,GEMS.txt,,,,,,ENVO_00002297,,,,,,,,
ENVO_00000009,Country,Community,Geographic location,GEMS.txt::country,GEMS.txt,,,,,,,,,yes,,,,,
EUPATH_0010375,Case or control participant,Participant,Administrative information,GEMS.txt::case_control,GEMS.txt,,,,,,,,,yes,,,,,
OBI_0001169,Age,Participant,Demographics,GEMS.txt::Age (months),GEMS.txt,,,yes,,,,months,http://purl.obolibrary.org/obo/UO_0000035,yes,,,,,
EUPATH_0051008,Age group at enrollment,Participant,Demographics,GEMS.txt::age_factor,GEMS.txt,,,,,,,,,yes,,,,,
OBI_0001508,Study timepoint,Participant,Observation details,GEMS.txt::timepoint,GEMS.txt,,,yes,,yes,,,,yes,,,,,
UBERON_0000466,Host body habitat,Participant,Participant,GEMS.txt::body_habitat,GEMS.txt,,,,,,,,,,,,,,
UBERON_0000463,Host body product,Participant,Participant,GEMS.txt::body_product,GEMS.txt,,,,,,,,,,,,,,
UBERON_0000061,Host body site,Participant,Participant,GEMS.txt::body_site,GEMS.txt,,,,,,,,,,,,,,
EUPATH_0009359,ClinEpiDB.org study,Sample,Sample details,GEMS.txt::clinepi_study,GEMS.txt,1,Name of the corresponding study on ClinEpiDB.org where additional clinical and/or epidemiological data for this sample can be found.,,,,,,,yes,,,,,
OBI_0100051,Sample type,Sample,Sample details,GEMS.txt::sample_type,GEMS.txt,2,,,,,,,,,,,,,
EUPATH_0009358,Sample notes,Sample,Sample details,GEMS.txt::sample_notes,GEMS.txt,3,,,,,,,,,,,,,
SO_0001000,Region of 16S rRNA sequenced,Sequencing assay,Sequencing,GEMS.txt::region,GEMS.txt,,,,,,,,,,,,,,
