colOrder,variable,dataFile,IRI,label,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
3,clinical survey level data baseline survey::date,clinical survey level data baseline survey,http://purl.obolibrary.org/obo/EUPATH_0004991,Observation date,,,,,,,variable,,,,,LLINEUP2,,,,,,,,,
7,clinical survey level data baseline survey::age,clinical survey level data baseline survey,http://purl.obolibrary.org/obo/OBI_0001169,Age,,,,,Age in years,,variable,,,,,LLINEUP2,years,,,,,,,,
8,clinical survey level data baseline survey::consent,clinical survey level data baseline survey,http://purl.obolibrary.org/obo/EUPATH_0044111,Consent for lab testing,,,,,"Does [[participantsname]] consent to laboratory testing?

(Adult consents if it is a child)","1 - Yes
0 - No
2 - Not at home",variable,,,,,LLINEUP2,,,,,,,,,
9,clinical survey level data baseline survey::consent2,clinical survey level data baseline survey,,Consent for future specimen use,,,http://purl.obolibrary.org/obo/EUPATH_0011482,Blood sample collection process,Does [[participantsname]] consent to future use of biological specimens?,"1 - Yes
0 - No",variable,,,,,LLINEUP2,,,,,,,,,
10,clinical survey level data baseline survey::fpbarcode1,clinical survey level data baseline survey,http://purl.obolibrary.org/obo/OBI_0001616,Sample ID,,,,,Barcode for Filter paper,-9: Skipped,variable,,,,,LLINEUP2,,,,,,,,,
12,clinical survey level data baseline survey::bsbarcode1,clinical survey level data baseline survey,http://purl.obolibrary.org/obo/OBI_0001616,Sample ID,,,,,Barcode for blood smear,-9: Skipped,variable,,,,,LLINEUP2,,,,,,,,,
15,clinical survey level data baseline survey::hemocue,clinical survey level data baseline survey,http://purl.obolibrary.org/obo/EUPATH_0027005,Hemoglobin measurement performed,,,,,Result code of hemocue test.,"1 - Tested
2 - Not enough blood drawn
3 - Test Failed
-9: Skipped",variable,,,,,LLINEUP2,,,,,,,,,
16,clinical survey level data baseline survey::hemoglobin,clinical survey level data baseline survey,http://purl.obolibrary.org/obo/CMO_0000026,Hemoglobin,,,,,Record hemoglobin level,-9: Skipped,variable,,,,,LLINEUP2,,,,,,,,,
17,clinical survey level data baseline survey::hbdone,clinical survey level data baseline survey,http://purl.obolibrary.org/obo/EUPATH_0027005,Hemoglobin measurement performed,,,,,,,variable,,,,,LLINEUP2,,,,,,,,,
18,clinical survey level data baseline survey::anemia11,clinical survey level data baseline survey,http://purl.obolibrary.org/obo/EUPATH_0011161,Anemia (hemoglobin <11 g/dL),,,,,,,variable,,,,,LLINEUP2,,,,,,,,,
19,clinical survey level data baseline survey::anemia10,clinical survey level data baseline survey,http://purl.obolibrary.org/obo/EUPATH_0020209,Anemia (hemoglobin <10 g/dL),,,,,,,variable,,,,,LLINEUP2,,,,,,,,,
20,clinical survey level data baseline survey::anemia8,clinical survey level data baseline survey,http://purl.obolibrary.org/obo/EUPATH_0044112,Anemia (hemoglobin <8 g/dL),,,,,,,variable,,,,,LLINEUP2,,,,,,,,,
21,clinical survey level data baseline survey::fever,clinical survey level data baseline survey,http://purl.obolibrary.org/obo/EUPATH_0000100,Subjective fever,Whether the participant had a fever in the last 48 hours,,,,Did [[participantsname]] have a fever in the last 48 hours?,"1 - Yes
0 - No
-7: Don't know",variable,,,,,LLINEUP2,,,,,,,,,
22,clinical survey level data baseline survey::temperature,clinical survey level data baseline survey,http://purl.obolibrary.org/obo/OBI_0003073,Temperature,,,,,Temperature of [[participantsname]]?,-8 Refused,variable,,,,,LLINEUP2,,,,,,,,,
24,clinical survey level data baseline survey::febrile,clinical survey level data baseline survey,http://purl.obolibrary.org/obo/EUPATH_0000097,Febrile,,,,,,,variable,,,,,LLINEUP2,,,,,,,,,
25,clinical survey level data baseline survey::rdtdone,clinical survey level data baseline survey,http://purl.obolibrary.org/obo/EUPATH_0027004,RDT performed,,,,,RDT Done?,"1 - Yes
0 - No",variable,,,,,LLINEUP2,,,,,,,,,
27,clinical survey level data baseline survey::rdtrslt,clinical survey level data baseline survey,http://purl.obolibrary.org/obo/EUPATH_0024217,"Plasmodium, by RDT",,,,,Result of RDT,"1 - Positive
2 - Negative
-9: Skipped",variable,,,,,LLINEUP2,,,,,,,,,
29,clinical survey level data baseline survey::weight,clinical survey level data baseline survey,http://purl.obolibrary.org/obo/IAO_0000414,Weight,,,,,Weight,,variable,,,,,LLINEUP2,,,,,,,,,
30,clinical survey level data baseline survey::meds,clinical survey level data baseline survey,http://purl.obolibrary.org/obo/EUPATH_0021103,Medication provided,,,,,Any medication prescribed to [[participantsname]]?,"1 - Yes
0 - No",variable,,,,,LLINEUP2,,,,,,,,,
31,clinical survey level data baseline survey::whichmeds,clinical survey level data baseline survey,http://purl.obolibrary.org/obo/EUPATH_0025092,Medication,,,,,Which medication was prescribed?,"1 - AL
2 - Panadol
9 - Other
-9: Skipped",variable,,,,,LLINEUP2,,,,,,,,,
35,clinical survey level data baseline survey::descothermed,clinical survey level data baseline survey,http://purl.obolibrary.org/obo/EUPATH_0038686,Other medication,,,,,Which 'other' medication was used?,,variable,,,,,LLINEUP2,,,,,,,,,
36,clinical survey level data baseline survey::referred,clinical survey level data baseline survey,http://purl.obolibrary.org/obo/EUPATH_0061369,Referred to clinic,,,,,Was [[participantsname]] referred for additional care?,"1 - Yes
0 - No",variable,,,,,LLINEUP2,,,,,,,,,
37,clinical survey level data baseline survey::whyreferred,clinical survey level data baseline survey,http://purl.obolibrary.org/obo/EUPATH_0036552,Referral reason,,,,,Why was [[participantsname]] referred for additional care?,,variable,,,,,LLINEUP2,,,,,,,,,
1,clusterarm final::mrccode,clusterarm final,http://purl.obolibrary.org/obo/EUPATH_0025072,Health center,,,,,,,variable,,,,,LLINEUP2,,,,,,,,,
2,clusterarm final::region,clusterarm final,http://purl.obolibrary.org/obo/EUPATH_0044180,Region in Uganda,,,,,,,variable,,,,,LLINEUP2,,,,,,,,,
3,clusterarm final::llinarm,clusterarm final,http://purl.obolibrary.org/obo/EUPATH_0044124,Cluster study arm,,,,,,,variable,,,,,LLINEUP2,,,,,,,,,
4,clusterarm final::llindistmonth,clusterarm final,http://purl.obolibrary.org/obo/EUPATH_0063003,LLIN distribution date,,,,,,,variable,,,,,LLINEUP2,,,,,,,,,
3,household level data baseline survey::date,household level data baseline survey,http://purl.obolibrary.org/obo/EUPATH_0021085,Household data collection date,,,,,,,variable,,,,,LLINEUP2,,,,,,,,,
4,household level data baseline survey::survey,household level data baseline survey,http://purl.obolibrary.org/obo/EUPATH_0044122,Household study timepoint,,,,,Survey round,"1 - Baseline
2 - 12-month
3 - 24-month
4 - 36-month",variable,,,,,LLINEUP2,,,,,,,,,
7,household level data baseline survey::village,household level data baseline survey,http://purl.obolibrary.org/obo/ENVO_01000773,Village,,,,,,,variable,,,,,LLINEUP2,,,,,,,,,
18,household level data baseline survey::npeople,household level data baseline survey,http://purl.obolibrary.org/obo/EUPATH_0000019,Persons living in house count,,,,,How many people live in this household (permanent residents)?,,variable,,,,,LLINEUP2,,,,,,,,,
19,household level data baseline survey::numpeop,household level data baseline survey,http://purl.obolibrary.org/obo/EUPATH_0000019,Persons living in house count,,,,,,,variable,,,,,LLINEUP2,,,,,,,,,
24,household level data baseline survey::swater,household level data baseline survey,http://purl.obolibrary.org/obo/ENVO_00003064,Drinking water source,,,,,What is the main source of drinking water for members of your household?,"10 - borehole
11 - pipe into dwelling
12 - piped into yard/compound
13 - public tap
21 - open well in yard/compound
22 - open public well
31 - protected well in yard/compound
32 - protected public well
41 - protected spring
42 - unprotected spring
43 - river/stream
44 - pond/lake
45 - dam
51 - rainwater
61 - water truck
71 - bottled water
96 - other
-8: Refused to answer",variable,,,,,LLINEUP2,,,,,,,,,
26,household level data baseline survey::otherscs,household level data baseline survey,http://purl.obolibrary.org/obo/ENVO_00003064,Drinking water source,,,,,Specify other source of water,,variable,,,,,LLINEUP2,,,,,,,,,
27,household level data baseline survey::tfaclty,household level data baseline survey,http://purl.obolibrary.org/obo/EUPATH_0000335,Human waste facilities,,,,,What kind of toilet facility do members of your household usually use?,"1 - flush toilet
2 - vip latrine
3 - covered pit latrine no slab
4 - covered pit latrine w/slab
5 - uncovered pit latrine no slab
6 - uncovered pit latrine w/slab
7 - composting  toilet
8 - no facility/bush/field
96 - other
-8: Refused to answer",variable,,,,,LLINEUP2,,,,,,,,,
