variable,dataSet,dataFile,IRI,label,displayOrder,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,repeated,is_temporal,mergeKey,dataSet.y,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
avenir census and treatment data clinepi round 1 - updated::form.childrenrepeat.childrengroup.dobsourceotherdoc,Avenir RCT,avenir census and treatment data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050607,Other document was used to validate DOB,1,Which other document was used to validate DOB?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Which other document was used to validate DOB?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.childrenrepeat.childrengroup.dobsourcewho,Avenir RCT,avenir census and treatment data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0049212,Person providing birth date information,2,Who told you?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Who told you?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.treatment_letter_1_11.cen,Avenir RCT,avenir census and treatment data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050576,Treatment letter 1-11,3,Treatment Letter for 1-11 months in census form | Treatment_letter_1_11,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Treatment Letter for 1-11 months in census form,,variable,yes,,,avenir_rct,,,,yes,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.treatment_letter_12_59.cen,Avenir RCT,avenir census and treatment data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050577,Treatment letter 12-59,4,Treatment letter 12-59 | Treatment letter for 12-59 months in census form,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Treatment letter for 12-59 months in census form,,variable,yes,,,avenir_rct,,,,yes,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.childrenrepeat.childrengroup.notreatreason,Avenir RCT,avenir census and treatment data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050581,Reason child should not be treated,5,Why should the child not be treated?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Why should the child not be treated?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.childrenrepeat.childrengroup.notreatreasonother,Avenir RCT,avenir census and treatment data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050582,Other reason child should not be treated,6,What other reasons?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,What other reasons?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.childpresent,Avenir RCT,avenir census and treatment data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050599,Child present,7,Is the child home?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Is the child home?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.childreturnhome,Avenir RCT,avenir census and treatment data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050541,When child will return home,8,When will the child return home?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,When will the child return home?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.notreatreason,Avenir RCT,avenir census and treatment data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050583,Reason for lack of treatment consent,9,Why is treatment consent not given,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Why is treatment consent not given,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 2::dobsourceotherdoc,Avenir RCT,avenir census and treatment data clinepi round 2,http://purl.obolibrary.org/obo/EUPATH_0050607,Other document was used to validate DOB,10,Which other document was used to validate DOB?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Which other document was used to validate DOB?,,variable,yes,,,avenir_rct,,,,,,,,,,
