variable,IRI,label,displayOrder,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,repeated,is_temporal,mergeKey,dataSet,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
avenir census and treatment data clinepi round 1 - updated::form.childrenrepeat.childrengroup.dobsourceotherdoc,http://purl.obolibrary.org/obo/EUPATH_0050607,Other document was used to validate DOB,3,avenir census and treatment data clinepi round 2 | avenir census and treatment data clinepi round 3 | avenir census and treatment data clinepi round 1,Which other document was used to validate DOB?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Which other document was used to validate DOB?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.childrenrepeat.childrengroup.dobsourcewho,http://purl.obolibrary.org/obo/EUPATH_0049212,Person providing birth date information,5,avenir census and treatment data clinepi round 1 | avenir census and treatment data clinepi round 3 | avenir census and treatment data clinepi round 2,Who told you?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Who told you?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.treatment_letter_1_11.cen,http://purl.obolibrary.org/obo/EUPATH_0050576,Treatment letter 1-11,9,avenir census and treatment data clinepi round 1 | avenir census and treatment data clinepi round 2 | avenir census and treatment data clinepi round 3,Treatment Letter for 1-11 months in census form | Treatment_letter_1_11,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Treatment Letter for 1-11 months in census form,,variable,yes,,,avenir_rct,,,,yes,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.treatment_letter_12_59.cen,http://purl.obolibrary.org/obo/EUPATH_0050577,Treatment letter 12-59,8,avenir census and treatment data clinepi round 2 | avenir census and treatment data clinepi round 3 | avenir census and treatment data clinepi round 1,Treatment letter 12-59 | Treatment letter for 12-59 months in census form,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Treatment letter for 12-59 months in census form,,variable,yes,,,avenir_rct,,,,yes,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.childrenrepeat.childrengroup.notreatreason,http://purl.obolibrary.org/obo/EUPATH_0050581,Reason child should not be treated,6,avenir census and treatment data clinepi round 3 | avenir census and treatment data clinepi round 2 | avenir census and treatment data clinepi round 1,Why should the child not be treated?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Why should the child not be treated?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.childrenrepeat.childrengroup.notreatreasonother,http://purl.obolibrary.org/obo/EUPATH_0050582,Other reason child should not be treated,4,avenir census and treatment data clinepi round 3 | avenir census and treatment data clinepi round 2 | avenir census and treatment data clinepi round 1,What other reasons?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,What other reasons?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.childpresent,http://purl.obolibrary.org/obo/EUPATH_0050599,Child present,2,avenir census and treatment data clinepi round 2 | avenir census and treatment data clinepi round 3 | avenir census and treatment data clinepi round 1,Is the child home?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Is the child home?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.childreturnhome,http://purl.obolibrary.org/obo/EUPATH_0050541,When child will return home,10,avenir census and treatment data clinepi round 3 | avenir census and treatment data clinepi round 1 | avenir census and treatment data clinepi round 2,When will the child return home?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,When will the child return home?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.notreatreason,http://purl.obolibrary.org/obo/EUPATH_0050583,Reason for lack of treatment consent,7,avenir census and treatment data clinepi round 3 | avenir census and treatment data clinepi round 2 | avenir census and treatment data clinepi round 1,Why is treatment consent not given,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Why is treatment consent not given,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 3 - updated::dobsourceotherdoc,http://purl.obolibrary.org/obo/EUPATH_0050607,Other document was used to validate DOB,3,avenir census and treatment data clinepi round 2 | avenir census and treatment data clinepi round 3 | avenir census and treatment data clinepi round 1,Which other document was used to validate DOB?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Which other document was used to validate DOB?,,variable,yes,,,avenir_rct,,,,,,,,,,
