ID,label,datasets,contain_unit
EUPATH_0022035,2nd most recent trip length (days),icemr_amazoniaPeru_long,Yes
EUPATH_0022036,3rd most recent trip length (days),icemr_amazoniaPeru_long,Yes
EUPATH_0022037,4th most recent trip length (days),icemr_amazoniaPeru_long,Yes
EUPATH_0025001,5-12 years old treated for malaria (count),icemr_malawi,Yes
EUPATH_0025002,5-12 years old with fever (count),icemr_malawi,Yes
EUPATH_0000154,Abdominal pain duration (days),icemr_prism2 | general/general_promote_mothers | icemr_prism,Yes
EUPATH_0042050,Abortions (count),general/general_promote_mothers,Yes
EUPATH_0036228,Activin A (pg/mL),gates_provide,Yes
EUPATH_0010946,Acute diarrheal episode (less than 7 days),gates_maled_phase3,Yes
EUPATH_0032573,"Adenovirus (copies/mL), by multiplexed qPCR result",gates_perch,Yes
EUPATH_0032680,"Adenovirus (copies/mL), by multiplexed qPCR result",gates_perch,Yes
EUPATH_0032773,"Adenovirus (copies/mL), by multiplexed qPCR result",gates_perch,Yes
EUPATH_0033108,Adjusted Pneumococcal conjugate vaccine (PCV) doses 14 days before enrollment,gates_perch,Yes
EUPATH_0033106,"Adjusted diphtheria, pertussis, and tetanus (DPT) vaccine doses 14 days before enrollment",gates_perch,Yes
EUPATH_0011154,Adjusted ferritin (ng/mL),gates_maled_phase3,Yes
EUPATH_0011172,Adjusted hemoglobin (g/dL),gates_maled_phase3,Yes
EUPATH_0011198,Adjusted lactulose (mmol/L),gates_maled_phase3,Yes
EUPATH_0011199,Adjusted lactulose excreted (%),gates_maled_phase3,Yes
EUPATH_0011284,Adjusted lactulose excreted (%) greater than 90th percentile in Brazil,gates_maled_phase3,Yes
EUPATH_0011475,Adjusted lactulose excreted (mg),gates_maled_phase3,Yes
EUPATH_0011202,Adjusted mannitol (mmol/L),gates_maled_phase3,Yes
EUPATH_0011477,Adjusted mannitol excreted (%),gates_maled_phase3,Yes
EUPATH_0011296,Adjusted mannitol excreted (%) greater than 90th percentile in Brazil,gates_maled_phase3,Yes
EUPATH_0011203,Adjusted mannitol excreted (mg),gates_maled_phase3,Yes
EUPATH_0011155,Adjusted retinol (ug/dL),gates_maled_phase3,Yes
EUPATH_0011890,Adjusted soluble transferrin receptor (ug/mL),gates_maled_phase3,Yes
EUPATH_0011158,Adjusted zinc (umol/L),gates_maled_phase3,Yes
EUPATH_0041152,Adverse event duration (hr),general/general_crompton,Yes
EUPATH_0041153,Adverse event duration (min),general/general_crompton,Yes
EUPATH_0000579,Age (days),gates_gems1a | gates_gems | gates_washbKenya | gates_shine | gates_maled_phase3 | gates_provide | gates_washbBangladesh,Yes
EUPATH_0015400,Age (months),gates_gems_huas | gates_gems1a | gates_vida | gates_gems1a_huas | gates_perch | gates_vida_hucs_kenya | gates_shine | gates_vida_hucs_gambia_mali | gates_ganc,Yes
EUPATH_0011030,Age 1st animal milk or formula given (days),gates_maled_phase3,Yes
EUPATH_0011033,Age 1st animal milk or solids given (days),gates_maled_phase3,Yes
EUPATH_0011035,Age 1st clear liquid given (days),gates_maled_phase3,Yes
EUPATH_0011036,Age 1st solid food given (days),gates_maled_phase3,Yes
EUPATH_0011028,Age at 1st day of biweekly breastfeeding surveillance (days),gates_maled_phase3,Yes
EUPATH_0011031,Age at complete weaning (days),gates_maled_phase3,Yes
EUPATH_0010368,Age at eligibility form completion (months),gates_gems1a | gates_gems | gates_vida,Yes
EUPATH_0036404,Age at enrollment (days),gates_provide,Yes
EUPATH_0031203,Age at follow-up (days),gates_vida,Yes
EUPATH_0031204,Age at follow-up (months),gates_vida,Yes
EUPATH_0011147,Age at last contact (days),gates_maled_phase3 | gates_provide,Yes
EUPATH_0010505,Age at last illness surveillance (days),gates_maled_phase3,Yes
EUPATH_0000113,Age at visit (years),icemr_indian_cx | icemr_prism2 | general/general_promote_mothers | icemr_prism | icemr_indian,Yes
EUPATH_0011049,Age last exclusively breastfed (days),gates_maled_phase3 | gates_provide,Yes
EUPATH_0010120,"Age, matched case (months)",gates_gems1a | gates_gems,Yes
EUPATH_0032489,"Agregattibacter aphrophilus (Haemophilus aphrophilus), by culture result",gates_perch,Yes
EUPATH_0021144,Alanine aminotransferase (IU/L),icemr_india_gujarat | general/general_promote_mothers,Yes
EUPATH_0021145,Alkaline phosphatase (IU/L),icemr_india_gujarat,Yes
EUPATH_0000647,Alpha-1-acid glycoprotein (mg/dL),gates_maled_phase3,Yes
EUPATH_0011276,Alpha-1-antitrypsin (mg/g),gates_maled_phase3 | gates_provide,Yes
EUPATH_0011364,"Alpha-1-antitrypsin (natural log, mg/g)",gates_maled_phase3,Yes
