sid,label,multifilter,parent_entity,parent_label,project
CHEBI_3638,Chloroquine,value,http://purl.obolibrary.org/obo/EUPATH_0000430,Antimalarial medications used,icemr_indian
CHEBI_63609,Mefloquine,value,http://purl.obolibrary.org/obo/EUPATH_0000430,Antimalarial medications used,icemr_indian
CHEBI_8405,Primaquine,value,http://purl.obolibrary.org/obo/EUPATH_0000430,Antimalarial medications used,icemr_indian
DOID_0050486,Rash,value,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms,icemr_amazoniaPeru_long
DOID_0050486,Rash,value,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms,icemr_indian
DOID_1074,Renal failure,value,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms,icemr_indian
DOID_13250,Diarrhea,value,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms,icemr_amazoniaPeru_long
DOID_13250,Diarrhea,value,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms,icemr_indian
DOID_13250,Diarrhea,value,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms,icemr_prism
ENVO_00000501,Bed,,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,icemr_amazoniaPeru_long
ENVO_00000501,Bed,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,gates_maled
ENVO_00000501,Bed,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,icemr_prism
ENVO_00003064,Drinking water source,,http://purl.obolibrary.org/obo/EUPATH_0000731,Household water,gates_maled
ENVO_00003064,Drinking water source,,http://purl.obolibrary.org/obo/EUPATH_0000731,Household water,icemr_prism
ENVO_00003064,Drinking water source,Yes,http://purl.obolibrary.org/obo/EUPATH_0000731,Household water,gates_gems1a
ENVO_00003064,Drinking water source,yes,http://purl.obolibrary.org/obo/EUPATH_0000731,Household water,gates_gems
ENVO_01000577,Radio,,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,icemr_amazoniaPeru_long
ENVO_01000577,Radio,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,gates_gems
ENVO_01000577,Radio,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,gates_gems1a
ENVO_01000577,Radio,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,icemr_prism
ENVO_01000578,Cassette player,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,icemr_prism
ENVO_01000579,Television,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,gates_gems
ENVO_01000579,Television,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,gates_gems1a
ENVO_01000579,Television,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,gates_maled
ENVO_01000579,Television,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,icemr_prism
ENVO_01000580,Telephone (mobile or non-mobile),,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,icemr_amazoniaPeru_long
ENVO_01000580,Telephone (mobile or non-mobile),value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,gates_gems
ENVO_01000580,Telephone (mobile or non-mobile),value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,gates_gems1a
ENVO_01000581,Mobile phone,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,icemr_prism
ENVO_01000582,Landline phone,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,icemr_prism
ENVO_01000583,Refrigerator,,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,icemr_amazoniaPeru_long
ENVO_01000583,Refrigerator,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,gates_gems
ENVO_01000583,Refrigerator,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,gates_gems1a
ENVO_01000583,Refrigerator,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,gates_maled
ENVO_01000583,Refrigerator,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,icemr_prism
ENVO_01000584,Table,,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,icemr_amazoniaPeru_long
ENVO_01000584,Table,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,gates_maled
ENVO_01000584,Table,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,icemr_prism
ENVO_01000586,Chair,,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,icemr_amazoniaPeru_long
ENVO_01000586,Chair,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,gates_maled
ENVO_01000586,Chair,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,icemr_prism
ENVO_01000588,Sofa,,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,icemr_amazoniaPeru_long
ENVO_01000588,Sofa,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,icemr_prism
ENVO_01000595,Cupboard,,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,icemr_amazoniaPeru_long
ENVO_01000595,Cupboard,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,icemr_prism
ENVO_01000596,Clock,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,icemr_prism
ENVO_01000614,Bicycle,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,icemr_prism
ENVO_01000615,Motorcycle/Scooter,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,gates_gems
ENVO_01000615,Motorcycle/Scooter,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,gates_gems1a
ENVO_01000615,Motorcycle/Scooter,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,icemr_prism
EUPATH_0000001,Building material,yes,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,icemr_indian
EUPATH_0000003,Roof material,,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,gates_maled
EUPATH_0000003,Roof material,,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,icemr_amazoniaPeru_long
EUPATH_0000003,Roof material,,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,icemr_prism
EUPATH_0000003,Roof material,yes,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,icemr_indian
EUPATH_0000023,Cooking fuel,,http://purl.obolibrary.org/obo/EUPATH_0000302,Dwelling facilities,icemr_amazoniaPeru_long
EUPATH_0000023,Cooking fuel,,http://purl.obolibrary.org/obo/EUPATH_0000302,Dwelling facilities,icemr_prism
EUPATH_0000023,Cooking fuel,Yes,http://purl.obolibrary.org/obo/EUPATH_0000302,Dwelling facilities,gates_gems1a
EUPATH_0000023,Cooking fuel,yes,http://purl.obolibrary.org/obo/EUPATH_0000302,Dwelling facilities,gates_gems
EUPATH_0000097,Febrile,value,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms,icemr_prism
EUPATH_0000100,Fever,value,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms,icemr_amazoniaPeru_long
EUPATH_0000100,Fever,value,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms,icemr_prism
EUPATH_0000144,Assets,,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,icemr_indian
EUPATH_0000144,Assets,Yes,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,gates_gems1a
EUPATH_0000144,Assets,yes,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,gates_gems
EUPATH_0000144,Assets,yes,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,gates_maled
EUPATH_0000144,Assets,yes,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,icemr_amazoniaPeru_long
EUPATH_0000144,Assets,yes,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,icemr_prism
EUPATH_0000166,Animal-drawn cart,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,gates_gems
EUPATH_0000166,Animal-drawn cart,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,gates_gems1a
EUPATH_0000166,Animal-drawn cart,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,icemr_prism
EUPATH_0000167,Bank account,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,gates_maled
EUPATH_0000167,Bank account,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,icemr_prism
EUPATH_0000170,Boat without a motor,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,icemr_prism
EUPATH_0000171,Car/Truck,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,gates_gems
EUPATH_0000171,Car/Truck,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,gates_gems1a
EUPATH_0000171,Car/Truck,value,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,icemr_prism
