IRI,label,definition,parentIRI,parentLabel,codebookDescription,codebookValues,termType,dataSet
http://purl.obolibrary.org/obo/EUPATH_0021005,Brick,,http://purl.obolibrary.org/obo/EUPATH_0000001,Building material,,,value,India ICEMR Cohort | India ICEMR Cross-Sectional
http://purl.obolibrary.org/obo/EUPATH_0021006,Concrete,,http://purl.obolibrary.org/obo/EUPATH_0000001,Building material,,,value,India ICEMR Cohort | India ICEMR Cross-Sectional
http://purl.obolibrary.org/obo/EUPATH_0021004,Mud,,http://purl.obolibrary.org/obo/EUPATH_0000001,Building material,,,value,India ICEMR Cohort | India ICEMR Cross-Sectional
http://purl.obolibrary.org/obo/EUPATH_0021007,Thatch,,http://purl.obolibrary.org/obo/EUPATH_0000001,Building material,,,value,India ICEMR Cohort | India ICEMR Cross-Sectional
http://purl.obolibrary.org/obo/EUPATH_0000018,Air bricks,Type of airbricks (if any) | Whether air bricks were installed above windows. Only assessed for households included in the entomology survey.,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Airbricks above windows? | observation: does the room have airbricks?,"1 = Yes, 2 = No, 8 = Don’t know | 1=Yes, 2=No, -9=Skipped",variable,PRISM ICEMR Cohort | LLINE UP Cluster Randomized Trial | PROMOTE BC3 Cohort
http://purl.obolibrary.org/obo/EUPATH_0042035,Air bricks count,,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,observation: how many airbrick are in the room?,"1=1-3,2=4-6,3=6+,-9=skipped",variable,PROMOTE BC3 Cohort
http://purl.obolibrary.org/obo/EUPATH_0042023,Air bricks covered,,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,"observation: if the roon has airbricks, are the airbricks covered?","1=completely covered, 2=partially covered, 3=open, -9=skipped",variable,PROMOTE BC3 Cohort
http://purl.obolibrary.org/obo/EUPATH_0042024,Air bricks open to outside,,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,observation: do the airbricks open to the outside?,"1=yes, 2=partially, 3 No,-9=skipped",variable,PROMOTE BC3 Cohort
http://purl.obolibrary.org/obo/EUPATH_0022114,Bed count,,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,number of beds,numeric,variable,Amazonia ICEMR Brazil Cohort
http://purl.obolibrary.org/obo/EUPATH_0042025,Bed type,,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,where does the study participant usually sleep?,"1=Directly on ground, 2=on matress/mat on the ground, 3=on a bed raised from ground,99=no response, -9=skipped",variable,PROMOTE BC3 Cohort
http://purl.obolibrary.org/obo/EUPATH_0022115,Bedroom enclosement,,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,bedroom characteristics,"1-Open, 2-Closed, 3-Closed with cracks",variable,Amazonia ICEMR Brazil Cohort
http://purl.obolibrary.org/obo/EUPATH_0000001,Building material,,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,House is made from,"4, Thatch | 5, Other | 88888, missing | 2, Brick | 1, Mud | 3, Concrete",multifilter | variable,India ICEMR Cohort | India ICEMR Cross-Sectional | India ICEMR Severe P.vivax and falciparum Cohort
http://purl.obolibrary.org/obo/EUPATH_0044113,Ceiling,Whether the dwelling has a ceiling or screened ceiling. Only assessed for households included in the entomology survey.,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,A ceiling (STATA label = 'Screened ceiling'),"1 = Yes, 2 = No, 8 = Don’t know",variable,LLINE UP Cluster Randomized Trial
http://purl.obolibrary.org/obo/EUPATH_0035009,Cement floor,Whether the target child participant's dwelling has a cement floor. Assessed for the household at enrollment (when target children were in utero).,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Has cement floor (q4103),0 to 1,variable,WASHb BNG Cluster Randomized Trial
http://purl.obolibrary.org/obo/EUPATH_0000379,Common room count,,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Number of common rooms,,variable,Amazonia ICEMR Peru Cohort
http://purl.obolibrary.org/obo/EUPATH_0000380,Covered area,Area of lot with roof coverage,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Total roofed area (square meters),,variable,Amazonia ICEMR Peru Cohort
http://purl.obolibrary.org/obo/ENVO_01000744,Dwelling type,"Nature of accommodation (building; part of building; caravan, houseboat or other mobile accommodation; etc) | Whether the house is traditional or modern. Determined for households surveyed at baseline only.",http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Type of house construction | Whether the house is traditional or modern | Housetype dichotomous | Type of house,"0=Traditional, 1=Mordern",variable,PRISM ICEMR Cohort | PRISM2 ICEMR Border Cohort | India ICEMR Cohort | India ICEMR Cross-Sectional | LLINE UP Cluster Randomized Trial | PROMOTE BC3 Cohort | PRISM2 ICEMR Cohort | Southeast Asia ICEMR Surveillance
