IRI,label,variable,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,dataSet
http://purl.obolibrary.org/obo/EUPATH_0031056,Cluster number,f2_cluster,vida_enrl.csv,,Community,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Cluster number,string,variable,VIDA Case Control
http://purl.obolibrary.org/obo/ENVO_00000009,Country,country | tr::country | site | Country_Code | SITE | hh_18m::country | hh_06m::country | hh_00m::country | hh_12m::country | enrol_dh2::country | country_code | zscores_all::country_id | crf1_mali project 1 data::country,"tr | gems1a_huas_lite_data_kenya.sas7bdat, gems1a_huas_lite_data_6_sites.sas7bdat | vida_enrl.csv | Sm_XS | SCORE_Five_Country_dataset_NK10July2020 | GEMS1_Case_control_Study_data_June2018.csv | hh_12m | hh_00m | hh_18m | hh_06m | hucs_kenya | enrol_dh2 | score_sm_cohort_ken_tan_march3_2020 | zscores_all | hucs_gambia_mali | score_moz_sh_xs | gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat | crf1_mali project 1 data | gems1a_case_control_study_data | household",Country in which study was conducted | Country,Community,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Country | 3. Site. | Country; Country wide | Country in which study was conducted | Country name | Site | Country code | Country. calculated | Country of pt enrollment,"1=The Gambia, 2=Mali, 3=Mozambique, 4=Kenya, 5=India, 6=Bangladesh, 7=Pakistan | NIG=Niger | COT=Cote d'Ivoire; KEN=Kenya; TAN=Tanzania | 3=Kenya | BG, BR, IN, NP, PE, PK, SA, TZ | 1 = The Gambia, 2 = Mali | MOZ=Mozambique | 1, no, Senegal
2, no, Gambia
3, no, Mali | Categorical","variable,derived | derived | variable | variable, derived | variable; derived",India ICEMR Cohort | WASH Benefits Kenya Cluster Randomized Trial | Kalifabougou | GEMS1A HUAS Lite Survey | SCORE Rwanda | SIP | India ICEMR Cross-Sectional | PROVIDE Randomized Controlled Trial | PRISM ICEMR Cohort | India ICEMR Fever Surveillance | VIDA Case Control | SCORE Burundi | SCORE S. mansoni Cluster Randomized Trial | SCORE Five Country | SCORE Zanzibar | GEMS1 Case Control | LLINE UP Cluster Randomized Trial | VIDA HUCS Kenya | India ICEMR Meghalaya Cohort | PROMOTE BC3 Cohort | India ICEMR Severe P.vivax and falciparum Cohort | GAMIN RCT | SCORE Seasonal | PRISM2 ICEMR Border Cohort | India ICEMR Behavior Cross-sectional | WASHb BNG Cluster Randomized Trial | South Asia ICEMR Surveillance | SCORE Sm Cohort | MAL-ED 0-60m Cohort | VIDA HUCS Gambia Mali | SCORE Mozambique Cluster Randomized Trial | GEMS1 HUAS/HUAS Lite Survey | PRISM2 ICEMR Cohort | West Africa ICEMR | UMSP Surveillance | PERCH Case Control | Amazonia ICEMR Brazil Cohort | Southern Africa ICEMR Cross-sectional | GEMS1A Case Control | Amazonia ICEMR Peru Cohort | Southeast Asia ICEMR Surveillance | Malawi ICEMR Case-Control
http://purl.obolibrary.org/obo/EUPATH_0000407,District,cen_district | hh_18m::district | hh_12m::district | hh_06m::district | hh_00m::district | district,hh_06m | hh_12m | hh_18m | hh_00m | umsp | household,"48 districts in Eastern and Western Uganda were included, covering a wide range of epidemiological settings with varying levels of malaria transmission and insecticide resistance.",Community,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,District,,"variable | variable,derived",India ICEMR Cohort | India ICEMR Cross-Sectional | LLINE UP Cluster Randomized Trial | UMSP Surveillance | Southeast Asia ICEMR Surveillance
http://purl.obolibrary.org/obo/EUPATH_0044123,Enumeration area ID,hh_12m::eanum | hh_00m::eanum | hh_06m::eanum | hh_18m::eanum,hh_06m | hh_00m | hh_18m | hh_12m,"The primary sampling units were enumeration areas identified in the 2014 Ugandan national census. Ten enumeration areas were randomly selected in each of the health sub-districts. Within each sampled enumeration area, 5 households were randomly enrolled per study timepoint, for a total of 50 households sampled per cluster per study timepoint.",Community,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Enumeration number,1 to 10,variable,LLINE UP Cluster Randomized Trial
http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,elicit_data_for_plos_reshaped_v3,,Community,http://purl.obolibrary.org/obo/EUPATH_0035127,Community,,,category,India ICEMR Cohort | WASH Benefits Kenya Cluster Randomized Trial | Kalifabougou | GEMS1A HUAS Lite Survey | SCORE Rwanda | SIP | India ICEMR Cross-Sectional | PROVIDE Randomized Controlled Trial | PRISM ICEMR Cohort | India ICEMR Fever Surveillance | VIDA Case Control | SCORE Burundi | SCORE S. mansoni Cluster Randomized Trial | SCORE Five Country | SCORE Zanzibar | GEMS1 Case Control | LLINE UP Cluster Randomized Trial | VIDA HUCS Kenya | India ICEMR Meghalaya Cohort | PROMOTE BC3 Cohort | ELICIT | India ICEMR Severe P.vivax and falciparum Cohort | GAMIN RCT | SCORE Seasonal | PRISM2 ICEMR Border Cohort | India ICEMR Behavior Cross-sectional | WASHb BNG Cluster Randomized Trial | South Asia ICEMR Surveillance | SCORE Sm Cohort | MAL-ED 0-60m Cohort | VIDA HUCS Gambia Mali | SCORE Mozambique Cluster Randomized Trial | GEMS1 HUAS/HUAS Lite Survey | PRISM2 ICEMR Cohort | West Africa ICEMR | UMSP Surveillance | PERCH Case Control | Amazonia ICEMR Brazil Cohort | Southern Africa ICEMR Cross-sectional | GEMS1A Case Control | Amazonia ICEMR Peru Cohort | Southeast Asia ICEMR Surveillance | Malawi ICEMR Case-Control
http://purl.obolibrary.org/obo/EUPATH_0025072,Health center,center | crf1_mali project 1 data::hc | site | site_ses,vida_enrl.csv | crf1_mali project 1 data | umsp | DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,Health center where screening and enrollment was conducted,Community,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Health Center of the point of enrollment | Site or health facility | Health centre,"1, no, SLAP
2, no, Medina Fall Post1
3, no, Medina Fall Post2
4, no, Gambissara HC
5, no, Cscom Dangassa
6, no, Cscom Kolia Bambana
7, no, Not in a HC
-77, no, Missing | 11 - Aduku
15 - Kamwezi
16 - Kasambya
17 - Kihihi
19 - Nagongera
20 - Walukuba
30 - Amolatar
31 - Dokolo
32 - Anyeke
34 - Orum
35 - Alebtong
36 - Aboke
40 - Awach
41 - Lalogi
42 - Patongo
43 - Pajule
44 - Atiach
45 - Padibe
46 - Namukorwa
47 - Opia
50 - Maddu
51 - Kakuuto
52 - Bbaale
53 - Semuto
54 - Kigorobya
55 - Kibaale
56 - Karambi
57 - Kataraka
58 - Kaserem
59 - Lumino
60 - Lokolia
62 - Toroma
63 - Lobule
64 - Nadunget
65 - Koch Goma | 2, Chileka Health Centre | 6, Zingwangwa Health Centre | 3, Chilomoni Health Centre | 5, Ndirande Health Centre | 1, Bangwe Health Centre | 4, Mpemba Health Centre",variable,VIDA Case Control | West Africa ICEMR | UMSP Surveillance | Malawi ICEMR Case-Control
http://purl.obolibrary.org/obo/EUPATH_0044120,Health sub-district,hh_06m::health_sub_district | hh_12m::health_sub_district | hh_18m::health_sub_district | hh_00m::health_sub_district,hh_06m | hh_00m | hh_18m | hh_12m,"104 health sub-districts (each serving approximately 100,000 people) cover 48 districts in Eastern and Western Uganda.",Community,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,variable,LLINE UP Cluster Randomized Trial
http://purl.obolibrary.org/obo/EUPATH_0038001,Hospital,form01::hospitalname,form01,,Community,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,variable,SIP
http://purl.obolibrary.org/obo/EUPATH_0030126,Island of Zanzibar,Island,,,Community,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Island name,"Unguja, Pemba",variable,SCORE Zanzibar
http://purl.obolibrary.org/obo/OBI_0001620,Latitude,Latitude | lat | latitude,Sm_XS | score_seasonal_allyears_suds_aug16_2019 | score_moz_sh_xs,GPS coordinates (latitude and longitude) of schools for each village,Community,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Village level; GPS coordinates (latitude and longitude) of schools for each village | Latitude,,variable,SCORE S. mansoni Cluster Randomized Trial | SCORE Seasonal | SCORE Mozambique Cluster Randomized Trial
