label,sid_count,SIDs,termTypes,Parent_labels,Comment
Other,24,EUPATH_0024121|EUPATH_0024050|EUPATH_0024066|EUPATH_0024103|EUPATH_0024140|EUPATH_0024080|EUPATH_0024204|EUPATH_0024157|EUPATH_0024031|EUPATH_0024197|EUPATH_0024113|EUPATH_0021021|EUPATH_0021037|EUPATH_0041138|EUPATH_0041137|EUPATH_0015031|EUPATH_0015479|EUPATH_0015504|EUPATH_0015538|EUPATH_0031045|EUPATH_0015023|EUPATH_0025099|EUPATH_0025100|EUPATH_0025161,variable|value,Reason for moving|Malaria causes knowledge|Malaria prevention knowledge|Antimalarial medications in past month|Reason for no household bednets|Malaria knowledge source|Overnight lodgings|Reason for not using a bednet|Malaria symptoms knowledge|Reason for travel|Antimalarial medication source|Personal bednet treatment|Antimalarial medications used|Condition history|Abnormal physical exam|Animals on property|Maternal supplementation during pregnancy|Parent perception of signs of dehydration|Barriers to physical access to care|Rank order sought care|Finished floor|Cooking fuel|Medication|Medication taken before visit|Specific diagnosis,All part of different multifilters I think
"Adenovirus (copies/mL), by multiplexed qPCR result",3,EUPATH_0032773|EUPATH_0032680|EUPATH_0032573,variable,Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for lung aspirate|Raw virus data for induced sputum,"Different sample types, fine as is"
"Adenovirus Ct value, by multiplexed qPCR result",4,EUPATH_0032774|EUPATH_0032681|EUPATH_0033037|EUPATH_0032574,variable,Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for lung aspirate|Raw virus data for pleural fluid|Raw virus data for induced sputum,"Different sample types, fine as is"
Aerobic plate growth at 96h,2,EUPATH_0033441|EUPATH_0033097,variable,Lung aspirate microbiology test|Pleural fluid microbiology test,"Different sample types, fine as is"
Anaerobic plate growth at 48h,2,EUPATH_0033442|EUPATH_0033098,variable,Lung aspirate microbiology test|Pleural fluid microbiology test,"Different sample types, fine as is"
"Bordetella pertussis (copies/mL), by multiplexed qPCR result",2,EUPATH_0032492|EUPATH_0032750,variable,Raw bacteria data for induced sputum|Raw bacteria data for nasopharyngeal/oropharyngeal swabs,"Different sample types, fine as is"
"Bordetella pertussis Ct value, by multiplexed qPCR result",4,EUPATH_0032659|EUPATH_0033015|EUPATH_0032493|EUPATH_0032751,variable,Raw bacteria data for lung aspirate|Raw bacteria data for pleural fluid|Raw bacteria data for induced sputum|Raw bacteria data for nasopharyngeal/oropharyngeal swabs,"Different sample types, fine as is"
Broth growth,2,EUPATH_0033099|EUPATH_0033440,variable,Pleural fluid microbiology test|Lung aspirate microbiology test,"Different sample types, fine as is"
"Chlamydophila pneumoniae (copies/mL), by multiplexed qPCR result",3,EUPATH_0032660|EUPATH_0032752|EUPATH_0032495,variable,Raw bacteria data for lung aspirate|Raw bacteria data for nasopharyngeal/oropharyngeal swabs|Raw bacteria data for induced sputum,"Different sample types, fine as is"
"Chlamydophila pneumoniae Ct value, by multiplexed qPCR result",4,EUPATH_0032753|EUPATH_0032496|EUPATH_0032661|EUPATH_0033017,variable,Raw bacteria data for nasopharyngeal/oropharyngeal swabs|Raw bacteria data for induced sputum|Raw bacteria data for lung aspirate|Raw bacteria data for pleural fluid,"Different sample types, fine as is"
"Coronoavirus 229 Ct value, by multiplexed qPCR result",3,EUPATH_0032776|EUPATH_0032683|EUPATH_0033039,variable,Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for lung aspirate|Raw virus data for pleural fluid,"Different sample types, fine as is"
"Coronoavirus 43 Ct value, by multiplexed qPCR result",3,EUPATH_0033041|EUPATH_0032778|EUPATH_0032685,variable,Raw virus data for pleural fluid|Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for lung aspirate,"Different sample types, fine as is"
"Coronoavirus 63 Ct value, by multiplexed qPCR result",3,EUPATH_0032780|EUPATH_0033043|EUPATH_0032687,variable,Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for pleural fluid|Raw virus data for lung aspirate,"Different sample types, fine as is"
"Coronoavirus HKU Ct value, by multiplexed qPCR result",3,EUPATH_0032782|EUPATH_0033045|EUPATH_0032689,variable,Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for pleural fluid|Raw virus data for lung aspirate,"Different sample types, fine as is"
"Cytomegalovirus (copies/mL), by multiplexed qPCR result",4,EUPATH_0032783|EUPATH_0032690|EUPATH_0033046|EUPATH_0032583,variable,Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for lung aspirate|Raw virus data for pleural fluid|Raw virus data for induced sputum,"Different sample types, fine as is"
"Cytomegalovirus Ct value, by multiplexed qPCR result",4,EUPATH_0032784|EUPATH_0032691|EUPATH_0033047|EUPATH_0032584,variable,Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for lung aspirate|Raw virus data for pleural fluid|Raw virus data for induced sputum,"Different sample types, fine as is"
Epithelial cells categorization,2,EUPATH_0032385|EUPATH_0033093,variable,Endotracheal tube aspirate test|Induced sputum test,"Different sample types, fine as is"
Gram stain date,2,EUPATH_0033445|EUPATH_0033100,variable,Lung aspirate microbiology test|Pleural fluid microbiology test,"Different sample types, fine as is"
Granulocyte-colony stimulating factor (pg/mL),3,EUPATH_0036274|EUPATH_0036495|EUPATH_0036494,variable,Maternal breast milk test|Maternal blood test|Blood test,"Different sample types, fine as is"
Granulocyte-macrophage colony stimulating factor (pg/mL),3,EUPATH_0036497|EUPATH_0036275|EUPATH_0036496,variable,Maternal blood test|Maternal breast milk test|Blood test,"Different sample types, fine as is"
"Haemophilus influenzae (copies/mL), by multiplexed qPCR result",4,EUPATH_0032662|EUPATH_0033018|EUPATH_0032519|EUPATH_0032754,variable,Raw bacteria data for lung aspirate|Raw bacteria data for pleural fluid|Raw bacteria data for induced sputum|Raw bacteria data for nasopharyngeal/oropharyngeal swabs,"Different sample types, fine as is"
"Haemophilus influenzae Ct value, by multiplexed qPCR result",4,EUPATH_0032755|EUPATH_0032520|EUPATH_0032663|EUPATH_0033019,variable,Raw bacteria data for nasopharyngeal/oropharyngeal swabs|Raw bacteria data for induced sputum|Raw bacteria data for lung aspirate|Raw bacteria data for pleural fluid,"Different sample types, fine as is"
"Haemophilus influenzae serotype, by culture result",3,EUPATH_0032209|EUPATH_0033447|EUPATH_0033452,variable,Raw bacteria data for blood|Raw bacteria data for endotracheal tube aspirate|Raw bacteria data for induced sputum,"Different sample types, fine as is"
"Haemophilus influenzae type B (copies/mL), by multiplexed qPCR result",3,EUPATH_0032521|EUPATH_0032664|EUPATH_0032756,variable,Raw bacteria data for induced sputum|Raw bacteria data for lung aspirate|Raw bacteria data for nasopharyngeal/oropharyngeal swabs,"Different sample types, fine as is"
"Haemophilus influenzae type B Ct value, by multiplexed qPCR result",4,EUPATH_0032665|EUPATH_0032757|EUPATH_0033021|EUPATH_0032522,variable,Raw bacteria data for lung aspirate|Raw bacteria data for nasopharyngeal/oropharyngeal swabs|Raw bacteria data for pleural fluid|Raw bacteria data for induced sputum,"Different sample types, fine as is"
"Human bocavirus (copies/mL), by multiplexed qPCR result",3,EUPATH_0032785|EUPATH_0033048|EUPATH_0032585,variable,Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for pleural fluid|Raw virus data for induced sputum,"Different sample types, fine as is"
"Human bocavirus Ct value, by multiplexed qPCR result",4,EUPATH_0032786|EUPATH_0032693|EUPATH_0033049|EUPATH_0032586,variable,Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for lung aspirate|Raw virus data for pleural fluid|Raw virus data for induced sputum,"Different sample types, fine as is"
"Human metapneumonoviruses A/B (copies/mL), by multiplexed qPCR result",2,EUPATH_0032787|EUPATH_0032694,variable,Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for lung aspirate,"Different sample types, fine as is"
"Human metapneumonoviruses A/B Ct value, by multiplexed qPCR result",3,EUPATH_0033051|EUPATH_0032788|EUPATH_0032695,variable,Raw virus data for pleural fluid|Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for lung aspirate,"Different sample types, fine as is"
"Human respiratory syncytial viruses A/B (copies/mL), by multiplexed qPCR result",3,EUPATH_0032789|EUPATH_0032589|EUPATH_0033052,variable,Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for induced sputum|Raw virus data for pleural fluid,"Different sample types, fine as is"
"Human respiratory syncytial viruses A/B Ct value, by multiplexed qPCR result",4,EUPATH_0032697|EUPATH_0032790|EUPATH_0033053|EUPATH_0032590,variable,Raw virus data for lung aspirate|Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for pleural fluid|Raw virus data for induced sputum,"Different sample types, fine as is"
"Influenza A (copies/mL), by multiplexed qPCR result",2,EUPATH_0032591|EUPATH_0032791,variable,Raw virus data for induced sputum|Raw virus data for nasopharyngeal/oropharyngeal swabs,"Different sample types, fine as is"
"Influenza A Ct value, by multiplexed qPCR result",4,EUPATH_0032699|EUPATH_0032792|EUPATH_0033055|EUPATH_0032592,variable,Raw virus data for lung aspirate|Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for pleural fluid|Raw virus data for induced sputum,"Different sample types, fine as is"
"Influenza B (copies/mL), by multiplexed qPCR result",2,EUPATH_0032793|EUPATH_0032593,variable,Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for induced sputum,"Different sample types, fine as is"
"Influenza B Ct value, by multiplexed qPCR result",4,EUPATH_0032701|EUPATH_0032794|EUPATH_0033057|EUPATH_0032594,variable,Raw virus data for lung aspirate|Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for pleural fluid|Raw virus data for induced sputum,"Different sample types, fine as is"
"Influenza C (copies/mL), by multiplexed qPCR result",2,EUPATH_0032795|EUPATH_0032595,variable,Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for induced sputum,"Different sample types, fine as is"
"Influenza C Ct value, by multiplexed qPCR result",4,EUPATH_0033059|EUPATH_0032596|EUPATH_0032703|EUPATH_0032796,variable,Raw virus data for pleural fluid|Raw virus data for induced sputum|Raw virus data for lung aspirate|Raw virus data for nasopharyngeal/oropharyngeal swabs,"Different sample types, fine as is"
Interferon gamma (pg/mL),3,EUPATH_0036498|EUPATH_0036499|EUPATH_0036262,variable,Maternal breast milk test|Maternal blood test|Blood test,"Different sample types, fine as is"
Interleukin 1 beta (pg/mL),3,EUPATH_0036264|EUPATH_0036508|EUPATH_0036509,variable,Blood test|Maternal breast milk test|Maternal blood test,"Different sample types, fine as is"
Interleukin 10 (pg/mL),3,EUPATH_0036501|EUPATH_0036500|EUPATH_0036263,variable,Maternal blood test|Maternal breast milk test|Blood test,"Different sample types, fine as is"
"Interleukin 12, p70 (pg/mL)",3,EUPATH_0036503|EUPATH_0036276|EUPATH_0036502,variable,Maternal blood test|Maternal breast milk test|Blood test,"Different sample types, fine as is"
Interleukin 13 (pg/mL),3,EUPATH_0036277|EUPATH_0036505|EUPATH_0036504,variable,Maternal breast milk test|Maternal blood test|Blood test,"Different sample types, fine as is"
Interleukin 17A (pg/mL),3,EUPATH_0036279|EUPATH_0036507|EUPATH_0036506,variable,Maternal breast milk test|Maternal blood test|Blood test,"Different sample types, fine as is"
Interleukin 2 (pg/mL),3,EUPATH_0036533|EUPATH_0036532|EUPATH_0036281,variable,Maternal blood test|Blood test|Maternal breast milk test,"Different sample types, fine as is"
Interleukin 4 (pg/mL),3,EUPATH_0036511|EUPATH_0036510|EUPATH_0036265,variable,Maternal blood test|Maternal breast milk test|Blood test,"Different sample types, fine as is"
Interleukin 5 (pg/mL),3,EUPATH_0036266|EUPATH_0036513|EUPATH_0036512,variable,Blood test|Maternal blood test|Maternal breast milk test,"Different sample types, fine as is"
Interleukin 6 (pg/mL),3,EUPATH_0036514|EUPATH_0036515|EUPATH_0036267,variable,Maternal breast milk test|Maternal blood test|Blood test,"Different sample types, fine as is"
Interleukin 7 (pg/mL),3,EUPATH_0036516|EUPATH_0036518|EUPATH_0036268,variable,Maternal breast milk test|Maternal blood test|Blood test,"Different sample types, fine as is"
Interleukin 8 (pg/mL),3,EUPATH_0036269|EUPATH_0036520|EUPATH_0036519,variable,Blood test|Maternal blood test|Maternal breast milk test,"Different sample types, fine as is"
"Legionella (copies/mL), by multiplexed qPCR result",2,EUPATH_0032533|EUPATH_0032758,variable,Raw bacteria data for induced sputum|Raw bacteria data for nasopharyngeal/oropharyngeal swabs,"Different sample types, fine as is"
"Legionella Ct value, by multiplexed qPCR result",4,EUPATH_0032534|EUPATH_0032667|EUPATH_0032759|EUPATH_0033023,variable,Raw bacteria data for induced sputum|Raw bacteria data for lung aspirate|Raw bacteria data for nasopharyngeal/oropharyngeal swabs|Raw bacteria data for pleural fluid,"Different sample types, fine as is"
"Log2 polio serotype 1 titer, by microneutralization result",2,EUPATH_0011290|EUPATH_0036527,variable,Raw antibody titer test result|Maternal blood raw antibody titer test result,"Different sample types, fine as is"
"Log2 polio serotype 2 titer, by microneutralization result",2,EUPATH_0011291|EUPATH_0036528,variable,Raw antibody titer test result|Maternal blood raw antibody titer test result,"Different sample types, fine as is"
"Log2 polio serotype 3 titer, by microneutralization result",2,EUPATH_0011292|EUPATH_0036529,variable,Raw antibody titer test result|Maternal blood raw antibody titer test result,"Different sample types, fine as is"
Macrophage inflammatory protein 1 beta (pg/mL),3,EUPATH_0036270|EUPATH_0036524|EUPATH_0036523,variable,Blood test|Maternal blood test|Maternal breast milk test,"Different sample types, fine as is"
Monocyte chemoattractant protein 1 (pg/mL),3,EUPATH_0036522|EUPATH_0036521|EUPATH_0036284,variable,Maternal blood test|Blood test|Maternal breast milk test,"Different sample types, fine as is"
"Moraxella catarrhalis (Branhamella catarrhalis) (copies/mL), by multiplexed qPCR result",4,EUPATH_0033024|EUPATH_0032536|EUPATH_0032760|EUPATH_0032668,variable,Raw bacteria data for pleural fluid|Raw bacteria data for induced sputum|Raw bacteria data for nasopharyngeal/oropharyngeal swabs|Raw bacteria data for lung aspirate,"Different sample types, fine as is"
"Moraxella catarrhalis (Branhamella catarrhalis) Ct value, by multiplexed qPCR result",4,EUPATH_0032761|EUPATH_0032669|EUPATH_0033025|EUPATH_0032537,variable,Raw bacteria data for nasopharyngeal/oropharyngeal swabs|Raw bacteria data for lung aspirate|Raw bacteria data for pleural fluid|Raw bacteria data for induced sputum,"Different sample types, fine as is"
Mucus present,2,EUPATH_0033094|EUPATH_0032392,variable,Endotracheal tube aspirate characteristics|Induced sputum characteristics,"Different sample types, fine as is"
"Mycoplasma pneumoniae (copies/mL), by multiplexed qPCR result",2,EUPATH_0032541|EUPATH_0032762,variable,Raw bacteria data for induced sputum|Raw bacteria data for nasopharyngeal/oropharyngeal swabs,"Different sample types, fine as is"
"Mycoplasma pneumoniae Ct value, by multiplexed qPCR result",4,EUPATH_0033027|EUPATH_0032542|EUPATH_0032763|EUPATH_0032671,variable,Raw bacteria data for pleural fluid|Raw bacteria data for induced sputum|Raw bacteria data for nasopharyngeal/oropharyngeal swabs|Raw bacteria data for lung aspirate,"Different sample types, fine as is"
Neutrophils categorization,2,EUPATH_0032393|EUPATH_0033095,variable,Endotracheal tube aspirate test|Induced sputum test,"Different sample types, fine as is"
"Organism 2, by culture",5,EUPATH_0033437|EUPATH_0033223|EUPATH_0033444|EUPATH_0033250|EUPATH_0033235,variable,Endotracheal tube aspirate microbiology test|Blood microbiology test|Lung aspirate microbiology test|Pleural fluid microbiology test|Induced sputum microbiology test,"Different sample types, fine as is"
"Organism 3, by culture",2,EUPATH_0033236|EUPATH_0033438,variable,Induced sputum microbiology test|Endotracheal tube aspirate microbiology test,"Different sample types, fine as is"
"Organism, by culture",5,EUPATH_0033251|EUPATH_0033436|EUPATH_0033238|EUPATH_0033227|EUPATH_0033443,variable,Pleural fluid microbiology test|Endotracheal tube aspirate microbiology test|Induced sputum microbiology test|Blood microbiology test|Lung aspirate microbiology test,"Different sample types, fine as is"
"Parainfluenza 1 (copies/mL), by multiplexed qPCR result",2,EUPATH_0032797|EUPATH_0032597,variable,Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for induced sputum,"Different sample types, fine as is"
"Parainfluenza 1 Ct value, by multiplexed qPCR result",4,EUPATH_0032798|EUPATH_0032598|EUPATH_0033061|EUPATH_0032705,variable,Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for induced sputum|Raw virus data for pleural fluid|Raw virus data for lung aspirate,"Different sample types, fine as is"
"Parainfluenza 2 (copies/mL), by multiplexed qPCR result",2,EUPATH_0032799|EUPATH_0032599,variable,Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for induced sputum,"Different sample types, fine as is"
"Parainfluenza 2 Ct value, by multiplexed qPCR result",4,EUPATH_0032707|EUPATH_0032800|EUPATH_0032600|EUPATH_0033063,variable,Raw virus data for lung aspirate|Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for induced sputum|Raw virus data for pleural fluid,"Different sample types, fine as is"
"Parainfluenza 3 (copies/mL), by multiplexed qPCR result",2,EUPATH_0032601|EUPATH_0032801,variable,Raw virus data for induced sputum|Raw virus data for nasopharyngeal/oropharyngeal swabs,"Different sample types, fine as is"
"Parainfluenza 3 Ct value, by multiplexed qPCR result",4,EUPATH_0032709|EUPATH_0032802|EUPATH_0032602|EUPATH_0033065,variable,Raw virus data for lung aspirate|Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for induced sputum|Raw virus data for pleural fluid,"Different sample types, fine as is"
"Parainfluenza 4 (copies/mL), by multiplexed qPCR result",2,EUPATH_0032803|EUPATH_0032603,variable,Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for induced sputum,"Different sample types, fine as is"
"Parainfluenza 4 Ct value, by multiplexed qPCR result",4,EUPATH_0033067|EUPATH_0032804|EUPATH_0032711|EUPATH_0032604,variable,Raw virus data for pleural fluid|Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for lung aspirate|Raw virus data for induced sputum,"Different sample types, fine as is"
"Parechovirus/Enterovirus (copies/mL), by multiplexed qPCR result",2,EUPATH_0032805|EUPATH_0032605,variable,Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for induced sputum,"Different sample types, fine as is"
