entity,Num_datasets,labels,PARENT,direct_parent,category,termType
http://purl.obolibrary.org/obo/EUPATH_0010981,30,Demographics,Demographics,Participant,participant,category
http://purl.obolibrary.org/obo/PATO_0000047,30,Sex,Demographics,Demographics,household | participant | observation,variable
http://purl.obolibrary.org/obo/EUPATH_0000120,17,Age at enrollment,Demographics,Demographics | Participant study details,participant,variable
http://www.ebi.ac.uk/efo/EFO_0004950,14,Birth date,Demographics,Demographics,household | participant | observation,variable | derived variable
http://purl.obolibrary.org/obo/EUPATH_0000150,7,Death date,Demographics,Death information,participant | observation,variable
http://purl.obolibrary.org/obo/EUPATH_0000671,7,Death information,Demographics,Demographics,participant,category
http://purl.obolibrary.org/obo/EUPATH_0000345,7,Education level,Demographics,Demographics,participant,variable
http://purl.obolibrary.org/obo/EUPATH_0010067,6,Place of death,Demographics,Death information,participant | observation,variable
http://purl.obolibrary.org/obo/EUPATH_0000667,4,Deceased,Demographics,Death information,participant | observation,variable
http://purl.obolibrary.org/obo/EUPATH_0030005,3,Birth year,Demographics,Demographics,participant,variable
http://purl.obolibrary.org/obo/EUPATH_0020001,3,Cause of death,Demographics,Death information,participant,variable
http://purl.obolibrary.org/obo/OMRSE_00000100,3,Ethnicity,Demographics,Demographics,participant,variable
http://purl.obolibrary.org/obo/EUPATH_0010068,3,Health facility code,Demographics,Death information,participant | observation,variable
http://purl.obolibrary.org/obo/EUPATH_0000424,3,Nationality,Demographics,Demographics,participant,variable
http://purl.obolibrary.org/obo/EUPATH_0000442,3,State of birth,Demographics,Demographics,participant,variable
http://purl.obolibrary.org/obo/EUPATH_0012417,2,Birth place,Demographics,Demographics,participant,variable
http://purl.obolibrary.org/obo/EUPATH_0010069,2,Health facility name,Demographics,Death information,participant,variable
http://purl.obolibrary.org/obo/EUPATH_0020068,1,Death malaria-related,Demographics,Death information,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0033451,1,Died during hospitalization,Demographics,Death information,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0033172,1,Died within 30 days of admission,Demographics,Death information,participant,variable
http://purl.obolibrary.org/obo/EUPATH_0033173,1,Died within 30 days of discharge,Demographics,Death information,participant,variable
http://purl.obolibrary.org/obo/EUPATH_0022104,1,Literacy level,Demographics,Demographics,participant,variable
http://purl.obolibrary.org/obo/EUPATH_0000374,1,Marital status,Demographics,Demographics,participant,variable
http://purl.obolibrary.org/obo/EUPATH_0022105,1,School year,Demographics,Demographics,participant,variable
http://purl.obolibrary.org/obo/EUPATH_0022103,1,Total education (years),Demographics,Demographics,participant,variable
http://purl.obolibrary.org/obo/EUPATH_0023056,1,Tribal affilliation,Demographics,Demographics,participant,variable
