entity,Num_datasets,labels,PARENT,direct_parent,category,termType
http://purl.obolibrary.org/obo/OGMS_0000083,20,Physical examination,Physical examination,Observation,observation,category
http://purl.obolibrary.org/obo/EUPATH_0000110,16,Temperature (C),Physical examination,Physical examination,observation,variable
http://purl.obolibrary.org/obo/CMO_0000289,8,Respiratory rate (breaths/min),Physical examination,Physical examination,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0021087,7,Diastolic blood pressure (mmHg),Physical examination,Physical examination,observation,"variable | variable, derived | derived variable"
http://purl.obolibrary.org/obo/EUPATH_0021086,7,Systolic blood pressure (mmHg),Physical examination,Physical examination,observation,"variable | variable, derived | derived variable"
http://www.ebi.ac.uk/efo/EFO_0004326,5,Heart rate (bpm),Physical examination,Physical examination,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0010097,4,"Respiratory rate (breaths/min), 2nd",Physical examination,Physical examination,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0010095,3,Axillary temperature (C),Physical examination,Physical examination,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0033161,2,Chest X-ray interpretation,Physical examination,Physical examination,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0010098,2,Mean respiratory rate (breaths/min),Physical examination,Physical examination,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0032049,2,O2 saturation (%),Physical examination,Physical examination,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0000544,2,Temperature measurement method,Physical examination,Physical examination,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0031079,2,Vesikari axillary temperature,Physical examination,Physical examination,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0041093,1,Abdominal,Physical examination,Abnormal physical exam,observation,value
http://purl.obolibrary.org/obo/EUPATH_0041083,1,Abdominal exam findings,Physical examination,Physical examination,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0041001,1,Abnormal physical exam,Physical examination,Physical examination,observation,multifilter
http://purl.obolibrary.org/obo/EUPATH_0041099,1,Cardiac,Physical examination,Abnormal physical exam,observation,value
http://purl.obolibrary.org/obo/EUPATH_0041084,1,Cardiac exam findings,Physical examination,Physical examination,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0033160,1,Chest X-ray date,Physical examination,Physical examination,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0033162,1,Chest X-ray interpretation categorization,Physical examination,Physical examination,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0021162,1,Chest X-ray performed,Physical examination,Physical examination,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0033163,1,Chest X-ray status,Physical examination,Physical examination,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0041111,1,General appearance,Physical examination,Abnormal physical exam,observation,value
http://purl.obolibrary.org/obo/EUPATH_0041085,1,General appearance exam findings,Physical examination,Physical examination,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0041086,1,Hackett spleen index,Physical examination,Physical examination,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0041116,1,"Head, ears, eyes, nose, and throat",Physical examination,Abnormal physical exam,observation,value
http://purl.obolibrary.org/obo/EUPATH_0041087,1,"Head, ears, eyes, nose, and throat exam findings",Physical examination,Physical examination,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0033194,1,Hypoxia,Physical examination,Physical examination,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0010540,1,"Indrawing, fieldworker assessment",Physical examination,Physical examination,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0033203,1,Lowest O2 level,Physical examination,Physical examination,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0032050,1,O2 saturation level,Physical examination,Physical examination,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0041137,1,Other,Physical examination,Abnormal physical exam,observation,value
http://purl.obolibrary.org/obo/EUPATH_0041088,1,Other exam findings,Physical examination,Physical examination,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0041089,1,Other exam type,Physical examination,Physical examination,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0032051,1,Oxygen source,Physical examination,Physical examination,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0022170,1,Physical exam complete,Physical examination,Physical examination,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0041143,1,Pulmonary,Physical examination,Abnormal physical exam,observation,value
http://purl.obolibrary.org/obo/EUPATH_0021217,1,Pulmonary edema on X-ray,Physical examination,Physical examination,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0041090,1,Pulmonary exam findings,Physical examination,Physical examination,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0027003,1,Spleen size,Physical examination,Physical examination,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0033260,1,Tachycardia,Physical examination,Physical examination,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0033261,1,Tachypnea,Physical examination,Physical examination,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0031078,1,Time to refill capillary,Physical examination,Physical examination,observation,variable
http://purl.obolibrary.org/obo/EUPATH_0041091,1,Ultrasonograph requested,Physical examination,Physical examination,observation,variable
