IRI,label,displayOrder,variable,dataFile,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType
http://purl.obolibrary.org/obo/EUPATH_0000327,Entomology,,,,,Entomology,,http://www.w3.org/2002/07/owl#Thing,,,category
http://purl.obolibrary.org/obo/EUPATH_0025026,Female Aedes count,,aedesf | aedesf_trap | aedesf_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Entomology,Aedes results,http://purl.obolibrary.org/obo/EUPATH_0025052,Number of female <i>Aedes</i>,,variable
http://purl.obolibrary.org/obo/EUPATH_0025027,Male Aedes count,,aedesm | aedesm_trap | aedesm_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Entomology,Aedes results,http://purl.obolibrary.org/obo/EUPATH_0025052,Number of male <i>Aedes</i>,,variable
http://purl.obolibrary.org/obo/EUPATH_0000134,Count of collections performed,,num collections,,Total number of mosquito collections in a given period,Entomology,Aggregated entomological measurement,http://purl.obolibrary.org/obo/EUPATH_0000312,,,"variable, derived"
http://purl.obolibrary.org/obo/EUPATH_0000116,Human biting rate,,ave_anopheles,,Average number of Anopheles females trapped per night,Entomology,Aggregated entomological measurement,http://purl.obolibrary.org/obo/EUPATH_0000312,,,"variable, derived"
http://purl.obolibrary.org/obo/EUPATH_0000326,Sporozoite rate,,,,,Entomology,Aggregated entomological measurement,http://purl.obolibrary.org/obo/EUPATH_0000312,,,category
http://purl.obolibrary.org/obo/EUPATH_0000192,Bloodfed Anopheles funestus count,3,fedfunes2 | fedfunes1 | fedfunes3 | hh_18m::bloodfedfunestus | hh_00m::bloodfedfunestus | hh_12m::bloodfedfunestus | hh_06m::bloodfedfunestus | fedfunes,CDC LT data through February 28th 2019.dta | hh_06m | hh_18m | hh_00m | hh_12m,Number of female Anopheles funestus who had a recent blood meal. Mosquitoes were collected from a subset of enrolled households at each study timepoint. | Number of female Anopheles funestus with a recent blood meal,Entomology,Anopheles funestus results,http://purl.obolibrary.org/obo/EUPATH_0000322,Total blood fed An. funestus,NA,variable
http://purl.obolibrary.org/obo/EUPATH_0000136,Female Anopheles funestus count,1,totalfunestus3 | totalfunestus2 | totalfunestus1 | hh_00m::funestusf | hh_06m::funestusf | hh_12m::funestusf | hh_18m::funestusf | totalfunestus | total_funestus,CDC LT data through February 28th 2019.dta | hh_06m | hh_18m | hh_00m | hh_12m,Number of female Anopheles funestus mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint. | Number of female Anopheles funestus collected,Entomology,Anopheles funestus results,http://purl.obolibrary.org/obo/EUPATH_0000322,Number of female Anopheles funestus,Numeric,variable
http://purl.obolibrary.org/obo/EUPATH_0000197,Gravid Anopheles funestus count,2,gravidfenes1 | gravidfenes3 | gravidfenes2 | hh_06m::gravidfunestus | hh_00m::gravidfunestus | hh_12m::gravidfunestus | hh_18m::gravidfunestus | totalgravid | gravidfunes,CDC LT data through February 28th 2019.dta | hh_06m | hh_18m | hh_00m | hh_12m,Number of gravid female Anopheles funestus mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint. | Number of gravid or semi-gravid Anopheles funestus,Entomology,Anopheles funestus results,http://purl.obolibrary.org/obo/EUPATH_0000322,Total gravid/semigravid An. Funestus,,variable
http://purl.obolibrary.org/obo/EUPATH_0044102,Male Anopheles funestus count,,hh_00m::funestusm | hh_06m::funestusm | hh_18m::funestusm | hh_12m::funestusm,hh_06m | hh_18m | hh_00m | hh_12m,Number of male Anopheles funestus mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.,Entomology,Anopheles funestus results,http://purl.obolibrary.org/obo/EUPATH_0000322,Number of male Anopheles funestus,Numeric,variable
http://purl.obolibrary.org/obo/EUPATH_0044103,Semigravid Anopheles funestus count,,hh_12m::halfgravidfunestus | hh_18m::halfgravidfunestus | hh_00m::halfgravidfunestus | hh_06m::halfgravidfunestus,hh_06m | hh_18m | hh_00m | hh_12m,Number of semigravid female Anopheles funestus mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.,Entomology,Anopheles funestus results,http://purl.obolibrary.org/obo/EUPATH_0000322,,,variable
http://purl.obolibrary.org/obo/EUPATH_0000202,Unable to assess Anopheles funestus count,5,unableassess3 | unableassess2 | unableassess1 | unableassess | funesunableassess,CDC LT data through February 28th 2019.dta,Number of Anopheles funestus that could not be assessed,Entomology,Anopheles funestus results,http://purl.obolibrary.org/obo/EUPATH_0000322,Total An. funestus unable to assess,NA,variable
http://purl.obolibrary.org/obo/EUPATH_0000204,Unfed Anopheles funestus count,4,unfedfunes3 | unfedfunes2 | unfedfunes1 | hh_12m::unfedfunestus | hh_00m::unfedfunestus | hh_18m::unfedfunestus | hh_06m::unfedfunestus | unfedfunes,CDC LT data through February 28th 2019.dta | hh_06m | hh_18m | hh_00m | hh_12m,Number of unfed Anopheles funestus mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint. | Number of female Anopheles funestus without a recent blood meal,Entomology,Anopheles funestus results,http://purl.obolibrary.org/obo/EUPATH_0000322,Total unfed An. funestus,NA,variable
