colOrder,variable,dataFile,keepDiscard,definition,category,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,uniqueVar,dataSet,variable_dataFile,type,example,dateTime,formatCode,values,uniqueValueCount,percentMissing,flag
2,invid,icemrcambodiacensus_data_2022-05-13_1304_sak,discard,,,"ឈ្មោះអ្នកធ្វើស្ថិតិ?
What is the investigator name?",NA,,,,NA,icemrcambodiacensus_data_2022-05-13_1304_sak::invid,SW PACIFIC,invid,chr,Chanty Sok,NA,NA,"Chanty Sok, Chhunleng Chhan, David Chhouk, Laro Sum, Saorin Kim",5,0,duplicated variable
2,invid,icemrcambodiahousehold_data_2022-05-13_1307_sak,discard,,,"ឈ្មោះអ្នកធ្វើស្ថិតិ?
What is the investigator name?",NA,,,,NA,icemrcambodiahousehold_data_2022-05-13_1307_sak::invid,SW PACIFIC,invid,chr,David,NA,NA,"David, Saorin Kim",2,0,duplicated variable
3,visdat,icemrcambodiacensus_data_2022-05-13_1304_sak,keep,,,"កាលបរិច្ឆេទធ្វើស្ថិតិ?
What is the visit date?",NA,,,,NA,icemrcambodiacensus_data_2022-05-13_1304_sak::visdat,SW PACIFIC,visdat,chr,29/11/2017,date?,%Y-%m-%d,>10 unique values,15,0,duplicated variable
3,visdat,icemrcambodiahousehold_data_2022-05-13_1307_sak,keep,,,"កាលបរិច្ឆេទធ្វើស្ថិតិ?
What is the visit date?",NA,,,,NA,icemrcambodiahousehold_data_2022-05-13_1307_sak::visdat,SW PACIFIC,visdat,chr,14/12/2017,date?,%Y-%m-%d,>10 unique values,47,0,duplicated variable
3,visdat,icemrcambodiaprevalence_data_2022-06-06_2029_sak,keep,,,"កាលបរិច្ឆេទធ្វើស្ថិតិ?
What is the visit date?",NA,,,,NA,icemrcambodiaprevalence_data_2022-06-06_2029_sak::visdat,SW PACIFIC,visdat,chr,14/12/2017,date?,%Y-%m-%d,>10 unique values,48,0,duplicated variable
4,hhid,icemrcambodiacensus_data_2022-05-13_1304_sak,discard,,,"លេខកូដខ្នងផ្ទះ?
What is the household identifier?
<span style=""font-weight: lighter; font-style:italic;"">[Refer to available list. Do NOT attribute the same identifier to another household once you've allocated it]</span>",NA,,,,NA,icemrcambodiacensus_data_2022-05-13_1304_sak::hhid,SW PACIFIC,hhid,int,1171,NA,NA,1 to 4054,2351,0,duplicated variable
4,hhid,icemrcambodiahousehold_data_2022-05-13_1307_sak,discard,,,"លេខកូដខ្នងផ្ទះ?
What is the household identifier?
<span style=""font-weight: lighter; font-style:italic;"">[Refer to available list. Do NOT attribute the same identifier to another household once you've allocated it]</span>",NA,,,,NA,icemrcambodiahousehold_data_2022-05-13_1307_sak::hhid,SW PACIFIC,hhid,int,5,NA,NA,2 to 4054,1146,0,duplicated variable
1,hhid,census_long,discard,,,"លេខកូដខ្នងផ្ទះ?
What is the household identifier?
<span style=""font-weight: lighter; font-style:italic;"">[Refer to available list. Do NOT attribute the same identifier to another household once you've allocated it]</span>",NA,,,,NA,census_long::hhid,SW PACIFIC,hhid,int,1171,NA,NA,1 to 4054,2351,0,duplicated variable
5,village,icemrcambodiacensus_data_2022-05-13_1304_sak,keep,,,What is the name of the village?,"1, ឆ្នែង / Chhnaeng | 2, អូរអាម / Oham | 3, ឡាប៉ាខេ / Lapakhe | 4, អូររណា / Ohrana | 5, ត្រពាំងផ្អេរ / Trapaingphiae | 6, ស្រែល្វីវី / Sraelvy | 7, ស្រែខ្ទុម / Sraektum | 8, ស្រែអំពិល / Sraeampil | 9, ​អូរច្រា / Ohchra | 10, ពូចា / Poucha | 11, ស្រែព្រះ / Sraepreas | 12, ហ្គាទី / Gaty | 99, ភូមិណាមួយផ្សេងទៀត / Other",,,,NA,icemrcambodiacensus_data_2022-05-13_1304_sak::village,SW PACIFIC,village,int,5,NA,NA,1 to 99,12,0,NA
6,village_oth,icemrcambodiacensus_data_2022-05-13_1304_sak,keep,,,"សូមបញ្ជាក់ភូមិណាមួយផ្សេងទៀតប្រសិនបើមាន
If ""Other"", specify",NA,,,,[village] = '99',icemrcambodiacensus_data_2022-05-13_1304_sak::village_oth,SW PACIFIC,village_oth,chr,Beng,NA,NA,", Beng, Ohkaunpreas, Ohtrone, Sraeampilkroam, Sraeampilleu, Trapaingtouk",6,0.871118673,NA
7,hamlet,icemrcambodiacensus_data_2022-05-13_1304_sak,keep,,,"ឈ្មោះភូមិរណបឬឈ្មោះតំបន់នៅក្នុងភូមិ?
What is the name of the hamlet?",NA,,,,NA,icemrcambodiacensus_data_2022-05-13_1304_sak::hamlet,SW PACIFIC,hamlet,chr,Group26,NA,NA,>10 unique values,26,0.026371757,NA
8,respondent_ishead,icemrcambodiacensus_data_2022-05-13_1304_sak,keep,,,"តើអ្នកដែលផ្តល់ចំលើយជាមេគ្រួសារ?
Is the respondent the head of household?","1, ជាមេគ្រួសារ  / Yes | 0, មិនមែនជាមេគ្រួសារ / No",,,,NA,icemrcambodiacensus_data_2022-05-13_1304_sak::respondent_ishead,SW PACIFIC,respondent_ishead,int,0,NA,NA,0 to 1,2,0,NA
9,hh_nb_live,icemrcambodiacensus_data_2022-05-13_1304_sak,keep,,,"ចំនួនសមាជិកគ្រួសារមានប៉ុន្មាននាក់?
How many people live in this household?",NA,,,,NA,icemrcambodiacensus_data_2022-05-13_1304_sak::hh_nb_live,SW PACIFIC,hh_nb_live,int,4,NA,NA,1 to 13,12,0,NA
10,floor,icemrcambodiacensus_data_2022-05-13_1304_sak,keep,,,"សម្ភារះចំបងនៃសំណង់ជាន់របស់ផ្ទះ?
What is the main material of the floor?
<span style=""font-weight: lighter; font-style:italic;"">[Observe]</span>","1, ដី/ខ្សាច់ (Earth / Sand) | 2, រនាបត្នោត/រនាបឫស្សី/ក្រាលស្មៅ (Palm / Bamboo / Grass) | 3, ឈើក្តារបន្ទះធម្មតា (Wood) | 4, ឈើក្តារបន្ទះដែលកែច្នៃនិងលាបថ្នាំរលោង (Polished wood) | 5, ស៊ីម៉ង់/ឥដ្ឋការ៉ូ (Cement / Tiles) | 99, សម្ភារះណាមួយផ្សេងទៀត (Other)",,,,NA,icemrcambodiacensus_data_2022-05-13_1304_sak::floor,SW PACIFIC,floor,int,3,NA,NA,1 to 5,5,0,NA
11,floor_oth,icemrcambodiacensus_data_2022-05-13_1304_sak,keep,,,"សូមបញ្ជាក់សម្ភារះណាមួយផ្សេងទៀតប្រសិនបើមាន
If ""Other"", specify",NA,,,,[floor] = '99',icemrcambodiacensus_data_2022-05-13_1304_sak::floor_oth,SW PACIFIC,floor_oth,lgl,NA,NA,NA,n/a,0,1,no data
12,walls,icemrcambodiacensus_data_2022-05-13_1304_sak,keep,,,"សម្ភារះចំបងនៃសំណង់ជញ្ជាំងផ្ទះ
What is the main material of the exterior walls?
<span style=""font-weight: lighter; font-style:italic;"">[Observe]</span>","1, ឬស្សី/ថ្ម (Bamboo / Pitpit) | 2, ស្លឹកឈើរឺស្លឹកឈើកែច្នៃជាបន្ទះស្តើងៗ (Sago) | 3, ឈើក្តារបន្ទះធម្មតា (Wood) | 4, កំទេចផ្ទាំងឈើកែច្នៃរឺផ្ទាំងឈើកែច្នៃស្តើងៗ (Plywood) | 5, កំបោរ/ហ្វីប្រូ (Masonite / Fibro) | 6, ស៊ីម៉ង់ រឺ ឥដ្ឋ (Cement or bricks) | 7, សង្ខសី (Iron sheet) | 99, សម្ភារះណាមួយផ្សេងទៀត (Other)",,,,NA,icemrcambodiacensus_data_2022-05-13_1304_sak::walls,SW PACIFIC,walls,int,3,NA,NA,1 to 99,7,0,NA
13,walls_oth,icemrcambodiacensus_data_2022-05-13_1304_sak,keep,,,"សូមបញ្ជាក់សម្ភារះណាមួយផ្សេងទៀតប្រសិនបើមាន
If ""Other"", specify",NA,,,,[walls] = '99',icemrcambodiacensus_data_2022-05-13_1304_sak::walls_oth,SW PACIFIC,walls_oth,chr,Tent,NA,NA,", Tent, <e1><9e><82><e1><9f><92><e1><9e><98><e1><9e><b6><e1><9e><93><e1><9e><87><e1><9e><89><e1><9f><92><e1><9e><87><e1><9e><b6><e1><9f><86><e1><9e><84><e1><9e><91><e1><9f><81> (No wall)",2,0.986814122,NA
14,roof,icemrcambodiacensus_data_2022-05-13_1304_sak,keep,,,"សម្ភារះចំបងនៃសំណងដំបូលផ្ទះ
What is the main material of the roof?
<span style=""font-weight: lighter; font-style:italic;"">[Observe]</span>","1, ស្បូវ (Thatched grass) | 2, ស្លឹកត្នោត (Sago palm leaves) | 3, សង្ខសី​ រឹ ហ្វីប្រូ (Corrugated iron) | 4, ឈើក្តារបន្ទះ (Wood planks) | 5, ស៊ីម់ង់ (Cement) | 6, ក្បឿង (Tiles) | 99, សម្ភារះណាមួយផ្សេងទៀតប្រសិនបើមាន (Other)",,,,NA,icemrcambodiacensus_data_2022-05-13_1304_sak::roof,SW PACIFIC,roof,int,6,NA,NA,1 to 99,7,0,NA
15,roof_oth,icemrcambodiacensus_data_2022-05-13_1304_sak,keep,,,"សូមបញ្ជាក់សម្ភារះណាមួយផ្សេងទៀតប្រសិនបើមាន
If ""Other"", specify",NA,,,,[roof] = '99',icemrcambodiacensus_data_2022-05-13_1304_sak::roof_oth,SW PACIFIC,roof_oth,chr,Tent,NA,NA,", Tent, Wood+Tent",2,0.987239473,NA
