colOrder,variable,dataFile,IRI,label,definition,category,codebookDescription,codebookValues,termType,parentIRI,parentLabel,notesForOnt,notesForProvider,notesForDL,variable_dataFile,uniqueVar,type,example,dateTime,formatCode,values,uniqueValueCount,percentMissing,flag
1,age,hucs_kenya,EUPATH_0015400,Age (months),Age (months),Observation,Age in months,NA,,,,,,,AGE,hucs_kenya::age,int,2,,,0 to 59,60,0,
2,gender,hucs_kenya,PATO_0000047,Sex,Sex,Participant,gender,"1=Male, 2=Female",,,,,,,GENDER,hucs_kenya::gender,int,1,,,1 to 2,2,0,
3,dob,hucs_kenya,EFO_0004950,Birth date,Birth date,Participant,Date of birth,,,,,,,,DOB,hucs_kenya::dob,chr,12/20/15,date,,>10 unique values,2827,0,
4,site,hucs_kenya,ENVO_00000004,Country,Country,Household,Site,3=Kenya,,,,,,,SITE,hucs_kenya::site,int,3,,,3 to 3,1,0,
5,dssid,hucs_kenya,EUPATH_0045105,DSS ID,DSS ID,Observation,,,,EUPATH_0010035,Administrative information,,Does DSS ID mean something different in Kenya and Gambia/Mali. In the former it seems to indicate unique participant but not in the latter. ,,DSSID,hucs_kenya::dssid,chr,1-1002-1-1,,,>10 unique values,56087,0,
6,visit_date,hucs_kenya,EUPATH_0015683,Interview date,Interview date,Observation,,,,,,,,,VISIT_DATE,hucs_kenya::visit_date,chr,3/15/16,date,,>10 unique values,921,0,
7,primcare,hucs_kenya,EUPATH_0000720,Caretaker relationship to participant,Is interviewee a primary caretaker of the participant?,Participant,Primary caretaker child,"0=No, 1=Yes",,,,,,,PRIMCARE,hucs_kenya::primcare,int,1,,,0 to 1,2,0,
8,consent,hucs_kenya,EUPATH_0010420,Consent for enrollment given,Consent for enrollment given,Participant,Parent verbal consent,"0=No, 1=Yes",,,,,,,CONSENT,hucs_kenya::consent,int,1,,,0 to 1,2,0,
9,status,hucs_kenya,EUPATH_0015469,Interview status,Interview conducted? ,Participant,Interview status,"1=Conducted, 2=Not conducted",,,,,,,STATUS,hucs_kenya::status,int,1,,,1 to 2,2,0,
10,reason,hucs_kenya,EUPATH_0015711,Reason interview not conducted,Reason interview not conducted,Participant,"Interview not conducted, reason","1=""Primary caretaker not available"", 2=""Refused"", 3=""Moved away"", 4=""Child died more than 7 days ago (including today)"", 5=""Cannot locate child"", 9=""Other""",,,,,,,REASON,hucs_kenya::reason,chr,3,,,"., 1, 2, 3, 4, 5, 9",7,0.832520803,
12,relationship,hucs_kenya,EUPATH_0010123,Interviewee relationship to participant,Interviewee relationship to participant,Participant,Relationship with child,"1=""Mother"", 2=""Father"", 3=""Sister"", 5=Grandmother"", 6=""Grandfather"", 7=""Aunt"", 8=""Uncle"", 9=""No relation""",,,,,,,RELATIONSHIP,hucs_kenya::relationship,chr,1,,,>10 unique values,11,0.167479197,
