colOrder,variable,dataFile,keepDiscard,definition,category,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,variable_dataFile,uniqueVar,type,example,dateTime,formatCode,values,uniqueValueCount,timeVarying,percentMissing,flag
71,admit,hucs_kenya,,,,Admitted to facility for treatment,"0=""No"", 1= ""Yes""",,,,.,ADMIT,hucs_kenya::admit,chr,0,NA,NA,"., 0, 1",3,repeated,0.984476243,NA
72,admit_ctr,hucs_kenya,,,,NA,NA,,,,NA,ADMIT_CTR,hucs_kenya::admit_ctr,chr,303,NA,NA,>10 unique values,14,repeated,0.99980793,NA
73,admit_spec,hucs_kenya,discard,,,NA,NA,,,,NA,ADMIT_SPEC,hucs_kenya::admit_spec,chr,LIDHA,NA,NA,", ASHBURN, LIDHA, NOT ADMITTED, ODEDE, RATUORO HC",5,repeated,0.999971754,NA
1,age,hucs_kenya,,,,NA,NA,,,,NA,AGE,hucs_kenya::age,int,2,NA,NA,0 to 59,60,repeated,0,NA
104,agegroup,hucs_kenya,,,,NA,NA,,,,NA,AGEGROUP,hucs_kenya::agegroup,int,1,NA,NA,1 to 3,3,repeated,0,NA
8,consent,hucs_kenya,,,,Parent verbal consent,"0=No, 1=Yes",,,,NA,CONSENT,hucs_kenya::consent,int,1,NA,NA,0 to 1,2,repeated,0,NA
69,dayseek,hucs_kenya,,,,NA,NA,,,,NA,DAYSEEK,hucs_kenya::dayseek,chr,2,NA,NA,>10 unique values,16,repeated,0.995695377,NA
35,diarrhea,hucs_kenya,,,,Child had diarrhea,"0=""Diarrhea"", 1=""No diarrhea""",,,,.,DIARRHEA,hucs_kenya::diarrhea,chr,0,NA,NA,"., 0, 1",3,repeated,0.167304075,NA
3,dob,hucs_kenya,,,,NA,NA,,,,NA,DOB,hucs_kenya::dob,chr,12/20/15,date?,NA,>10 unique values,2827,repeated,0,NA
80,dpt1,hucs_kenya,,,,DPT/Pentavalent 1,"0=""No"", 1= ""Yes"", 9=""DK""",,,,.,DPT1,hucs_kenya::dpt1,chr,1,NA,NA,"., 0, 1, 9",4,repeated,0.212666437,NA
81,dpt1_date,hucs_kenya,,,,NA,NA,,,,NA,DPT1_DATE,hucs_kenya::dpt1_date,chr,2/1/16,date?,NA,>10 unique values,2187,repeated,0.495161536,NA
82,dpt1_hc,hucs_kenya,,,,NA,NA,,,,NA,DPT1_HC,hucs_kenya::dpt1_hc,chr,ABHIDHA,NA,NA,>10 unique values,47,repeated,0.247097769,NA
83,dpt2,hucs_kenya,,,,DPT/Pentavalent 2,"0=""No"", 1= ""Yes"", 9=""DK""",,,,.,DPT2,hucs_kenya::dpt2,chr,1,NA,NA,"., 0, 1, 9",4,repeated,0.208294025,NA
84,dpt2_date,hucs_kenya,,,,NA,NA,,,,NA,DPT2_DATE,hucs_kenya::dpt2_date,chr,3/1/16,date?,NA,>10 unique values,2139,repeated,0.516074546,NA
85,dpt2_hc,hucs_kenya,,,,NA,NA,,,,NA,DPT2_HC,hucs_kenya::dpt2_hc,chr,ABHIDHA,NA,NA,>10 unique values,47,repeated,0.265169276,NA
86,dpt3,hucs_kenya,,,,DPT/Pentavalent 3,"0=""No"", 1= ""Yes"", 9=""DK""",,,,.,DPT3,hucs_kenya::dpt3,chr,0,NA,NA,"., 0, 1, 9",4,repeated,0.203062948,NA
87,dpt3_date,hucs_kenya,,,,NA,NA,,,,NA,DPT3_DATE,hucs_kenya::dpt3_date,chr,4/5/16,date?,NA,>10 unique values,2173,repeated,0.541184845,NA
88,dpt3_hc,hucs_kenya,,,,NA,NA,,,,NA,DPT3_HC,hucs_kenya::dpt3_hc,chr,ABHIDHA,NA,NA,>10 unique values,47,repeated,0.285619058,NA
40,drh_blood,hucs_kenya,,,,Symptom blood in stool,"0=""No"", 1= ""Yes"", 9=""DK""",,,,.,DRH_BLOOD,hucs_kenya::drh_blood,chr,0,NA,NA,"., 0, 1, 9",4,repeated,0.973347494,NA
36,drh_days,hucs_kenya,,,,NA,NA,,,,NA,DRH_DAYS,hucs_kenya::drh_days,chr,6,NA,NA,>10 unique values,15,repeated,0.973669493,NA
37,drh_days_last,hucs_kenya,,,,NA,NA,,,,NA,DRH_DAYS_LAST,hucs_kenya::drh_days_last,chr,5,NA,NA,>10 unique values,16,repeated,0.973341845,NA
