variable	variable2	values	mappedTerm
cdc lt database::week	cdc lt database::week	0	
cdc lt database::week	cdc lt database::week	2	
cdc lt database::week	cdc lt database::week	4	
cdc lt database::week	cdc lt database::week	6	
household survey household level data_final::district	household survey household level data_final::district	1	
household survey household level data_final::district	household survey household level data_final::district	2	
household survey household level data_final::parish	household survey household level data_final::parish	1	
household survey household level data_final::parish	household survey household level data_final::parish	2	
household survey household level data_final::parish	household survey household level data_final::parish	3	
household survey household level data_final::village	household survey household level data_final::village	101	
household survey household level data_final::village	household survey household level data_final::village	108	
household survey household level data_final::village	household survey household level data_final::village	110	
household survey household level data_final::village	household survey household level data_final::village	111	
household survey household level data_final::village	household survey household level data_final::village	211	
household survey household level data_final::village	household survey household level data_final::village	212	
household survey household level data_final::village	household survey household level data_final::village	213	
household survey household level data_final::village	household survey household level data_final::village	218	
household survey household level data_final::village	household survey household level data_final::village	219	
household survey household level data_final::village	household survey household level data_final::village	315	
household survey household level data_final::swater	household survey household level data_final::swater	10	Borehole
household survey household level data_final::swater	household survey household level data_final::swater	21	Open well in yard/compound
household survey household level data_final::swater	household survey household level data_final::swater	22	Open public well
household survey household level data_final::swater	household survey household level data_final::swater	31	Protected well in yard/compound
household survey household level data_final::swater	household survey household level data_final::swater	32	Protected public well
household survey household level data_final::swater	household survey household level data_final::swater	41	Protected spring
household survey household level data_final::tfaclty	household survey household level data_final::tfaclty	3	Covered pit latrine no slab
household survey household level data_final::tfaclty	household survey household level data_final::tfaclty	4	Covered pit latrine with slab
household survey household level data_final::tfaclty	household survey household level data_final::tfaclty	5	Uncovered pit latrine no slab
household survey household level data_final::tfaclty	household survey household level data_final::tfaclty	6	Uncovered pit latrine with slab
household survey household level data_final::tfaclty	household survey household level data_final::tfaclty	8	No facility or bush or field
household survey household level data_final::fueltype	household survey household level data_final::fueltype	5	Charcoal
household survey household level data_final::fueltype	household survey household level data_final::fueltype	6	Firewood
household survey household level data_final::senergy	household survey household level data_final::senergy	1	Electricity
household survey household level data_final::senergy	household survey household level data_final::senergy	2	Solar
household survey household level data_final::senergy	household survey household level data_final::senergy	4	Paraffin - hurricane lamp
