variable	variable2	values	mappedTerm	valueOrder
jilindequestionnaire_data_2022-01-10_16241::x2	jilindequestionnaire_data_2022-01-10_16241::x2	1	English	1
jilindequestionnaire_data_2022-01-10_16241::x2	jilindequestionnaire_data_2022-01-10_16241::x2	2	Kiswahili	2
jilindequestionnaire_data_2022-01-10_16241::x3	jilindequestionnaire_data_2022-01-10_16241::x3	0	No	1
jilindequestionnaire_data_2022-01-10_16241::x3	jilindequestionnaire_data_2022-01-10_16241::x3	1	Yes	2
jilindequestionnaire_data_2022-01-10_16241::x4	jilindequestionnaire_data_2022-01-10_16241::x4	10/19/20	10/19/20	1
jilindequestionnaire_data_2022-01-10_16241::x4	jilindequestionnaire_data_2022-01-10_16241::x4	10/20/20	10/20/20	2
jilindequestionnaire_data_2022-01-10_16241::x4	jilindequestionnaire_data_2022-01-10_16241::x4	10/21/20	10/21/20	3
jilindequestionnaire_data_2022-01-10_16241::x4	jilindequestionnaire_data_2022-01-10_16241::x4	10/22/20	10/22/20	4
jilindequestionnaire_data_2022-01-10_16241::x4	jilindequestionnaire_data_2022-01-10_16241::x4	10/23/20	10/23/20	5
jilindequestionnaire_data_2022-01-10_16241::x4	jilindequestionnaire_data_2022-01-10_16241::x4	11/16/20	11/16/20	6
jilindequestionnaire_data_2022-01-10_16241::x4	jilindequestionnaire_data_2022-01-10_16241::x4	11/17/20	11/17/20	7
jilindequestionnaire_data_2022-01-10_16241::x4	jilindequestionnaire_data_2022-01-10_16241::x4	11/18/20	11/18/20	8
jilindequestionnaire_data_2022-01-10_16241::x4	jilindequestionnaire_data_2022-01-10_16241::x4	11/19/20	11/19/20	9
jilindequestionnaire_data_2022-01-10_16241::x4	jilindequestionnaire_data_2022-01-10_16241::x4	11/20/20	11/20/20	10
jilindequestionnaire_data_2022-01-10_16241::x4	jilindequestionnaire_data_2022-01-10_16241::x4	12/14/20	12/14/20	11
jilindequestionnaire_data_2022-01-10_16241::x4	jilindequestionnaire_data_2022-01-10_16241::x4	12/15/20	12/15/20	12
jilindequestionnaire_data_2022-01-10_16241::x4	jilindequestionnaire_data_2022-01-10_16241::x4	12/16/20	12/16/20	13
jilindequestionnaire_data_2022-01-10_16241::x4	jilindequestionnaire_data_2022-01-10_16241::x4	12/17/20	12/17/20	14
jilindequestionnaire_data_2022-01-10_16241::x4	jilindequestionnaire_data_2022-01-10_16241::x4	12/18/20	12/18/20	15
jilindequestionnaire_data_2022-01-10_16241::x4	jilindequestionnaire_data_2022-01-10_16241::x4	12/19/20	12/19/20	16
jilindequestionnaire_data_2022-01-10_16241::x4	jilindequestionnaire_data_2022-01-10_16241::x4	2/10/21	2/10/21	17
jilindequestionnaire_data_2022-01-10_16241::x4	jilindequestionnaire_data_2022-01-10_16241::x4	2/11/21	2/11/21	18
jilindequestionnaire_data_2022-01-10_16241::x4	jilindequestionnaire_data_2022-01-10_16241::x4	2/12/21	2/12/21	19
jilindequestionnaire_data_2022-01-10_16241::x4	jilindequestionnaire_data_2022-01-10_16241::x4	2/13/21	2/13/21	20
jilindequestionnaire_data_2022-01-10_16241::x4	jilindequestionnaire_data_2022-01-10_16241::x4	2/15/21	2/15/21	21
jilindequestionnaire_data_2022-01-10_16241::x4	jilindequestionnaire_data_2022-01-10_16241::x4	2/16/21	2/16/21	22
jilindequestionnaire_data_2022-01-10_16241::x4	jilindequestionnaire_data_2022-01-10_16241::x4	2/17/21	2/17/21	23
jilindequestionnaire_data_2022-01-10_16241::x4	jilindequestionnaire_data_2022-01-10_16241::x4	2/18/21	2/18/21	24
jilindequestionnaire_data_2022-01-10_16241::x4	jilindequestionnaire_data_2022-01-10_16241::x4	2/19/21	2/19/21	25
jilindequestionnaire_data_2022-01-10_16241::x4	jilindequestionnaire_data_2022-01-10_16241::x4	2/22/21	2/22/21	26
