colOrder,variable,dataFile,keepDiscard,definition,category,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,uniqueVar,dataSet,variable_dataFile,type,example,dateTime,formatCode,values,uniqueValueCount,percentMissing,flag
94,abdominal_discomfort,icemr_preliminarystudy_data_clean,keep,,,Abdominal discomfort,NA,,,,Numeric,icemr_preliminarystudy_data_clean::abdominal_discomfort,Myanmar ICEMR,abdominal_discomfort,int,0,NA,NA,0 to 1,2,0.53854042,NA
101,anti_malaria_drug,icemr_preliminarystudy_data_clean,keep,,,"E6. In the past 2 months, have you taken any anti-malaria drug?",NA,,,,Numeric,icemr_preliminarystudy_data_clean::anti_malaria_drug,Myanmar ICEMR,anti_malaria_drug,int,0,NA,NA,0 to 9,3,0.53854042,NA
102,anti_malaria_drug_complete,icemr_preliminarystudy_data_clean,keep,,,E6a. Have you taken anti-malaria drug completely?,NA,,,,Numeric,icemr_preliminarystudy_data_clean::anti_malaria_drug_complete,Myanmar ICEMR,anti_malaria_drug_complete,int,1,NA,NA,0 to 1,2,0.99470176,NA
105,blood_source,icemr_preliminarystudy_data_clean,keep,,,F3. Interviewer enters source of blood collected,NA,,,,Numeric,icemr_preliminarystudy_data_clean::blood_source,Myanmar ICEMR,blood_source,int,1,NA,NA,0 to 2,3,0.000170911,NA
91,bodyache,icemr_preliminarystudy_data_clean,keep,,,Body ache/pain,NA,,,,Numeric,icemr_preliminarystudy_data_clean::bodyache,Myanmar ICEMR,bodyache,int,1,NA,NA,0 to 9,3,0.53854042,NA
87,cntry_outside_mode,icemr_preliminarystudy_data_clean,keep,,,D4a. What mode of travel did you use most frequently to travel outside your coun,NA,,,,Numeric,icemr_preliminarystudy_data_clean::cntry_outside_mode,Myanmar ICEMR,cntry_outside_mode,int,4,NA,NA,3 to 10,3,0.99282174,NA
107,crdt,icemr_preliminarystudy_data_clean,discard,,,cRDT,NA,,,,Numeric,icemr_preliminarystudy_data_clean::crdt,Myanmar ICEMR,crdt,int,1,NA,NA,1 to 1,1,0.53854042,NA
109,crdt_control,icemr_preliminarystudy_data_clean,keep,,,F6b. Interviewer enters if control line of cRDT is active,NA,,,,Numeric,icemr_preliminarystudy_data_clean::crdt_control,Myanmar ICEMR,crdt_control,int,1,NA,NA,0 to 1,2,0.53854042,NA
110,crdt_result,icemr_preliminarystudy_data_clean,keep,,,F6c. Interviewer enters results of cRDT test,NA,,,,Numeric,icemr_preliminarystudy_data_clean::crdt_result,Myanmar ICEMR,crdt_result,int,0,NA,NA,0 to 1,2,0.53854042,NA
103,current_fever,icemr_preliminarystudy_data_clean,keep,,,"F1. In the past 24 hours, have you had a fever?",NA,,,,Numeric,icemr_preliminarystudy_data_clean::current_fever,Myanmar ICEMR,current_fever,int,0,NA,NA,0 to 9,3,0.000170911,NA
95,decreased_appetite,icemr_preliminarystudy_data_clean,keep,,,Decreased appetite,NA,,,,Numeric,icemr_preliminarystudy_data_clean::decreased_appetite,Myanmar ICEMR,decreased_appetite,int,1,NA,NA,0 to 9,3,0.53854042,NA
27,dry_frequent_travel_mode,icemr_preliminarystudy_data_clean,keep,,,B4. What mode of travel do you use most frequently to move around your village d,NA,,,,Numeric,icemr_preliminarystudy_data_clean::dry_frequent_travel_mode,Myanmar ICEMR,dry_frequent_travel_mode,int,3,NA,NA,1 to 10,5,0.53854042,NA
29,farming,icemr_preliminarystudy_data_clean,keep,,,C1. Attending crops/farming (in last 3 months),NA,,,,Numeric,icemr_preliminarystudy_data_clean::farming,Myanmar ICEMR,farming,int,1,NA,NA,0 to 1,2,0,NA
34,farming_dark,icemr_preliminarystudy_data_clean,keep,,,After dark,NA,,,,Numeric,icemr_preliminarystudy_data_clean::farming_dark,Myanmar ICEMR,farming_dark,int,0,NA,NA,0 to 1,2,0.80687062,NA
33,farming_daytime,icemr_preliminarystudy_data_clean,keep,,,Daytime,NA,,,,Numeric,icemr_preliminarystudy_data_clean::farming_daytime,Myanmar ICEMR,farming_daytime,int,1,NA,NA,0 to 1,2,0.806699709,NA
35,farming_duration,icemr_preliminarystudy_data_clean,keep,,,C1c. Duration of attending crops/farming,NA,,,,Numeric,icemr_preliminarystudy_data_clean::farming_duration,Myanmar ICEMR,farming_duration,int,2,NA,NA,1 to 3,3,0.806699709,NA
30,farming_freq,icemr_preliminarystudy_data_clean,keep,,,C1a. Frequency of attending crops/farming,NA,,,,Numeric,icemr_preliminarystudy_data_clean::farming_freq,Myanmar ICEMR,farming_freq,int,2,NA,NA,1 to 3,3,0.806699709,NA
32,farming_morning,icemr_preliminarystudy_data_clean,keep,,,Morning,NA,,,,Numeric,icemr_preliminarystudy_data_clean::farming_morning,Myanmar ICEMR,farming_morning,int,1,NA,NA,0 to 1,2,0.806699709,NA
31,farming_sunrise,icemr_preliminarystudy_data_clean,keep,,,Before sunrise,NA,,,,Numeric,icemr_preliminarystudy_data_clean::farming_sunrise,Myanmar ICEMR,farming_sunrise,int,0,NA,NA,0 to 1,2,0.806699709,NA
96,fatigue,icemr_preliminarystudy_data_clean,keep,,,Fatigue,NA,,,,Numeric,icemr_preliminarystudy_data_clean::fatigue,Myanmar ICEMR,fatigue,int,1,NA,NA,0 to 9,3,0.53854042,NA
97,fever_cr,icemr_preliminarystudy_data_clean,keep,,,Fever with chill and rigor,NA,,,,Numeric,icemr_preliminarystudy_data_clean::fever_cr,Myanmar ICEMR,fever_cr,int,0,NA,NA,0 to 9,3,0.53854042,NA
64,forest,icemr_preliminarystudy_data_clean,keep,,,C6. Do household chores that involve trips to the forest (in last 3 months) (e.g,NA,,,,Numeric,icemr_preliminarystudy_data_clean::forest,Myanmar ICEMR,forest,int,1,NA,NA,0 to 1,2,0,NA
69,forest_dark,icemr_preliminarystudy_data_clean,keep,,,After dark,NA,,,,Numeric,icemr_preliminarystudy_data_clean::forest_dark,Myanmar ICEMR,forest_dark,int,0,NA,NA,0 to 1,2,0.633054179,NA
68,forest_daytime,icemr_preliminarystudy_data_clean,keep,,,Daytime,NA,,,,Numeric,icemr_preliminarystudy_data_clean::forest_daytime,Myanmar ICEMR,forest_daytime,int,0,NA,NA,0 to 1,2,0.632883268,NA
70,forest_duration,icemr_preliminarystudy_data_clean,keep,,,C6c. Duration of chores that involve trips to forest,NA,,,,Numeric,icemr_preliminarystudy_data_clean::forest_duration,Myanmar ICEMR,forest_duration,int,1,NA,NA,1 to 3,3,0.632883268,NA
65,forest_freq,icemr_preliminarystudy_data_clean,keep,,,C6a. Frequency of chores that involve trips to forest,NA,,,,Numeric,icemr_preliminarystudy_data_clean::forest_freq,Myanmar ICEMR,forest_freq,int,2,NA,NA,1 to 3,3,0.632883268,NA
67,forest_morning,icemr_preliminarystudy_data_clean,keep,,,Morning,NA,,,,Numeric,icemr_preliminarystudy_data_clean::forest_morning,Myanmar ICEMR,forest_morning,int,1,NA,NA,0 to 1,2,0.633054179,NA
66,forest_sunrise,icemr_preliminarystudy_data_clean,keep,,,Before sunrise,NA,,,,Numeric,icemr_preliminarystudy_data_clean::forest_sunrise,Myanmar ICEMR,forest_sunrise,int,0,NA,NA,0 to 1,2,0.633054179,NA
90,headache,icemr_preliminarystudy_data_clean,keep,,,Headache,NA,,,,Numeric,icemr_preliminarystudy_data_clean::headache,Myanmar ICEMR,headache,int,1,NA,NA,0 to 9,3,0.53854042,NA
106,hemoglobin,icemr_preliminarystudy_data_clean,keep,,,Hemoglobin,NA,,,,Numeric,icemr_preliminarystudy_data_clean::hemoglobin,Myanmar ICEMR,hemoglobin,int,1,NA,NA,1 to 1,1,0.53854042,NA
108,hemoglobin_result,icemr_preliminarystudy_data_clean,keep,,,F5. Interviewer enters the result of Hemoglobin level (g/dl),NA,,,,double,icemr_preliminarystudy_data_clean::hemoglobin_result,Myanmar ICEMR,hemoglobin_result,int,13,NA,NA,4 to 20,17,0.53854042,NA
9,hospital,icemr_preliminarystudy_data_clean,keep,,,Station Hospital/RHC,NA,,,,Integer,icemr_preliminarystudy_data_clean::hospital,Myanmar ICEMR,hospital,int,101,NA,NA,101 to 301,5,0,NA
25,max_distance_day,icemr_preliminarystudy_data_clean,keep,,,B2. How far is the greatest distance that you travel in a typical day?,NA,,,,Numeric,icemr_preliminarystudy_data_clean::max_distance_day,Myanmar ICEMR,max_distance_day,int,1,NA,NA,1 to 4,4,0.53854042,NA
26,max_distance_week,icemr_preliminarystudy_data_clean,keep,,,B3. How far is the greatest distance that you travel in a typical week ?,NA,,,,Numeric,icemr_preliminarystudy_data_clean::max_distance_week,Myanmar ICEMR,max_distance_week,int,2,NA,NA,1 to 4,4,0.53854042,NA
43,mining,icemr_preliminarystudy_data_clean,keep,,,C3. Work at mining areas (in last 3 months),NA,,,,Numeric,icemr_preliminarystudy_data_clean::mining,Myanmar ICEMR,mining,int,0,NA,NA,0 to 1,2,0,NA
48,mining_dark,icemr_preliminarystudy_data_clean,keep,,,After dark,NA,,,,Numeric,icemr_preliminarystudy_data_clean::mining_dark,Myanmar ICEMR,mining_dark,int,0,NA,NA,0 to 1,2,0.977610665,NA
47,mining_daytime,icemr_preliminarystudy_data_clean,keep,,,Daytime,NA,,,,Numeric,icemr_preliminarystudy_data_clean::mining_daytime,Myanmar ICEMR,mining_daytime,int,1,NA,NA,0 to 1,2,0.977610665,NA
49,mining_duration,icemr_preliminarystudy_data_clean,keep,,,C3c. Duration of working at mining areas,NA,,,,Numeric,icemr_preliminarystudy_data_clean::mining_duration,Myanmar ICEMR,mining_duration,int,2,NA,NA,1 to 3,3,0.977610665,NA
44,mining_freq,icemr_preliminarystudy_data_clean,keep,,,C3a. Frequency of working at mining areas,NA,,,,Numeric,icemr_preliminarystudy_data_clean::mining_freq,Myanmar ICEMR,mining_freq,int,2,NA,NA,1 to 3,3,0.977610665,NA
46,mining_morning,icemr_preliminarystudy_data_clean,keep,,,Morning,NA,,,,Numeric,icemr_preliminarystudy_data_clean::mining_morning,Myanmar ICEMR,mining_morning,int,1,NA,NA,0 to 1,2,0.977610665,NA
45,mining_sunrise,icemr_preliminarystudy_data_clean,keep,,,Before sunrise,NA,,,,Numeric,icemr_preliminarystudy_data_clean::mining_sunrise,Myanmar ICEMR,mining_sunrise,int,0,NA,NA,0 to 1,2,0.977610665,NA
71,mosquito_net,icemr_preliminarystudy_data_clean,keep,,,C7. Do you have a mosquito net?,NA,,,,Numeric,icemr_preliminarystudy_data_clean::mosquito_net,Myanmar ICEMR,mosquito_net,int,1,NA,NA,0 to 1,2,0,NA
74,mosquito_net_itn,icemr_preliminarystudy_data_clean,keep,,,Impregnated with insecticide (ITN),NA,,,,Numeric,icemr_preliminarystudy_data_clean::mosquito_net_itn,Myanmar ICEMR,mosquito_net_itn,int,0,NA,NA,0 to 1,2,0.017774739,NA
73,mosquito_net_llin,icemr_preliminarystudy_data_clean,keep,,,LLIN,NA,,,,Numeric,icemr_preliminarystudy_data_clean::mosquito_net_llin,Myanmar ICEMR,mosquito_net_llin,int,1,NA,NA,0 to 1,2,0.017262006,NA
