colOrder,variable,dataFile,IRI,label,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,type,example,dateTime,formatCode,values,uniqueValueCount,percentMissing,flag,variable_dataFile,uniqueVar
94,abdominal_discomfort,icemr_preliminarystudy_data_clean,,abdominal pain,,Participant,,Symptoms in last 2 months,Abdominal discomfort,,value,need new terms,,,,,,Myanmar ICEMR,,,,,,,,,int,0,,,0 to 1,2,0.53854042,,abdominal_discomfort,icemr_preliminarystudy_data_clean::abdominal_discomfort
,,,,Symptoms in last 2 months,,Participant,EUPATH_0000309,Signs and symptoms,,,variable,,,,,,,,,,,,,,,,,,,,,,,,,
101,anti_malaria_drug,icemr_preliminarystudy_data_clean,,Antimalarial medication in last 2 months,,Participant,OGMS_0000090,Treatment,"E6. In the past 2 months, have you taken any anti-malaria drug?",,variable,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,0,,,0 to 9,3,0.53854042,,anti_malaria_drug,icemr_preliminarystudy_data_clean::anti_malaria_drug
102,anti_malaria_drug_complete,icemr_preliminarystudy_data_clean,EUPATH_0041092,Completed antimalarial treatment course,,Participant,,,E6a. Have you taken anti-malaria drug completely?,,variable,NA,,,,,,Myanmar ICEMR,,,,,,,,,int,1,,,0 to 1,2,0.99470176,,anti_malaria_drug_complete,icemr_preliminarystudy_data_clean::anti_malaria_drug_complete
105,blood_source,icemr_preliminarystudy_data_clean,OBI_0000655,Blood sample,,Sample,,,F3. Interviewer enters source of blood collected,,variable,NA,,,,,,Myanmar ICEMR,,,,,,,,,int,1,,,0 to 2,3,0.000170911,,blood_source,icemr_preliminarystudy_data_clean::blood_source
91,bodyache,icemr_preliminarystudy_data_clean,,Bodyache or pain,,Participant,,Symptoms in last 2 months,Body ache/pain,,value,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,1,,,0 to 9,3,0.53854042,,bodyache,icemr_preliminarystudy_data_clean::bodyache
87,cntry_outside_mode,icemr_preliminarystudy_data_clean,,Transport out of country,,Participant,EUPATH_0000340,Travel details,D4a. What mode of travel did you use most frequently to travel outside your country,,variable,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,4,,,3 to 10,3,0.99282174,,cntry_outside_mode,icemr_preliminarystudy_data_clean::cntry_outside_mode
107,crdt,icemr_preliminarystudy_data_clean,EUPATH_0024217,"Plasmodium, by RDT",,Sample,,,cRDT,,variable,NA,,,,,,Myanmar ICEMR,,,,,,,,,int,1,,,1 to 1,1,0.53854042,,crdt,icemr_preliminarystudy_data_clean::crdt
109,crdt_control,icemr_preliminarystudy_data_clean,,"Plasmodium, RDT control line?",,Sample,EUPATH_0033308,Plasmodium in blood,F6b. Interviewer enters if control line of cRDT is active,,variable,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,1,,,0 to 1,2,0.53854042,,crdt_control,icemr_preliminarystudy_data_clean::crdt_control
110,crdt_result,icemr_preliminarystudy_data_clean,EUPATH_0021306,"Plasmodium species, by RDT",,Sample,,,F6c. Interviewer enters results of cRDT test,,variable,NA,,,,,,Myanmar ICEMR,,,,,,,,,int,0,,,0 to 1,2,0.53854042,,crdt_result,icemr_preliminarystudy_data_clean::crdt_result
103,current_fever,icemr_preliminarystudy_data_clean,EUPATH_0024082,Fever,,Participant,,,"F1. In the past 24 hours, have you had a fever?",,variable,NA,,,,,,Myanmar ICEMR,,,,,,,,,int,0,,,0 to 9,3,0.000170911,,current_fever,icemr_preliminarystudy_data_clean::current_fever
95,decreased_appetite,icemr_preliminarystudy_data_clean,,Loss of appetite,,Participant,,Symptoms in last 2 months,Decreased appetite,,value,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,1,,,0 to 9,3,0.53854042,,decreased_appetite,icemr_preliminarystudy_data_clean::decreased_appetite
27,dry_frequent_travel_mode,icemr_preliminarystudy_data_clean,,Transport in village,,Participant,EUPATH_0000340,Travel details,B4. What mode of travel do you use most frequently to move around your village d,,variable,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,3,,,1 to 10,5,0.53854042,,dry_frequent_travel_mode,icemr_preliminarystudy_data_clean::dry_frequent_travel_mode
29,farming,icemr_preliminarystudy_data_clean,,Farming in last 3 months,,Participant,EUPATH_0022066,Activity,C1. Attending crops/farming (in last 3 months),,variable,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,1,,,0 to 1,2,0,,farming,icemr_preliminarystudy_data_clean::farming
34,farming_dark,icemr_preliminarystudy_data_clean,,Farming after dark,,Participant,EUPATH_0022066,Activity,After dark,,value,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,0,,,0 to 1,2,0.80687062,,farming_dark,icemr_preliminarystudy_data_clean::farming_dark
33,farming_daytime,icemr_preliminarystudy_data_clean,,Farming daytime,,Participant,EUPATH_0022066,Activity,Daytime,,value,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,1,,,0 to 1,2,0.806699709,,farming_daytime,icemr_preliminarystudy_data_clean::farming_daytime
35,farming_duration,icemr_preliminarystudy_data_clean,,Duration of farming,,Participant,EUPATH_0022066,Activity,C1c. Duration of attending crops/farming,,variable,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,2,,,1 to 3,3,0.806699709,,farming_duration,icemr_preliminarystudy_data_clean::farming_duration
30,farming_freq,icemr_preliminarystudy_data_clean,,Farming frequency,,Participant,EUPATH_0022066,Activity,C1a. Frequency of attending crops/farming,,variable,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,2,,,1 to 3,3,0.806699709,,farming_freq,icemr_preliminarystudy_data_clean::farming_freq
32,farming_morning,icemr_preliminarystudy_data_clean,,Farming morning,,Participant,EUPATH_0022066,Activity,Morning,,value,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,1,,,0 to 1,2,0.806699709,,farming_morning,icemr_preliminarystudy_data_clean::farming_morning
31,farming_sunrise,icemr_preliminarystudy_data_clean,,Farming before sunrise,,Participant,EUPATH_0022066,Activity,Before sunrise,,value,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,0,,,0 to 1,2,0.806699709,,farming_sunrise,icemr_preliminarystudy_data_clean::farming_sunrise
96,fatigue,icemr_preliminarystudy_data_clean,,Fatigue,,Participant,,Symptoms in last 2 months,Fatigue,,value,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,1,,,0 to 9,3,0.53854042,,fatigue,icemr_preliminarystudy_data_clean::fatigue
