Term Ontology IRI	Term parent	PRISM data dictionary label (en)	PRISM Preferred Label (en)	Related Synonym
		ICEMR_0000038	ICEMR_0000032	icemr.owll#hasRelatedSynonym
http://purl.obolibrary.org/obo/GAZ_00237250	http://purl.obolibrary.org/obo/GAZ_00000448	Kihihi	Kihihi	
http://purl.obolibrary.org/obo/GAZ_00236889	http://purl.obolibrary.org/obo/GAZ_00000448	Nagongera	Nagongera	
http://purl.obolibrary.org/obo/GAZ_00236721	http://purl.obolibrary.org/obo/GAZ_00000448	Walukuba	Walukuba	
http://purl.obolibrary.org/obo/EUPATH_0000013	http://purl.obolibrary.org/obo/EUPATH_0000002	modern	modern	
http://purl.obolibrary.org/obo/EUPATH_0000012	http://purl.obolibrary.org/obo/EUPATH_0000002	traditional	traditional	
http://purl.obolibrary.org/obo/EUPATH_0000017	http://purl.obolibrary.org/obo/EUPATH_0000015	closed	closed	
http://purl.obolibrary.org/obo/EUPATH_0000016	http://purl.obolibrary.org/obo/EUPATH_0000015	open	open	
http://purl.obolibrary.org/obo/EUPATH_0000226	http://purl.obolibrary.org/obo/EUPATH_0000018	no airbricks	no airbricks	
http://purl.obolibrary.org/obo/EUPATH_0000214	http://purl.obolibrary.org/obo/EUPATH_0000018	screened airbricks	screened airbricks	
http://purl.obolibrary.org/obo/EUPATH_0000222	http://purl.obolibrary.org/obo/EUPATH_0000018	unscreened airbricks	unscreened airbricks	
roof metal	http://purl.obolibrary.org/obo/EUPATH_0000003	metal	metal	http://purl.obolibrary.org/obo/CHEBI_33521
http://purl.obolibrary.org/obo/ENVO_01000473	http://purl.obolibrary.org/obo/EUPATH_0000003	thatch	thatch	
http://purl.obolibrary.org/obo/ENVO_01000514	http://purl.obolibrary.org/obo/EUPATH_0000003	tiles	tiles	
wall cement	http://purl.obolibrary.org/obo/EUPATH_0000009	cement	cement	http://purl.obolibrary.org/obo/ENVO_01000458
wall metal	http://purl.obolibrary.org/obo/EUPATH_0000009	metal	metal	http://purl.obolibrary.org/obo/CHEBI_33521
http://purl.obolibrary.org/obo/ENVO_01000001	http://purl.obolibrary.org/obo/EUPATH_0000009	mud	mud	
wall wood	http://purl.obolibrary.org/obo/EUPATH_0000009	wood	wood	http://purl.obolibrary.org/obo/ENVO_00002040
http://purl.obolibrary.org/obo/ENVO_01000475	http://purl.obolibrary.org/obo/EUPATH_0000006	bricks	bricks	
floor concrete	http://purl.obolibrary.org/obo/EUPATH_0000006	cememt/concrete	cememt/concrete	http://purl.obolibrary.org/obo/ENVO_01000458
http://purl.obolibrary.org/obo/ENVO_00002003	http://purl.obolibrary.org/obo/EUPATH_0000006	earth and dung	earth and dung	
http://purl.obolibrary.org/obo/ENVO_01000017	http://purl.obolibrary.org/obo/EUPATH_0000006	earth or sand	earth or sand	
floor wood	http://purl.obolibrary.org/obo/EUPATH_0000006	parquet or polished wood	parquet or polished wood	http://purl.obolibrary.org/obo/ENVO_00002040
http://purl.obolibrary.org/obo/ENVO_00001995	http://purl.obolibrary.org/obo/EUPATH_0000006	stones	stones	
http://purl.obolibrary.org/obo/ENVO_01000560	http://purl.obolibrary.org/obo/EUPATH_0000023	charcoal	charcoal	
http://purl.obolibrary.org/obo/EUPATH_0000228	http://purl.obolibrary.org/obo/EUPATH_0000023	doesn't cook at home	doesn't cook at home	
http://purl.obolibrary.org/obo/EUPATH_0000227	http://purl.obolibrary.org/obo/EUPATH_0000023	eats in restaurants	eats in restaurants	
cooking fuel wood	http://purl.obolibrary.org/obo/EUPATH_0000023	firewood	firewood	http://purl.obolibrary.org/obo/ENVO_00002040
http://purl.obolibrary.org/obo/ENVO_00003097	http://purl.obolibrary.org/obo/ENVO_00003064	borehole	borehole	
http://purl.obolibrary.org/obo/EUPATH_0000254	http://purl.obolibrary.org/obo/ENVO_00003064	open public well	open public well	
http://purl.obolibrary.org/obo/EUPATH_0000255	http://purl.obolibrary.org/obo/ENVO_00003064	open well in yard/compound	open well in yard/compound	
http://purl.obolibrary.org/obo/EUPATH_0000256	http://purl.obolibrary.org/obo/ENVO_00003064	pipe into dwelling	pipe into dwelling	
http://purl.obolibrary.org/obo/EUPATH_0000257	http://purl.obolibrary.org/obo/ENVO_00003064	piped into yard/compound	piped into yard/compound	
http://purl.obolibrary.org/obo/ENVO_00002228	http://purl.obolibrary.org/obo/ENVO_00003064	pond/lake	pond/lake	
http://purl.obolibrary.org/obo/EUPATH_0000258	http://purl.obolibrary.org/obo/ENVO_00003064	protected public well	protected public well	
http://purl.obolibrary.org/obo/EUPATH_0000259	http://purl.obolibrary.org/obo/ENVO_00003064	protected spring	protected spring	
http://purl.obolibrary.org/obo/EUPATH_0000260	http://purl.obolibrary.org/obo/ENVO_00003064	protected well in yard/compound	protected well in yard/compound	
http://purl.obolibrary.org/obo/ENVO_00003096	http://purl.obolibrary.org/obo/ENVO_00003064	public tap	public tap	
http://purl.obolibrary.org/obo/ENVO_01000599	http://purl.obolibrary.org/obo/ENVO_00003064	river/stream	river/stream	
http://purl.obolibrary.org/obo/EUPATH_0000261	http://purl.obolibrary.org/obo/ENVO_00003064	unprotected spring	unprotected spring	
http://purl.obolibrary.org/obo/EUPATH_0000262	http://purl.obolibrary.org/obo/ENVO_00003064	water truck	water truck	
http://purl.obolibrary.org/obo/ENVO_01000574	http://purl.obolibrary.org/obo/OBI_0400065	candles	candles	
http://purl.obolibrary.org/obo/ENVO_01000572	http://purl.obolibrary.org/obo/OBI_0400065	electricity	electricity	
http://purl.obolibrary.org/obo/ENVO_01000567	http://purl.obolibrary.org/obo/OBI_0400065	paraffin - hurricane lamp	paraffin - hurricane lamp	
http://purl.obolibrary.org/obo/ENVO_01000597	http://purl.obolibrary.org/obo/OBI_0400065	paraffin - pressure lamp	paraffin - pressure lamp	
http://purl.obolibrary.org/obo/ENVO_01000562	http://purl.obolibrary.org/obo/OBI_0400065	paraffin - wick lamp	paraffin - wick lamp	
http://purl.obolibrary.org/obo/EUPATH_0000253	http://purl.obolibrary.org/obo/OBI_0400065	solar	solar	
http://purl.obolibrary.org/obo/ENVO_01000573	http://purl.obolibrary.org/obo/OBI_0400065	torch/battery powered lamp	torch/battery powered lamp	
http://purl.obolibrary.org/obo/ENVO_01000550	http://purl.obolibrary.org/obo/ENVO_01000516	composting  toilet	composting  toilet	
http://purl.obolibrary.org/obo/EUPATH_0000149	http://purl.obolibrary.org/obo/ENVO_01000516	covered pit latrine no slab	covered pit latrine no slab	
http://purl.obolibrary.org/obo/ENVO_01000533	http://purl.obolibrary.org/obo/ENVO_01000516	covered pit latrine w/slab	covered pit latrine w/slab	
http://purl.obolibrary.org/obo/ENVO_01000527	http://purl.obolibrary.org/obo/ENVO_01000516	flush toilet	flush toilet	
http://purl.obolibrary.org/obo/EUPATH_0000229	http://purl.obolibrary.org/obo/ENVO_01000516	no facility/bush/field	no facility/bush/field	
http://purl.obolibrary.org/obo/EUPATH_0000221	http://purl.obolibrary.org/obo/ENVO_01000516	uncovered pit latrine no slab	uncovered pit latrine no slab	
http://purl.obolibrary.org/obo/EUPATH_0000220	http://purl.obolibrary.org/obo/ENVO_01000516	uncovered pit latrine w/slab	uncovered pit latrine w/slab	
http://purl.obolibrary.org/obo/EUPATH_0000230	http://purl.obolibrary.org/obo/ENVO_01000516	uses neighbours	uses neighbours	
http://purl.obolibrary.org/obo/ENVO_01000530	http://purl.obolibrary.org/obo/ENVO_01000516	vip latrine	vip latrine	
http://purl.obolibrary.org/obo/EUPATH_0000225	http://purl.obolibrary.org/obo/EUPATH_0000143	1	first	
http://purl.obolibrary.org/obo/EUPATH_0000224	http://purl.obolibrary.org/obo/EUPATH_0000143	2	second	
http://purl.obolibrary.org/obo/EUPATH_0000223	http://purl.obolibrary.org/obo/EUPATH_0000143	3	third	
http://purl.obolibrary.org/obo/EUPATH_0000232	http://purl.obolibrary.org/obo/EUPATH_0000219	after initial screening	after initial screening	
http://purl.obolibrary.org/obo/EUPATH_0000231	http://purl.obolibrary.org/obo/EUPATH_0000219	during initial screening	during initial screening	
http://purl.obolibrary.org/obo/EUPATH_0000233	http://purl.obolibrary.org/obo/EUPATH_0000208	Unknown	Unknown	
http://purl.obolibrary.org/obo/EUPATH_0000234	http://purl.obolibrary.org/obo/EUPATH_0000208	death	death	
http://purl.obolibrary.org/obo/EUPATH_0000235	http://purl.obolibrary.org/obo/EUPATH_0000208	inability to comply with protocol	inability to comply with protocol	
http://purl.obolibrary.org/obo/EUPATH_0000236	http://purl.obolibrary.org/obo/EUPATH_0000208	moved out of area	moved out of area	
http://purl.obolibrary.org/obo/EUPATH_0000237	http://purl.obolibrary.org/obo/EUPATH_0000208	reached 11 years of age	reached 11 years of age	
http://purl.obolibrary.org/obo/EUPATH_0000238	http://purl.obolibrary.org/obo/EUPATH_0000208	unable to be located for > 120 days	unable to be located for > 120 days	
http://purl.obolibrary.org/obo/EUPATH_0000239	http://purl.obolibrary.org/obo/EUPATH_0000208	withdrawal of all children under care	withdrawal of all children under care	
http://purl.obolibrary.org/obo/EUPATH_0000240	http://purl.obolibrary.org/obo/EUPATH_0000208	withdrawal of informed consent	withdrawal of informed consent	
http://purl.obolibrary.org/obo/PATO_0000383	http://purl.obolibrary.org/obo/PATO_0000047	female	female	
http://purl.obolibrary.org/obo/PATO_0000384	http://purl.obolibrary.org/obo/PATO_0000047	male	male	
http://purl.obolibrary.org/obo/EUPATH_0000241	http://purl.obolibrary.org/obo/EUPATH_0000147	Unknown	Unknown	
http://purl.obolibrary.org/obo/EUPATH_0000242	http://purl.obolibrary.org/obo/EUPATH_0000147	complications of hiv	complications of hiv	
http://purl.obolibrary.org/obo/EUPATH_0000243	http://purl.obolibrary.org/obo/EUPATH_0000147	diarrheal illness	diarrheal illness	
http://purl.obolibrary.org/obo/EUPATH_0000244	http://purl.obolibrary.org/obo/EUPATH_0000147	suicide	suicide	
http://purl.obolibrary.org/obo/EUPATH_0000251	http://purl.obolibrary.org/obo/EUPATH_0000189	unknown	unknown	
home	http://purl.obolibrary.org/obo/EUPATH_0000189	home	home	http://purl.obolibrary.org/obo/EUPATH_0000002
http://purl.obolibrary.org/obo/ENVO_00002173	http://purl.obolibrary.org/obo/EUPATH_0000189	hospital	hospital	
http://purl.obolibrary.org/obo/OBI_0600004	http://purl.obolibrary.org/obo/EUPATH_0000049	enrollment	enrollment	
http://purl.obolibrary.org/obo/EUPATH_0000050	http://purl.obolibrary.org/obo/EUPATH_0000049	routine visit	routine visit	
http://purl.obolibrary.org/obo/EUPATH_0000213	http://purl.obolibrary.org/obo/EUPATH_0000049	No routine assessment done	No routine assessment done	
http://purl.obolibrary.org/obo/EUPATH_0000211	http://purl.obolibrary.org/obo/EUPATH_0000049	Sent to lab for finger prick (BS, FP, Hb, plasma)	Sent to lab for finger prick (BS, FP, Hb, plasma)	
http://purl.obolibrary.org/obo/EUPATH_0000212	http://purl.obolibrary.org/obo/EUPATH_0000049	Sent to lab for venipuncture (BS, FP, Hb, immunology)	Sent to lab for venipuncture (BS, FP, Hb, immunology)	
http://purl.obolibrary.org/obo/EUPATH_0000210	http://purl.obolibrary.org/obo/EUPATH_0000049	Sent to lab for T Cell Study (BS, FP, ACD Tube(s))	Sent to lab for T Cell Study (BS, FP, ACD Tube(s))	
http://purl.obolibrary.org/obo/EUPATH_0000148	http://purl.obolibrary.org/obo/EUPATH_0000049	sick visit	sick visit	
http://purl.obolibrary.org/obo/EUPATH_0000245	http://purl.obolibrary.org/obo/EUPATH_0000188	Bwindi Hospital	Bwindi Hospital	
http://purl.obolibrary.org/obo/EUPATH_0000246	http://purl.obolibrary.org/obo/EUPATH_0000188	Jinja Hospital	Jinja Hospital	
http://purl.obolibrary.org/obo/EUPATH_0000247	http://purl.obolibrary.org/obo/EUPATH_0000188	Kauka Health Centre	Kauka Health Centre	
http://purl.obolibrary.org/obo/EUPATH_0000248	http://purl.obolibrary.org/obo/EUPATH_0000188	Kihihi Health Centre IV	Kihihi Health Centre IV	
http://purl.obolibrary.org/obo/EUPATH_0000249	http://purl.obolibrary.org/obo/EUPATH_0000188	Nagongera Health Centre IV	Nagongera Health Centre IV	
http://purl.obolibrary.org/obo/EUPATH_0000250	http://purl.obolibrary.org/obo/EUPATH_0000188	Tororo District Hospital	Tororo District Hospital	
