Term Ontology IRI	Term parent	PRISM data dictionary label (en)	PRISM Preferred Label (en)	ID#	Prism Description
		ICEMR_0000038	ICEMR_0000032	ICEMR_0000028	ICEMR_0000037
http://purl.obolibrary.org/obo/GAZ_00000448	http://purl.obolibrary.org/obo/ICEMR_0000005	County in Uganda	Geographic location	1.1	Subcounty in Uganda (Walukuba<Jinja, Kihihi<Kanungu, Nagongera<Tororo)
http://purl.obolibrary.org/obo/EUPATH_0000019	http://purl.obolibrary.org/obo/ICEMR_0000006	# People / Household	# in household	1.2.1	Number of people in household (scalar measurement)
http://purl.obolibrary.org/obo/EUPATH_0000025	http://purl.obolibrary.org/obo/ICEMR_0000006	# Rooms	# rooms	1.2.2	Number of rooms in dwelling used for sleeping (scalar measurement)
http://purl.obolibrary.org/obo/EUPATH_0000201	http://purl.obolibrary.org/obo/ICEMR_0000006	Hhspaces	# sleeping places	1.2.3	How many sleeping spaces (mats, mattresses, beds are available in your household? (scalar measurement)
http://purl.obolibrary.org/obo/EUPATH_0000002	http://purl.obolibrary.org/obo/ICEMR_0000006	Dwelling Type	Dwelling type	1.2.4	Nature of accommodation (building; part of building; caravan, houseboat or other mobile accommodation; etc)
http://purl.obolibrary.org/obo/EUPATH_0000015	http://purl.obolibrary.org/obo/ICEMR_0000006	Eaves	Eaves	1.2.5	Nature of eaves (exposure to outside air)
http://purl.obolibrary.org/obo/EUPATH_0000018	http://purl.obolibrary.org/obo/ICEMR_0000006	Airbrickcat	Air bricks	1.2.6	Type of airbricks (if any)
http://purl.obolibrary.org/obo/EUPATH_0000003	http://purl.obolibrary.org/obo/ICEMR_0000006	Rooftype	Roof type	1.2.7	Primary material of roof
http://purl.obolibrary.org/obo/EUPATH_0000009	http://purl.obolibrary.org/obo/ICEMR_0000006	Walltype	Wall type	1.2.8	Primary material of exterior walls
http://purl.obolibrary.org/obo/EUPATH_0000006	http://purl.obolibrary.org/obo/ICEMR_0000006	Floortype	Floor type	1.2.9	Primary material of floors
http://purl.obolibrary.org/obo/EUPATH_0000023	http://purl.obolibrary.org/obo/ICEMR_0000004	Cooking Fuel Type	Cooking fuel type	1.3.1	Primary fuel used for cooking
http://purl.obolibrary.org/obo/ENVO_00003064	http://purl.obolibrary.org/obo/ICEMR_0000004	Drinking Water Source	Drinking water source	1.3.2	Primary source of drinking water
http://purl.obolibrary.org/obo/OBI_0400065	http://purl.obolibrary.org/obo/ICEMR_0000004	Lighting Type	Lighting type	1.3.3	Primary source of artificial lighting
http://purl.obolibrary.org/obo/ENVO_01000516	http://purl.obolibrary.org/obo/ICEMR_0000004	Toilet	Toilet type	1.3.4	Nature of toilet
http://purl.obolibrary.org/obo/EUPATH_0000014	http://purl.obolibrary.org/obo/ICEMR_0000007	Household Wealth Index	Household Wealth Index (HWI)	1.4.1	The Household Wealth Index (HWI) is a cumulative living standard, calculated using easy-to-collect data on ownership of selected assets, such as televisions and bicycles, materials used for housing construction, types of water access, and sanitation facilities (continuous variable).
http://purl.obolibrary.org/obo/EUPATH_0000143	http://purl.obolibrary.org/obo/ICEMR_0000007	Tertile	HWI category (tertile)	1.4.2	Top, middle or bottom third of Household Wealth Index scale.
http://purl.obolibrary.org/obo/EUPATH_0000026	http://purl.obolibrary.org/obo/ICEMR_0000007	# Acres	# acres	1.4.3	Size of property (in acres)
http://purl.obolibrary.org/obo/EUPATH_0000027	http://purl.obolibrary.org/obo/ICEMR_0000007	# Meals / Day	# meals / day	1.4.4	Number of meals eaten by household on an average day
http://purl.obolibrary.org/obo/EUPATH_0000029	http://purl.obolibrary.org/obo/ICEMR_0000007	Food Problems / Wk	Food problems / week	1.4.5	Number of times per week that household has difficulty in satisfying food needs
http://purl.obolibrary.org/obo/EUPATH_0000028	http://purl.obolibrary.org/obo/ICEMR_0000007	# Meat Meals / Wk	# meat meals / week	1.4.6	Number of meals per week that household eats meat
http://purl.obolibrary.org/obo/EUPATH_0000167	http://purl.obolibrary.org/obo/ICEMR_0000008	Bankacco	Bank account	1.4.7.1	Does any member of your household own or have a bank account?
http://purl.obolibrary.org/obo/EUPATH_0000174	http://purl.obolibrary.org/obo/ICEMR_0000008	Clock	Clock	1.4.7.10	Does your household have a clock?
http://purl.obolibrary.org/obo/EUPATH_0000175	http://purl.obolibrary.org/obo/ICEMR_0000008	Cupboard	Cupboard	1.4.7.11	Does your household have a cupboard?
http://purl.obolibrary.org/obo/EUPATH_0000176	http://purl.obolibrary.org/obo/ICEMR_0000008	Electric	Electric	1.4.7.12	Does your household have electricity?
http://purl.obolibrary.org/obo/EUPATH_0000182	http://purl.obolibrary.org/obo/ICEMR_0000008	Fridge	Fridge	1.4.7.13	Does your household have a refrigerator?
